EnglishName,CriteriaA_Category,CriteriaA_String,Decline,DeclineMean,DeclineLci,Years3GEN,StartYear,EndYear,OrgStartYear,OrgEndYear,ActualDecline,Method,Reversible,ReasonUnderstood,ReasonCeased,A_a,A_b,A_c,A_d,A_e,DirectObservation,AbundanceIndex,EOODecline,AOODecline,HabitatQuality,Exploitation,OtherEffects,SeverityScore,MethodScore
Common Starling,VU,A4b,39,50,60,16,2015,2031,2015,2025,"-4.26% (-3.01, -5.51)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
Common Teal,VU,A4b,32,50,64,17,2015,2032,2015,2025,"-4.02% (-2.21, -5.83)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
Crested Bunting,NA,A2b+ A4b,12,22,31,10,2015,2025,2015,2025,"-2.43% (-1.25, -3.61)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Crested Lark,NA,A2b+ A4b,14,24,33,10,2015,2025,2015,2025,"-2.76% (-1.53, -3.98)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Crimson Sunbird,NT,A2b+ A4b,25,39,51,10,2015,2025,2015,2025,"-4.89% (-2.8, -6.98)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
Desert Wheatear,NA,A2b+ A4b,19,25,30,10,2015,2025,2015,2025,"-2.8% (-2.05, -3.55)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Eurasian Coot,NT,A4b,26,36,46,14,2015,2029,2015,2025,"-3.18% (-2.1, -4.26)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
Forest Wagtail,NA,A2b+ A4b,20,27,34,10,2015,2025,2015,2025,"-3.11% (-2.18, -4.05)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Gadwall,NA,A4b,17,29,40,13,2015,2028,2015,2025,"-2.62% (-1.4, -3.84)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Garganey,VU,A4b,48,57,65,13,2015,2028,2015,2025,"-6.37% (-4.97, -7.76)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
Golden-fronted Leafbird,NA,A2b+ A4b,13,21,28,10,2015,2025,2015,2025,"-2.31% (-1.4, -3.22)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Great Indian Bustard,EN,A2acd,74,74,74,37,1969,2006,1969,2008,"-76% (-76 , -76)",Estimated,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,1,1,1,1,0,3,0
Green Shrike-Babbler,NA,A2b+ A4b,18,33,46,10,2015,2025,2015,2025,"-3.95% (-1.96, -5.93)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Hair-crested Drongo,NT,A4b,28,37,45,11,2015,2026,2015,2025,"-4.05% (-2.89, -5.21)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
House Crow,VU,A4b,36,45,53,16,2015,2031,2015,2025,"-3.7% (-2.73, -4.67)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
House Sparrow,NT,A4b,30,43,54,15,2015,2030,2015,2025,"-3.69% (-2.31, -5.06)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
Indian Bushlark,NA,A2b+ A4b,18,26,34,10,2015,2025,2015,2025,"-3.01% (-1.98, -4.03)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Indian Courser,VU,A4b,44,58,68,12,2015,2027,2015,2025,"-6.95% (-4.78, -9.12)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
Indian Roller,NT,A4b,28,37,45,14,2015,2029,2015,2025,"-3.24% (-2.31, -4.16)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
Indian Vulture,CR,A4ac,100,99,99,40,1992,2032,1992,2002,"-93% (-88 , -94)",Projected,1,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,1,1,1,0,0,4,0
Intermediate Egret,NA,A4b,19,27,35,16,2015,2031,2015,2025,"-1.95% (-1.28, -2.62)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Isabelline Shrike,NA,A2b+ A4b,19,36,50,10,2015,2025,2015,2025,"-4.44% (-2.13, -6.75)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Isabelline Wheatear,NT,A2b+ A4b,25,40,52,10,2015,2025,2015,2025,"-4.95% (-2.84, -7.05)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
