"ST_NM","India.Checklist.Common.Name","prop.range","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Range.Status"
"Goa","Eurasian Oystercatcher",0.0666666666666667,"Insufficient Data","Rapid Decline","Restricted"
"Goa","Sandwich Tern",0.111111111111111,"Insufficient Data","Rapid Decline","Restricted"
"Goa","Malabar Grey Hornbill",0.0576923076923077,"Trend Inconclusive","Trend Inconclusive","Moderate"
"Goa","Black-capped Kingfisher",0.076271186440678,"Rapid Decline","Rapid Decline","Moderate"
"Gujarat","Greater Flamingo",0.403887688984881,"Rapid Decline","Rapid Decline","Large"
"Gujarat","Macqueen's Bustard",0.75,"Insufficient Data","Insufficient Data","Restricted"
"Gujarat","Common Crane",0.632727272727273,"Rapid Decline","Decline","Moderate"
"Gujarat","Sociable Lapwing",1,"Insufficient Data","Insufficient Data","Restricted"
"Haryana","Pied Avocet",0.110144927536232,"Rapid Decline","Decline","Large"
"Haryana","Egyptian Vulture",0.0396039603960396,"Rapid Decline","Decline","Large"
"Haryana","Eastern Imperial Eagle",0.072,"Trend Inconclusive","Trend Inconclusive","Moderate"
"Haryana","White-naped Tit",0.0704225352112676,"Insufficient Data","Insufficient Data","Moderate"
"Himachal Pradesh","Ruddy Shelduck",0.017725258493353,"Decline","Rapid Decline","Large"
"Himachal Pradesh","Western Tragopan",0.777777777777778,"Insufficient Data","Insufficient Data","Very Restricted"
"Himachal Pradesh","Slender-billed Vulture",0.0833333333333333,"Insufficient Data","Insufficient Data","Restricted"
"Himachal Pradesh","Brown Dipper",0.194244604316547,"Decline","Decline","Moderate"
"Jammu and Kashmir","Wallcreeper",0.183333333333333,"Rapid Decline","Decline","Moderate"
"Jammu and Kashmir","Tibetan Blackbird",0.272727272727273,"Insufficient Data","Insufficient Data","Very Restricted"
"Jammu and Kashmir","Kashmir Flycatcher",0.769230769230769,"Insufficient Data","Insufficient Data","Restricted"
"Jammu and Kashmir","Plumbeous Water Redstart",0.15681233933162,"Decline","Decline","Moderate"
"Jharkhand","Tufted Duck",0.0318352059925094,"Rapid Decline","Decline","Large"
"Jharkhand","Black-headed Gull",0.0226244343891403,"Rapid Decline","Decline","Large"
"Jharkhand","White-rumped Vulture",0.0141342756183746,"Rapid Decline","Decline","Moderate"
"Jharkhand","Indian Vulture",0.0246478873239437,"Rapid Decline","Rapid Decline","Moderate"
"Karnataka","Malabar Grey Hornbill",0.423076923076923,"Trend Inconclusive","Trend Inconclusive","Moderate"
"Karnataka","Yellow-throated Bulbul",0.454545454545455,"Insufficient Data","Trend Inconclusive","Moderate"
"Karnataka","Nilgiri Sholakili",0.285714285714286,"Trend Inconclusive","Trend Inconclusive","Restricted"
"Karnataka","White-bellied Blue Flycatcher",0.404109589041096,"Rapid Decline","Decline","Moderate"
"Kerala","Garganey",0.0318690783807063,"Rapid Decline","Rapid Decline","Large"
"Kerala","Broad-tailed Grassbird",0.608695652173913,"Insufficient Data","Insufficient Data","Restricted"
"Kerala","Banasura Laughingthrush",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Kerala","Ashambu Laughingthrush",0.6,"Insufficient Data","Insufficient Data","Very Restricted"
"Ladakh","Common Merganser",0.294117647058824,"Rapid Decline","Rapid Decline","Moderate"
"Ladakh","Bearded Vulture",0.306382978723404,"Rapid Decline","Rapid Decline","Moderate"
"Ladakh","Saker Falcon",1,"Insufficient Data","Insufficient Data","Restricted"
"Ladakh","Eurasian Crag Martin",0.414364640883978,"Rapid Decline","Decline","Moderate"
"Lakshadweep","Grey Plover",0.0285714285714286,"Rapid Decline","Decline","Moderate"
"Lakshadweep","Lesser Sand Plover",0.0107238605898123,"Rapid Decline","Decline","Moderate"
"Lakshadweep","Common Greenshank",0.00283085633404105,"Rapid Decline","Rapid Decline","Very Large"
"Lakshadweep","Western Reef Egret",0.00484261501210654,"Rapid Decline","Decline","Moderate"
"Madhya Pradesh","Lesser Florican",0.333333333333333,"Insufficient Data","Insufficient Data","Restricted"
"Madhya Pradesh","Indian Skimmer",0.290322580645161,"Insufficient Data","Decline","Restricted"
"Madhya Pradesh","Red-headed Vulture",0.366812227074236,"Rapid Decline","Rapid Decline","Moderate"
"Madhya Pradesh","Indian Vulture",0.429577464788732,"Rapid Decline","Rapid Decline","Moderate"
"Maharashtra","Nilgiri Wood Pigeon",0.27972027972028,"Decline","Stable","Moderate"
"Maharashtra","Indian Courser",0.224438902743142,"Rapid Decline","Decline","Large"
"Maharashtra","Pallid Harrier",0.269303201506591,"Rapid Decline","Decline","Large"
"Maharashtra","Forest Owlet",0.478260869565217,"Insufficient Data","Insufficient Data","Restricted"
"Manipur","Manipur Bush Quail",NA,"Insufficient Data","Insufficient Data","Historical"
"Manipur","Slender-billed Oriole",0.333333333333333,"Insufficient Data","Insufficient Data","Very Restricted"
"Manipur","Naga Wren Babbler",0.4,"Insufficient Data","Insufficient Data","Very Restricted"
"Manipur","Jerdon's Bushchat",0.375,"Insufficient Data","Insufficient Data","Very Restricted"
"Meghalaya","Dark-rumped Swift",0.294117647058824,"Insufficient Data","Trend Inconclusive","Restricted"
"Meghalaya","Tawny-breasted Wren Babbler",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Meghalaya","Rufous-gorgeted Flycatcher",0.0452261306532663,"Decline","Decline","Moderate"
"Meghalaya","Olive-backed Pipit",0.035230352303523,"Rapid Decline","Decline","Large"
"Mizoram","Wreathed Hornbill",0.0434782608695652,"Insufficient Data","Insufficient Data","Restricted"
"Mizoram","Great Slaty Woodpecker",0.05,"Insufficient Data","Insufficient Data","Restricted"
"Mizoram","Chin Hills Wren Babbler",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Mizoram","Mount Victoria Babax",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Nagaland","Blyth's Tragopan",0.416666666666667,"Insufficient Data","Insufficient Data","Very Restricted"
"Nagaland","Dark-rumped Swift",0.411764705882353,"Insufficient Data","Trend Inconclusive","Restricted"
"Nagaland","Naga Wren Babbler",0.6,"Insufficient Data","Insufficient Data","Very Restricted"
"Nagaland","Chestnut-backed Laughingthrush",0.25,"Insufficient Data","Insufficient Data","Very Restricted"
"Odisha","Pale-capped Pigeon",0.458333333333333,"Insufficient Data","Insufficient Data","Restricted"
"Odisha","Black-bellied Tern",0.134078212290503,"Insufficient Data","Trend Inconclusive","Moderate"
"Odisha","Indian Skimmer",0.145161290322581,"Insufficient Data","Decline","Restricted"
"Odisha","Mangrove Pitta",0.571428571428571,"Insufficient Data","Insufficient Data","Very Restricted"
"Puducherry","Pintail Snipe",0.016597510373444,"Decline","Rapid Decline","Moderate"
"Puducherry","Caspian Tern",0.016260162601626,"Rapid Decline","Decline","Moderate"
"Puducherry","Common Tern",0.0328947368421053,"Rapid Decline","Rapid Decline","Restricted"
"Puducherry","Sandwich Tern",0.0222222222222222,"Insufficient Data","Rapid Decline","Restricted"
"Punjab","Black-bellied Tern",0.0167597765363128,"Insufficient Data","Trend Inconclusive","Moderate"
"Punjab","Egyptian Vulture",0.0297029702970297,"Rapid Decline","Decline","Large"
"Punjab","Bristled Grassbird",0.103448275862069,"Insufficient Data","Insufficient Data","Restricted"
"Punjab","Jerdon's Babbler",0.0769230769230769,"Trend Inconclusive","Rapid Decline","Restricted"
"Rajasthan","Yellow-eyed Pigeon",1,"Insufficient Data","Insufficient Data","Restricted"
"Rajasthan","Great Indian Bustard",0.842105263157895,"Insufficient Data","Trend Inconclusive","Restricted"
"Rajasthan","Lesser Florican",0.333333333333333,"Insufficient Data","Insufficient Data","Restricted"
"Rajasthan","Variable Wheatear",0.496875,"Rapid Decline","Decline","Large"
"Sikkim","Blood Pheasant",0.5,"Insufficient Data","Insufficient Data","Very Restricted"
"Sikkim","Great Parrotbill",0.625,"Insufficient Data","Insufficient Data","Very Restricted"
"Sikkim","Fulvous Parrotbill",0.5,"Insufficient Data","Insufficient Data","Very Restricted"
"Sikkim","Hoary-throated Barwing",0.590909090909091,"Decline","Trend Inconclusive","Restricted"
"Tamil Nadu","Nilgiri Laughingthrush",0.75,"Decline","Trend Inconclusive","Very Restricted"
"Tamil Nadu","Ashambu Laughingthrush",0.8,"Insufficient Data","Insufficient Data","Very Restricted"
"Tamil Nadu","White-bellied Sholakili",0.846153846153846,"Trend Inconclusive","Trend Inconclusive","Restricted"
"Tamil Nadu","Nilgiri Pipit",0.833333333333333,"Trend Inconclusive","Trend Inconclusive","Very Restricted"
"Telangana","Little Tern",0.0473372781065089,"Rapid Decline","Decline","Moderate"
"Telangana","Black-bellied Tern",0.0726256983240224,"Insufficient Data","Trend Inconclusive","Moderate"
"Telangana","River Tern",0.0498041410184667,"Decline","Trend Inconclusive","Very Large"
"Telangana","Yellow-throated Bulbul",0.0707070707070707,"Insufficient Data","Trend Inconclusive","Moderate"
"Tripura","Pale-capped Pigeon",0.125,"Insufficient Data","Insufficient Data","Restricted"
"Tripura","Pintail Snipe",0.016597510373444,"Decline","Rapid Decline","Moderate"
"Tripura","White-rumped Vulture",0.0106007067137809,"Rapid Decline","Decline","Moderate"
"Tripura","Great Slaty Woodpecker",0.05,"Insufficient Data","Insufficient Data","Restricted"
"Uttar Pradesh","Sarus Crane",0.399201596806387,"Rapid Decline","Rapid Decline","Large"
"Uttar Pradesh","Indian Skimmer",0.241935483870968,"Insufficient Data","Decline","Restricted"
"Uttar Pradesh","Egyptian Vulture",0.22029702970297,"Rapid Decline","Decline","Large"
"Uttar Pradesh","Jerdon's Bushchat",0.375,"Insufficient Data","Insufficient Data","Very Restricted"
"Uttarakhand","Cheer Pheasant",0.60377358490566,"Insufficient Data","Insufficient Data","Restricted"
"Uttarakhand","Pallas's Fish Eagle",0.454545454545455,"Rapid Decline","Trend Inconclusive","Restricted"
"Uttarakhand","Grey-crowned Prinia",1,"Insufficient Data","Trend Inconclusive","Very Restricted"
"Uttarakhand","Finn's Weaver",0.1,"Insufficient Data","Insufficient Data","Restricted"
"West Bengal","Rufous-necked Hornbill",0.264705882352941,"Insufficient Data","Insufficient Data","Restricted"
"West Bengal","Brown-winged Kingfisher",0.714285714285714,"Insufficient Data","Insufficient Data","Very Restricted"
"West Bengal","Great Parrotbill",0.375,"Insufficient Data","Insufficient Data","Very Restricted"
"West Bengal","Yellow-breasted Bunting",0.357142857142857,"Insufficient Data","Insufficient Data","Restricted"
