"ST_NM","India.Checklist.Common.Name","prop.range","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Range.Status"
"Andaman and Nicobar Islands","Nicobar Megapode",1,"Insufficient Data","Insufficient Data","Restricted"
"Andaman and Nicobar Islands","Nicobar Sparrowhawk",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Andaman and Nicobar Islands","Narcondam Hornbill",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Andaman and Nicobar Islands","White-headed Starling",1,"Insufficient Data","Rapid Decline","Restricted"
"Andhra Pradesh","Lesser Florican",0.0833333333333333,"Insufficient Data","Insufficient Data","Restricted"
"Andhra Pradesh","Terek Sandpiper",0.103703703703704,"Rapid Decline","Rapid Decline","Moderate"
"Andhra Pradesh","Jerdon's Courser",NA,"Insufficient Data","Insufficient Data","Historical"
"Andhra Pradesh","Green Munia",0.357142857142857,"Insufficient Data","Insufficient Data","Restricted"
"Arunachal Pradesh","Sclater's Monal",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Arunachal Pradesh","White-bellied Heron",0.666666666666667,"Insufficient Data","Insufficient Data","Very Restricted"
"Arunachal Pradesh","Snowy-throated Babbler",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Arunachal Pradesh","Bugun Liocichla",1,"Insufficient Data","Trend Inconclusive","Very Restricted"
"Assam","White-winged Wood Duck",0.777777777777778,"Insufficient Data","Insufficient Data","Very Restricted"
"Assam","Baer's Pochard",1,"Insufficient Data","Insufficient Data","Very Restricted"
"Assam","Bengal Florican",0.736842105263158,"Insufficient Data","Insufficient Data","Very Restricted"
"Assam","Swamp Grass Babbler",0.9,"Insufficient Data","Insufficient Data","Very Restricted"
"Bihar","Northern Pintail",0.0159420289855072,"Rapid Decline","Rapid Decline","Very Large"
"Bihar","Lesser Adjutant",0.126344086021505,"Trend Inconclusive","Decline","Moderate"
"Bihar","Greater Adjutant",0.192307692307692,"Insufficient Data","Insufficient Data","Restricted"
"Bihar","Bank Myna",0.0403521643433602,"Decline","Rapid Decline","Large"
"Chandigarh","Sirkeer Malkoha",0.00333889816360601,"Rapid Decline","Rapid Decline","Large"
"Chandigarh","Common Redshank",0.00210748155953635,"Rapid Decline","Decline","Large"
"Chandigarh","Sulphur-bellied Warbler",0.00317460317460317,"Decline","Rapid Decline","Large"
"Chandigarh","Spot-winged Starling",0.015625,"Insufficient Data","Rapid Decline","Restricted"
"Chhattisgarh","Tufted Duck",0.0617977528089888,"Rapid Decline","Decline","Large"
"Chhattisgarh","Great Crested Grebe",0.0853658536585366,"Rapid Decline","Decline","Moderate"
"Chhattisgarh","Yellow-crowned Woodpecker",0.0626223091976517,"Rapid Decline","Decline","Large"
"Chhattisgarh","Thick-billed Flowerpecker",0.0760869565217391,"Decline","Rapid Decline","Large"
"Dadra and Nagar Haveli","Forest Owlet",0.0869565217391304,"Insufficient Data","Insufficient Data","Restricted"
"Dadra and Nagar Haveli","Sulphur-bellied Warbler",0.00317460317460317,"Decline","Rapid Decline","Large"
"Dadra and Nagar Haveli","Blue-capped Rock Thrush",0.00225733634311512,"Decline","Rapid Decline","Moderate"
"Dadra and Nagar Haveli","Thick-billed Flowerpecker",0.00197628458498024,"Decline","Rapid Decline","Large"
"Daman and Diu","Grey Plover",0.0142857142857143,"Rapid Decline","Decline","Moderate"
"Daman and Diu","Eurasian Curlew",0.00824175824175824,"Rapid Decline","Rapid Decline","Moderate"
"Daman and Diu","Slender-billed Gull",0.018018018018018,"Rapid Decline","Rapid Decline","Moderate"
"Daman and Diu","Caspian Tern",0.016260162601626,"Rapid Decline","Decline","Moderate"
"Delhi","Black-bellied Tern",0.0167597765363128,"Insufficient Data","Trend Inconclusive","Moderate"
"Delhi","Indian Skimmer",0.0161290322580645,"Insufficient Data","Decline","Restricted"
"Delhi","Great White Pelican",0.0197628458498024,"Decline","Decline","Moderate"
"Delhi","Isabelline Shrike",0.0182648401826484,"Decline","Rapid Decline","Large"
