"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Criterion C Redlist Category Proposed"
"Jungle Myna",47.11,"46.85% (45.4, 48.3)","-106% (-98.13, -113.22)","-3.02% (-2.19, -3.85)","Decline","Moderate",3,6,6,12,10,20,26,32,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",80,"Vulnerable"
"Forest Wagtail",35.3,"68.14% (65.52, 70.75)","-184.34% (-181.72, -186.44)","-3.11% (-2.18, -4.05)","Decline","High",3,6,5,10,10,20,27,34,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Vulnerable","Yes",33,"Vulnerable"
"Common Merganser",26.8,"47.56% (42.97, 52.15)","-172.77% (-162.75, -179.49)","-3.95% (-2.15, -5.74)","Decline","Moderate",6,12,12,23,19,34,53,67,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",36,"Endangered"
"Isabelline Shrike",28.75,"44.23% (41.99, 46.47)","-142.7% (-133.76, -150.48)","-4.44% (-2.13, -6.75)","Decline","Moderate",3,6,5,10,10,19,36,50,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",68,"Vulnerable"
"Variable Wheatear",27.79,"37.72% (35.21, 40.24)","-177.28% (-174.62, -179.89)","-2.93% (-2.13, -3.73)","Decline","High",3,6,5,10,10,19,26,32,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",51,"Vulnerable"
"White-capped Redstart",42.02,"38.41% (36.2, 40.61)","-140.04% (-132.21, -146.63)","-3.63% (-2.12, -5.14)","Decline","High",3,6,6,12,10,19,31,41,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",75,"Vulnerable"
"Tawny Eagle",25.74,"56.42% (52.76, 60.08)","-179.01% (-175.82, -182.14)","-2.92% (-2.11, -3.73)","Decline","High",14,26,28,NA,43,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Vulnerable",NA,"Near Threatened",NA,27,"Critically Endangered"
"Eurasian Coot",37.91,"41.68% (40.59, 42.77)","-118.68% (-113.22, -123.29)","-3.18% (-2.1, -4.26)","Decline","Moderate",5,10,9,17,14,26,36,46,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",64,"Vulnerable"
"Sarus Crane",28.64,"34.41% (32.22, 36.59)","-161.99% (-156.91, -166.42)","-2.95% (-2.08, -3.83)","Decline","Moderate",16,29,33,NA,49,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Vulnerable",NA,"Vulnerable",NA,45,"Critically Endangered"
"Desert Wheatear",29.67,"40.55% (38.27, 42.83)","-168.18% (-164.41, -171.6)","-2.8% (-2.05, -3.55)","Decline","High",3,6,5,10,10,19,25,30,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",55,"Vulnerable"
"Barn Swallow",42.15,"40.95% (40.03, 41.88)","-138.04% (-135.19, -140.65)","-3.3% (-2.03, -4.56)","Decline","Moderate",4,8,7,13,11,20,31,40,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",63,"Vulnerable"
