"Category","Long.Term","Current","Range"
"Rapid Decline",99,64,NA
"Decline",107,78,NA
"eBird Data Deficient",333,213,NA
"eBird Data Inconclusive",169,284,NA
"Stable",110,189,NA
"Increase",20,17,NA
"Rapid Increase",18,11,NA
