"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Uses Real Data (not projected)","Criterion C Redlist Category Proposed"
"Black Kite",44.18,"39.23% (38.3, 40.17)","-110.03% (-105.61, -114.15)","-1.93% (-1.4, -2.46)","Decline","Moderate",9,12,19,24,28,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"Endangered"
"Pied Kingfisher",38.31,"40.45% (39.43, 41.48)","-146.67% (-143.61, -149.34)","-2.2% (-1.38, -3.01)","Decline","Moderate",3,4,7,9,10,13,20,26,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",68,TRUE,"Vulnerable"
"Sultan Tit",36.42,"41.89% (36.6, 47.19)",NA,"-2.7% (-1.37, -4.03)","Decline","Moderate",3,4,6,8,10,13,24,34,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",96,TRUE,"Vulnerable"
"Western Yellow Wagtail",36.66,"45.24% (44.09, 46.4)","-117.31% (-111.55, -122.89)","-3.16% (-1.37, -4.96)","Decline","Moderate",3,4,5,7,10,13,27,40,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",80,TRUE,"Vulnerable"
"Malabar Lark",41.81,"66.14% (62.98, 69.3)","-168.06% (-162.16, -172.8)","-1.98% (-1.34, -2.62)","Decline","High",4,5,7,9,11,14,20,25,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",71,FALSE,"Vulnerable"
"White-rumped Spinetail",38.92,"79.84% (76.09, 83.59)","-184.85% (-181.62, -187.69)","-1.87% (-1.34, -2.4)","Decline","High",3,4,5,7,10,13,17,22,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Vulnerable","Yes",50,TRUE,"Vulnerable"
"Plumbeous Redstart",41.67,"38.89% (36.56, 41.21)","-165.68% (-154.01, -173.45)","-2.25% (-1.31, -3.2)","Decline","High",3,4,6,8,10,12,20,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",63,TRUE,"Vulnerable"
"Pallid Harrier",27.09,"55.95% (53.81, 58.1)","-178.43% (-176.16, -180.54)","-1.76% (-1.31, -2.22)","Decline","High",5,6,10,12,15,18,23,29,TRUE,TRUE,TRUE,"Least Concern","Near Threatened","Yes","Vulnerable","Yes",46,FALSE,"Vulnerable"
"Himalayan Bulbul",61.62,"43.93% (41.19, 46.67)","-76.95% (-52.22, -95.21)","-2.55% (-1.29, -3.8)","Decline","Moderate",4,5,7,9,11,13,25,35,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",85,FALSE,"Vulnerable"
"Whiskered Tern",38.14,"50.88% (49.19, 52.58)","-156.73% (-153.49, -159.85)","-2.3% (-1.23, -3.38)","Decline","High",5,6,11,13,16,18,31,42,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",59,FALSE,"Vulnerable"
"Himalayan Vulture",43.03,"41.37% (39.06, 43.69)","-153.04% (-147.46, -158.18)","-1.69% (-1.2, -2.18)","Decline","Moderate",15,17,29,NA,44,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Near Threatened",NA,NA,NA,NA,FALSE,"No"
"Red-necked Falcon",25.1,"56.59% (54.45, 58.73)","-170.89% (-166.67, -174.46)","-2.25% (-1.2, -3.3)","Decline","High",4,5,9,10,14,16,27,37,TRUE,TRUE,TRUE,"Least Concern","Near Threatened","Yes","Endangered","Yes",64,FALSE,"Vulnerable"
