"","Species","Scientific","Old_LongTerm","Old_Current","Old_Range","Old_Priority","New_LongTerm","New_Current","New_Range","New_Priority","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","Change_LongTerm","Change_Current","Change_Range","Change_Priority","Cat_LongTerm","Cat_Current","Cat_Range","Cat_Priority","First_Category"
"11","Long-legged Buzzard","Buteo rufinus","Trend Inconclusive","Trend Inconclusive","Large","Low","Trend Inconclusive","Rapid Decline","Large","Moderate",-79.4975014145335,-65.0317285613207,-39.8918166091611,-8.20136059990429,-6.39743724323089,-4.59351388655749,359510,360128,360746,"Trend Inconclusive","<span style='color:red' title='(-8.2, -6.4, -4.6) [Threshold: <-2.7]'>Trend Inconclusive → Rapid Decline</span>","Large","<span style='color:red'>Low → Moderate</span>",NA,NA,NA,"Low → Moderate","Low → Moderate"
"12","Short-eared Owl","Asio flammeus","Insufficient Data","Trend Inconclusive","Moderate","Low","Insufficient Data","Decline","Moderate","Moderate",NA,NA,NA,-7.84121314735354,-5.87898076197734,-3.91674837660114,107309,107850,108391,"Insufficient Data","<span style='color:red' title='(-7.8, -5.9, -3.9) [Threshold: -2.7<x<-1.1]'>Trend Inconclusive → Decline</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"13","Great Hornbill","Buceros bicornis","Trend Inconclusive","Stable","Moderate","Low","Trend Inconclusive","Trend Inconclusive","Moderate","Moderate",-17.5131344552344,27.567640918357,90.926916442597,-2.3123462351256,1.39586734052369,5.10408091617298,134302,134302,134302,"Trend Inconclusive","<span style='color:black' title='(-2.3, 1.4, 5.1) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"14","Red-breasted Parakeet","Psittacula alexandri","Stable","Stable","Moderate","Low","Trend Inconclusive","Trend Inconclusive","Moderate","Moderate",-30.0413333157585,14.221320344419,90.408206093231,-3.36717279687918,0.980902050678763,5.3289768982367,141144,141502,141860,"<span style='color:black' title='(-30.0, 14.2, 90.4) [Threshold: NA]'>Stable → Trend Inconclusive</span>","<span style='color:black' title='(-3.4, 1.0, 5.3) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"15","House Crow","Corvus splendens","Trend Inconclusive","Trend Inconclusive","Very Large","Low","Trend Inconclusive","Decline","Very Large","Moderate",24.672172705509,36.727360335135,48.937024821718,-2.59495120896666,-2.11528271713546,-1.63561422530426,2586431,2586692,2586953,"Trend Inconclusive","<span style='color:red' title='(-2.6, -2.1, -1.6) [Threshold: -2.7<x<-1.1]'>Trend Inconclusive → Decline</span>","Very Large","<span style='color:red'>Low → Moderate</span>",NA,NA,NA,"Low → Moderate","Low → Moderate"
"16","Gray-headed Bulbul","Microtarsus priocephalus","Trend Inconclusive","Stable","Moderate","Low","Trend Inconclusive","Trend Inconclusive","Moderate","Moderate",-17.41518536148,52.015692214205,194.549044562349,-4.04201634710194,1.24314168251336,6.52829971212866,89858,90036,90214,"Trend Inconclusive","<span style='color:black' title='(-4.0, 1.2, 6.5) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"17","White-spectacled Warbler","Phylloscopus intermedius","Insufficient Data","Insufficient Data","Moderate","Low","Insufficient Data","Insufficient Data","Restricted","Moderate",NA,NA,NA,NA,NA,NA,38655,38655,38655,"Insufficient Data","Insufficient Data","<span style='color:red' title='(38,655, 38,655, 38,655) [Threshold: 7,500<x<42,500]'>Moderate → Restricted</span>","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"18","Scaly Thrush","Zoothera dauma","Insufficient Data","Trend Inconclusive","Moderate","Low","Insufficient Data","Decline","Moderate","Moderate",NA,NA,NA,-6.46877769580825,-4.43792758305277,-2.40707747029729,75873,75873,75873,"Insufficient Data","<span style='color:red' title='(-6.5, -4.4, -2.4) [Threshold: -2.7<x<-1.1]'>Trend Inconclusive → Decline</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"19","Asian Brown Flycatcher","Muscicapa dauurica","Decline","Stable","Large","Low","Decline","Trend Inconclusive","Large","Moderate",-56.403974354938,-44.7092113065131,-29.9370743735065,-3.46938588787825,-2.15779607568005,-0.846206263481849,345274,345727,346180,"Decline","<span style='color:black' title='(-3.5, -2.2, -0.8) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Large","<span style='color:red'>Low → Moderate</span>",NA,NA,NA,"Low → Moderate","Low → Moderate"
"20","Black-backed Forktail","Enicurus immaculatus","Trend Inconclusive","Trend Inconclusive","Moderate","Low","Trend Inconclusive","Decline","Moderate","Moderate",-56.6992378220053,-28.4110661129514,16.351333541072,-6.1425544145329,-4.16129977549854,-2.18004513646417,116396,117056,117716,"Trend Inconclusive","<span style='color:red' title='(-6.1, -4.2, -2.2) [Threshold: -2.7<x<-1.1]'>Trend Inconclusive → Decline</span>","Moderate","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
