"","Species","Scientific","Old_LongTerm","Old_Current","Old_Range","Old_Priority","New_LongTerm","New_Current","New_Range","New_Priority","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","Change_LongTerm","Change_Current","Change_Range","Change_Priority","Cat_LongTerm","Cat_Current","Cat_Range","Cat_Priority","First_Category"
"107","Ashy Wood-Pigeon","Columba pulchricollis","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Moderate","Low",NA,NA,NA,NA,NA,NA,46388,46635,46882,"Insufficient Data","Insufficient Data","<span style='color:blue' title='(46,388, 46,635, 46,882) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"108","Orange-breasted Green-Pigeon","Treron bicinctus","Insufficient Data","Trend Inconclusive","Restricted","Moderate","Insufficient Data","Trend Inconclusive","Moderate","Low",NA,NA,NA,-4.58265286433544,-0.921283707714427,2.74008544890659,54142,54142,54142,"Insufficient Data","Trend Inconclusive","<span style='color:blue' title='(54,142, 54,142, 54,142) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"109","Malabar Imperial-Pigeon","Ducula cuprea","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-77.3111272952724,-61.8004811852144,-36.6331697017799,-2.555780967262,1.96099391708818,6.47776880143837,88963,89165,89367,"<span style='color:black' title='(-77.3, -61.8, -36.6) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"110","Andaman Coucal","Centropus andamanensis","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Stable","Restricted","Low",NA,NA,NA,-0.109218913418188,1.56397864800824,3.23717620943467,5145,5163,5181,"Insufficient Data","<span style='color:blue' title='(-0.1, 1.6, 3.2) [Threshold: None]'>Insufficient Data → Stable</span>","Restricted","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"111","Banded Bay Cuckoo","Cacomantis sonneratii","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-54.8680527248481,-38.5234115646783,-13.2828129230603,3.24441605353376,6.53251521618123,9.82061437882871,230448,230986,231524,"<span style='color:black' title='(-54.9, -38.5, -13.3) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","<span style='color:red' title='(230,448, 230,986, 231,524) [Threshold: 42,500<x<250,000]'>Large → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"112","White-rumped Spinetail","Zoonavena sylvatica","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-87.6110837289421,-79.483292742113,-66.7695408067858,-5.47313874224524,-2.90958816114444,-0.346037580043639,98784,99188,99592,"<span style='color:black' title='(-87.6, -79.5, -66.8) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"113","Brown-backed Needletail","Hirundapus giganteus","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-75.3060801458769,-58.7223656501,-30.4351510606405,-3.08131705781235,1.73685991201,6.55503688183235,89974,90309,90644,"<span style='color:black' title='(-75.3, -58.7, -30.4) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"114","White-tailed Lapwing","Vanellus leucurus","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-85.7515787824795,-64.181070951191,-6.75966055249771,-8.22979793400072,-3.06858680945017,2.09262431510038,246937,247634,248331,"<span style='color:black' title='(-85.8, -64.2, -6.8) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"115","Pheasant-tailed Jacana","Hydrophasianus chirurgus","Trend Inconclusive","Decline","Very Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-41.5594256407075,-31.7214844700676,-19.9798820573846,-2.30905252823469,-1.39562314424708,-0.482193760259472,884864,884864,884864,"Trend Inconclusive","<span style='color:black' title='(-2.3, -1.4, -0.5) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:red' title='(884,864, 884,864, 884,864) [Threshold: 250,000<x<1,000,000]'>Very Large → Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"116","Whimbrel","Numenius phaeopus","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-78.8126620623946,-64.6582759363826,-39.7972753482218,-4.82193822778717,-1.04234864791261,2.73724093196195,97574,97574,97574,"<span style='color:black' title='(-78.8, -64.7, -39.8) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"117","Wood Sandpiper","Tringa glareola","Trend Inconclusive","Decline","Very Large","Moderate","Trend Inconclusive","Trend Inconclusive","Very Large","Low",-21.7818300054607,-11.9444002748971,-0.644669923149493,-1.89556198364104,-1.17769148548786,-0.459820987334683,1822069,1822618,1823167,"Trend Inconclusive","<span style='color:black' title='(-1.9, -1.2, -0.5) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Very Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"118","Temminck's Stint","Calidris temminckii","Decline","Trend Inconclusive","Large","Moderate","Decline","Stable","Very Large","Low",-54.7628722560249,-42.4328247665875,-26.0251294995168,-2.2888261871891,-0.460134487784654,1.3685572116198,1094018,1094635,1095252,"Decline","<span style='color:blue' title='(-2.3, -0.5, 1.4) [Threshold: None]'>Trend Inconclusive → Stable</span>","<span style='color:blue' title='(1,094,018, 1,094,635, 1,095,252) [Threshold: x>1,000,000]'>Large → Very Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"119","Small Pratincole","Glareola lactea","Rapid Decline","Trend Inconclusive","Large","Moderate","Decline","Stable","Large","Low",-66.3047656779799,-58.2505063837973,-47.1148544368147,-2.282369544379,-0.9737716748202,0.334826194738597,946847,947522,948197,"<span style='color:blue' title='(-66.3, -58.3, -47.1) [Threshold: -50<x<-25]'>Rapid Decline → Decline</span>","<span style='color:blue' title='(-2.3, -1.0, 0.3) [Threshold: None]'>Trend Inconclusive → Stable</span>","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"120","Lesser Black-backed Gull","Larus fuscus","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-64.3317007499896,-46.5466414136166,-17.2588331585065,-2.31689164323028,0.93452522274349,4.18594208871726,141842,142218,142594,"<span style='color:black' title='(-64.3, -46.5, -17.3) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-2.3, 0.9, 4.2) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"121","River Tern","Sterna aurantia","Decline","Trend Inconclusive","Very Large","Moderate","Trend Inconclusive","Stable","Very Large","Low",-29.4893416766556,-15.6106857895632,0.296947888611996,-0.667070166131975,0.663592503112908,1.99425517235779,1291057,1291505,1291953,"<span style='color:black' title='(-29.5, -15.6, 0.3) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-0.7, 0.7, 2.0) [Threshold: None]'>Trend Inconclusive → Stable</span>","Very Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"122","Lesser Crested Tern","Thalasseus bengalensis","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-63.883124562808,-40.0541247032215,0.792505440609006,-2.67009296461756,1.59056908774943,5.85123114011642,65433,65727,66021,"<span style='color:black' title='(-63.9, -40.1, 0.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-2.7, 1.6, 5.9) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"123","Black Stork","Ciconia nigra","Rapid Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-79.8580212146467,-63.9031138833346,-35.5393173405023,-5.83832602108825,-2.87760229323821,0.0831214346118325,409203,409824,410445,"<span style='color:black' title='(-79.9, -63.9, -35.5) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Trend Inconclusive","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"124","Striated Heron","Butorides atricapilla","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Stable","Very Large","Low",-47.8453456866773,-37.8861627190402,-25.6215839607666,-1.66511650651467,-0.53450191083762,0.596112684839433,1186942,1187727,1188512,"<span style='color:black' title='(-47.8, -37.9, -25.6) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-1.7, -0.5, 0.6) [Threshold: None]'>Trend Inconclusive → Stable</span>","<span style='color:blue' title='(1,186,942, 1,187,727, 1,188,512) [Threshold: x>1,000,000]'>Large → Very Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"125","Himalayan Griffon","Gyps himalayensis","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Stable","Large","Low",-58.7776527503316,-41.3365450887042,-17.018612284818,-4.11009782245113,-1.86813029115853,0.37383724013406,267519,267884,268249,"<span style='color:black' title='(-58.8, -41.3, -17.0) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-4.1, -1.9, 0.4) [Threshold: None]'>Trend Inconclusive → Stable</span>","<span style='color:blue' title='(267,519, 267,884, 268,249) [Threshold: 250,000<x<1,000,000]'>Moderate → Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"126","Hen Harrier","Circus cyaneus","Insufficient Data","Decline","Moderate","Moderate","Insufficient Data","Trend Inconclusive","Moderate","Low",NA,NA,NA,-5.62544904101258,-2.74104380688213,0.143361427248323,159029,159171,159313,"Insufficient Data","<span style='color:black' title='(-5.6, -2.7, 0.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"127","Crested Goshawk","Lophospiza trivirgata","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Stable","Moderate","Low",-56.7367812312532,-38.6187139420985,-12.1827599163218,-2.77859844661821,-0.56873650337268,1.64112543987285,164229,164795,165361,"<span style='color:black' title='(-56.7, -38.6, -12.2) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Stable","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"128","White-bellied Sea-Eagle","Icthyophaga leucogaster","Rapid Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-78.5517099138347,-61.0304759887632,-26.0881843437959,-5.54281570160417,-1.28457021600868,2.97367526958681,105124,105399,105674,"<span style='color:black' title='(-78.6, -61.0, -26.1) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-5.5, -1.3, 3.0) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"129","Dusky Eagle-Owl","Ketupa coromanda","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Moderate","Low",NA,NA,NA,NA,NA,NA,41999,42560,43121,"Insufficient Data","Insufficient Data","<span style='color:blue' title='(41,999, 42,560, 43,121) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"130","Malabar Trogon","Harpactes fasciatus","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-62.8818276040901,-40.0022443349091,-3.01739428178099,-3.59784814108144,-0.364218567012779,2.86941100705588,123166,123452,123738,"<span style='color:black' title='(-62.9, -40.0, -3.0) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-3.6, -0.4, 2.9) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"131","European Roller","Coracias garrulus","Insufficient Data","Decline","Large","Moderate","Insufficient Data","Trend Inconclusive","Large","Low",NA,NA,NA,-6.12256055269221,-3.16312747412816,-0.203694395564114,431036,431605,432174,"Insufficient Data","<span style='color:black' title='(-6.1, -3.2, -0.2) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"132","Heart-spotted Woodpecker","Hemicircus canente","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-70.5361859738053,-54.8197186254839,-30.6066867668751,-2.8868574681874,0.319938945854606,3.52673535989662,129236,129584,129932,"<span style='color:black' title='(-70.5, -54.8, -30.6) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-2.9, 0.3, 3.5) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"133","Brown-capped Pygmy Woodpecker","Yungipicus nanus","Decline","Trend Inconclusive","Large","Moderate","Decline","Stable","Large","Low",-55.5634322195834,-44.1950238227495,-28.9519275436964,-1.21595928495777,0.306179302966285,1.82831789089034,784392,785005,785618,"Decline","<span style='color:blue' title='(-1.2, 0.3, 1.8) [Threshold: None]'>Trend Inconclusive → Stable</span>","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"134","White-bellied Woodpecker","Dryocopus javensis","Rapid Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-75.6653950187263,-58.1311421899891,-28.6556315677987,-4.47979095198142,-0.503462564569204,3.47286582284301,78005,78194,78383,"<span style='color:black' title='(-75.7, -58.1, -28.7) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-4.5, -0.5, 3.5) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"135","Blue-naped Pitta","Hydrornis nipalensis","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Moderate","Low",NA,NA,NA,NA,NA,NA,63057,63695,64333,"Insufficient Data","Insufficient Data","<span style='color:blue' title='(63,057, 63,695, 64,333) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"136","Western Hooded Pitta","Pitta sordida","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Moderate","Low",NA,NA,NA,NA,NA,NA,54137,54586,55035,"Insufficient Data","Insufficient Data","<span style='color:blue' title='(54,137, 54,586, 55,035) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"137","Short-billed Minivet","Pericrocotus brevirostris","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-70.0105852651119,-47.1812314613069,-10.0795764915807,-2.43083301046768,2.43553359583191,7.30190020213151,110244,110833,111422,"<span style='color:black' title='(-70.0, -47.2, -10.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"138","Orange Minivet","Pericrocotus flammeus","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-59.1695866307128,-35.2407154205504,5.756443275583,-3.90292593690864,-0.560721770263346,2.78148239638195,186435,186666,186897,"<span style='color:black' title='(-59.2, -35.2, 5.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-3.9, -0.6, 2.8) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"139","Malabar Woodshrike","Tephrodornis sylvicola","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-67.0167689597065,-44.8040184896268,-6.70963156993059,-3.98250415044549,-0.113502591281355,3.75549896788278,85404,85532,85660,"<span style='color:black' title='(-67.0, -44.8, -6.7) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-4.0, -0.1, 3.8) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"140","Large Woodshrike","Tephrodornis virgatus","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Stable","Moderate","Low",-46.6418221138382,-16.7312464732216,28.009791670691,-4.36450499304513,-1.8501920118129,0.664120969419337,163510,164216,164922,"<span style='color:black' title='(-46.6, -16.7, 28.0) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-4.4, -1.9, 0.7) [Threshold: None]'>Trend Inconclusive → Stable</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"141","Common Woodshrike","Tephrodornis pondicerianus","Rapid Decline","Stable","Very Large","Moderate","Decline","Stable","Very Large","Low",-55.3016390562128,-45.7348983537915,-34.297100709345,-0.404196166982346,1.07817412403604,2.56054441505442,1615449,1616056,1616663,"<span style='color:blue' title='(-55.3, -45.7, -34.3) [Threshold: -50<x<-25]'>Rapid Decline → Decline</span>","Stable","Very Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"142","White-browed Fantail","Rhipidura aureola","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-49.9395515174209,-35.6887951538749,-17.6864195933261,-3.12267274241948,-1.60358514485546,-0.0844975472914455,845044,845598,846152,"<span style='color:black' title='(-49.9, -35.7, -17.7) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"143","White-bellied Drongo","Dicrurus caerulescens","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-47.3150561929602,-34.5237042181247,-16.1466783976836,-3.3096554432419,-1.95399309277958,-0.598330742317256,974755,975285,975815,"<span style='color:black' title='(-47.3, -34.5, -16.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"144","Lesser Racket-tailed Drongo","Dicrurus remifer","Stable","Decline","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-25.3476403620382,18.693506610292,95.059377604773,-5.49233194451595,-3.15850505271271,-0.824678160909469,144149,144644,145139,"<span style='color:black' title='(-25.3, 18.7, 95.1) [Threshold: NA]'>Stable → Trend Inconclusive</span>","<span style='color:black' title='(-5.5, -3.2, -0.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"145","Hair-crested Drongo","Dicrurus hottentottus","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-43.5116737250085,-26.4214142318704,-1.7631515478204,-3.65010761342475,-1.84788386825656,-0.0456601230883649,355059,355471,355883,"<span style='color:black' title='(-43.5, -26.4, -1.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"146","Black-headed Jay","Garrulus lanceolatus","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-62.5169887387979,-31.0568628846888,34.959076683573,-3.83221998302149,1.46005808961864,6.75233616225877,83352,83589,83826,"<span style='color:black' title='(-62.5, -31.1, 35.0) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-3.8, 1.5, 6.8) [Threshold: NA]'>Stable → Trend Inconclusive</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"147","White-bellied Treepie","Dendrocitta leucogastra","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-68.0598080141929,-33.9010167411596,16.355523246967,-4.71341582533562,0.979405008274907,6.67222584188543,62074,62216,62358,"<span style='color:black' title='(-68.1, -33.9, 16.4) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"148","Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-59.278696547759,-37.6815252459739,-7.9292431983524,-4.03645246469168,-1.05219333727528,1.93206579014113,168887,169281,169675,"<span style='color:black' title='(-59.3, -37.7, -7.9) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"149","Gray-headed Canary-Flycatcher","Culicicapa ceylonensis","Decline","Trend Inconclusive","Large","Moderate","Decline","Stable","Large","Low",-52.5799984297634,-41.4045510778915,-28.4231469139307,-2.33648733115157,-0.992405032424128,0.351677266303314,699101,699532,699963,"Decline","<span style='color:blue' title='(-2.3, -1.0, 0.4) [Threshold: None]'>Trend Inconclusive → Stable</span>","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"150","Yellow-browed Tit","Sylviparus modestus","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-81.2559400126248,-65.2051163340648,-32.8398067162015,-3.7731360556711,1.89352259117759,7.56018123802629,69007,69429,69851,"<span style='color:black' title='(-81.3, -65.2, -32.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"151","Greater Short-toed Lark","Calandrella brachydactyla","Decline","Trend Inconclusive","Large","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-54.572184430715,-33.506030483681,-0.220147499125602,-4.6620990099357,-2.51855769153972,-0.375016373143731,321254,321254,321254,"<span style='color:black' title='(-54.6, -33.5, -0.2) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"152","Sand Lark","Alaudala raytal","Decline","Stable","Moderate","Moderate","Trend Inconclusive","Stable","Large","Low",-61.1666527482608,-43.8877238261568,-18.7804858175027,-1.97484981746129,0.640274926374712,3.25539967021071,266004,266574,267144,"<span style='color:black' title='(-61.2, -43.9, -18.8) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Stable","<span style='color:blue' title='(266,004, 266,574, 267,144) [Threshold: 250,000<x<1,000,000]'>Moderate → Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"153","Malabar Lark","Galerida malabarica","Rapid Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Decline","Moderate","Low",-76.9755768080019,-62.3739339683217,-40.3692116895789,-5.94927882143897,-3.72573134774784,-1.50218387405671,162874,163288,163702,"<span style='color:black' title='(-77.0, -62.4, -40.4) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:red' title='(-5.9, -3.7, -1.5) [Threshold: -2.7<x<-1.1]'>Trend Inconclusive → Decline</span>","Moderate","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
"154","Dark-necked Tailorbird","Orthotomus atrogularis","Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Moderate","Low",NA,NA,NA,NA,NA,NA,52120,52663,53206,"Insufficient Data","Insufficient Data","<span style='color:blue' title='(52,120, 52,663, 53,206) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"155","Rufous-fronted Prinia","Prinia buchanani","Rapid Decline","Trend Inconclusive","Large","Moderate","Stable","Stable","Large","Low",-45.9171734157997,-23.1404239625373,8.748860752469,-2.41011171341741,0.29476934974648,2.99965041291037,339900,340595,341290,"<span style='color:blue' title='(-45.9, -23.1, 8.7) [Threshold: None]'>Rapid Decline → Stable</span>","<span style='color:blue' title='(-2.4, 0.3, 3.0) [Threshold: None]'>Trend Inconclusive → Stable</span>","Large","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"156","Golden-headed Cisticola","Cisticola exilis","Insufficient Data","Trend Inconclusive","Restricted","Moderate","Insufficient Data","Trend Inconclusive","Moderate","Low",NA,NA,NA,-5.14786841944985,0.823773608229015,6.79541563590788,47405,47816,48227,"Insufficient Data","Trend Inconclusive","<span style='color:blue' title='(47,405, 47,816, 48,227) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,NA,"Moderate → Low","Moderate → Low"
"157","Thick-billed Warbler","Arundinax aedon","Decline","Trend Inconclusive","Moderate","Moderate","Trend Inconclusive","Trend Inconclusive","Large","Low",-56.2431535850254,-33.3433167922429,1.461797265112,0.345195852160264,4.79160309349052,9.23801033482077,251913,252530,253147,"<span style='color:black' title='(-56.2, -33.3, 1.5) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Trend Inconclusive","<span style='color:blue' title='(251,913, 252,530, 253,147) [Threshold: 250,000<x<1,000,000]'>Moderate → Large</span>","<span style='color:blue'>Moderate → Low</span>",NA,NA,"Moderate","Moderate → Low","Moderate → Low"
