EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
Buff-breasted Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39244,NA,2.86,2.86,8.58,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Chinese Rubythroat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55007,NA,3.08,3.08,9.24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-crowned Scimitar-Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21961,NA,3.48,3.48,10.44,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Collared Owlet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,3.28,9.84,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey Nightjar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117599,NA,3.6,3.6,10.8,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Large Hawk-Cuckoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59,5.59,16.77,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Long-tailed Broadbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,3.15,9.45,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Nepal House-Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158631,NA,3.08,3.08,9.24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Oriental Pied-Hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,7.62,22.86,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pale Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77054,NA,2.79,2.79,8.370000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42,3.42,10.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-necked Hornbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57368,NA,10.89,10.89,32.67,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-throated Partridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90648,NA,5.16,5.16,15.48,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-vented Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35514,NA,4.46,4.46,13.379999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Striated Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91683,NA,3.76,3.76,11.28,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Streak-throated Barwing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46054,NA,4.15,4.15,12.450000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-bellied Erpornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122636,NA,2.89,2.89,8.67,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-tailed Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150257,NA,3.18,3.18,9.540000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Peregrine Falcon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08,6.08,18.240000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-bellied Sea-Eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.41,12.41,37.230000000000004,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Western Reef-Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,4.78,14.34,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Harrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534297,NA,4.74,4.74,14.22,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Spot-bellied Eagle-Owl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710254,NA,9.03,9.03,27.089999999999996,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Triller,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,3.6,3.6,10.8,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Great Grey Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,3.65,10.95,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,NA,5.87,5.87,17.61,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Mrs. Hume's Pheasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,5.85,5.85,17.549999999999997,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rosy Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,3.47,10.41,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Painted Stork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71,9.71,29.130000000000003,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Spot-billed Pelican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.16,9.16,27.48,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Large Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9032,NA,2.72,2.72,8.16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Nicobar Sparrowhawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,15,5.86,5.86,17.580000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Baikal Teal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884,NA,5.08,5.08,15.24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-whiskered Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.3,15.899999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Sociable Lapwing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39765,NA,5.21,5.21,15.629999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Bay-backed Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,2.16,6.48,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Chestnut-bellied Nuthatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2.85,8.55,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Cinereous Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,3.56,10.68,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Citrine Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,2.66,7.98,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Chiffchaff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.72,8.16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Crested Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,2.74,8.22,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Western Yellow Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,2.39,7.17,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Eurasian Collared-Dove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey Treepie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36,4.36,13.080000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey-breasted Prinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,6.300000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey-headed Woodpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Laughing Dove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,2.99,8.97,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Scaly-breasted Munia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,2.33,6.99,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Oriental Turtle-Dove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,5.28,15.84,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-browed Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,9.3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,3.68,11.040000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-breasted Parakeet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,5.62,16.86,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Long-tailed Parakeet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5459,NA,4.94,4.94,14.82,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Demoiselle Crane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,8.87,26.61,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Slaty-headed Parakeet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,19.5,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Asian Barred Owlet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37,4.37,13.11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,4.55,13.649999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,2.41,7.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Egyptian Vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63,16.63,49.89,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Yellow-billed Blue-Magpie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.6,13.799999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Green-tailed Sunbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,7.5,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey Bushchat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47,2.47,7.41,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.25,6.75,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Lesser Whitethroat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,2.37,7.11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Small Niltava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,2.58,7.74,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Spotted Forktail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48,3.48,10.44,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-throated Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3.7,11.100000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Eastern Red-rumped Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,7.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Eastern Red-rumped Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,7.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Chinese Sparrowhawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,NA,4.47,4.47,13.41,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Nicobar Jungle Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,2.96,2.96,8.879999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Indian Courser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,4.04,12.120000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Yellow-throated Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76752,NA,3.88,3.88,11.64,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Hill Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22075,NA,2.56,2.56,7.68,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Buffy Fish-Owl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,1,9.79,9.79,29.369999999999997,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brahminy Kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,6.81,20.43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Alexandrine Parakeet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31,9.31,27.93,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Barn Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66,3.66,10.98,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-capped Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672826,NA,3.42,3.42,10.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blue-tailed Bee-eater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,2.73,8.19,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Sandpiper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,4.69,14.07,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Forest Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.72,8.16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Olive-backed Sunbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7490,NA,2.8,2.8,8.399999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pacific Reef-Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4728,NA,5.42,5.42,16.259999999999998,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Imperial-Pigeon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951,NA,7.61,7.61,22.830000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Ruddy Turnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673861,NA,7.91,7.91,23.73,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Edible-nest Swiftlet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419,NA,3.13,3.13,9.39,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Arctic Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1342,NA,2.63,2.63,7.89,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brown Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26165,NA,2.4,2.4,7.199999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Andaman Crake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2787,NA,4.21,4.21,12.629999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Andaman Teal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2787,NA,4.89,4.89,14.669999999999998,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Asian Brown Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,2.67,8.01,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Beach Thick-knee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,NA,9.51,9.51,28.53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Nicobar Pigeon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1875,NA,8.98,8.98,26.94,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Indian White-eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,2.56,7.68,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-throated Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629914,NA,2.39,2.39,7.17,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-breasted Waterhen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Falcated Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228060,NA,4.73,4.73,14.190000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black Eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,9.51,28.53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Puff-throated Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,3.31,9.93,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Indian Paradise-Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64,2.64,7.92,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brown-headed Barbet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,4.78,14.34,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Cuckoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,4.08,12.24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Coppersmith Barbet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3.8,11.399999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Large Grey Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,6.24,18.72,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Indian Cuckooshrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Oriental Magpie-Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,3.33,9.99,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Bushchat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,7.800000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-vented Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,3.82,11.459999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Tawny-bellied Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,2.69,8.07,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-bellied Drongo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3.55,10.649999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Pied Cuckoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,3.41,10.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Indian Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,8.100000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Long-tailed Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2.85,8.55,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Tawny Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,2.79,8.370000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Myna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,2.99,8.97,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Greenish Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,7.800000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Streak-throated Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,2.38,7.14,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brown Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,2.58,7.74,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Purple-rumped Sunbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,2.67,8.01,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Montagu's Harrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,5.71,17.13,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
