EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
White-naped Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289025,NA,2.64,2.64,7.92,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rusty-tailed Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.25,9.75,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brown-backed Needletail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,4.43,13.29,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Common Kestrel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03,6.03,18.09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Jungle Myna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07,3.07,9.209999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Asian Emerald Dove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,4.89,14.669999999999998,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Sind Woodpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,2,3.41,3.41,10.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Yellow-throated Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8098,NA,3.93,3.93,11.790000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Asian House-Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742108,NA,3.24,3.24,9.72,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blue-fronted Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,2.82,8.459999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
