EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Fulvous Whistling-Duck,Dendrocygna bicolor,Least Concern,Least Concern,To be done,Low,Insufficient Data,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.85,"-0.93% (1.69, -3.54) pa, ","10y, 2015-2025",Uncertain,NA,,500,Appendix II,NA,Schedule-I,No,"2,381,405",,NA,NA,,,NA,NA,NA,1,,,"820,000-980,000","148,000,000",,11%,Decreasing,Resident,https://www.iucnredlist.org/species/22679746/136882742
Lesser Whistling-Duck,Dendrocygna javanica,Least Concern,Least Concern,To be done,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,,Yes,NA,,"10,000",Appendix II,NA,Schedule-II,No,"6,356,862",,NA,NA,,,NA,NA,NA,1,,,"133,000-1,330,000","30,200,000",,37%,Decreasing,Resident,https://www.iucnredlist.org/species/22679758/265006900
Bar-headed Goose,Anser indicus,Least Concern,Least Concern,To be done,Moderate,Stable,Decline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.46,"-3.67% (-1.93, -5.41) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,NA,Schedule-II,No,"4,368,650",,NA,NA,,,NA,NA,NA,1,,,Unknown,"5,290,000",,33%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22679893/131908564
Greylag Goose,Anser anser,Least Concern,Least Concern,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.76,"1.05% (2.2, -0.11) pa, ","10y, 2015-2025",Uncertain,NA,,250,Appendix II,NA,Schedule-II,No,"4,313,266",,NA,NA,,,NA,NA,NA,1,,,"797,000-975,000,866,000","3,020,000",,8%,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22679889/166194209
Greater White-fronted Goose,Anser albifrons,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.71,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"1,403,937",,-46.6%,2009-2019 to 2020-2025,369,"(Max 367,691)",NA,NA,NA,1,,,"5,000,000-5,999,999","25,700,000",,2%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22679881/213839615
Lesser White-fronted Goose,Anser erythropus,Least Concern,Vulnerable,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D1,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.29,NA,,Unknown,NA,,,Appendix I,NA,Schedule-II,No,"6,853","(Max 39,181)",NA,NA,12,"(Max 1,456)",NA,NA,NA,1,,,"340-530,420","812,000",,NA,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22679886/166193479
Tundra Bean-Goose,Anser serrirostris,Least Concern,Not recognized,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.86,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,2,,,"468,000-647,000,534,000","1,570,000",,NA,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22679875/166192296
Knob-billed Duck,Sarkidiornis melanotos,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,7.38,"-1.57% (0.13, -3.27) pa, ","10y, 2015-2025",Uncertain,NA,,250,Appendix II,Appendix II,Schedule-II,No,"5,222,680",,NA,NA,,,NA,NA,NA,1,,,"60,000-227,000","53,300,000",,5%,Decreasing,Resident,https://www.iucnredlist.org/species/45953631/265011614
Ruddy Shelduck,Tadorna ferruginea,Vulnerable,Least Concern,To be done,Moderate,Trend Inconclusive,Decline,VU,NA,NA,NA,A4b,NA,NA,NA,NA,42,42,52,52,59,59,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.41,"-3.74% (-2.84, -4.63) pa, ","10y, 2015-2025",Yes,NA,,500,Appendix II,NA,Schedule-II,No,"4,306,168",,NA,NA,,,NA,NA,NA,1,,,"134,000-198,000","37,900,000",,11%,Increasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22680003/281866558
Common Shelduck,Tadorna tadorna,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.05,NA,,Unknown,NA,,"1,000",Appendix II,NA,Schedule-II,No,"3,051,022",,NA,NA,968,"(Max 707,807)",NA,NA,NA,1,,,"104,000-154,000,124,000","2,080,000",,< 1%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22680024/166197940
Cotton Pygmy-Goose,Nettapus coromandelianus,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.73,NA,,Yes,NA,,"1,000",Appendix II,NA,Schedule-I,No,"6,167,799",,NA,NA,,,NA,NA,NA,1,,,"83,300-741,000","29,900,000",,27%,Unknown,Resident,https://www.iucnredlist.org/species/22680090/264985851
Baikal Teal,Sibirionetta formosa,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.08,NA,,Unknown,NA,,,Appendix I,Appendix II,Schedule-II,No,"3,376","(Max 11,909)",-99.5%,2011-2019 to 2020-2025,38,"(Max 1,884)",NA,NA,NA,1,,,"333,000-467,000","4,940,000",,NA,Stable,Winter Migrant,https://www.iucnredlist.org/species/22680317/280907776
