EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Garganey,Spatula querquedula,Vulnerable,Least Concern,To be done,High,Decline,Rapid Decline,VU,NA,NA,NA,A4b,NA,NA,NA,NA,48,48,57,57,65,65,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.33,"-6.37% (-4.97, -7.76) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,NA,Schedule-II,No,"6,227,374",,NA,NA,,,NA,NA,NA,1,,,"1,030,000-1,700,000","32,500,000",,7%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680313/154807983
Northern Shoveler,Spatula clypeata,Vulnerable,Least Concern,To be done,Moderate,Decline,Decline,VU,NA,NA,NA,A4b,NA,NA,NA,NA,39,39,54,54,65,65,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.64,"-5.34% (-3.42, -7.26) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,NA,Schedule-II,No,"4,785,732",,NA,NA,,,NA,NA,NA,1,,,"295,000-391,000,339,000","5,780,000",,6%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680247/166200605
Gadwall,Mareca strepera,Least Concern,Least Concern,To be done,Moderate,Stable,Decline,NA,NA,NA,NA,A4b,NA,NA,NA,NA,17,17,29,29,40,40,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.41,"-2.62% (-1.4, -3.84) pa, ","10y, 2015-2025",Yes,NA,,"3,000",Appendix II,NA,Schedule-II,No,"4,515,791",,NA,NA,,,NA,NA,NA,1,,,"4,050,000-4,860,000","73,100,000",,6%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22680149/154562590
Falcated Duck,Mareca falcata,Near Threatened,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NT,NA,NA,NA,B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.73,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"1,031,730",,-53.3%,2011-2018 to 2019-2025,491,"(Max 228,060)",NA,NA,NA,1,,,"87,000-100,000","9,939,000",,4%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22680153/228594770
Eurasian Wigeon,Mareca penelope,Least Concern,Least Concern,To be done,Moderate,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.73,NA,,Yes,NA,,"2,500",Appendix II,NA,Schedule-II,No,"6,094,530",,NA,NA,,,NA,NA,NA,1,,,"1,770,000-2,390,000","34,900,000",,5%,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22680157/281853446
Indian Spot-billed Duck,Anas poecilorhyncha,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.38,"-0.65% (0.45, -1.75) pa, ","10y, 2015-2025",Uncertain,NA,,"1,000",Appendix II,NA,Schedule-II,No,"4,481,210",,NA,NA,,,NA,NA,NA,2,,,"73,300-133,000","9,980,000",,47%,Unknown,Resident,https://www.iucnredlist.org/species/22736541/280979361
Eastern Spot-billed Duck,Anas zonorhyncha,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.16,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"20,777","(Max 27,389)",-82.7%,2014-2021 to 2022-2025,173,"(Max 7,507)",NA,NA,NA,1,,,Unknown,"5,300,000",,NA,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22736042/132303839
Mallard,Anas platyrhynchos,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.31,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"3,295,253",,NA,NA,,,NA,NA,NA,1,,,"17,260,000-19,300,000","65,800,000",,4%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22680186/281835571
Northern Pintail,Anas acuta,Vulnerable,Least Concern,To be done,High,Rapid Decline,Decline,VU,NA,NA,NA,A4b,NA,NA,NA,A2bcde+3bcde+4bcde,31,31,44,44,54,54,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.69,"-3.35% (-2.2, -4.51) pa, ","10y, 2015-2025",Yes,NA,,"20,000",Appendix II,NA,Schedule-II,No,"4,775,726",,NA,NA,,,NA,NA,NA,1,,,"310,000-401,000,353,000","4,440,000",,5%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680301/166201297
Common Teal,Anas crecca,Vulnerable,Least Concern,To be done,Moderate,Decline,Decline,VU,NA,NA,NA,A4b,NA,NA,NA,NA,32,32,50,50,64,64,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.64,"-4.02% (-2.21, -5.83) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,NA,Schedule-II,No,"4,769,142",,NA,NA,,,NA,NA,NA,1,,,"1,040,000-1,640,000,1,240,000","60,200,000",,8%,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22680321/200197945
Andaman Teal,Anas albogularis,Least Concern,Vulnerable,To be done,High,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,D1,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA,,Uncertain,NA,,7,NA,NA,Schedule-I,No,"12,033","(Max 19,365)",NA,NA,"1,079","(Max 2,787)",NA,NA,NA,1,,,"1,000-2,500","16,400",,100%,Stable,Resident,https://www.iucnredlist.org/species/22727280/248173630
Marbled Duck,Marmaronetta angustirostris,Least Concern,Near Threatened,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.28,NA,,Unknown,NA,,50,Appendix I,NA,Schedule-I,No,"5,810","(Max 17,991)",NA,NA,10,"(Max 3,008)",NA,NA,NA,1,,,"10,000-42,000","13,500,000",,3%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680339/205917761
Pink-headed Duck,Rhodonessa caryophyllacea,Critically Endangered (PE),Critically Endangered,To be done,NA,NA,NA,NA,NA,NA,EX,NA,NA,NA,D,D,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.39,NA,NA,Unknown,NA,,1,NA,Appendix I,Schedule-I,No,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,0-49,"0-108,800",,67%,Unknown,Uncertain,https://www.iucnredlist.org/species/22680344/254934109
White-winged Wood-Duck,Asarcornis scutulata,Critically Endangered,Critically Endangered,To be done,High,Insufficient Data,Insufficient Data,VU,NA,CR,CR,A2acd,NA,C2a(i),D,A2bcde+3bcde+4bcde; C1+2a(i),45,45,52,52,62,62,Inferred,20,18,7,31,13,43,Projected,Projected,6.6,"-65% (-57 , -75)","28y, 1995-2023",Unknown,57%,"30y, 1995-2025",5,Appendix II,Appendix I,Schedule-I,No,"32,271",,NA,NA,246,"(Max 9,819)",NA,NA,NA,1,43,(25-75),150-450,"2,620,000",,8%,Decreasing,Resident,https://www.iucnredlist.org/species/22680064/244637841
Red-crested Pochard,Netta rufina,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.15,NA,,Yes,NA,,"1,000",Appendix II,NA,Schedule-II,No,"3,788,036",,NA,NA,,,NA,NA,NA,1,,,"300,000-440,000","19,600,000",,19%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22680348/280995672
Common Pochard,Aythya ferina,Least Concern,Vulnerable,To be done,High,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,A2abcd+3bcd+4abcd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,,Yes,NA,,,Appendix II,NA,Schedule-I,No,"4,605,698",,NA,NA,,,NA,NA,NA,1,,,"760,000-790,000","548,000",,9%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680358/205288455
Ferruginous Duck,Aythya nyroca,Least Concern,Near Threatened,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,,Yes,NA,,"1,000",Appendix I,NA,Schedule-II,No,"5,723,529",,NA,NA,,,NA,NA,NA,1,,,"18,000-47,000,28,600","3,170,000",,6%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22680373/166204665
Baer's Pochard,Aythya baeri,Near Threatened,Critically Endangered,To be done,High,Insufficient Data,Insufficient Data,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,A2cd+3cd+4cd; C2a(ii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,,Unknown,NA,,,Appendix I,NA,Schedule-I,No,"7,434","(Max 13,131)",-92.2%,2007-2021 to 2022-2025,34,"(Max 2,604)",NA,NA,NA,1,,,150-700,"2,270,000",,4%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680384/154436811
Tufted Duck,Aythya fuligula,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.01,NA,,Yes,NA,,"3,900",Appendix II,NA,Schedule-II,No,"4,327,263",,NA,NA,,,NA,NA,NA,1,,,"1,330,000-1,730,000","34,900,000",,9%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680391/154567456
Greater Scaup,Aythya marila,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.54,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"1,144,894",,NA,NA,66,"(Max 237,869)",NA,NA,NA,1,,,"96,400-170,000,128,000","227,000",,NA,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680398/166206177
Common Goldeneye,Bucephala clangula,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"235,432",,NA,NA,,,NA,NA,NA,1,,,"770,000-990,000,870,000","3,580,000",,NA,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22680455/166209537
Smew,Mergellus albellus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,40,(Max 975),NA,NA,40,(Max 40),NA,NA,NA,1,,,"58,700-144,000","17,500,000",,NA,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22680465/281854675
Common Merganser,Mergus merganser,Vulnerable,Least Concern,To be done,Moderate,Rapid Decline,Decline,VU,NT,NA,NA,A4b,B2b(v),NA,NA,NA,34,34,53,53,67,67,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.23,"-3.95% (-2.15, -5.74) pa, ","10y, 2015-2025",Yes,NA,,50,Appendix II,NA,Schedule-II,No,"1,555,767",,NA,NA,"1,433","(Max 259,421)",NA,NA,NA,2,,,"162,000-267,000,208,000","3,100,000",,1%,Increasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22680492/166211915
Nicobar Megapode,Megapodius nicobariensis,Least Concern,Vulnerable,Least Concern,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A1bc; D1,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.99,NA,,Unknown,NA,,,NA,NA,Schedule-I,Yes,"8,232","(Max 13,444)",NA,NA,110,(Max 911),NA,NA,NA,2,,,"750-1,500","8,700",,100%,Stable,Resident,https://www.iucnredlist.org/species/22678583/195335202
Hill Partridge,Arborophila torqueola,Least Concern,Least Concern,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.04,"1.36% (3.43, -0.71) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"1,150,756",,NA,NA,,,NA,NA,NA,4,,,Unknown,"1,860,000",,29%,Stable,Resident,https://www.iucnredlist.org/species/22679017/130023972
Chestnut-breasted Partridge,Arborophila mandellii,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.11,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"107,086",,NA,NA,268,"(Max 28,659)",NA,NA,NA,1,,,"80,000-140,000","227,000",,68%,Decreasing,Resident,https://www.iucnredlist.org/species/22679029/202510425
Rufous-throated Partridge,Arborophila rufogularis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"847,955",,NA,NA,"1,611","(Max 90,648)",NA,NA,NA,2,,,Unknown,"3,480,000",,19%,Decreasing,Resident,https://www.iucnredlist.org/species/22679020/264131456
White-cheeked Partridge,Arborophila atrogularis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.73,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"230,540",,NA,NA,938,"(Max 59,377)",NA,NA,NA,1,,,Unknown,"350,000",,48%,Decreasing,Resident,https://www.iucnredlist.org/species/22679023/218986253
Snow Partridge,Lerwa lerwa,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.36,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"232,465",,NA,NA,554,"(Max 17,181)",NA,NA,NA,1,,,Unknown,"2,530,000",,15%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22678649/263659149
Blood Pheasant,Ithaginis cruentus,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,,Unknown,NA,,,NA,Appendix II,Schedule-I,No,"48,327",,NA,NA,392,"(Max 9,408)",NA,NA,NA,4,,,Unknown,"2,070,000",,4%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679144/263730490
Western Tragopan,Tragopan melanocephalus,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C2a(ii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.69,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"15,489","(Max 27,093)",NA,NA,107,"(Max 7,705)",NA,NA,NA,1,,,"3,200-9,500","138,000",,75%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679147/177694929
Satyr Tragopan,Tragopan satyra,Least Concern,Least Concern,To be done,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.88,NA,,Uncertain,NA,,,NA,NA,Schedule-I,No,"132,222",,NA,NA,381,"(Max 5,582)",NA,NA,NA,1,,,Unknown,"230,000",,28%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679157/254103308
Blyth's Tragopan,Tragopan blythii,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.96,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"168,725",,NA,NA,426,"(Max 42,861)",NA,NA,NA,2,,,"2,500-9,999","355,000",,48%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679163/177682428
Temminck's Tragopan,Tragopan temminckii,Least Concern,Least Concern,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.38,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"28,946","(Max 36,144)",NA,NA,177,"(Max 5,487)",NA,NA,NA,1,,,"67,000-340,000","1,560,000",,2%,Decreasing,Resident,https://www.iucnredlist.org/species/22679169/264164899
Himalayan Monal,Lophophorus impejanus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.41,NA,,Uncertain,NA,,,NA,Appendix I,Schedule-I,No,"754,739",,NA,NA,"2,673","(Max 74,667)",NA,NA,NA,1,,,Unknown,"1,220,000",,27%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679182/264164432
Sclater's Monal,Lophophorus sclateri,Least Concern,Least Concern,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,7.59,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"25,916","(Max 33,364)",NA,NA,29,"(Max 8,931)",NA,NA,NA,2,,,Unknown,"170,000",,49%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22679185/218881319
