"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangemean","rangelci","rangerci"
"Indian Swiftlet","Aerodramus unicolor","indswi1","Apodiformes","Apodidae (Swifts)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Forest","Resident",NA,NA,NA,"Indian Swiftlet","Aerodramus unicolor","Indian Swiftlet","Aerodramus unicolor","Least Concern","Schedule-I","","",NA,"Indian Swiftlet","Aerodramus unicolor","avibase-F14B0031",1,3.1,1,0.73576333,176,"X","X","X",187,0.213903743315508,0.595588235294118,0.754010695187166,20.283422459893,0.792467402231113,84.7269922947435,108.310661512281,142.109513252456,-4.1836589065971,-1.10693455382454,1.96978979894801,62.2928857882336,75.3098239289461,91.2533798295476,60.2171475899754,74.6182912731829,92.6376863740073,58.1620246069527,73.9533451511969,94.14419430552,56.1183886998478,73.3113332466696,95.7722118618597,54.1098054651757,72.6699538639508,97.4236653240052,52.185275784081,71.9572800734024,99.1815125015477,50.3370773110546,71.2914208922448,101.003577130062,48.5408386406111,70.6315073412515,102.867416710363,NA,NA,NA,117999,117741,118257
"Himalayan Swiftlet","Aerodramus brevirostris","himswi2","Apodiformes","Apodidae (Swifts)","Moderate","Strong Decline","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Himalayan Swiftlet","Aerodramus brevirostris","Himalayan Swiftlet","Aerodramus brevirostris","Least Concern","Schedule-II","","",NA,"Himalayan Swiftlet","Aerodramus brevirostris","avibase-2F1D27B4",1,2.97,2,0.089680058,177,"X","X","X",242,0.165289256198347,0.300103305785124,0.495867768595041,11.0867768595041,0.751906637658696,14.7473146421513,17.0242221048061,20.0402573693628,-1.21838414346263,-0.716240343657735,-0.214096543852836,69.1055518180474,80.2122731057824,92.936947810476,65.5143214447904,77.6167155968197,91.6674527016706,62.1189254225511,75.0755723246761,90.4754170927962,58.8998546943329,72.5420912668906,89.3748307839208,55.8922961018444,70.2199351525372,88.3093472651659,52.9030108961739,67.9543493555997,87.2237332091545,50.1164076137611,65.7177570321796,86.1148187555455,47.5314445335514,63.6025348511866,85.1432178264066,NA,NA,NA,159793,159170,160416
"White-nest Swiftlet","Aerodramus fuciphagus","y00731","Apodiformes","Apodidae (Swifts)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Resident",NA,NA,1,"Edible-nest Swiftlet","Aerodramus fuciphagus","Edible-nest Swiftlet","Aerodramus fuciphagus","Least Concern","Not scheduled","","",NA,"Edible-nest Swiftlet","Aerodramus fuciphagus","avibase-FF38B8FB",1,3.13,1,0.003733974,178,"","","",32,0.125,0.390625,0.625,6.125,1.46406058177139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine Swift","Tachymarptis melba","alpswi1","Apodiformes","Apodidae (Swifts)","Low","Stable","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Alpine Swift","Tachymarptis melba","Alpine Swift","Tachymarptis melba","Least Concern","Schedule-II","","",NA,"Alpine Swift","Tachymarptis melba","avibase-FA1CAD29",1,7.99,4,0.042336633,179,"X","X","X",663,0.0950226244343891,0.313348416289593,0.429864253393665,15.8491704374057,0.494775444734949,39.6500196659551,44.7818329395658,51.234946073708,-1.51131529662293,-0.705269660175726,0.100775976271478,87.4107194022788,98.3908234968198,110.723639534914,84.7986189721091,96.9258581879798,110.834082918036,82.1684645537793,95.3971667056124,110.89154498675,79.5614996947062,93.979581878552,111.017436905473,77.0213158737479,92.5119349886807,111.155080984821,74.6047983809779,91.1233737431293,111.340525836801,72.2231247015843,89.7082352085443,111.563957864299,70.014131551217,88.3508054863872,111.739868639964,NA,NA,NA,316906,316906,316906
"Common Swift","Apus apus","comswi","Apodiformes","Apodidae (Swifts)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Common Swift","Apus apus","Common Swift","Apus apus","Least Concern","Schedule-II","","",NA,"Common Swift","Apus apus","avibase-4E6EF3F9",1,5.68,1,0.0024107,180,"","","",96,0.166666666666667,0.196614583333333,0.447916666666667,7.52083333333333,1.05652110002372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific Swift","Apus pacificus","fotswi","Apodiformes","Apodidae (Swifts)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Pacific Swift","Apus pacificus","Not at species rank","Apus pacificus pacificus","Least Concern","Schedule-II","","",NA,"Not at species rank","Apus pacificus pacificus","avibase-E23EBEFB",NA,5.27,1,NA,181,"","","",2,0.5,NA,NA,8.5,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blyth's Swift","Apus leuconyx","blyswi1","Apodiformes","Apodidae (Swifts)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Within-India Migrant",1,NA,NA,"Blyth's Swift","Apus leuconyx","Pacific Swift","Apus pacificus","Not recognized","Schedule-II","","",NA,"Not at species rank","Apus pacificus leuconyx","avibase-EB2DAF39",1,5.27,1,0.051835922,182,"","","X",99,0.101010101010101,0.189393939393939,0.353535353535354,18.020202020202,1.33928375310442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30417,30417,30417
"Dark-rumped Swift","Apus acuticauda","darswi1","Apodiformes","Apodidae (Swifts)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Dark-rumped Swift","Apus acuticauda","Dark-rumped Swift","Apus acuticauda","Near Threatened","Schedule-I","","",NA,"Dark-rumped Swift","Apus acuticauda","avibase-2FAB9911",1,4.73,1,0.334892661,183,"","X","X",20,0.1,0.25,0.4,10,2.13290017532343,NA,NA,NA,-9979373.78189299,-3.63513788549172,9979366.51161721,32.687104939782,63.2335758201843,121.569539814555,28.8930052452173,61.7309704670373,126.665831270684,25.5012743741273,59.3991596206492,134.106236175495,22.5947091276146,57.3978434845413,141.13024233338,19.7142295578632,55.087936393847,147.39759944959,17.1987264179458,52.7426584471407,156.863840261469,15.05809198679,50.4487386916222,166.146855404996,13.2346760596328,48.8276014498959,175.6204446075,NA,NA,NA,30639,30024,31254
"Little Swift","Apus affinis","litswi1","Apodiformes","Apodidae (Swifts)","Low","Moderate Decline","Strong Increase","Very Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Little Swift","Apus affinis","Little Swift","Apus affinis","Least Concern","Schedule-II","","",NA,"Little Swift","Apus affinis","avibase-D209A90C",1,4.84,2,0.101201796,184,"X","X","X",2557,0.0930778255768479,0.375977708251858,0.57411028549081,10.4923738756355,0.250786645502515,61.9924755672766,65.4413948981374,68.9982455722756,0.321425971843069,1.27261640324423,2.2238068346454,121.291231633243,134.916102610047,150.111867374896,122.268485688423,137.941967564557,155.687073371895,123.190642029547,141.035181809502,161.517395219389,124.093915598941,144.190401121888,167.588591133513,125.002589615225,147.429995609581,173.913338042032,125.878714460393,150.737323784239,180.466552879603,126.739844491005,154.126315198797,187.401271358242,127.626560169432,157.575179177608,194.51791015463,NA,NA,NA,2316825,2316335,2317315
"House Swift","Apus nipalensis","houswi1","Apodiformes","Apodidae (Swifts)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"House Swift","Apus nipalensis","House Swift","Apus nipalensis","Least Concern","Schedule-II","","",NA,"House Swift","Apus nipalensis","avibase-2A241F0C",1,4.98,2,0.047761244,185,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asian Palm Swift","Cypsiurus balasiensis","aspswi1","Apodiformes","Apodidae (Swifts)","Low","Stable","Uncertain","Very Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Asian Palm Swift","Cypsiurus balasiensis","Asian Palm Swift","Cypsiurus balasiensis","Least Concern","Schedule-II","","",NA,"Asian Palm Swift","Cypsiurus balasiensis","avibase-83C40F89",1,2.82,2,0.3670668,186,"","","X",1880,0.0808510638297872,0.447938829787234,0.628723404255319,11.031914893617,0.304795821363095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448457,1448115,1448799
"Crested Treeswift","Hemiprocne coronata","cretre1","Apodiformes","Hemiprocnidae (Treeswifts)","High","Strong Decline","Strong Decline","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Crested Treeswift","Hemiprocne coronata","Crested Treeswift","Hemiprocne coronata","Least Concern","Schedule-I","","",NA,"Crested Treeswift","Hemiprocne coronata","avibase-509C8FD4",1,4.08,1,0.473958332,187,"X","X","X",696,0.126436781609195,0.327406609195402,0.498563218390805,13.5991379310345,0.536547307366832,24.6437633973569,27.0995574010309,30.0204203014889,-1.33611629624711,-0.854297792125042,-0.372479288002971,63.4938973226674,70.0358757315366,77.3263645903194,61.0849345858212,68.2465065453877,76.3379723042808,58.7177692305851,66.5021304515955,75.3949767656708,56.4202699567401,64.7840310037851,74.4763612459906,54.1947788558969,63.1417471987513,73.5437332558984,52.0897335081681,61.5250580924277,72.6534221951773,50.0323996601405,59.9547739915483,71.8016128336975,48.0606476580294,58.4058960300854,70.9805712849489,NA,NA,NA,611208,610679,611737
"Water Rail","Rallus aquaticus","watrai1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident & Winter Migrant",NA,NA,NA,"Water Rail","Rallus aquaticus","Western Water Rail","Rallus aquaticus","Least Concern","Schedule-II","","",NA,"Water Rail","Rallus aquaticus","avibase-DE1D2DF4",1,2.39,1,0.040624306,188,"","","",33,0.0909090909090909,0.246212121212121,0.363636363636364,13.7878787878788,2.22880654257476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown-cheeked Rail","Rallus indicus","bncrai1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Brown-cheeked Rail","Rallus indicus","Eastern Water Rail","Rallus indicus","Least Concern","Schedule-II","","",NA,"Brown-cheeked Rail","Rallus indicus","avibase-ACD9E3E1",1,2.49,1,0.044397,189,"","","",4,NA,0.34375,0.5,15.75,5.84587318826994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corn Crake","Crex crex","corcra","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"24 hour","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Corn Crake","Crex crex","Corncrake","Crex crex","Least Concern","Schedule-II","","Appendix II",NA,"Corn Crake","Crex crex","avibase-7E257242",NA,3.43,1,NA,190,"","","",1,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slaty-breasted Rail","Lewinia striata","slbrai1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident & Local Migrant",NA,NA,NA,"Slaty-breasted Rail","Lewinia striata","Slaty-breasted Rail","Lewinia striata","Least Concern","Schedule-II","","",NA,"Slaty-breasted Rail","Lewinia striata","avibase-139D3221",1,3.71,2,0.08409462,191,"","X","X",199,0.0402010050251256,0.26821608040201,0.391959798994975,16.4221105527638,0.965165725737936,NA,NA,NA,-5.02145274422082,-2.27721693935148,0.46701886551785,64.5608005346311,78.8109091646796,96.4029411336978,61.1952431795778,76.8287597124364,96.415795525014,57.9901326522065,74.8313402040189,96.5335690274843,54.8834861928079,72.9425098911127,96.8138890032646,51.9635461897033,71.0517869282876,96.9432248630519,49.2130919407187,69.213560675735,97.2121833396342,46.5752670690243,67.4127982281237,97.5654306883056,44.0987304810062,65.7275919761059,97.8454407842375,NA,NA,NA,87912,87781,88043
"Spotted Crake","Porzana porzana","spocra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Spotted Crake","Porzana porzana","Spotted Crake","Porzana porzana","Least Concern","Schedule-II","","Appendix II",NA,"Spotted Crake","Porzana porzana","avibase-460708F9",1,3.13,1,0.036353224,192,"","","",24,0.166666666666667,0.1875,0.25,15.2916666666667,2.31333184542407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Moorhen","Gallinula chloropus","commoo3","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident & Local Migrant",NA,NA,NA,"Common Moorhen","Gallinula chloropus","Common Moorhen","Gallinula chloropus","Least Concern","Schedule-II","","",NA,"Common Moorhen","Gallinula chloropus","avibase-8F82FF8C",1,4.82,2,0.080993106,193,"X","X","X",2165,0.061431870669746,0.366281755196305,0.552886836027714,10.6226327944573,0.271624117414132,149.732555596361,161.277982632757,172.972028965969,1.66655246917505,3.03638948262723,4.40622649607942,118.749022310714,126.695197897629,135.111789630272,120.213521585241,129.367128815721,139.141352829294,121.668609105887,132.067365769218,143.332607553364,123.156697663004,134.868558155889,147.670312356992,124.612066919532,137.716039174177,152.127785912149,126.054356621371,140.613846436435,156.776620794892,127.501535783963,143.575873227575,161.602743662161,128.9374424224,146.600333816485,166.469736705101,NA,NA,NA,1751077,1750584,1751570
"Eurasian Coot","Fulica atra","eurcoo","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Stable","Strong Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident & Winter Migrant",NA,NA,NA,"Eurasian Coot","Fulica atra","Eurasian Coot","Fulica atra","Least Concern","Schedule-II","","Appendix II",15000,"Eurasian Coot","Fulica atra","avibase-B682B2A9",1,4.63,1,0.07867376,194,"X","X","X",2158,0.0741427247451344,0.379112604263207,0.518999073215941,10.4198331788693,0.271794185958939,76.7093200447118,81.3226532847952,86.782365891257,-4.08739519232082,-3.20499856796167,-2.32260194360253,64.768728877326,68.7478132914244,72.9927607870243,62.1170839570422,66.4514578456139,71.113304047594,59.5652195625385,64.2288562839719,69.3048846547704,57.1076073393345,62.088191847263,67.5564772521008,54.7410198596118,60.0162489171642,65.8383470537838,52.472904038926,58.0147483220249,64.1755820211385,50.303464896342,56.0832668759932,62.5570345508915,48.2059385497022,54.2108806998891,60.9906888316504,NA,NA,NA,1611393,1610941,1611845
"Gray-headed Swamphen","Porphyrio poliocephalus","purswa3","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Uncertain","Strong Decline","Very Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Grey-headed Swamphen","Porphyrio poliocephalus","Purple Swamphen","Porphyrio porphyrio","Not recognized","Schedule-II","","",20000,"Not at species rank","Porphyrio porphyrio poliocephalus","avibase-BFAE9B04",1,5.85,1,0.159951764,195,"X","X","X",1817,0.0605393505778756,0.385800770500826,0.57347275729224,11.1386901485966,0.302406522647086,121.564989391166,129.926779932398,139.923194051548,-0.949429808140552,0.372756509432342,1.69494282700524,88.8676132518638,95.2330761532754,102.027029666661,88.327211195386,95.536119863852,103.271337283777,87.7471280643314,95.7946791900858,104.556707429568,87.1483287082763,96.0769237881818,105.8939434396,86.5536818054643,96.3738546645349,107.254481719099,85.9613086837671,96.6597422965709,108.62172304844,85.3825672651754,96.9541226619475,110.012288211942,84.7913303358367,97.2357653908161,111.435387669746,NA,NA,NA,1555897,1555538,1556256
"White-browed Crake","Poliolimnas cinereus","whbcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"White-browed Crake","Poliolimnas cinereus","White-browed Crake","Amaurornis cinerea","Least Concern","Schedule-II","","",NA,"White-browed Crake","Poliolimnas cinereus","avibase-498A4369",NA,3.23,1,NA,196,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watercock","Gallicrex cinerea","waterc1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Data Deficient","Strong Decline","Moderate","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident & Within-India Migrant",NA,NA,NA,"Watercock","Gallicrex cinerea","Watercock","Gallicrex cinerea","Least Concern","Schedule-II","","",NA,"Watercock","Gallicrex cinerea","avibase-39B7A3C7",1,5.45,1,0.251117479,197,"X","X","X",318,0.050314465408805,0.339622641509434,0.471698113207547,16.0943396226415,0.734619488700564,95.9665390097469,115.343890450756,138.442583339632,-3.72852598069243,-0.84244426778781,2.04363744511681,79.8112362818877,93.7901668603463,110.202444114007,77.7299300968696,93.3134763686626,111.90651186341,75.6487808983925,92.8316415095046,113.872041347003,73.5915230841871,92.3117680493913,115.746360253987,71.5355341114413,91.8494908804944,117.791140917063,69.5092302063993,91.3202440022982,119.712837008616,67.5214905271883,90.7707101658516,121.827321427329,65.6004842605429,90.2798470638763,124.068690524574,NA,NA,NA,270440,269908,270972
"White-breasted Waterhen","Amaurornis phoenicurus","whbwat1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Low","Stable","Uncertain","Very Large","24 hour","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"White-breasted Waterhen","Amaurornis phoenicurus","White-breasted Waterhen","Amaurornis phoenicurus","Least Concern","Schedule-II","","",NA,"White-breasted Waterhen","Amaurornis phoenicurus","avibase-F53518E3",1,4,4,0.277344285,198,"X","X","X",2952,0.0694444444444444,0.420350609756098,0.620257452574526,9.73915989159892,0.23197518497548,171.649469660986,181.309710903457,191.932736720076,3.51570562840719,4.42855176779105,5.34139790717491,127.036219516973,132.039595580295,137.241395657403,129.89924009577,135.722476411619,141.772554039609,132.80003383868,139.49250714157,146.4725669102,135.754675701458,143.363059675928,151.340763882363,138.770190649572,147.338045966723,156.394097188875,141.848622961199,151.412659906383,161.604508316893,144.988947428265,155.610063176116,166.993109028908,148.177225897735,159.914139582207,172.575720335187,NA,NA,NA,2391035,2390578,2391492
"Andaman Crake","Rallina canningi","andcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","Yes","Yes","No","Andaman Islands","Forest","Resident",NA,NA,1,"Andaman Crake","Rallina canningi","Andaman Crake","Rallina canningi","Least Concern","Schedule-II","","",250,"Andaman Crake","Rallina canningi","avibase-83C41CA8",1,4.21,1,1,199,"","","X",20,0.05,0.3875,0.65,7,1.98052411989193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4547,4530,4564
"Red-legged Crake","Rallina fasciata","relcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Red-legged Crake","Rallina fasciata","Red-legged Crake","Rallina fasciata","Least Concern","Recent addition","","",NA,"Red-legged Crake","Rallina fasciata","avibase-1DFAA1B7",NA,3.83,1,0.000944,200,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slaty-legged Crake","Rallina eurizonoides","sllcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Data Deficient","Data Deficient","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Forest & Plantation","Resident & Within-India Migrant",NA,NA,NA,"Slaty-legged Crake","Rallina eurizonoides","Slaty-legged Crake","Rallina eurizonoides","Least Concern","Schedule-II","","",NA,"Slaty-legged Crake","Rallina eurizonoides","avibase-B056B57C",1,3.85,1,0.125437339,201,"","","",48,0.0625,0.205729166666667,0.333333333333333,19.4166666666667,1.82487844084944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruddy-breasted Crake","Zapornia fusca","rubcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Low","Data Deficient","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Ruddy-breasted Crake","Zapornia fusca","Ruddy-breasted Crake","Zapornia fusca","Least Concern","Schedule-II","","",NA,"Ruddy-breasted Crake","Zapornia fusca","avibase-14C2B730",1,3.49,2,0.077959075,202,"X","X","X",464,0.040948275862069,0.289331896551724,0.431034482758621,15.4698275862069,0.625469593657577,76.8511009481361,89.6305596655088,108.033218255268,-3.32863843350312,-1.47665994814674,0.375318537209641,68.8388171720216,77.2857086339974,87.0088992607573,66.8623962658054,76.198324495572,87.1168600643106,64.9041106218469,75.1167028601733,87.283530566044,62.9445670282508,74.072496331207,87.5008838097652,61.0537110111406,73.0260123575981,87.6448398157416,59.1883488968558,72.033648065142,87.8226721838098,57.3958211557038,71.0381698615274,88.0765711722198,55.6508720221157,70.0448398387423,88.3299398242992,NA,NA,NA,352470,352177,352763
"Band-bellied Crake","Zapornia paykullii","babcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Band-bellied Crake","Zapornia paykullii","Band-bellied Crake","Zapornia paykullii","Near Threatened","Recent addition","","",NA,"Band-bellied Crake","Zapornia paykullii","avibase-3FEE66C7",NA,3.75,1,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown Crake","Zapornia akool","brocra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Moderate","Moderate Decline","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Brown Crake","Zapornia akool","Brown Crake","Zapornia akool","Least Concern","Schedule-II","","",NA,"Brown Crake","Zapornia akool","avibase-457C01A2",1,4.09,1,0.593680324,204,"","","X",425,0.0470588235294118,0.237352941176471,0.411764705882353,12.8823529411765,0.596890161029437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614023,613222,614824
"Little Crake","Zapornia parva","litcra1","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Little Crake","Zapornia parva","Little Crake","Zapornia parva","Least Concern","Schedule-II","","Appendix II",NA,"Little Crake","Zapornia parva","avibase-9106EBE6",NA,3.01,1,0.003069985,205,"","","",1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
