eBird.English.Name.2022,longtermlci,longtermmean,longtermrci,currentslopelci,currentslopemean,currentsloperci,rangelci,rangemean,rangerci,SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIBv2.Range.Status,SOIBv2.Priority.Status
Blyth's Paradise-Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Paradise-Flycatcher,-31.40807844,-22.3116591,-11.51761956,-1.801987852,-0.490008711,0.82197043,72.513,72.56,72.607,Trend Inconclusive,Stable,Large,Low
Red-backed Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red-tailed Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isabelline Shrike,-60.40833338,-50.3741164,-38.76953107,-7.808984677,-6.469092374,-5.12920007,39.7,39.769,39.838,Decline,Rapid Decline,Large,High
Brown Shrike,-34.5780393,-24.02481651,-12.14744688,-1.541684014,0.02294905,1.587582114,119.209,119.261,119.313,Trend Inconclusive,Stable,Very Large,Low
Burmese Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bay-backed Shrike,-59.17471579,-53.81994435,-47.34234562,-2.506158738,-1.111636805,0.282885128,114.807,114.863,114.919,Decline,Stable,Very Large,Low
Long-tailed Shrike,-37.07901134,-29.34411569,-20.85785787,-2.222313742,-1.059800084,0.102713573,172.411,172.457,172.503,Trend Inconclusive,Stable,Very Large,Low
Gray-backed Shrike,-46.90933476,-32.65334502,-16.14291413,-2.121915118,0.440475074,3.002865265,13.365,13.365,13.365,Trend Inconclusive,Stable,Moderate,Low
Great Gray Shrike,-87.8116425,-85.71810469,-83.31973738,-7.333194914,-5.937798144,-4.542401373,33.813,33.868,33.923,Rapid Decline,Decline,Large,High
Lesser Gray Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masked Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodchat Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurasian Jay,NA,NA,NA,-3.894477379,-1.940871983,0.012733413,7.515,7.545,7.575,Insufficient Data,Trend Inconclusive,Moderate,Low
Black-headed Jay,-52.12581409,-41.34255092,-27.81430956,-0.76467109,1.594193825,3.953058741,7.933,7.957,7.981,Decline,Stable,Moderate,Moderate
Yellow-billed Blue-Magpie,48.80163716,87.81253461,134.9021179,-0.164279659,2.681933897,5.528147452,11.24,11.263,11.286,Increase,Trend Inconclusive,Moderate,Low
Red-billed Blue-Magpie,-27.81737104,-12.42508866,4.70296982,-3.25969904,-1.481243016,0.297213009,8.95,8.979,9.008,Stable,Stable,Moderate,Low
Common Green-Magpie,8.307520994,38.88011364,77.78645938,-1.966480976,0.31117412,2.588829216,9.771,9.82,9.869,Trend Inconclusive,Stable,Moderate,Low
Rufous Treepie,15.85885581,28.19078006,44.49838757,-1.325158629,-0.136370674,1.052417281,186.321,186.361,186.401,Trend Inconclusive,Stable,Very Large,Low
Gray Treepie,50.46026911,77.17656794,109.8250638,1.445766534,3.356974212,5.26818189,20.881,20.918,20.955,Increase,Increase,Moderate,Low
White-bellied Treepie,-62.34698338,-53.36546057,-42.49851184,-4.221411199,-2.342574473,-0.463737746,5.97,5.988,6.006,Decline,Trend Inconclusive,Moderate,Moderate
Collared Treepie,NA,NA,NA,NA,NA,NA,1.938,1.99,2.042,Insufficient Data,Insufficient Data,Restricted,Moderate
Andaman Treepie,NA,NA,NA,-9.197279058,-5.431724296,-1.666169533,0.454,0.471,0.488,Insufficient Data,Trend Inconclusive,Restricted,High
Eurasian Magpie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurasian Nutcracker,NA,NA,NA,-1.770384248,1.298827932,4.368040113,5.208,5.234,5.26,Insufficient Data,Trend Inconclusive,Moderate,Low
Kashmir Nutcracker,NA,NA,NA,NA,NA,NA,1.973,2.026,2.079,Insufficient Data,Insufficient Data,Restricted,Moderate
Red-billed Chough,NA,NA,NA,NA,NA,NA,12.456,12.483,12.51,Insufficient Data,Insufficient Data,Moderate,Low
Yellow-billed Chough,NA,NA,NA,NA,NA,NA,10.846,10.875,10.904,Insufficient Data,Insufficient Data,Moderate,Low
Eurasian Jackdaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
House Crow,9.99828469,23.63223996,39.11816682,-3.248370501,-2.147764121,-1.047157742,237.83,237.857,237.884,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Rook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrion Crow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hooded Crow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large-billed Crow,-20.73398523,-12.1739109,-1.573657352,-1.875956585,-0.762320462,0.351315662,208.921,208.955,208.989,Trend Inconclusive,Stable,Very Large,Low
Pied Crow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Raven,NA,NA,NA,NA,NA,NA,12.189,12.239,12.289,Insufficient Data,Insufficient Data,Moderate,Low
Yellow-bellied Fairy-Fantail,-61.85606489,-53.37567808,-43.02298798,-4.503139208,-2.81606941,-1.128999613,15.424,15.464,15.504,Decline,Trend Inconclusive,Moderate,Moderate
Gray-headed Canary-Flycatcher,-62.12115667,-55.72192579,-48.52035636,-3.374567795,-1.85497295,-0.335378106,43.412,43.412,43.412,Decline,Trend Inconclusive,Large,Moderate
Fire-capped Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-browed Tit,-72.38196086,-62.818246,-48.00868187,-3.225298885,0.531435928,4.288170741,5.61,5.65,5.69,Decline,Trend Inconclusive,Moderate,Moderate
Sultan Tit,NA,NA,NA,-4.216816139,-1.572296112,1.072223916,4.424,4.424,4.424,Insufficient Data,Stable,Moderate,Low
Coal Tit,-48.53569524,-35.75136715,-19.96149257,-5.209418864,-3.232005091,-1.254591319,11.955,11.984,12.013,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Rufous-naped Tit,NA,NA,NA,NA,NA,NA,7.633,7.688,7.743,Insufficient Data,Insufficient Data,Moderate,Low
Rufous-vented Tit,NA,NA,NA,-9.231120708,-6.773815524,-4.31651034,3.49,3.536,3.582,Insufficient Data,Rapid Decline,Restricted,High
Gray-crested Tit,NA,NA,NA,-8.526022486,-5.95592484,-3.385827193,3.72,3.759,3.798,Insufficient Data,Decline,Restricted,High
Azure Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ground Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green-backed Tit,-21.55051786,-5.551729433,14.3303784,-0.54908488,1.883129622,4.315344125,15.998,16.025,16.052,Stable,Stable,Moderate,Low
Cinereous Tit,-10.13714014,0.444051357,14.47285808,-0.133133487,1.403006904,2.939147295,116.939,116.983,117.027,Stable,Stable,Very Large,Low
White-naped Tit,NA,NA,NA,NA,NA,NA,5.78,5.841,5.902,Insufficient Data,Insufficient Data,Moderate,Moderate
Himalayan Black-lored Tit,-32.56260134,-17.95746766,3.528821258,-2.611069253,-0.141904773,2.327259707,7.934,7.966,7.998,Trend Inconclusive,Stable,Moderate,Low
Indian Yellow Tit,-59.9066302,-51.98157017,-43.04598938,-2.336483993,-0.657376491,1.021731011,30.585,30.636,30.687,Decline,Stable,Large,Low
Yellow-cheeked Tit,NA,NA,NA,-4.225603584,-0.218281901,3.789039783,5.381,5.434,5.487,Insufficient Data,Trend Inconclusive,Moderate,Low
White-crowned Penduline-Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greater Hoopoe-Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rufous-tailed Lark,-70.57811961,-66.70194061,-61.71913341,-5.504570282,-4.469426731,-3.434283179,104.671,104.729,104.787,Rapid Decline,Rapid Decline,Very Large,High
Desert Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-crowned Sparrow-Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashy-crowned Sparrow-Lark,-60.15005686,-53.27512514,-44.94759141,-4.478295352,-2.869706541,-1.261117731,150.525,150.576,150.627,Decline,Trend Inconclusive,Very Large,Moderate
Horsfield's Bushlark,NA,NA,NA,NA,NA,NA,2.879,2.951,3.023,Insufficient Data,Insufficient Data,Restricted,Moderate
Bengal Bushlark,-6.236980857,23.02038243,60.66267483,-4.968674145,-3.06635364,-1.164033135,27.702,27.762,27.822,Trend Inconclusive,Trend Inconclusive,Large,Low
Jerdon's Bushlark,-16.84288507,-2.220687138,15.37797644,-0.039982172,2.05031185,4.140605871,41.791,41.844,41.897,Stable,Stable,Large,Low
Indian Bushlark,-59.47532897,-50.73905803,-40.29960016,-5.782757117,-4.243715014,-2.704672911,86.596,86.666,86.736,Decline,Decline,Large,Moderate
Horned Lark,NA,NA,NA,NA,NA,NA,6.136,6.161,6.186,Insufficient Data,Insufficient Data,Moderate,Low
Greater Short-toed Lark,-63.73377012,-54.47802485,-42.71019123,-5.312243647,-3.368116221,-1.423988795,27.783,27.783,27.783,Decline,Trend Inconclusive,Large,Moderate
Mongolian Short-toed Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hume's Lark,NA,NA,NA,NA,NA,NA,2.32,2.37,2.42,Insufficient Data,Insufficient Data,Restricted,Moderate
Bimaculated Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tibetan Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkestan Short-toed Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand Lark,-58.70579898,-49.46696691,-37.79219139,-2.193843188,-0.154128581,1.885586027,20.324,20.38,20.436,Decline,Stable,Moderate,Moderate
Eurasian Skylark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriental Skylark,-72.79997226,-68.53054999,-63.45986169,-5.891680623,-4.82047869,-3.749276757,65.011,65.085,65.159,Rapid Decline,Rapid Decline,Large,High
Crested Lark,-62.35037172,-54.89003365,-46.54038946,-4.254965158,-2.849814187,-1.444663216,39.932,39.998,40.064,Decline,Trend Inconclusive,Large,Moderate
Malabar Lark,-68.95238179,-61.78873004,-53.38522153,-4.496612475,-2.907409903,-1.318207331,15.672,15.716,15.76,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Tawny Lark,-49.38698329,-36.90044387,-22.35405278,-3.769600067,-1.810044725,0.149510617,30.004,30.072,30.14,Trend Inconclusive,Stable,Large,Low
Common Tailorbird,35.41897892,51.6425284,68.58935254,3.489195309,5.12255637,6.755917431,211.933,211.967,212.001,Increase,Rapid Increase,Very Large,Low
Dark-necked Tailorbird,NA,NA,NA,NA,NA,NA,3.387,3.437,3.487,Insufficient Data,Insufficient Data,Restricted,Moderate
Himalayan Prinia,-27.20268605,-6.276201086,22.05635457,1.899824878,5.694700672,9.489576465,10.821,10.859,10.897,Stable,Trend Inconclusive,Moderate,Low
Black-throated Prinia,NA,NA,NA,NA,NA,NA,2.296,2.336,2.376,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-crowned Prinia,NA,NA,NA,NA,NA,NA,2.181,2.231,2.281,Insufficient Data,Insufficient Data,Restricted,Moderate
Hill Prinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-crowned Prinia,NA,NA,NA,-8.935639498,60.20415006,129.3439396,0.459,0.492,0.525,Insufficient Data,Trend Inconclusive,Very Restricted,High
Rufous-fronted Prinia,-75.05362905,-69.34945164,-61.80837781,-5.986918283,-3.992392863,-1.997867443,31.512,31.59,31.668,Rapid Decline,Trend Inconclusive,Large,Moderate
Rufescent Prinia,NA,NA,NA,NA,NA,NA,6.572,6.63,6.688,Insufficient Data,Insufficient Data,Moderate,Low
Gray-breasted Prinia,-31.84068251,-18.9165285,-3.346120838,0.405012946,2.721294224,5.037575503,130.125,130.186,130.247,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Delicate Prinia,-36.22576742,-19.49813656,3.716433565,-2.592307118,0.189987626,2.972282369,22.257,22.329,22.401,Trend Inconclusive,Stable,Moderate,Low
Jungle Prinia,-18.61297259,-3.349606304,16.13345018,4.387432226,7.448366535,10.50930084,96.312,96.38,96.448,Stable,Trend Inconclusive,Large,Low
Yellow-bellied Prinia,82.10403854,145.0126754,228.141052,-1.298840438,2.326265711,5.951371859,12.984,13.04,13.096,Rapid Increase,Trend Inconclusive,Moderate,Low
Ashy Prinia,113.3223522,137.5071846,163.3267016,1.625644276,3.18463181,4.743619344,185.514,185.55,185.586,Rapid Increase,Increase,Very Large,Low
Plain Prinia,81.83378164,105.8775831,131.3521615,-0.243749369,1.165347772,2.574444912,200.006,200.05,200.094,Rapid Increase,Stable,Very Large,Low
Zitting Cisticola,-18.24754636,-4.276220868,11.26874757,-0.148596563,1.62965399,3.407904543,147.101,147.171,147.241,Stable,Stable,Very Large,Low
Golden-headed Cisticola,NA,NA,NA,-7.486908824,-2.559262953,2.368382918,3.744,3.786,3.828,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Thick-billed Warbler,-59.00407778,-45.85941477,-29.20630656,0.171014882,4.814653527,9.458292171,11.949,11.949,11.949,Decline,Trend Inconclusive,Moderate,Moderate
Booted Warbler,-8.356821329,7.935407525,27.80093896,-0.580911509,1.272371071,3.125653652,73.607,73.607,73.607,Stable,Stable,Large,Low
Sykes's Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-browed Reed Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moustached Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedge Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paddyfield Warbler,-58.75349855,-32.67019335,15.09373268,-7.074638109,-2.168003108,2.738631892,30.346,30.346,30.346,Trend Inconclusive,Trend Inconclusive,Large,Low
Blunt-winged Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blyth's Reed Warbler,-16.97161236,-3.519209944,12.6881098,-2.814129549,-1.133844709,0.546440131,129.514,129.562,129.61,Stable,Stable,Very Large,Low
Large-billed Reed Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Reed Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriental Reed Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clamorous Reed Warbler,-27.40169537,-14.90888651,-0.076627097,-3.194898264,-1.70156629,-0.208234316,92.048,92.113,92.178,Trend Inconclusive,Trend Inconclusive,Large,Low
Pallas's Grasshopper Warbler,NA,NA,NA,NA,NA,NA,1.911,1.944,1.977,Insufficient Data,Insufficient Data,Restricted,Moderate
Lanceolated Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Grasshopper Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long-billed Bush Warbler,NA,NA,NA,NA,NA,NA,0,0,0,Insufficient Data,Insufficient Data,Very Restricted,High
Chinese Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baikal Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Himalayan Bush Warbler,NA,NA,NA,NA,NA,NA,0.855,0.898,0.941,Insufficient Data,Insufficient Data,Restricted,Moderate
Spotted Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russet Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broad-tailed Grassbird,NA,NA,NA,NA,NA,NA,1.119,1.119,1.119,Insufficient Data,Insufficient Data,Restricted,High
Bristled Grassbird,NA,NA,NA,NA,NA,NA,1.828,1.914,2,Insufficient Data,Insufficient Data,Restricted,High
Striated Grassbird,-26.85786812,-9.733516685,11.7614584,0.923377265,4.386688348,7.849999431,14.873,14.919,14.965,Stable,Trend Inconclusive,Moderate,Low
Scaly-breasted Cupwing,NA,NA,NA,2.373041392,7.869836546,13.3666317,8.047,8.089,8.131,Insufficient Data,Trend Inconclusive,Moderate,Low
Immaculate Cupwing,NA,NA,NA,NA,NA,NA,2.915,3.001,3.087,Insufficient Data,Insufficient Data,Restricted,Moderate
Pygmy Cupwing,NA,NA,NA,4.237241606,10.41420761,16.59117361,7.39,7.444,7.498,Insufficient Data,Trend Inconclusive,Moderate,Low
Gray-throated Martin,-58.10974252,-48.36674716,-37.33486219,-4.401586986,-2.358447528,-0.315308071,65.384,65.452,65.52,Decline,Trend Inconclusive,Large,Moderate
Bank Swallow,NA,NA,NA,NA,NA,NA,10.206,10.285,10.364,Insufficient Data,Insufficient Data,Moderate,Low
Pale Sand Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurasian Crag-Martin,-83.81253078,-79.44345266,-73.36447132,-7.710399041,-5.511498674,-3.312598308,6.739,6.795,6.851,Rapid Decline,Decline,Moderate,High
Dusky Crag-Martin,-45.84386555,-37.95085727,-28.83248412,1.023584435,2.737205949,4.450827464,110.459,110.515,110.571,Decline,Trend Inconclusive,Very Large,Moderate
Barn Swallow,-34.09936899,-25.69694226,-17.01295698,-4.678567489,-3.616087892,-2.553608294,174.81,174.855,174.9,Trend Inconclusive,Decline,Very Large,Moderate
Wire-tailed Swallow,-3.694850289,10.05964266,25.19243376,-0.426917777,1.074096447,2.57511067,156.107,156.157,156.207,Stable,Stable,Very Large,Low
Hill Swallow,NA,NA,NA,NA,NA,NA,3.243,3.263,3.283,Insufficient Data,Insufficient Data,Restricted,Moderate
Pacific Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red-rumped Swallow,-46.44071818,-39.37020842,-31.46644832,-1.354605749,0.083430282,1.521466313,101.606,101.606,101.606,Decline,Stable,Very Large,Low
Striated Swallow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streak-throated Swallow,-31.28367789,-17.63359527,-2.752113239,-3.183137455,-1.636845408,-0.090553362,83.389,83.464,83.539,Trend Inconclusive,Trend Inconclusive,Large,Low
Common House-Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asian House-Martin,NA,NA,NA,NA,NA,NA,2.189,2.249,2.309,Insufficient Data,Insufficient Data,Restricted,Moderate
Nepal House-Martin,NA,NA,NA,-3.912301059,-1.033862804,1.844575452,9.125,9.192,9.259,Insufficient Data,Trend Inconclusive,Moderate,Low
Gray-headed Bulbul,-4.165761908,31.16368992,79.15679526,-2.76018827,-0.067546895,2.625094481,8.81,8.832,8.854,Trend Inconclusive,Stable,Moderate,Low
Black-headed Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andaman Bulbul,NA,NA,NA,-5.107788271,-2.727232031,-0.346675791,0.526,0.526,0.526,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Black-crested Bulbul,-26.91475814,-12.66009868,5.195353421,-2.603759247,-0.692534737,1.218689773,20.024,20.068,20.112,Stable,Stable,Moderate,Low
Flame-throated Bulbul,-62.99814403,-53.98588108,-43.47151847,-2.183468004,0.030459077,2.244386157,8.723,8.734,8.745,Decline,Stable,Moderate,Moderate
Crested Finchbill,NA,NA,NA,NA,NA,NA,2.367,2.406,2.445,Insufficient Data,Insufficient Data,Restricted,Moderate
Striated Bulbul,NA,NA,NA,-7.551151765,-5.200009312,-2.848866858,5.004,5.049,5.094,Insufficient Data,Decline,Moderate,Moderate
Red-vented Bulbul,17.97814219,29.75816418,41.64078452,0.897678131,2.110455206,3.323232281,242.582,242.605,242.628,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Red-whiskered Bulbul,11.53930631,27.16243793,43.9503271,0.563620661,2.087342522,3.611064382,101.768,101.801,101.834,Trend Inconclusive,Trend Inconclusive,Very Large,Low
