eBird.English.Name.2022,longtermlci,longtermmean,longtermrci,currentslopelci,currentslopemean,currentsloperci,rangelci,rangemean,rangerci,SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIBv2.Range.Status,SOIBv2.Priority.Status
White-eared Bulbul,-13.52257851,2.32926584,21.21347053,-2.266306282,-0.764072146,0.73816199,35.851,35.893,35.935,Stable,Stable,Large,Low
Himalayan Bulbul,29.61982212,61.10286887,102.6854113,-2.482412095,-0.22368777,2.035036554,13.015,13.03,13.045,Increase,Stable,Moderate,Low
Yellow-throated Bulbul,NA,NA,NA,-5.914267633,-3.559633539,-1.204999446,7.968,8.015,8.062,Insufficient Data,Trend Inconclusive,Moderate,Moderate
Flavescent Bulbul,NA,NA,NA,NA,NA,NA,4.256,4.303,4.35,Insufficient Data,Insufficient Data,Moderate,Low
White-browed Bulbul,1.980579394,16.31959931,32.8118672,2.338341788,4.13418865,5.930035513,79.347,79.393,79.439,Trend Inconclusive,Rapid Increase,Large,Low
White-throated Bulbul,NA,NA,NA,NA,NA,NA,11.68,11.734,11.788,Insufficient Data,Insufficient Data,Moderate,Low
Gray-eyed Bulbul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cachar Bulbul,NA,NA,NA,NA,NA,NA,0.744,0.776,0.808,Insufficient Data,Insufficient Data,Restricted,Moderate
Yellow-browed Bulbul,-69.14059155,-63.93444778,-57.8072478,-1.221793173,0.43077639,2.083345953,13.738,13.754,13.77,Rapid Decline,Stable,Moderate,Moderate
Black Bulbul,31.95217069,52.42758531,77.00341054,-1.972293511,-0.552315667,0.867662176,25.003,25.037,25.071,Increase,Stable,Large,Low
Square-tailed Bulbul,-74.0601787,-68.52887757,-61.93043969,0.955190337,3.583672662,6.212154987,8.314,8.337,8.36,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Nicobar Bulbul,NA,NA,NA,NA,NA,NA,0.046,0.046,0.046,Insufficient Data,Insufficient Data,Very Restricted,High
Ashy Bulbul,-2.685436012,19.01595216,51.06199119,-3.664810321,-1.61071766,0.443375001,13.167,13.214,13.261,Trend Inconclusive,Stable,Moderate,Low
Mountain Bulbul,-44.79165211,-21.78456636,11.15345768,-6.935529621,-4.160260562,-1.384991503,9.418,9.471,9.524,Stable,Decline,Moderate,Moderate
Wood Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashy-throated Warbler,-61.00287712,-52.87341064,-42.65556409,2.637752184,5.978004153,9.318256122,8.782,8.817,8.852,Decline,Trend Inconclusive,Moderate,Moderate
Buff-barred Warbler,-40.49332216,-25.42616103,-5.819252104,3.718404908,7.802881053,11.8873572,11.593,11.636,11.679,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Yellow-browed Warbler,NA,NA,NA,NA,NA,NA,19.25,19.301,19.352,Insufficient Data,Insufficient Data,Moderate,Low
Hume's Warbler,-13.06055421,2.539941601,21.7255974,-2.543792204,-0.697855533,1.148081138,58.255,58.309,58.363,Stable,Stable,Large,Low
Brooks's Leaf Warbler,NA,NA,NA,NA,NA,NA,2.986,3.004,3.022,Insufficient Data,Insufficient Data,Restricted,Moderate
Chinese Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon-rumped Warbler,-53.76747815,-42.2345571,-26.59124318,1.380989182,4.787588275,8.194187368,19.018,19.062,19.106,Decline,Trend Inconclusive,Moderate,Moderate
Sichuan Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tytler's Leaf Warbler,NA,NA,NA,-9.977487298,-6.89740796,-3.817328621,2.345,2.345,2.345,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Sulphur-bellied Warbler,-62.21486755,-54.72035151,-45.78650083,-6.692998752,-5.372669382,-4.052340011,46.885,46.963,47.041,Decline,Rapid Decline,Large,High
Tickell's Leaf Warbler,-63.32304338,-55.15394459,-46.30423621,-3.224805583,-1.387547146,0.449711292,28.398,28.461,28.524,Decline,Stable,Large,Low
Dusky Warbler,NA,NA,NA,NA,NA,NA,20.423,20.468,20.513,Insufficient Data,Insufficient Data,Moderate,Low
Smoky Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plain Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buff-throated Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Chiffchaff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Chiffchaff,-60.14971939,-36.62049249,-3.885748966,-6.60532335,-2.471117684,1.663087981,93.504,93.569,93.634,Trend Inconclusive,Trend Inconclusive,Large,Low
White-spectacled Warbler,NA,NA,NA,NA,NA,NA,4.732,4.801,4.87,Insufficient Data,Insufficient Data,Moderate,Low
Gray-cheeked Warbler,NA,NA,NA,-4.671668365,-0.219530934,4.232606497,5.748,5.8,5.852,Insufficient Data,Trend Inconclusive,Moderate,Low
Green-crowned Warbler,NA,NA,NA,NA,NA,NA,1.889,1.972,2.055,Insufficient Data,Insufficient Data,Restricted,Moderate
Gray-crowned Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whistler's Warbler,0.681580263,32.38477815,74.13777478,-2.909814433,0.155276294,3.22036702,14.546,14.605,14.664,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Green Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenish Warbler,-37.51801383,-29.18736184,-20.22697021,-1.625818601,-0.227254949,1.171308703,123.14,123.19,123.24,Trend Inconclusive,Stable,Very Large,Low
Two-barred Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large-billed Leaf Warbler,-77.60381602,-70.34206918,-61.63631974,7.287257091,13.85032164,20.4133862,11.004,11.037,11.07,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Pale-legged Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sakhalin Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctic Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chestnut-crowned Warbler,NA,NA,NA,-3.259615234,0.41540661,4.090428453,6.257,6.305,6.353,Insufficient Data,Trend Inconclusive,Moderate,Low
Yellow-vented Warbler,NA,NA,NA,-6.382993857,-2.595726659,1.191540539,5.194,5.26,5.326,Insufficient Data,Trend Inconclusive,Moderate,Low
Western Crowned Warbler,-72.93762819,-66.56578516,-57.85053017,-1.095362914,1.634507476,4.364377866,16.113,16.174,16.235,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Blyth's Leaf Warbler,-48.26172154,-34.44630049,-16.01595858,-2.099572995,0.95587348,4.011319956,8.749,8.749,8.749,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Claudia's Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-hooded Warbler,18.55134424,46.92112727,80.89850612,-1.948776001,0.547548962,3.043873926,19.293,19.321,19.349,Trend Inconclusive,Stable,Moderate,Low
Pale-footed Bush Warbler,NA,NA,NA,NA,NA,NA,0.214,0.214,0.214,Insufficient Data,Insufficient Data,Very Restricted,High
Asian Stubtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-bellied Tesia,-54.69806435,-36.6676254,-12.67182292,0.524106726,5.395791739,10.26747675,8.762,8.822,8.882,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Slaty-bellied Tesia,NA,NA,NA,NA,NA,NA,4.158,4.207,4.256,Insufficient Data,Insufficient Data,Moderate,Low
Chestnut-crowned Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-sided Bush Warbler,NA,NA,NA,NA,NA,NA,8.376,8.438,8.5,Insufficient Data,Insufficient Data,Moderate,Low
Chestnut-headed Tesia,-32.98776127,-5.984503856,32.23832756,-4.469587104,-0.268613541,3.932360022,9.101,9.144,9.187,Stable,Trend Inconclusive,Moderate,Low
Cetti's Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-bellied Warbler,NA,NA,NA,-3.878862926,0.031090325,3.941043576,5.216,5.264,5.312,Insufficient Data,Trend Inconclusive,Moderate,Low
Rufous-faced Warbler,NA,NA,NA,NA,NA,NA,1.816,1.871,1.926,Insufficient Data,Insufficient Data,Restricted,Moderate
Black-faced Warbler,NA,NA,NA,0.944458679,5.812629613,10.68080055,5.377,5.419,5.461,Insufficient Data,Trend Inconclusive,Moderate,Low
Mountain Tailorbird,NA,NA,NA,-7.132312122,-3.50974059,0.112830941,7.604,7.674,7.744,Insufficient Data,Trend Inconclusive,Moderate,Low
Broad-billed Warbler,-78.61765302,-66.37802672,-46.2537398,-9.878614033,-5.320108036,-0.761602038,1.439,1.476,1.513,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Manchurian Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownish-flanked Bush Warbler,20.25200572,53.19797669,97.39024098,0.861571566,3.805133089,6.748694613,14.514,14.559,14.604,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Hume's Bush Warbler,NA,NA,NA,NA,NA,NA,2.92,2.978,3.036,Insufficient Data,Insufficient Data,Restricted,Moderate
Aberrant Bush Warbler,NA,NA,NA,0.112337544,5.982189938,11.85204233,7.935,8.009,8.083,Insufficient Data,Trend Inconclusive,Moderate,Low
White-browed Tit-Warbler,NA,NA,NA,NA,NA,NA,2.781,2.845,2.909,Insufficient Data,Insufficient Data,Restricted,Moderate
Crested Tit-Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-cheeked Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-throated Tit,-28.74143617,-9.459946435,14.71789999,-0.595872505,2.745658313,6.08718913,12.864,12.89,12.916,Stable,Trend Inconclusive,Moderate,Low
White-throated Tit,NA,NA,NA,NA,NA,NA,3.618,3.729,3.84,Insufficient Data,Insufficient Data,Restricted,Moderate
Black-browed Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurasian Blackcap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garden Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barred Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesser Whitethroat,-45.03972142,-33.99290246,-20.88549284,-1.524644427,0.782437565,3.089519556,102.43,102.483,102.536,Trend Inconclusive,Stable,Very Large,Low
Eastern Orphean Warbler,NA,NA,NA,NA,NA,NA,20.185,20.272,20.359,Insufficient Data,Insufficient Data,Moderate,Low
Asian Desert Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greater Whitethroat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire-tailed Myzornis,-66.1588085,-41.47626984,-3.767871902,-10.43715479,-7.420603349,-4.404051912,1.625,1.663,1.701,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Golden-breasted Fulvetta,NA,NA,NA,NA,NA,NA,1.65,1.678,1.706,Insufficient Data,Insufficient Data,Restricted,Moderate
Yellow-eyed Babbler,-21.51986235,-9.592508588,6.026594023,-0.481471526,1.076269584,2.634010694,130.114,130.178,130.242,Stable,Stable,Very Large,Low
Jerdon's Babbler,-81.63543902,-57.35477869,-0.953212837,-10.39941537,-7.643571447,-4.887727519,0.891,0.931,0.971,Trend Inconclusive,Rapid Decline,Restricted,High
Brown-throated Fulvetta,NA,NA,NA,NA,NA,NA,0.571,0.592,0.613,Insufficient Data,Insufficient Data,Very Restricted,High
White-browed Fulvetta,NA,NA,NA,NA,NA,NA,2.452,2.485,2.518,Insufficient Data,Insufficient Data,Restricted,Moderate
Streak-throated Fulvetta,NA,NA,NA,NA,NA,NA,0.478,0.561,0.644,Insufficient Data,Insufficient Data,Very Restricted,High
Black-breasted Parrotbill,NA,NA,NA,-5.511037137,-1.415484082,2.680068974,0.818,0.854,0.89,Insufficient Data,Trend Inconclusive,Restricted,High
Spot-breasted Parrotbill,NA,NA,NA,NA,NA,NA,1.192,1.262,1.332,Insufficient Data,Insufficient Data,Restricted,Moderate
Great Parrotbill,NA,NA,NA,NA,NA,NA,0.412,0.412,0.412,Insufficient Data,Insufficient Data,Very Restricted,High
Brown Parrotbill,NA,NA,NA,NA,NA,NA,0.922,0.945,0.968,Insufficient Data,Insufficient Data,Restricted,Moderate
Gray-headed Parrotbill,NA,NA,NA,NA,NA,NA,1.344,1.419,1.494,Insufficient Data,Insufficient Data,Restricted,Moderate
White-breasted Parrotbill,NA,NA,NA,NA,NA,NA,0.746,0.782,0.818,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-headed Parrotbill,NA,NA,NA,NA,NA,NA,0.932,0.932,0.932,Insufficient Data,Insufficient Data,Restricted,Moderate
Fulvous Parrotbill,NA,NA,NA,NA,NA,NA,0.327,0.342,0.357,Insufficient Data,Insufficient Data,Very Restricted,High
Black-throated Parrotbill,NA,NA,NA,NA,NA,NA,2.065,2.103,2.141,Insufficient Data,Insufficient Data,Restricted,Moderate
Pale-billed Parrotbill,NA,NA,NA,NA,NA,NA,1.097,1.133,1.169,Insufficient Data,Insufficient Data,Restricted,Moderate
Striated Yuhina,NA,NA,NA,NA,NA,NA,6.106,6.164,6.222,Insufficient Data,Insufficient Data,Moderate,Low
Black-chinned Yuhina,NA,NA,NA,-6.632413566,-2.913260216,0.805893134,5.577,5.626,5.675,Insufficient Data,Trend Inconclusive,Moderate,Low
Whiskered Yuhina,25.05052355,53.39774081,89.50351361,-2.778593642,-0.89805022,0.982493202,14.151,14.186,14.221,Trend Inconclusive,Stable,Moderate,Low
White-naped Yuhina,NA,NA,NA,NA,NA,NA,4.275,4.323,4.371,Insufficient Data,Insufficient Data,Moderate,Moderate
Stripe-throated Yuhina,NA,NA,NA,-7.211172417,-5.099358537,-2.987544657,4.342,4.342,4.342,Insufficient Data,Decline,Moderate,Moderate
Rufous-vented Yuhina,NA,NA,NA,NA,NA,NA,2.492,2.517,2.542,Insufficient Data,Insufficient Data,Restricted,Moderate
Chestnut-flanked White-eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian White-eye,-5.011781043,7.184055684,21.21929934,-0.450887292,0.940379487,2.331646265,153.633,153.68,153.727,Stable,Stable,Very Large,Low
Chestnut-capped Babbler,NA,NA,NA,-2.45794676,2.248487466,6.954921692,5.67,5.72,5.77,Insufficient Data,Trend Inconclusive,Moderate,Low
Tawny-bellied Babbler,-49.10395628,-37.86859207,-24.38690494,-2.373939518,-0.505493115,1.362953287,71.022,71.091,71.16,Trend Inconclusive,Stable,Large,Low
Dark-fronted Babbler,-72.50268626,-66.24511291,-58.07004614,-3.32866247,-1.32773095,0.673200571,8.538,8.555,8.572,Rapid Decline,Stable,Moderate,Moderate
Pin-striped Tit-Babbler,NA,NA,NA,NA,NA,NA,17.715,17.765,17.815,Insufficient Data,Insufficient Data,Moderate,Low
Golden Babbler,NA,NA,NA,NA,NA,NA,6.809,6.861,6.913,Insufficient Data,Insufficient Data,Moderate,Low
Black-chinned Babbler,-9.811160943,20.78331674,62.92919461,-0.87214004,2.525875902,5.923891843,8.545,8.579,8.613,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Rufous-capped Babbler,NA,NA,NA,NA,NA,NA,4.218,4.257,4.296,Insufficient Data,Insufficient Data,Moderate,Low
Buff-chested Babbler,NA,NA,NA,NA,NA,NA,5.564,5.639,5.714,Insufficient Data,Insufficient Data,Moderate,Low
Rufous-throated Wren-Babbler,NA,NA,NA,NA,NA,NA,1.08,1.108,1.136,Insufficient Data,Insufficient Data,Restricted,Moderate
Mishmi Wren-Babbler,NA,NA,NA,NA,NA,NA,0.239,0.289,0.339,Insufficient Data,Insufficient Data,Very Restricted,High
Bar-winged Wren-Babbler,NA,NA,NA,NA,NA,NA,0.397,0.416,0.435,Insufficient Data,Insufficient Data,Very Restricted,High
Naga Wren-Babbler,NA,NA,NA,NA,NA,NA,0.365,0.441,0.517,Insufficient Data,Insufficient Data,Very Restricted,High
Chin Hills Wren-Babbler,NA,NA,NA,NA,NA,NA,0.161,0.161,0.161,Insufficient Data,Insufficient Data,Very Restricted,High
Tawny-breasted Wren-Babbler,NA,NA,NA,NA,NA,NA,0.321,0.378,0.435,Insufficient Data,Insufficient Data,Very Restricted,High
Black-crowned Scimitar-Babbler,NA,NA,NA,NA,NA,NA,1.481,1.518,1.555,Insufficient Data,Insufficient Data,Restricted,Moderate
Brown-crowned Scimitar-Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red-billed Scimitar-Babbler,NA,NA,NA,NA,NA,NA,1.348,1.399,1.45,Insufficient Data,Insufficient Data,Restricted,Moderate
Slender-billed Scimitar-Babbler,NA,NA,NA,NA,NA,NA,2.893,2.94,2.987,Insufficient Data,Insufficient Data,Restricted,Moderate
Streak-breasted Scimitar-Babbler,NA,NA,NA,-0.41111094,4.434183136,9.279477211,5.477,5.517,5.557,Insufficient Data,Trend Inconclusive,Moderate,Low
White-browed Scimitar-Babbler,NA,NA,NA,-4.498084553,-0.128611113,4.240862327,8.371,8.371,8.371,Insufficient Data,Trend Inconclusive,Moderate,Low
Indian Scimitar-Babbler,-56.3370386,-48.35665037,-38.05811317,1.451162195,4.013482994,6.575803794,27.017,27.056,27.095,Decline,Increase,Large,Low
Large Scimitar-Babbler,NA,NA,NA,NA,NA,NA,1.206,1.257,1.308,Insufficient Data,Insufficient Data,Restricted,Moderate
Rusty-cheeked Scimitar-Babbler,17.57790252,45.51558282,85.93145295,1.592405746,4.162862713,6.733319681,9.538,9.57,9.602,Trend Inconclusive,Increase,Moderate,Low
Spot-breasted Scimitar-Babbler,NA,NA,NA,NA,NA,NA,2.909,2.968,3.027,Insufficient Data,Insufficient Data,Restricted,Moderate
Gray-throated Babbler,NA,NA,NA,NA,NA,NA,7.748,7.797,7.846,Insufficient Data,Insufficient Data,Moderate,Low
Sikkim Wedge-billed Babbler,NA,NA,NA,NA,NA,NA,0.262,0.262,0.262,Insufficient Data,Insufficient Data,Very Restricted,High
Cachar Wedge-billed Babbler,NA,NA,NA,NA,NA,NA,0.411,0.444,0.477,Insufficient Data,Insufficient Data,Very Restricted,High
Snowy-throated Babbler,NA,NA,NA,NA,NA,NA,0.193,0.193,0.193,Insufficient Data,Insufficient Data,Very Restricted,High
Indian Grassbird,NA,NA,NA,NA,NA,NA,0.816,0.866,0.916,Insufficient Data,Insufficient Data,Restricted,Moderate
White-hooded Babbler,NA,NA,NA,NA,NA,NA,2.061,2.122,2.183,Insufficient Data,Insufficient Data,Restricted,Moderate
Yellow-throated Fulvetta,NA,NA,NA,NA,NA,NA,2.404,2.44,2.476,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-winged Fulvetta,NA,NA,NA,-5.218340446,-1.199738098,2.818864249,3.753,3.792,3.831,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Rufous-throated Fulvetta,NA,NA,NA,NA,NA,NA,0.89,0.948,1.006,Insufficient Data,Insufficient Data,Restricted,Moderate
Rusty-capped Fulvetta,NA,NA,NA,NA,NA,NA,1.798,1.858,1.918,Insufficient Data,Insufficient Data,Restricted,Moderate
Puff-throated Babbler,-53.11458917,-42.63977002,-30.22183113,-0.413454376,2.024254728,4.461963831,54.762,54.81,54.858,Decline,Stable,Large,Low
Marsh Babbler,NA,NA,NA,-7.884750673,-3.227240806,1.430269061,0.745,0.788,0.831,Insufficient Data,Trend Inconclusive,Restricted,High
Spot-throated Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buff-breasted Babbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rufous-vented Grass Babbler,NA,NA,NA,NA,NA,NA,0.919,0.995,1.071,Insufficient Data,Insufficient Data,Restricted,Moderate
Swamp Grass Babbler,NA,NA,NA,NA,NA,NA,0.653,0.695,0.737,Insufficient Data,Insufficient Data,Very Restricted,High
Abbott's Babbler,NA,NA,NA,-4.428553221,-1.201019325,2.026514571,5.516,5.564,5.612,Insufficient Data,Trend Inconclusive,Moderate,Low
Streaked Wren-Babbler,NA,NA,NA,NA,NA,NA,0.95,1.018,1.086,Insufficient Data,Insufficient Data,Restricted,Moderate
Eyebrowed Wren-Babbler,NA,NA,NA,NA,NA,NA,0.711,0.742,0.773,Insufficient Data,Insufficient Data,Restricted,Moderate
Long-billed Wren-Babbler,NA,NA,NA,NA,NA,NA,1.051,1.094,1.137,Insufficient Data,Insufficient Data,Restricted,Moderate
Brown-cheeked Fulvetta,-72.17655287,-66.72472938,-60.46064415,-0.585054476,1.546889814,3.678834103,25.197,25.237,25.277,Rapid Decline,Stable,Large,Moderate
Nepal Fulvetta,-40.39182118,-21.25210544,6.547300342,-2.305103785,0.962055318,4.229214421,10.115,10.163,10.211,Stable,Trend Inconclusive,Moderate,Low
Striated Laughingthrush,NA,NA,NA,0.370139378,4.030467618,7.690795858,9.237,9.265,9.293,Insufficient Data,Trend Inconclusive,Moderate,Low
Himalayan Cutia,NA,NA,NA,NA,NA,NA,2.773,2.816,2.859,Insufficient Data,Insufficient Data,Restricted,Moderate
Scaly Laughingthrush,NA,NA,NA,NA,NA,NA,1.299,1.32,1.341,Insufficient Data,Insufficient Data,Restricted,Moderate
Brown-capped Laughingthrush,NA,NA,NA,NA,NA,NA,0.557,0.668,0.779,Insufficient Data,Insufficient Data,Restricted,Moderate
Blue-winged Laughingthrush,NA,NA,NA,NA,NA,NA,3.733,3.778,3.823,Insufficient Data,Insufficient Data,Restricted,Moderate
Streaked Laughingthrush,1.157824211,26.45868333,53.94895072,-0.554150088,2.099200796,4.752551679,13.958,13.981,14.004,Trend Inconclusive,Stable,Moderate,Low
Bhutan Laughingthrush,NA,NA,NA,NA,NA,NA,0.632,0.655,0.678,Insufficient Data,Insufficient Data,Very Restricted,High
Striped Laughingthrush,NA,NA,NA,NA,NA,NA,1.449,1.52,1.591,Insufficient Data,Insufficient Data,Restricted,Moderate
Variegated Laughingthrush,NA,NA,NA,-2.756426225,0.987367416,4.731161056,8.711,8.739,8.767,Insufficient Data,Trend Inconclusive,Moderate,Low
Black-faced Laughingthrush,NA,NA,NA,NA,NA,NA,2.268,2.301,2.334,Insufficient Data,Insufficient Data,Restricted,Moderate
Elliot's Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chestnut-crowned Laughingthrush,36.1354343,68.21924302,111.9830417,2.169717944,4.82851516,7.487312375,8.045,8.066,8.087,Increase,Increase,Moderate,Low
Assam Laughingthrush,NA,NA,NA,NA,NA,NA,1.725,1.785,1.845,Insufficient Data,Insufficient Data,Restricted,Moderate
Banasura Laughingthrush,NA,NA,NA,NA,NA,NA,0.244,0.244,0.244,Insufficient Data,Insufficient Data,Very Restricted,High
Nilgiri Laughingthrush,-70.4442704,-59.31723067,-41.49413523,6.971028069,13.22643246,19.48183686,0.487,0.494,0.501,Decline,Trend Inconclusive,Very Restricted,High
Palani Laughingthrush,-59.51896287,-39.26774313,-9.929692694,-5.245214779,-0.974173762,3.296867256,0.94,0.957,0.974,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Ashambu Laughingthrush,NA,NA,NA,NA,NA,NA,0.303,0.326,0.349,Insufficient Data,Insufficient Data,Very Restricted,High
Long-tailed Sibia,NA,NA,NA,NA,NA,NA,1.978,2.009,2.04,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous Sibia,10.18425923,39.47063436,76.05692506,-0.392455742,2.635870619,5.66419698,9.005,9.028,9.051,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Beautiful Sibia,NA,NA,NA,NA,NA,NA,3.093,3.124,3.155,Insufficient Data,Insufficient Data,Restricted,Moderate
Gray Sibia,NA,NA,NA,NA,NA,NA,2.66,2.685,2.71,Insufficient Data,Insufficient Data,Restricted,Moderate
Hoary-throated Barwing,-64.89012919,-49.70364351,-28.54498951,-5.897662955,-1.548821931,2.800019093,1.115,1.128,1.141,Decline,Trend Inconclusive,Restricted,High
Streak-throated Barwing,NA,NA,NA,NA,NA,NA,1.383,1.439,1.495,Insufficient Data,Insufficient Data,Restricted,Moderate
Blue-winged Minla,NA,NA,NA,-0.513459731,3.217234474,6.947928678,9.526,9.567,9.608,Insufficient Data,Trend Inconclusive,Moderate,Low
Chestnut-tailed Minla,-50.90773423,-37.21650804,-18.91857529,-3.174567881,-0.631295534,1.911976813,8.247,8.283,8.319,Trend Inconclusive,Stable,Moderate,Low
Rusty-fronted Barwing,NA,NA,NA,-3.479206465,1.048527406,5.576261278,5.546,5.59,5.634,Insufficient Data,Trend Inconclusive,Moderate,Low
Red-billed Leiothrix,63.15362029,117.5881613,191.3709912,-1.764780592,1.608257048,4.981294687,8.609,8.644,8.679,Rapid Increase,Trend Inconclusive,Moderate,Low
Silver-eared Mesia,NA,NA,NA,NA,NA,NA,7.997,8.032,8.067,Insufficient Data,Insufficient Data,Moderate,Low
Red-tailed Minla,NA,NA,NA,-1.425181451,1.927397767,5.279976985,4.291,4.329,4.367,Insufficient Data,Trend Inconclusive,Moderate,Low
Rufous-backed Sibia,NA,NA,NA,NA,NA,NA,2.913,2.979,3.045,Insufficient Data,Insufficient Data,Restricted,Moderate
Bugun Liocichla,NA,NA,NA,-11.00560972,-5.561835664,-0.118061608,0.163,0.163,0.163,Insufficient Data,Trend Inconclusive,Very Restricted,High
Red-faced Liocichla,NA,NA,NA,-4.629365677,0.209853345,5.049072367,4.923,4.981,5.039,Insufficient Data,Trend Inconclusive,Moderate,Low
Large Gray Babbler,-27.34348907,-16.39059592,-5.3243254,-1.486374199,-0.133440132,1.219493935,132.062,132.107,132.152,Trend Inconclusive,Stable,Very Large,Low
Slender-billed Babbler,NA,NA,NA,NA,NA,NA,0.815,0.864,0.913,Insufficient Data,Insufficient Data,Restricted,High
Rufous Babbler,-59.18274638,-49.53692665,-38.57075123,-1.291545001,0.718998663,2.729542328,10.761,10.785,10.809,Decline,Stable,Moderate,Moderate
Jungle Babbler,6.639346591,20.87023197,36.7038461,-0.785479027,0.673480671,2.13244037,178.391,178.427,178.463,Trend Inconclusive,Stable,Very Large,Low
Yellow-billed Babbler,-8.363764724,4.550806694,19.09214687,-0.756026533,0.696161511,2.148349555,51.528,51.566,51.604,Stable,Stable,Large,Low
Common Babbler,-47.29696934,-40.14864748,-30.92186799,-3.314820116,-2.046783717,-0.778747319,103.3,103.355,103.41,Decline,Trend Inconclusive,Very Large,Moderate
Striated Babbler,14.39034735,49.2293276,100.6775147,-2.807686576,0.067383149,2.942452873,20.676,20.737,20.798,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Spot-breasted Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesser Necklaced Laughingthrush,NA,NA,NA,-5.957118433,-3.326364231,-0.695610029,7.886,7.946,8.006,Insufficient Data,Trend Inconclusive,Moderate,Low
White-crested Laughingthrush,-15.24860824,10.73375244,43.79238536,-1.751075266,1.467128619,4.685332504,11.906,11.947,11.988,Stable,Trend Inconclusive,Moderate,Low
