"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"92","Blyth's Kingfisher",158,14637,112,2017,46094,NA,NA,NA,NA
"93","Bronzed Drongo",NA,NA,NA,2015,3591103,NA,NA,NA,NA
"94","Buff-breasted Babbler",372,39244,248,2023,135797,NA,NA,NA,NA
"95","Chinese Rubythroat",784,55007,440,2015,619813,NA,NA,NA,NA
"96","Black-crowned Scimitar-Babbler",396,21961,244,2017,112179,NA,NA,NA,NA
"97","Collared Owlet",NA,NA,NA,2015,1528740,NA,NA,NA,NA
"98","Gray Nightjar",1163,117599,836,2015,866972,NA,NA,NA,NA
"99","Large Hawk-Cuckoo",NA,NA,NA,2014,3551228,NA,NA,NA,NA
"100","Long-tailed Broadbill",NA,NA,NA,2015,968478,NA,NA,NA,NA
"101","Nepal House-Martin",3098,158631,2100,2020,1179820,NA,NA,NA,NA
"102","Oriental Pied-Hornbill",NA,NA,NA,2014,1931420,NA,NA,NA,NA
"103","Pale Blue Flycatcher",1584,77054,1024,2019,312855,NA,NA,NA,NA
"104","Pied Kingfisher",NA,NA,NA,2015,4559457,NA,NA,NA,NA
"105","Rufous-necked Hornbill",1163,57368,468,2014,220195,NA,NA,NA,NA
"106","Rufous-throated Partridge",1611,90648,872,2021,847955,NA,NA,NA,NA
"107","Rufous-vented Laughingthrush",266,35514,112,2018,117828,NA,NA,NA,NA
"108","Striated Bulbul",3424,91683,1404,2019,400291,NA,NA,NA,NA
"109","Streak-throated Barwing",790,46054,260,2013,154991,NA,NA,NA,NA
"110","White-bellied Erpornis",3774,122636,2172,2019,834037,NA,NA,NA,NA
"111","White-tailed Robin",1995,150257,1280,2021,984602,NA,NA,NA,NA
"112","Peregrine Falcon",NA,NA,NA,2017,6084789,NA,NA,NA,NA
"113","White-bellied Sea-Eagle",NA,NA,NA,2013,3026004,NA,NA,NA,NA
"114","Western Reef-Heron",NA,NA,NA,2014,3833141,NA,NA,NA,NA
"115","Pied Harrier",2836,534297,1296,2019,4004987,NA,NA,NA,NA
"116","Spot-bellied Eagle-Owl",1389,710254,952,2013,3129493,NA,NA,NA,NA
"117","Pied Triller",49,171,40,2020,847,1579,NA,NA,NA
"118","Great Gray Shrike",NA,NA,NA,2009,2569170,NA,NA,NA,NA
"119","Rook",116,1100,84,2020,2193,4563,NA,NA,NA
"120","Mrs. Hume's Pheasant",23,2000,16,2021,6410,12390,NA,NA,NA
"121","Rosy Starling",NA,NA,NA,2018,4614257,NA,NA,NA,NA
"122","Painted Stork",NA,NA,NA,2016,3569963,NA,NA,NA,NA
"123","Spot-billed Pelican",NA,NA,NA,2012,1771178,NA,NA,NA,NA
"124","Indian Vulture",NA,NA,NA,2014,2115492,NA,NA,NA,NA
"125","Large Blue Flycatcher",124,9032,92,2022,28599,33267,NA,NA,NA
"126","Nicobar Sparrowhawk",17,96,16,2021,354,1067,NA,NA,NA
"127","Baikal Teal",38,1884,36,2020,3376,11909,"2011-2019 to 2020-2025",-621790,-99.4599584513547
"128","Red-whiskered Bulbul",NA,NA,NA,2015,5768968,NA,NA,NA,NA
"129","Sociable Lapwing",121,39765,104,2020,105977,NA,"2009-2019 to 2020-2025",-128114,-54.7282094174301
"130","Bay-backed Shrike",NA,NA,NA,2014,4101429,NA,NA,NA,NA
"131","Chestnut-bellied Nuthatch",NA,NA,NA,2013,1138717,NA,NA,NA,NA
"132","Asian Tit",NA,NA,NA,2017,4563919,NA,NA,NA,NA
"133","Citrine Wagtail",NA,NA,NA,2013,6254960,NA,NA,NA,NA
"134","Common Chiffchaff",NA,NA,NA,2018,3071860,NA,"2006-2017 to 2018-2025",-156053,-4.83448079952964
"135","Crested Bunting",NA,NA,NA,2018,4006848,NA,NA,NA,NA
"136","Western Yellow Wagtail",NA,NA,NA,2016,3543387,NA,NA,NA,NA
"137","Eurasian Collared-Dove",NA,NA,NA,2020,6010706,NA,NA,NA,NA
"138","Gray Treepie",NA,NA,NA,2015,2296716,NA,NA,NA,NA
"139","Gray-breasted Prinia",NA,NA,NA,2018,4546581,NA,NA,NA,NA
