"eBird.English.Name.2024","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"White-bellied Blue Flycatcher",-6.46324631686367,-3.43605759252941,-0.40886886819515,-14.4708083097265,-9.43285436189973,-4.39490041407291,-7.05165394744765,-4.55101304861378,-2.05037214977992,-6.88665365103944,-4.42451189203502,-1.9623701330306,-6.81943712184371,-4.45245563941316,-2.08547415698261,-6.67329662021116,-4.31007592642156,-1.94685523263196,-6.9347900734645,-4.51329985230193,-2.09180963113937,-7.22537001690959,-4.80654544207849,-2.38772086724739,-7.12153698951091,-4.40596893402966,-1.6904008785484,-7.58231621078603,-4.66573012472695,-1.74914403866787
"Pale-chinned Flycatcher",-3.292586009427,-0.164465989574935,2.96365403027713,-10.1899492812521,-4.67789082152439,0.834167638203307,-4.7361831910455,-2.07648974747259,0.583203696100322,-4.4165947662873,-1.76255852692211,0.891477712443079,-4.21593271346561,-1.40738739179961,1.40115792986638,-4.36424657502692,-1.68365946038625,0.996927654254418,-4.32995440888971,-1.67257857665119,0.984797255587325,-4.2508508370415,-1.50584420398365,1.2391624290742,-4.27713687551109,-1.22212416904494,1.83288853742121,-4.25314672521996,-0.680555097855702,2.89203652950856
"Pale Blue Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue-throated Flycatcher",-2.34495860139993,0.142814372023778,2.63058734544749,-4.22575159024256,0.585343452828754,5.39643849590007,-2.47311857946543,-0.26433382014625,1.94445093917293,-2.26223663498955,-0.0473869035121121,2.16746282796533,-2.21418371971164,-0.106383813329944,2.00141609305175,-2.2444617389605,-0.0708036738548159,2.10285439125087,-2.51892525068172,-0.357519249049181,1.80388675258336,-2.37303512496037,-0.208443561424981,1.9561480021104,-2.09510455278086,0.317470489845963,2.73004553247278,-2.02616457100544,0.678806375079855,3.38377732116515
"Large Blue Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Blue Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tickell's Blue Flycatcher",2.02002963134404,3.77428278848464,5.52853594562524,4.46435561230869,7.81885980368522,11.1733639950617,2.74387382451658,4.43956615198171,6.13525847944683,2.60452469284546,4.19824149791128,5.7919583029771,2.39831491118562,3.9235395707326,5.44876423027958,2.49005168947106,4.03515196495259,5.58025224043413,2.54052000903722,4.12284203566321,5.70516406228921,2.33936655126399,3.95547687215911,5.57158719305423,2.55419219760056,4.30555120765845,6.05691021771634,1.66771717306442,3.30142588097845,4.93513458889247
"Nicobar Jungle Flycatcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rusty-bellied Shortwing",-11.2716560819125,-6.86113901709838,-2.45062195228422,-22.3323146274799,-15.1093805888921,-7.88644655030421,-10.955152207846,-7.37445535667268,-3.79375850549935,-10.8955868489369,-7.17937948681548,-3.46317212469405,-10.4954502587282,-7.25903964125007,-4.02262902377197,-10.6827700008362,-7.39377018195713,-4.1047703630781,-10.6033248553657,-7.20659703023567,-3.80986920510566,-10.6543757131232,-6.92178596885799,-3.18919622459277,-11.212325095803,-7.23141294116821,-3.25050078653341,-12.3602604423583,-8.81719482255838,-5.27412920275844
"Lesser Shortwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
