SAMPLING.EVENT.IDENTIFIER
S24283992
S24284177
S24284242
S24284286
S24284444
S24284446
S24284449
S24284494
S24291004
S24291066
S24294112
S24294135
S24294201
S24294228
S24294280
S24294313
S24294325
S24294350
S24303401
S24303794
S24304058
S24304342
S24309160
S24309230
S24309269
S24309284
S24309309
S24309349
S24309378
S24309417
S24309426
S24309659
S24309959
S24310505
S24311052
S24311063
S24311096
S24311101
S24312764
S24312879
S24312894
S24312896
S24312899
S24312986
S24313039
S24313094
S24313100
S24313137
S24313142
S24313196
S24313203
S24313346
S24313347
S24313358
S24313482
S24313508
S24313509
S24313510
S24313512
S24313606
S24313979
S24314244
S24314480
S24314916
S24321627
S24321630
S24333074
S24333102
S24333145
S24333167
S24333182
S24333480
S24333481
S24333482
S24333483
S24333484
S24333485
S24333486
S24334990
S24335791
S24335876
S24344958
S24345013
S24345068
S24345093
S24345124
S24345138
S24345151
S24345167
S24345212
S24345229
S24345255
S24345270
S24345434
S24345451
S24345486
S24345585
S24345624
S24345637
S24345653
S24345677
S24345712
S24345737
S24345754
S24345761
S24351951
S24352069
S24352906
S24354937
S24354985
S24355028
S24355067
S24355108
S24355210
S24355239
S24355335
S24355476
S24371261
S24371342
S24382706
S24383180
S24383482
S24383502
S24383523
S24383894
S24383915
S24383922
S24383928
S24383960
S24383969
S24383981
S24383984
S24384082
S24384089
S24384097
S24385793
S24385850
S24385967
S24385988
S24386115
S24386145
S24386167
S24386186
S24386249
S24386271
S24386291
S24386318
S24386380
S24386407
S24386453
S24386478
S24386650
S24386912
S24386940
S24386967
S24386993
S24387031
S24387034
S24387042
S24387048
S24387050
S24387053
S24387059
S24395871
S24395872
S24395873
S24395874
S24395875
S24408279
S24409125
S24409126
S24409128
S24409285
S24409296
S24409299
S24409438
S24417612
S24417644
S24417708
S24417730
S24418870
S24418893
S24419111
S24419122
S24419125
S24419128
S24419193
S24419207
S24419381
S24419385
S24419388
S24419390
S24420198
S24420326
S24420463
S24420568
S24420629
S24427441
S24427443
S24427460
S24427769
S24427921
S24427960
S24428067
S24431098
S24437315
S24437333
S24437347
S24437378
S24437396
S24437489
S24437498
S24437511
S24437523
S24437609
S24437682
S24437713
