scientific_name,photo_credit
Heterophasia picaoides,Saravanan Janakarajan
Heterophasia capistrata,Sriram Reddy
Heterophasia pulchella,Sri Teja
Heterophasia gracilis,Rofikul Islam
Actinodura nipalensis,Harshil Mehta
Actinodura waldeni,Arpit Bansal
Actinodura cyanouroptera,Rajkumar Das
Actinodura strigula,Siddhartha Vatsal
Actinodura egertoni,Bharat Tiwari
Leiothrix lutea,Rajkumar Das
Leiothrix argentauris,Rajkumar Das
Minla ignotincta,Rofikul Islam
Leioptila annectens,Samanvitha Rao
Liocichla bugunorum,Rofikul Islam
Liocichla phoenicea,Saswat Mishra
Argya malcolmi,Bhaarat Vyas
Argya longirostris,Rajkumar Das
Argya subrufa,Novelkumar MS
Argya striata,Nirmal George
Argya affinis,Jithu Vellimattom
Argya caudata,Rahuldev Rajguru
Argya earlei,Parthasarathi Chakrabarti
Garrulax monileger,Parthasarathi Chakrabarti
Garrulax leucolophus,Rajkumar Das
Ianthocincla rufogularis,Aseem Kothiala
Ianthocincla ocellata,Abhishek Das
Pterorhinus delesserti,Novelkumar MS
Pterorhinus gularis,Ronith Urs
Pterorhinus galbanus,Rofikul Islam
Pterorhinus ruficollis,Parthasarathi Chakrabarti
Pterorhinus nuchalis,Rofikul Islam
Pterorhinus pectoralis,Ayaan S
Pterorhinus woodi,Arpit Bansal
Pterorhinus albogularis,Vivek Vaidyanathan
Pterorhinus caerulatus,Vipul Gupta
Regulus regulus,Dr Pankaj Chibber
Tichodroma muraria,Vipul Gupta
Sitta castanea,Saswat Mishra
Sitta cinnamoventris,Nirmal George
Sitta cashmirensis,Vipul Gupta
Sitta himalayensis,Vipul Gupta
Sitta leucopsis,Parmil Kumar
Sitta frontalis,Abhishek Das
Sitta formosa,Sri Teja
Certhia hodgsoni,Rofikul Islam
Certhia himalayana,Vishal Goswami
Certhia nipalensis,Saswat Mishra
Certhia discolor,Saswat Mishra
Salpornis spilonota,Parmil Kumar
Troglodytes troglodytes,Dr Pankaj Chibber
Elachura formosa,Siddhartha Vatsal
Cinclus cinclus,Avadhesh Malik
Cinclus pallasii,Dr JISHNU R
Aplonis panayensis,Aseem Kothiala
Gracula religiosa,Parthasarathi Chakrabarti
Gracula indica,Rahuldev Rajguru
Sturnus vulgaris,Dr Pankaj Chibber
Pastor roseus,Hari K Patibanda
Gracupica contra,Rajkumar Das
Sturnia pagodarum,Vipul Gupta
Sturnia malabarica,Parthasarathi Chakrabarti
Sturnia blythii,Novelkumar MS
Sturnia erythropygia,Saswat Mishra
Acridotheres tristis,Parthasarathi Chakrabarti
Acridotheres ginginianus,Dr Pankaj Chibber
Acridotheres fuscus,Monjul Hazarika
Acridotheres grandis,Dr JISHNU R
Saroglossa spilopterus,Subhadra Devi
Grandala coelicolor,Siddhartha Vatsal
Zoothera mollissima,Nikhil Chandwadkar
Zoothera salimalii,Samanvitha Rao
Zoothera marginata,Arpit Bansal
Zoothera monticola,Avadhesh Malik
Zoothera dauma,Abhishek Das
Zoothera neilgherriensis,Renuka Vijayaraghavan
Cochoa purpurea,Ronith Urs
Cochoa viridis,Tomal Gogoi 
Geokichla wardii,Renuka Vijayaraghavan
Geokichla citrina,Parmil Kumar
Turdus viscivorus,Vipul Gupta
Turdus boulboul,Lalit Mohan Bansal
Turdus simillimus,Nirmal George
Turdus unicolor,Albin Jacob
Turdus dissimilis,Parthasarathi Chakrabarti
Turdus maximus,Dr JISHNU R
Turdus albocinctus,Tanmoy Mitra 
Turdus rubrocanus,Parmil Kumar
Turdus atrogularis,Vipul Gupta
Turdus ruficollis,Samanvitha Rao
Muscicapa sibirica,Aseem Kothiala
Muscicapa dauurica,Sri Teja
Muscicapa muttui,Achyuth Sundar
Copsychus fulicatus,Jithu Vellimattom
Copsychus saularis,Jithu Vellimattom
Copsychus malabaricus,Albin Jacob
Copsychus albiventris,Saswat Mishra
Anthipes monileger,Ronith Urs
Sholicola major,Aseem Kothiala
Sholicola albiventris,Nirmal George
Cyornis pallidipes,Siddhartha Vatsal
Cyornis poliogenys,Dipayan Chakraborty
Cyornis rubeculoides,Parmil Kumar
Cyornis magnirostris,Aseem Kothiala
Cyornis tickelliae,Prabhav Benara
Cyornis nicobaricus,Aseem Kothiala
Niltava grandis,Abhishek Das
Niltava macgrigoriae,Abhishek Das
Niltava sundara,Abhishek Das
Eumyias albicaudatus,Aseem Kothiala
Eumyias thalassinus,Rajkumar Das
Brachypteryx hyperythra,Tomal Gogoi 
Heteroxenicus stellatus,Parmil Kumar
Brachypteryx leucophris,Vipul Gupta
Brachypteryx cruralis,Harshil Mehta
Larvivora brunnea,Ayaan S
Luscinia phaenicuroides,Parmil Kumar
Luscinia svecica,Dr Pankaj Chibber
Myophonus horsfieldii,Bharat Tiwari
Myophonus caeruleus,Vipul Gupta
Enicurus scouleri,Parmil Kumar
Enicurus maculatus,Vipul Gupta
Enicurus immaculatus,Saswat Mishra
Enicurus schistaceus,Abhishek Das
Calliope calliope,Chonseng Sangma
Calliope pectoralis,Bharat Tiwari
Calliope tschebaiewi,Rajkumar Das
Myiomela leucura,Parthasarathi Chakrabarti
Cinclidium frontale,Arpit Bansal
Tarsiger rufilatus,Parmil Kumar
Tarsiger hyperythrus,Samanvitha Rao
Tarsiger indicus,Vipul Gupta
Tarsiger chrysaeus,Aseem Kothiala
Ficedula nigrorufa,Jithu Vellimattom
Ficedula tricolor,Parmil Kumar
Ficedula hyperythra,Vipul Gupta
Ficedula hodgsoni,Antony Grossy
Ficedula strophiata,Parmil Kumar
Ficedula sapphira,Rajkumar Das
Ficedula westermanni,Parthasarathi Chakrabarti
Ficedula superciliaris,Hari K Patibanda
Ficedula ruficauda,Abhishek Das
Ficedula subrubra,Renuka Vijayaraghavan
Ficedula parva,Renuka Vijayaraghavan
Phoenicurus frontalis,Naveen Sama
Phoenicurus fuliginosus,Parthasarathi Chakrabarti
Phoenicurus leucocephalus,Vivek Vaidyanathan
Phoenicurus coeruleocephala,Abhishek Das
Phoenicurus hodgsoni,Abhishek Das
Phoenicurus ochruros,Naveen Sama
Monticola rufiventris,Ayaan S
Monticola cinclorhyncha,Rohid Khader
Monticola solitarius,Dipayan Chakraborty
Saxicola macrorhynchus,Tanmoy Mitra 
Saxicola insignis,Arpit Bansal
Saxicola maurus,Rajkumar Das
Saxicola leucurus,Parmil Kumar
Saxicola caprata,Bhaarat Vyas
Saxicola jerdoni,Novelkumar MS
Saxicola ferreus,Naveen Sama
Oenanthe isabellina,Dr Pankaj Chibber
Oenanthe deserti,Rahuldev Rajguru
Oenanthe fusca,Ksheetij Pandey
Oenanthe picata,Rahuldev Rajguru
Hypocolius ampelinus,Rofikul Islam
Dicaeum agile,Hari K Patibanda
Dicaeum erythrorhynchos,Hari K Patibanda
Dicaeum concolor,Jithu Vellimattom
Dicaeum minullum,Subhadra Devi
Dicaeum virescens,Saswat Mishra
Dicaeum ignipectus,Rajkumar Das
Dicaeum cruentatum,Bharat Tiwari
Chalcoparia singalensis,Parthasarathi Chakrabarti
Leptocoma zeylonica,Jithu Vellimattom
Leptocoma minima,Deepesh MS
Cinnyris asiaticus,Aravind AM
Cinnyris jugularis,Saswat Mishra
Cinnyris lotenius,Druva Murali
Aethopyga ignicauda,Sriram Reddy
Aethopyga saturata,Aseem Kothiala
Aethopyga gouldiae,Rofikul Islam
Aethopyga nipalensis,Naveen Sama
Aethopyga vigorsii,Rajkumar Das
Aethopyga siparaja,Gagan Bedi
Arachnothera longirostra,Abhishek Das
Arachnothera magna,Ayaan S
Irena puella,Parmil Kumar
Chloropsis cochinchinensis,Parthasarathi Chakrabarti
Chloropsis jerdoni,Sriram Reddy
Chloropsis aurifrons,Parthasarathi Chakrabarti
Chloropsis hardwickii,Vipul Gupta
Ploceus manyar,Siddhartha Vatsal
Ploceus philippinus,Sriram Reddy
Ploceus megarhynchus,Saravanan Janakarajan
Ploceus benghalensis,Hari K Patibanda
Euodice malabarica,Vikram S
Lonchura punctulata,Vikram S
Lonchura kelaarti,Deepesh MS
Lonchura striata,Abhishek Das
Lonchura malacca,Albin Jacob
Amandava formosa,Esha Munshi
Amandava amandava,Vikram S
Prunella collaris,Vipul Gupta
Prunella himalayana,Sriram Reddy
Prunella rubeculoides,Vipul Gupta
Prunella strophiata,Ayaan S
Passer domesticus,Rajkumar Das
Passer pyrrhonotus,Parmil Kumar
Passer cinnamomeus,Arpit Bansal
Passer montanus,Parthasarathi Chakrabarti
Gymnoris xanthocollis,Vipul Gupta
Montifringilla adamsi,Aseem Kothiala
Dendronanthus indicus,Parmil Kumar
Motacilla cinerea,Gireesan TU
Motacilla flava,Ksheetij Pandey
Motacilla citreola,Rajkumar Das
Motacilla maderaspatensis,Parthasarathi Chakrabarti
Motacilla alba,Parthasarathi Chakrabarti
Anthus richardi,Abhishek Das
Anthus rufulus,Rajkumar Das
Anthus similis,Vikram S
Anthus godlewskii,Parthasarathi Chakrabarti
Anthus campestris,Albin Jacob
Anthus nilghiriensis,Renuka Vijayaraghavan
Anthus sylvanus,Abhishek Das
Anthus roseatus,Vipul Gupta
Anthus trivialis,Vipul Gupta
Anthus hodgsoni,Parthasarathi Chakrabarti
Mycerobas icterioides,Rajkumar Das
Mycerobas affinis,Rejaul Karim
Mycerobas melanozanthos,Praveen J
Carpodacus erythrinus,Parmil Kumar
Carpodacus grandis,Aseem Kothiala
Carpodacus pulcherrimus,Arpit Bansal
Carpodacus edwardsii,Aseem Kothiala
Carpodacus rodochroa,Saravanan Janakarajan
Carpodacus rodopeplus,Saravanan Janakarajan
Carpodacus subhimachalus,Arpit Bansal
Carpodacus thura,Aseem Kothiala
Pyrrhula nipalensis,Saravanan Janakarajan
Pyrrhula aurantiaca,Vipul Gupta
Pyrrhula erythrocephala,Saravanan Janakarajan
Pyrrhoplectes epauletta,Vishal Goswami
Callacanthis burtoni,Parmil Kumar
Procarduelis nipalensis,Gireesan TU
Leucosticte nemoricola,Rajkumar Das
Leucosticte brandti,Avadhesh Malik
Chloris spinoides,Arpit Bansal
Linaria flavirostris,Abhishek Das
Carduelis carduelis,Vipul Gupta
Serinus pusillus,Rajkumar Das
Spinus thibetanus,Ashwin Viswanathan
Emberiza lathami,Abhishek Das
Emberiza melanocephala,Bhaarat Vyas
Emberiza bruniceps,Arpit Bansal
Emberiza fucata,Dr Pankaj Chibber
Emberiza cia,Jaswinder Singh
Emberiza stewarti,Samanvitha Rao
Emberiza buchanani,Abhishek Das
Emberiza striolata,Hari K Patibanda
Emberiza aureola,Abhishek Das
Emberiza pusilla,Harshil Mehta
Emberiza spodocephala,Parthasarathi Chakrabarti 
