"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Priority.Status"
"Tundra Swan","Cygnus columbianus","tunswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","whoswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","comduc2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Knob-billed Duck","Sarkidiornis melanotos","African Comb Duck","Sarkidiornis melanotos","Least Concern","Schedule-II","Appendix II","Appendix II",250,"X","X","X",1186,0.0497470489038786,0.304279089376054,0.419898819561551,10.5573355817875,0.361151399781893,-38.4848518955861,-25.2158529842236,-7.4319836049722,-3.82737873586518,-2.15578845005559,-0.484198164246007,77.4860381600766,85.9210621512748,95.3714711099053,74.3409115996622,83.9726937932256,94.9870911121049,71.2949337177517,82.0757720748081,94.6664232049368,68.3591572061027,80.2288027703583,94.3912525760162,65.5373840135402,78.4303383956593,94.1509721414937,62.8296887479004,76.6789766565631,93.9390410046552,60.234160492106,74.973358951697,93.7512254701351,"eBird Data Indecisive","eBird Data Indecisive","Low"
"Ruddy Shelduck","Tadorna ferruginea","rudshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea","Least Concern","Schedule-II","","Appendix II",500,"X","X","X",1442,0.0887656033287101,0.324635922330097,0.438973647711512,9.79195561719833,0.301317662908491,-59.9932966370168,-52.307679275194,-42.8802484008776,-5.96095536454198,-4.52732987171836,-3.09370437889475,57.1729634690219,63.8790540976102,71.4331121067646,53.1409132877335,60.565699918952,69.1105827784691,49.3715406499317,57.4294032478806,66.9095810346383,45.8585746751532,54.460447180235,64.8103136047287,42.5903570593845,51.6496610013044,62.8002654380597,39.5530614100714,48.9883888130339,60.8708374281769,36.7322239964351,46.4684599989424,59.0156838333151,"Decline","Decline","Moderate"
"Common Shelduck","Tadorna tadorna","comshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna","Least Concern","Schedule-II","","Appendix II",1000,"","","",99,0.101010101010101,0.224747474747475,0.232323232323232,13.2020202020202,1.34135170841688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","copgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Strong Decline","Strong Decline","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Cotton Pygmy Goose","Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus coromandelianus","Least Concern","Schedule-I","","Appendix II",1000,"X","X","X",1315,0.0836501901140684,0.338878326996198,0.425855513307985,11.7277566539924,0.362228296105282,-64.246573972679,-57.4140358481454,-48.4100818469107,-5.18769300479796,-3.6685129330434,-2.14933286128884,65.6236712603558,73.6668255449338,82.776020557086,61.6657028639278,70.6717595315649,81.1025352264588,57.919811389375,67.8044192367568,79.5194465137727,54.3877973563498,65.0591323160099,78.0064929660031,51.0645505505909,62.4304873934702,76.5515263509305,47.9417470797127,59.9133216727484,75.1467332612208,45.0096442207091,57.5027091527955,73.7867645769402,"Decline","Decline","Moderate"
"Mandarin Duck","Aix galericulata","manduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Mandarin Duck","Aix galericulata","Mandarin Duck","Aix galericulata","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","baitea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Baikal Teal","Sibirionetta formosa","Baikal Teal","Sibirionetta formosa","Least Concern","Schedule-II","Appendix II","Appendix I",NA,"","","",8,0.125,0.125,0.125,16.625,3.51275177033618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","gargan","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Garganey","Spatula querquedula","Garganey","Spatula querquedula","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1231,0.0901705930138099,0.355808285946385,0.415922014622258,12.251015434606,0.369518334356139,-66.1354648537053,-59.1683775005059,-50.6800926981144,-6.95787194813018,-5.5660328862472,-4.17419382436422,55.7366904067477,66.3750790697696,79.1471786029013,50.3616699199067,61.8815426783567,76.1747244388852,45.4716031495747,57.6981882202144,73.3904514634916,41.0391526441163,53.8032190307048,70.7595120657188,37.0300462816088,50.1763955448623,68.2601272040356,33.4085084240021,46.7989223477759,65.8775297179328,30.1396855154997,43.6533435358853,63.6009782475156,"Rapid Decline","Rapid Decline","High"
"Northern Shoveler","Spatula clypeata","norsho","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Spatula clypeata","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1447,0.102280580511403,0.346924671734623,0.409122322045612,10.9564616447823,0.340813559818129,-70.4502951382398,-64.597387209203,-57.71706018719,-8.12017383575869,-6.91906432238972,-5.71795480902075,44.2803652303357,51.854235883606,60.8101490413549,39.2110199551735,47.2333757758181,57.010074286735,34.6996966453245,43.0284425784583,53.498192393334,30.6964133875768,39.2016368769397,50.2359815454888,27.1497750760131,35.7186263415309,47.196183526899,24.0107676035639,32.5482248722569,44.3578681518548,21.2341998245971,29.6621016930463,41.7039856964436,"Rapid Decline","Rapid Decline","High"
"Gadwall","Mareca strepera","gadwal","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Gadwall","Mareca strepera","Gadwall","Mareca strepera","Least Concern","Schedule-II","","Appendix II",3000,"X","X","X",1131,0.0769230769230769,0.316534040671972,0.428824049513705,10.2590627763042,0.352556764819026,-41.9683629754272,-29.2301164559782,-11.6039629339891,-4.64332034476717,-2.71121940201904,-0.779118459270899,65.3666453030788,75.7031710915104,87.8113297154161,61.8253779533381,73.5064298209521,87.5847717273442,58.443338909237,71.3823828409069,87.4401970402649,55.2301285711995,69.3284183538973,87.3540744302833,52.1863619277348,67.3420246636294,87.3127682997489,49.3082197555154,65.4207861343077,87.3079275824305,46.5896799913771,63.5623793202432,87.3341985962192,"eBird Data Indecisive","eBird Data Indecisive","Low"
"Falcated Duck","Mareca falcata","falduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Falcated Duck","Mareca falcata","Falcated Duck","Mareca falcata","Near Threatened","Schedule-II","","Appendix II",NA,"","","",33,0.242424242424242,0.246212121212121,0.363636363636364,14.4545454545455,2.04375788218461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","eurwig","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Eurasian Wigeon","Mareca penelope","Eurasian Wigeon","Mareca penelope","Least Concern","Schedule-II","","Appendix II",2500,"X","X","X",981,0.09072375127421,0.301732925586137,0.353720693170234,11.6717635066259,0.396092338270894,-70.9160621851642,-60.8628424810957,-46.6326644404193,-6.88241522476419,-4.30262205519002,-1.72282888561585,56.5427685817903,68.3658837866124,82.9256256739427,52.053409660148,65.1055161905589,81.7929236989218,47.8932085989844,62.0182064717776,80.7874674551666,44.0555150527468,59.0940442516528,79.8774942735538,40.5242482443815,56.3237216700694,79.0442276894025,37.2796098339425,53.698494877808,78.2758241643057,34.3007695538752,51.2101480988745,77.5643809328241,"Decline","Decline","Moderate"
"Indian Spot-billed Duck","Anas poecilorhyncha","isbduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck","Anas poecilorhyncha","Least Concern","Schedule-II","","Appendix II",1000,"X","X","X",2222,0.0796579657965797,0.409484698469847,0.550855085508551,10.2160216021602,0.269154313823794,0.521555183331003,18.129963621579,38.905734474535,-2.45424753607858,-0.732429468892284,0.989388598294011,83.7093143232385,91.9393679931301,101.049435311475,81.7381683465861,91.2950322516751,102.068886813865,79.7836758042264,90.6618361637908,103.157809260189,77.8600444267852,90.0396157622132,104.30056815806,75.9747960326836,89.4282104558749,105.488295307219,74.131900539708,88.8274629667849,106.715752771883,72.3333361625713,88.237219268388,107.979770768484,"eBird Data Indecisive","Stable","Low"
"Eastern Spot-billed Duck","Anas zonorhyncha","spbduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Eastern Spot-billed Duck","Anas zonorhyncha","Chinese Spot-billed Duck","Anas zonorhyncha","Least Concern","Schedule-II","","Appendix II",NA,"","","",17,0.0588235294117647,0.316176470588235,0.529411764705882,15.4117647058824,2.43588668550831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","mallar3","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,"Mallard","Anas platyrhynchos","Mallard","Anas platyrhynchos","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",363,0.115702479338843,0.283402203856749,0.377410468319559,11.4077134986226,0.608310284604283,-51.6193802877125,-37.1014298054593,-17.4986255514684,-4.30274497739441,-1.96623303569304,0.370278906008331,71.3322762618446,89.4112278335651,112.324070178225,67.0977904258224,87.5773053694457,114.665663677697,63.0577240882472,85.7958783438579,117.22333133862,59.2315666231752,84.0652626798261,119.960459430785,55.6232275274519,82.3838349636033,122.857758284048,52.2288946481458,80.750030087576,125.905300488144,49.0408894495579,79.162338991717,129.098571408408,"eBird Data Indecisive","Stable","Low"
"Northern Pintail","Anas acuta","norpin","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Northern Pintail","Anas acuta","Northern Pintail","Anas acuta","Least Concern","Schedule-II","","Appendix II",20000,"X","X","X",1559,0.118665811417575,0.33426876202694,0.40795381654907,11.060936497755,0.324307904055579,-80.3577206165616,-75.6340206661839,-70.1632819418483,-8.54721833133589,-7.17806671328395,-5.80891509523202,40.6532364881792,46.8347780152469,54.0261876973304,36.0197487827724,42.5611081254718,50.3811515545966,31.8973154453737,38.6824264078998,47.0241088418841,28.2388138607947,35.1617784686964,43.9188356643175,24.9966806249172,31.9657081398173,41.0387497829537,22.1259392522043,29.063922534977,38.3628256918003,19.5853072078346,26.4289895332812,35.873555340452,"Rapid Decline","Rapid Decline","High"
"Green-winged Teal","Anas crecca","gnwtea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Common Teal","Anas crecca","Common Teal","Anas crecca","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1335,0.112359550561798,0.322378277153558,0.394007490636704,11.0307116104869,0.350305428358373,-77.0595050247139,-70.0547007059528,-60.1927332738314,-7.62473557938352,-5.68891858449174,-3.75310158959997,48.9568318678929,59.0409197074378,71.3843551117485,44.0612177161004,54.9424724845893,68.7556582340321,39.6300894321627,51.1393816525043,66.3073946947364,35.6341304443763,47.6096234590344,64.0053856858782,32.0380201973405,44.3328682852962,61.82816516562,28.8055720487125,41.2903465757455,59.7611040466044,25.9019760021391,38.4647256567376,57.7935129247944,"Rapid Decline","Rapid Decline","High"
"Andaman Teal","Anas albogularis","andtea1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Plant & Seed","Yes","Yes","No","Andaman Islands","Wetland","Resident",NA,NA,"Andaman Teal","Anas albogularis","Andaman Teal","Anas albogularis","Vulnerable","Schedule-I","","Appendix II",7,"","X","X",16,0.1875,0.3359375,0.3125,6.5,2.38041172909226,NA,NA,NA,1.36018611421415,8.45089751669345,15.5416089191727,115.278523287198,161.517269251254,227.492423004271,116.696455197376,173.652718716571,260.30071871633,118.005638631806,186.78788008192,298.562356404866,119.274658254683,201.011321332737,343.069264008249,120.544667535449,216.41994442196,394.786090794738,121.842022438101,233.11981103306,454.862878586921,123.184676420235,251.227053966087,524.658511582194,"eBird Data Deficient","eBird Data Indecisive","High"
"Marbled Teal","Marmaronetta angustirostris","martea1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",1,NA,"Marbled Duck","Marmaronetta angustirostris","Marbled Teal","Marmaronetta angustirostris","Near Threatened","Schedule-I","","Appendix I",50,"","","X",6,0.666666666666667,NA,NA,16.3333333333333,2.61333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient",NA
"Pink-headed Duck","Rhodonessa caryophyllacea","pihduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Uncertain",1,NA,"Pink-headed Duck","Rhodonessa caryophyllacea","Pink-headed Duck","Rhodonessa caryophyllacea","Critically Endangered","Schedule-I","Appendix I","Appendix II",1,"","","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient","High"
"White-winged Duck","Asarcornis scutulata","whwduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Resident",1,NA,"White-winged Wood Duck","Asarcornis scutulata","White-winged Duck","Asarcornis scutulata","Endangered","Schedule-I","Appendix I","Appendix II",5,"X","X","X",11,0.363636363636364,0.261363636363636,0.181818181818182,13.6363636363636,3.29323192759417,-74.2480102667831,-52.7554026674712,-15.2259712717379,-4.97865782066174,5.27237566895171,15.5234091585652,76.831428649801,134.457886194784,240.01243643218,73.5498096792105,142.088948310119,282.160663785843,70.3415691550929,150.340128184517,333.363883466173,67.2776982430621,159.268598448491,395.419591054129,64.3894981065681,168.937545227071,470.607196600285,61.6880933996748,179.416862220608,561.774584194448,59.1740958750134,190.783931735188,672.461692956791,"eBird Data Indecisive","eBird Data Indecisive","High"
