"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
2018,"Red-headed Bunting","2018",-6.28512102710823,1.10705219346331,0.000212822994977239,0.00186209552690935,0.0161885972026726,NA,NA,NA,3.31503719090258,66.2337115439158,1417.64994401119,NA,NA,NA,3.31503719090258,66.2337115439158,1417.64994401119
2019,"Red-headed Bunting","2019",-6.02012698268958,1.10485166894893,0.000278588280234664,0.0024264125791311,0.0209589426495506,NA,NA,NA,4.45600677405867,86.3061580516442,1942.51632676909,NA,NA,NA,4.45600677405867,86.3061580516442,1942.51632676909
2020,"Red-headed Bunting","2020",-5.97441736207466,1.10554854508857,0.000291218085385979,0.00253975265078819,0.021958015955699,NA,NA,NA,4.4580297090334,90.3376019298013,1771.46518019257,NA,NA,NA,4.4580297090334,90.3376019298013,1771.46518019257
2021,"Red-headed Bunting","2021",-6.15744416940224,1.10462283511486,0.000242956919345146,0.00211541808072327,0.0182864111049757,NA,NA,NA,3.25891252799213,75.2442551569645,1842.92241270359,NA,NA,NA,3.25891252799213,75.2442551569645,1842.92241270359
2022,"Red-headed Bunting","2022",-6.22252327027544,1.10423244632465,0.000227824995260747,0.00198226485407523,0.0171311807027072,NA,NA,NA,3.60605766055315,70.5080682763774,1167.77849486266,NA,NA,NA,3.60605766055315,70.5080682763774,1167.77849486266
2023,"Red-headed Bunting","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1488921876154,175.548778016025,1034.82500862449,38.1488921876154,175.548778016025,1034.82500862449
2024,"Red-headed Bunting","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1856856876489,189.113622935372,1582.48800119479,32.1856856876489,189.113622935372,1582.48800119479
2025,"Red-headed Bunting","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9126990786734,208.885618481826,2538.66011456436,27.9126990786734,208.885618481826,2538.66011456436
2026,"Red-headed Bunting","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9401046456446,236.495788643087,4261.66839352124,24.9401046456446,236.495788643087,4261.66839352124
2027,"Red-headed Bunting","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9769902537262,274.36648002458,7471.29533787069,22.9769902537262,274.36648002458,7471.29533787069
2028,"Red-headed Bunting","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8230935247324,326.041900146305,13648.4974984554,21.8230935247324,326.041900146305,13648.4974984554
2029,"Red-headed Bunting","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3509582547668,396.689148035867,25909.7148723661,21.3509582547668,396.689148035867,25909.7148723661
1992,"Gray-necked Bunting","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Gray-necked Bunting","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
