"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Slender-billed Babbler","Argya longirostris","","","",NA,NA,NA,NA,NA,NA
"Rufous Babbler","Argya subrufa","","","",NA,NA,NA,NA,NA,NA
"Jungle Babbler","Argya striata","","","",NA,NA,NA,NA,NA,NA
"Yellow-billed Babbler","Argya affinis","","","",NA,NA,NA,NA,NA,NA
"Common Babbler","Argya caudata","","","",NA,NA,NA,NA,NA,NA
"Striated Babbler","Argya earlei","","","X",10,NA,0.475,0.6,9.5,2.19134661794979
"Spot-breasted Laughingthrush","Garrulax merulinus","","","",1,NA,1,NA,9,NA
"Lesser Necklaced Laughingthrush","Garrulax monileger","","","X",26,0.0384615384615385,0.331730769230769,0.423076923076923,7.65384615384615,1.52187330841431
"White-crested Laughingthrush","Garrulax leucolophus","","","X",54,0.0925925925925926,0.282407407407407,0.444444444444444,6.2962962962963,1.06893717507924
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis","","","X",8,NA,0.410714285714286,0.5,11.875,3.17421250076298
"Moustached Laughingthrush","Ianthocincla cineracea","","","",NA,NA,NA,NA,NA,NA
"Spotted Laughingthrush","Ianthocincla ocellata","","X","X",11,NA,0.522727272727273,0.818181818181818,10.4545454545455,3.05206262730497
"Wayanad Laughingthrush","Pterorhinus delesserti","","","",NA,NA,NA,NA,NA,NA
"Rufous-vented Laughingthrush","Pterorhinus gularis","","X","X",7,0.285714285714286,0.392857142857143,0.285714285714286,7.57142857142857,3.89324200806132
"Yellow-throated Laughingthrush","Pterorhinus galbanus","","","",NA,NA,NA,NA,NA,NA
"Rufous-necked Laughingthrush","Pterorhinus ruficollis","","","X",24,0.0833333333333333,0.302083333333333,0.458333333333333,6.29166666666667,1.65791466567111
"Chestnut-backed Laughingthrush","Pterorhinus nuchalis","","","X",NA,NA,NA,NA,NA,NA
"White-browed Laughingthrush","Pterorhinus sannio","","","",NA,NA,NA,NA,NA,NA
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis","","","X",33,0.0606060606060606,0.291666666666667,0.454545454545455,7.45454545454545,1.53083486108098
"Mount Victoria Babax","Pterorhinus woodi","","","",NA,NA,NA,NA,NA,NA
"White-throated Laughingthrush","Pterorhinus albogularis","","","X",9,NA,0.486111111111111,0.888888888888889,9.77777777777778,3.51493603194169
"Gray-sided Laughingthrush","Pterorhinus caerulatus","X","X","X",12,0.166666666666667,0.447916666666667,0.583333333333333,9.08333333333333,3.1591002107268
"Goldcrest","Regulus regulus","","X","X",10,0.1,0.425,0.7,9.3,3.26731993467973
"Wallcreeper","Tichodroma muraria","","","X",15,0.133333333333333,0.316666666666667,0.466666666666667,8.4,2.58612502920231
"Indian Nuthatch","Sitta castanea","","","",NA,NA,NA,NA,NA,NA
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","","","X",40,0.125,0.35,0.575,7.2,1.25383448791175
"Chestnut-vented Nuthatch","Sitta nagaensis","","","",2,NA,0.571428571428571,1,4.5,4.9
"Kashmir Nuthatch","Sitta cashmirensis","","","",NA,NA,NA,NA,NA,NA
"White-tailed Nuthatch","Sitta himalayensis","","X","X",22,0.0454545454545455,0.363636363636364,0.5,7.68181818181818,2.18616612224451
"White-cheeked Nuthatch","Sitta leucopsis","","","",NA,NA,NA,NA,NA,NA
"Yunnan Nuthatch","Sitta yunnanensis","","","",2,NA,0.571428571428571,1,4.5,4.9
"Velvet-fronted Nuthatch","Sitta frontalis","","","X",4,NA,0.321428571428571,NA,6,2.77185858225127
"Beautiful Nuthatch","Sitta formosa","X","X","X",13,0.153846153846154,0.413461538461538,0.538461538461538,8.07692307692308,2.81121619395447
"Hodgson's Treecreeper","Certhia hodgsoni","","X","X",6,NA,0.458333333333333,0.5,10.3333333333333,4.5169862125586
"Bar-tailed Treecreeper","Certhia himalayana","","","X",3,NA,0.476190476190476,0.666666666666667,3.66666666666667,3.26666666666667
"Rusty-flanked Treecreeper","Certhia nipalensis","","X","X",9,0.111111111111111,0.402777777777778,0.444444444444444,10.8888888888889,3.52504128335864
"Sikkim Treecreeper","Certhia discolor","","X","X",10,NA,0.3875,0.7,8.1,3.33712024889058
"Hume's Treecreeper","Certhia manipurensis","","","",NA,NA,NA,NA,NA,NA
"Indian Spotted Creeper","Salpornis spilonota","","","",NA,NA,NA,NA,NA,NA
