India.Checklist.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,
Francolinus pictus,Least Concern,Schedule-II,,,
Tetraogallus tibetanus,Least Concern,Schedule-I,Appendix I,,
Tetraogallus himalayensis,Least Concern,Schedule-II,,,
Synoicus chinensis,Least Concern,Schedule-II,,,
Coturnix coturnix,Least Concern,Schedule-II,,Appendix II,
Coturnix japonica,Near Threatened,Schedule-II,,,
Coturnix coromandelica,Least Concern,Schedule-II,,,
Alectoris chukar,Least Concern,Schedule-II,,,
Perdicula asiatica,Least Concern,Schedule-II,,,
Perdicula argoondah,Least Concern,Schedule-II,,,
Perdicula erythrorhyncha,Least Concern,Schedule-II,,,
Perdicula manipurensis,Endangered,Schedule-I,,,
Ophrysia superciliosa,Critically Endangered,Schedule-I,,,
Phoenicopterus roseus,Least Concern,Schedule-II,,Appendix II,
Phoeniconaias minor,Near Threatened,Schedule-II,,Appendix II,
Tachybaptus ruficollis,Least Concern,Schedule-II,,,
Podiceps auritus,Vulnerable,Schedule-II,,Appendix II,
Podiceps grisegena,Least Concern,Schedule-II,,Appendix II,
Podiceps cristatus,Least Concern,Schedule-II,,,
Podiceps nigricollis,Least Concern,Schedule-II,,,
Columba livia,Least Concern,Not scheduled,,,
Columba rupestris,Least Concern,Schedule-II,,,
Columba leuconota,Least Concern,Schedule-II,,,
Columba eversmanni,Vulnerable,Schedule-I,,,
Columba palumbus,Least Concern,Schedule-II,,,
Columba hodgsonii,Least Concern,Schedule-II,,,
Columba pulchricollis,Least Concern,Schedule-II,,,
Columba elphinstonii,Vulnerable,Schedule-I,,,
Columba punicea,Vulnerable,Schedule-I,,,
Columba palumboides,Near Threatened,Schedule-II,,,
Streptopelia turtur,Vulnerable,Schedule-II,,,
Streptopelia orientalis,Least Concern,Schedule-II,,,
Streptopelia decaocto,Least Concern,Schedule-II,,,
Streptopelia tranquebarica,Least Concern,Schedule-II,,,
Spilopelia chinensis,Least Concern,Schedule-II,,,
Spilopelia senegalensis,Least Concern,Schedule-II,,,
Macropygia unchall,Least Concern,Schedule-II,,,
Macropygia rufipennis,Least Concern,Schedule-II,,,
Oena capensis,Least Concern,Schedule-II,,,
Chalcophaps indica,Least Concern,Schedule-II,,,
Caloenas nicobarica,Near Threatened,Schedule-I,Appendix I,,
Treron bicinctus,Least Concern,Schedule-II,,,
Treron affinis,Least Concern,Schedule-II,,,
Treron chloropterus,Near Threatened,Schedule-I,,,
Treron phayrei,Near Threatened,Schedule-II,,,
Treron curvirostra,Least Concern,Schedule-II,,,
Treron phoenicopterus,Least Concern,Schedule-II,,,
Treron apicauda,Least Concern,Schedule-II,,,
Treron sphenurus,Least Concern,Schedule-II,,,
Ducula aenea,Near Threatened,Schedule-II,,,
Ducula nicobarica,Near Threatened,Schedule-II,,,
Ducula cuprea,Least Concern,Schedule-II,,,
Ducula badia,Least Concern,Schedule-II,,,
Ducula bicolor,Least Concern,Schedule-II,,,
Syrrhaptes tibetanus,Least Concern,Schedule-II,,,
Syrrhaptes paradoxus,Least Concern,Schedule-II,,,
Pterocles alchata,Least Concern,Schedule-II,,,
Pterocles exustus,Least Concern,Schedule-II,,,
Pterocles senegallus,Least Concern,Schedule-II,,,
Pterocles orientalis,Least Concern,Schedule-II,,,
Pterocles indicus,Least Concern,Schedule-II,,,
Ardeotis nigriceps,Critically Endangered,Schedule-I,Appendix I,Appendix I,
Chlamydotis macqueenii,Vulnerable,Schedule-I,Appendix I,Appendix II,
Houbaropsis bengalensis,Critically Endangered,Schedule-I,Appendix I,Appendix I,
Sypheotides indicus,Critically Endangered,Schedule-I,Appendix II,,
Tetrax tetrax,Near Threatened,Schedule-I,Appendix II,Appendix I,
Centropus andamanensis,Least Concern,Schedule-II,,,
Centropus sinensis,Least Concern,Schedule-II,,,
Centropus bengalensis,Least Concern,Schedule-II,,,
Taccocua leschenaultii,Least Concern,Schedule-II,,,
Phaenicophaeus viridirostris,Least Concern,Schedule-II,,,
Phaenicophaeus tristis,Least Concern,Schedule-II,,,
Clamator coromandus,Least Concern,Schedule-II,,,
Clamator jacobinus,Least Concern,Schedule-II,,,
Eudynamys scolopaceus,Least Concern,Schedule-II,,,
Chrysococcyx maculatus,Least Concern,Schedule-II,,,
Chrysococcyx xanthorhynchus,Least Concern,Schedule-II,,,
Chrysococcyx basalis,Least Concern,Schedule-II,,,
Cacomantis sonneratii,Least Concern,Schedule-II,,,
Cacomantis merulinus,Least Concern,Schedule-II,,,
Cacomantis passerinus,Least Concern,Schedule-II,,,
Surniculus dicruroides,Least Concern,Schedule-II,,,
Surniculus lugubris,Least Concern,Schedule-II,,,
Hierococcyx sparverioides,Least Concern,Schedule-II,,,
Hierococcyx varius,Least Concern,Schedule-II,,,
Hierococcyx nisicolor,Least Concern,Schedule-II,,,
Cuculus poliocephalus,Least Concern,Schedule-II,,,
Cuculus micropterus,Least Concern,Schedule-II,,,
Cuculus saturatus,Least Concern,Schedule-II,,,
Cuculus canorus,Least Concern,Schedule-II,,,
Batrachostomus moniliger,Least Concern,Schedule-I,,,
Batrachostomus hodgsoni,Least Concern,Schedule-I,,,
Lyncornis macrotis,Least Concern,Schedule-II,,,
Caprimulgus indicus,Least Concern,Schedule-II,,,
Caprimulgus jotaka,Least Concern,Schedule-II,,,
Caprimulgus europaeus,Least Concern,Schedule-II,,,
Caprimulgus mahrattensis,Least Concern,Schedule-II,,,
Caprimulgus macrurus,Least Concern,Schedule-II,,,
Caprimulgus andamanicus,Least Concern,Schedule-II,,,
Caprimulgus atripennis,Least Concern,Schedule-II,,,
Caprimulgus asiaticus,Least Concern,Schedule-II,,,
Caprimulgus affinis,Least Concern,Schedule-II,,,
Zoonavena sylvatica,Least Concern,Schedule-II,,,
Hirundapus caudacutus,Least Concern,Schedule-II,,,
Hirundapus cochinchinensis,Least Concern,Schedule-II,,,
Hirundapus giganteus,Least Concern,Schedule-II,,,
Collocalia affinis,Not recognized,Schedule-II,,,
Aerodramus unicolor,Least Concern,Schedule-I,,,
Aerodramus brevirostris,Least Concern,Schedule-II,,,
Aerodramus fuciphagus,Least Concern,Not scheduled,,,
Tachymarptis melba,Least Concern,Schedule-II,,,
Apus apus,Least Concern,Schedule-II,,,
Apus pacificus,Least Concern,Schedule-II,,,
Apus leuconyx,Not recognized,Schedule-II,,,
Apus acuticauda,Vulnerable,Schedule-I,,,
Apus affinis,Least Concern,Schedule-II,,,
Apus nipalensis,Least Concern,Schedule-II,,,
Cypsiurus balasiensis,Least Concern,Schedule-II,,,
Hemiprocne coronata,Least Concern,Schedule-I,,,
Rallus aquaticus,Least Concern,Schedule-II,,,
Rallus indicus,Least Concern,Schedule-II,,,
Crex crex,Least Concern,Schedule-II,,Appendix II,
Lewinia striata,Least Concern,Schedule-II,,,
Porzana porzana,Least Concern,Schedule-II,,Appendix II,
Gallinula chloropus,Least Concern,Schedule-II,,,
Fulica atra,Least Concern,Schedule-II,,Appendix II,
Porphyrio poliocephalus,Not recognized,Schedule-II,,,
Poliolimnas cinereus,Least Concern,Schedule-II,,,
Gallicrex cinerea,Least Concern,Schedule-II,,,
Amaurornis phoenicurus,Least Concern,Schedule-II,,,
Rallina canningi,Least Concern,Schedule-II,,,
Rallina fasciata,Least Concern,Recent addition,,,
Rallina eurizonoides,Least Concern,Schedule-II,,,
Zapornia fusca,Least Concern,Schedule-II,,,
Zapornia akool,Least Concern,Schedule-II,,,
Zapornia parva,Least Concern,Schedule-II,,Appendix II,
Zapornia pusilla,Least Concern,Schedule-II,,,
Zapornia bicolor,Least Concern,Schedule-II,,,
Heliopais personatus,Critically Endangered,Schedule-I,,,
Grus virgo,Least Concern,Schedule-I,Appendix II,Appendix II,
Leucogeranus leucogeranus,Critically Endangered,Schedule-I,Appendix I,Appendix I,
Antigone antigone,Vulnerable,Schedule-I,Appendix II,Appendix II,
Grus grus,Least Concern,Schedule-I,Appendix II,Appendix II,
Grus nigricollis,Near Threatened,Schedule-I,Appendix I,Appendix I,
Esacus recurvirostris,Near Threatened,Schedule-II,,,
Esacus magnirostris,Near Threatened,Schedule-II,,,
Burhinus indicus,Least Concern,Schedule-II,,,
Himantopus himantopus,Least Concern,Schedule-II,,Appendix II,
Recurvirostra avosetta,Least Concern,Schedule-II,,Appendix II,
Ibidorhyncha struthersii,Least Concern,Schedule-I,,Appendix II,
Haematopus ostralegus,Near Threatened,Schedule-II,,Appendix II,
Pluvialis squatarola,Least Concern,Schedule-II,,Appendix II,
Pluvialis apricaria,Least Concern,Schedule-II,,Appendix II,
Pluvialis dominica,Least Concern,Schedule-II,,Appendix II,
Pluvialis fulva,Least Concern,Schedule-I,,Appendix II,
Charadrius hiaticula,Least Concern,Schedule-II,,Appendix II,
Charadrius dubius,Least Concern,Schedule-II,,Appendix II,
Charadrius placidus,Least Concern,Schedule-II,,Appendix II,
Vanellus vanellus,Near Threatened,Schedule-II,,Appendix II,
Vanellus duvaucelii,Near Threatened,Schedule-II,,,
Vanellus malabaricus,Least Concern,Schedule-II,,,
Vanellus cinereus,Least Concern,Schedule-II,,Appendix II,
Vanellus indicus,Least Concern,Schedule-II,,,
Vanellus gregarius,Critically Endangered,Schedule-I,,Appendix I,
Vanellus leucurus,Least Concern,Schedule-II,,Appendix II,
Anarhynchus asiaticus,Least Concern,Schedule-II,,Appendix II,
Anarhynchus veredus,Least Concern,Schedule-II,,Appendix II,
Anarhynchus atrifrons,Least Concern,Schedule-II,,Appendix II,
Anarhynchus leschenaultii,Least Concern,Schedule-II,,Appendix II,
Anarhynchus alexandrinus,Least Concern,Schedule-II,,Appendix II,
Rostratula benghalensis,Least Concern,Schedule-II,,,
Hydrophasianus chirurgus,Least Concern,Schedule-II,,,
Metopidius indicus,Least Concern,Schedule-II,,,
Numenius phaeopus,Least Concern,Schedule-II,,Appendix II,
Numenius arquata,Near Threatened,Schedule-II,,Appendix II,
Limosa lapponica,Near Threatened,Schedule-II,,Appendix II,
Limosa limosa,Near Threatened,Schedule-II,,Appendix II,
Limnodromus semipalmatus,Near Threatened,Schedule-II,,Appendix II,
Limnodromus scolopaceus,Least Concern,Schedule-II,,Appendix II,
Lymnocryptes minimus,Least Concern,Schedule-II,,Appendix II,
Scolopax rusticola,Least Concern,Schedule-II,,Appendix II,
Gallinago solitaria,Least Concern,Schedule-II,,Appendix II,
Gallinago nemoricola,Vulnerable,Schedule-I,,Appendix II,
Gallinago media,Near Threatened,Schedule-II,,Appendix II,
Gallinago megala,Least Concern,Schedule-II,,Appendix II,
Gallinago stenura,Least Concern,Schedule-II,,Appendix II,
Gallinago gallinago,Least Concern,Schedule-II,,Appendix II,
Phalaropus fulicarius,Least Concern,Schedule-II,,Appendix II,
Phalaropus lobatus,Least Concern,Schedule-II,,Appendix II,
Xenus cinereus,Least Concern,Schedule-II,,Appendix II,
Actitis hypoleucos,Least Concern,Schedule-II,,Appendix II,
Tringa ochropus,Least Concern,Schedule-II,,Appendix II,
Tringa brevipes,Near Threatened,Schedule-II,,Appendix II,
Tringa stagnatilis,Least Concern,Schedule-II,,Appendix II,
Tringa glareola,Least Concern,Schedule-II,,Appendix II,
Tringa totanus,Least Concern,Schedule-II,,Appendix II,
Tringa guttifer,Endangered,Recent addition,Appendix I,Appendix I,
Tringa erythropus,Least Concern,Schedule-II,,Appendix II,
Tringa nebularia,Least Concern,Schedule-I,,Appendix II,
Arenaria interpres,Least Concern,Schedule-II,,Appendix II,
Calidris tenuirostris,Endangered,Schedule-I,,Appendix I,
Calidris canutus,Near Threatened,Schedule-II,,Appendix II,
Calidris pugnax,Least Concern,Schedule-II,,Appendix II,
Calidris falcinellus,Least Concern,Schedule-II,,Appendix II,
Calidris acuminata,Vulnerable,Schedule-II,,Appendix II,
Calidris ferruginea,Near Threatened,Schedule-II,,Appendix II,
Calidris temminckii,Least Concern,Schedule-II,,Appendix II,
Calidris subminuta,Least Concern,Schedule-II,,Appendix II,
Calidris ruficollis,Near Threatened,Schedule-II,,Appendix II,
Calidris pygmaea,Critically Endangered,Schedule-I,,Appendix I,
Calidris subruficollis,Near Threatened,Schedule-II,,Appendix I,
Calidris alba,Least Concern,Schedule-II,,Appendix II,
Calidris alpina,Least Concern,Schedule-II,,Appendix II,
Calidris minuta,Least Concern,Schedule-II,,Appendix II,
Calidris melanotos,Least Concern,Schedule-II,,Appendix II,
Turnix tanki,Least Concern,Schedule-II,,,
Turnix suscitator,Least Concern,Schedule-II,,,
Turnix sylvaticus,Least Concern,Schedule-II,,,
Dromas ardeola,Least Concern,Schedule-II,,Appendix II,
Rhinoptilus bitorquatus,Critically Endangered,Schedule-I,,,
Cursorius cursor,Least Concern,Schedule-II,,,
Cursorius coromandelicus,Least Concern,Schedule-I,,,
Glareola lactea,Least Concern,Schedule-II,,,
Glareola maldivarum,Least Concern,Schedule-II,,,
Glareola pratincola,Least Concern,Schedule-II,,Appendix II,
Stercorarius longicaudus,Least Concern,Schedule-II,,,
Stercorarius parasiticus,Least Concern,Schedule-II,,,
Stercorarius pomarinus,Least Concern,Schedule-II,,,
Stercorarius antarcticus,Least Concern,Schedule-II,,,
Stercorarius maccormicki,Least Concern,Schedule-II,,,
Hydrocoloeus minutus,Least Concern,Schedule-II,,,
Rissa tridactyla,Vulnerable,Schedule-II,,,
Xema sabini,Least Concern,Schedule-II,,,
Chroicocephalus genei,Least Concern,Schedule-II,,Appendix II,
Chroicocephalus ridibundus,Least Concern,Schedule-II,,,
Chroicocephalus brunnicephalus,Least Concern,Schedule-II,,,
Leucophaeus atricilla,Least Concern,Recent addition,,,
Leucophaeus pipixcan,Least Concern,Schedule-II,,,
Ichthyaetus ichthyaetus,Least Concern,Schedule-II,,Appendix II,
Ichthyaetus hemprichii,Least Concern,Schedule-II,,Appendix II,
Ichthyaetus leucophthalmus,Least Concern,Schedule-II,,Appendix I,
Larus canus,Least Concern,Schedule-II,,,
Larus cachinnans,Least Concern,Schedule-II,,,
Larus smithsonianus mongolicus,Least Concern,Schedule-II,,,
Larus fuscus,Least Concern,Schedule-II,,,
Rynchops albicollis,Endangered,Schedule-I,,,
Gygis alba,Least Concern,Schedule-II,,,
Anous stolidus,Least Concern,Schedule-II,,,
Anous tenuirostris,Least Concern,Schedule-II,,,
Anous minutus,Least Concern,Schedule-II,,Appendix II,
Onychoprion fuscatus,Least Concern,Schedule-II,,,
Onychoprion anaethetus,Least Concern,Schedule-II,,,
Sternula albifrons,Least Concern,Schedule-II,,Appendix II,
Sternula saundersi,Least Concern,Schedule-II,,Appendix II,
Gelochelidon nilotica,Least Concern,Schedule-I,,Appendix II,
Hydroprogne caspia,Least Concern,Schedule-II,,Appendix II,
Chlidonias hybrida,Least Concern,Schedule-II,,,
Chlidonias niger,Least Concern,Schedule-II,,Appendix II,
Chlidonias leucopterus,Least Concern,Schedule-II,,Appendix II,
Sterna aurantia,Vulnerable,Schedule-I,,,
Sterna paradisaea,Least Concern,Schedule-II,,Appendix II,
Sterna hirundo,Least Concern,Schedule-II,,Appendix II,
Sterna repressa,Least Concern,Schedule-II,,Appendix II,
Sterna sumatrana,Least Concern,Schedule-II,,,
Sterna dougallii,Least Concern,Schedule-II,,Appendix II,
Sterna acuticauda,Endangered,Schedule-I,,,
Thalasseus sandvicensis,Least Concern,Schedule-II,,Appendix II,
Thalasseus bengalensis,Least Concern,Schedule-II,,Appendix II,
Thalasseus bergii,Least Concern,Schedule-II,,Appendix II,
Phaethon lepturus,Least Concern,Schedule-II,,,
Phaethon aethereus,Least Concern,Schedule-II,,,
Phaethon rubricauda,Least Concern,Schedule-II,,,
Gavia stellata,Least Concern,Schedule-II,,Appendix II,
Gavia arctica,Least Concern,Schedule-II,,Appendix II,
Phoebetria palpebrata,Near Threatened,Recent addition,,Appendix II,
Oceanites oceanicus,Least Concern,Schedule-II,,,
Pelagodroma marina,Least Concern,Schedule-II,,,
Fregetta tropica,Least Concern,Schedule-II,,,
Hydrobates monorhis,Near Threatened,Schedule-II,,,
Pterodroma baraui,Endangered,Schedule-II,,,
Bulweria fallax,Near Threatened,Schedule-II,,,
Calonectris leucomelas,Near Threatened,Schedule-II,,,
Calonectris borealis,Least Concern,Schedule-II,,,
Ardenna carneipes,Near Threatened,Schedule-II,,,
Ardenna pacifica,Least Concern,Schedule-II,,,
Ardenna grisea,Near Threatened,Recent addition,,,
Ardenna tenuirostris,Least Concern,Schedule-II,,,
Puffinus bailloni,Least Concern,Schedule-II,,,
Puffinus persicus,Least Concern,Schedule-II,,,
Anastomus oscitans,Least Concern,Schedule-II,,,
Ciconia nigra,Least Concern,Schedule-II,Appendix II,Appendix II,
Ciconia episcopus,Near Threatened,Schedule-II,,,
Ciconia ciconia,Least Concern,Schedule-I,,Appendix II,
Ephippiorhynchus asiaticus,Near Threatened,Schedule-II,,,
Leptoptilos javanicus,Near Threatened,Schedule-I,,,
Leptoptilos dubius,Near Threatened,Schedule-I,,,
Mycteria leucocephala,Least Concern,Schedule-II,Appendix I,,
Fregata ariel,Least Concern,Schedule-II,,,
Fregata minor,Least Concern,Schedule-II,,,
Fregata andrewsi,Vulnerable,Schedule-I,Appendix I,Appendix I,
Sula sula,Least Concern,Schedule-II,,,
Sula leucogaster,Least Concern,Schedule-II,,,
Sula dactylatra,Least Concern,Schedule-II,,,
Anhinga melanogaster,Near Threatened,Schedule-II,,,
Microcarbo niger,Least Concern,Schedule-II,,,
Phalacrocorax carbo,Least Concern,Schedule-II,,,
Phalacrocorax fuscicollis,Least Concern,Schedule-II,,,
Pelecanus onocrotalus,Least Concern,Schedule-II,,Appendix I,
Pelecanus philippensis,Near Threatened,Schedule-II,,,
Pelecanus crispus,Near Threatened,Schedule-II,Appendix I,Appendix I,
Botaurus stellaris,Least Concern,Schedule-II,,Appendix II,
Ixobrychus flavicollis,Least Concern,Schedule-II,,,
Ixobrychus cinnamomeus,Least Concern,Schedule-I,,,
Ixobrychus minutus,Least Concern,Schedule-II,,Appendix II,
Ixobrychus sinensis,Least Concern,Schedule-II,,,
Nycticorax nycticorax,Least Concern,Schedule-II,,,
Gorsachius melanolophus,Least Concern,Schedule-II,,,
Egretta sacra,Least Concern,Schedule-II,,,
Egretta eulophotes,Vulnerable,Schedule-II,,Appendix I,
Egretta garzetta,Least Concern,Schedule-II,,,
Egretta gularis,Least Concern,Schedule-II,,,
Oroanassa magnifica,Endangered,Schedule-I,,,
Butorides striata,Least Concern,Schedule-II,,,
Ardeola grayii,Least Concern,Schedule-II,,,
Ardeola bacchus,Least Concern,Schedule-II,,,
Ardeola speciosa,Least Concern,Schedule-II,,,
Bubulcus coromandus,Not recognized,Schedule-II,,,
Ardea alba,Least Concern,Schedule-II,,,
Ardea intermedia,Least Concern,Schedule-II,,,
Ardea cinerea,Least Concern,Schedule-II,,,
Ardea purpurea,Least Concern,Schedule-II,,,
Ardea insignis,Critically Endangered,Schedule-I,,,
Ardea goliath,Least Concern,Schedule-II,,,
Plegadis falcinellus,Least Concern,Schedule-II,,Appendix II,
Threskiornis melanocephalus,Near Threatened,Schedule-II,,,
Pseudibis papillosa,Least Concern,Schedule-II,,,
Platalea leucorodia,Least Concern,Schedule-I,Appendix II,Appendix II,
Pandion haliaetus,Least Concern,Schedule-I,Appendix II,Appendix II,
Elanus caeruleus,Least Concern,Schedule-II,Appendix II,,
Gypaetus barbatus,Near Threatened,Schedule-I,Appendix II,Appendix II,
Neophron percnopterus,Endangered,Schedule-I,Appendix II,Appendix I,
Pernis apivorus,Least Concern,Schedule-II,Appendix II,Appendix II,
Pernis ptilorhynchus,Least Concern,Schedule-II,Appendix II,Appendix II,
Aviceda jerdoni,Least Concern,Schedule-I,Appendix II,Appendix II,
Aviceda leuphotes,Least Concern,Schedule-I,Appendix II,Appendix II,
Sarcogyps calvus,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Aegypius monachus,Near Threatened,Schedule-I,Appendix II,Appendix II,
Gyps bengalensis,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Gyps indicus,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Gyps tenuirostris,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Gyps himalayensis,Near Threatened,Schedule-I,Appendix II,Appendix II,
Gyps fulvus,Least Concern,Schedule-I,Appendix II,Appendix II,
Spilornis klossi,Endangered,Schedule-I,Appendix II,,
Spilornis cheela,Least Concern,Schedule-I,Appendix II,,
Spilornis elgini,Vulnerable,Schedule-I,Appendix II,,
Circaetus gallicus,Least Concern,Schedule-I,Appendix II,Appendix II,
Nisaetus kelaarti,Not recognized,Schedule-II,Appendix II,,
Nisaetus nipalensis,Near Threatened,Schedule-I,Appendix II,,
Nisaetus cirrhatus,Least Concern,Schedule-I,Appendix II,,
Lophotriorchis kienerii,Near Threatened,Schedule-I,Appendix II,,
Ictinaetus malaiensis,Least Concern,Schedule-I,Appendix II,,
Clanga hastata,Vulnerable,Schedule-I,Appendix II,,
Clanga clanga,Vulnerable,Schedule-I,Appendix II,Appendix I,
Hieraaetus pennatus,Least Concern,Schedule-I,Appendix II,Appendix II,
Aquila rapax,Vulnerable,Schedule-I,Appendix II,Appendix II,
Aquila nipalensis,Endangered,Schedule-I,Appendix II,Appendix I,
Aquila heliaca,Vulnerable,Schedule-I,Appendix I,Appendix I,
Aquila chrysaetos,Least Concern,Schedule-I,Appendix II,Appendix II,
Aquila fasciata,Least Concern,Schedule-I,Appendix II,,
Butastur teesa,Least Concern,Schedule-I,Appendix II,,
Butastur liventer,Least Concern,Recent addition,Appendix II,,
Butastur indicus,Least Concern,Schedule-I,Appendix II,Appendix II,
Circus aeruginosus,Least Concern,Schedule-I,Appendix II,Appendix II,
Circus spilonotus,Least Concern,Schedule-I,Appendix II,Appendix II,
Circus cyaneus,Least Concern,Schedule-I,Appendix II,Appendix II,
Circus macrourus,Near Threatened,Schedule-I,Appendix II,Appendix II,
Circus melanoleucos,Least Concern,Schedule-I,Appendix II,Appendix II,
Circus pygargus,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter trivirgatus,Least Concern,Schedule-I,Appendix II,,
Accipiter badius,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter butleri,Vulnerable,Schedule-I,Appendix II,,
Accipiter soloensis,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter gularis,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter virgatus,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter nisus,Least Concern,Schedule-I,Appendix II,Appendix II,
Accipiter gentilis,Least Concern,Schedule-I,Appendix II,Appendix II,
Milvus milvus,Least Concern,Schedule-I,Appendix II,Appendix II,
Milvus migrans,Least Concern,Schedule-II,Appendix II,Appendix II,
Haliastur indus,Least Concern,Schedule-I,Appendix II,,
Haliaeetus leucoryphus,Endangered,Schedule-I,Appendix II,Appendix I,
Haliaeetus albicilla,Least Concern,Schedule-I,Appendix I,Appendix I,
Icthyophaga leucogaster,Least Concern,Schedule-I,Appendix II,Appendix II,
Icthyophaga humilis,Near Threatened,Schedule-I,Appendix II,,
Icthyophaga ichthyaetus,Near Threatened,Schedule-I,Appendix II,,
Buteo lagopus,Least Concern,Schedule-II,Appendix II,Appendix II,
Buteo buteo,Least Concern,Schedule-I,Appendix II,Appendix II,
