India.Checklist.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,
Dendrocygna bicolor,Least Concern,Schedule-I,,Appendix II,
Dendrocygna javanica,Least Concern,Schedule-II,,,
Anser indicus,Least Concern,Schedule-II,,Appendix II,
Anser anser,Least Concern,Schedule-II,,Appendix II,
Anser albifrons,Least Concern,Schedule-II,,Appendix II,
Anser erythropus,Vulnerable,Schedule-II,,Appendix I,
Anser fabalis,Least Concern,Schedule-II,,Appendix II,
Anser serrirostris,Not recognized,Schedule-II,,Appendix II,
Branta leucopsis,Least Concern,Recent addition,,Appendix II,
Branta ruficollis,Vulnerable,Schedule-II,Appendix II,Appendix I,
Cygnus olor,Least Concern,Schedule-II,,Appendix II,
Cygnus columbianus,Least Concern,Schedule-II,,Appendix II,
Cygnus cygnus,Least Concern,Schedule-II,,Appendix II,
Sarkidiornis melanotos,Least Concern,Schedule-II,Appendix II,Appendix II,
Tadorna ferruginea,Least Concern,Schedule-II,,Appendix II,
Tadorna tadorna,Least Concern,Schedule-II,,Appendix II,
Nettapus coromandelianus,Least Concern,Schedule-I,,Appendix II,
Aix galericulata,Least Concern,Schedule-II,,Appendix II,
Sibirionetta formosa,Least Concern,Schedule-II,Appendix II,Appendix I,
Spatula querquedula,Least Concern,Schedule-II,,Appendix II,
Spatula clypeata,Least Concern,Schedule-II,,Appendix II,
Mareca strepera,Least Concern,Schedule-II,,Appendix II,
Mareca falcata,Near Threatened,Schedule-II,,Appendix II,
Mareca penelope,Least Concern,Schedule-II,,Appendix II,
Anas poecilorhyncha,Least Concern,Schedule-II,,Appendix II,
Anas zonorhyncha,Least Concern,Schedule-II,,Appendix II,
Anas platyrhynchos,Least Concern,Schedule-II,,Appendix II,
Anas acuta,Least Concern,Schedule-II,,Appendix II,
Anas crecca,Least Concern,Schedule-II,,Appendix II,
Anas albogularis,Vulnerable,Schedule-I,,,
Marmaronetta angustirostris,Near Threatened,Schedule-I,,Appendix I,
Rhodonessa caryophyllacea,Critically Endangered,Schedule-I,Appendix I,Appendix II,
Asarcornis scutulata,Endangered,Schedule-I,Appendix I,Appendix II,
Netta rufina,Least Concern,Schedule-II,,Appendix II,
Aythya ferina,Vulnerable,Schedule-I,,Appendix II,
Aythya nyroca,Near Threatened,Schedule-II,,Appendix I,
Aythya baeri,Critically Endangered,Schedule-I,,Appendix I,
Aythya fuligula,Least Concern,Schedule-II,,Appendix II,
Aythya marila,Least Concern,Schedule-II,,Appendix II,
Clangula hyemalis,Vulnerable,Schedule-II,,Appendix II,
Bucephala clangula,Least Concern,Schedule-II,,Appendix II,
Mergellus albellus,Least Concern,Schedule-II,,Appendix II,
Mergus merganser,Least Concern,Schedule-II,,Appendix II,
Mergus serrator,Least Concern,Schedule-II,,Appendix II,
Oxyura leucocephala,Endangered,Schedule-I,Appendix II,Appendix I,
Megapodius nicobariensis,Vulnerable,Schedule-I,,,
Arborophila torqueola,Least Concern,Schedule-II,,,
Arborophila mandellii,Near Threatened,Schedule-I,,,
Arborophila rufogularis,Least Concern,Schedule-II,,,
Arborophila atrogularis,Least Concern,Schedule-II,,,
Lerwa lerwa,Least Concern,Schedule-II,,,
Ithaginis cruentus,Least Concern,Schedule-I,Appendix II,,
Tragopan melanocephalus,Vulnerable,Schedule-I,Appendix I,,
Tragopan satyra,Near Threatened,Schedule-I,,,
Tragopan blythii,Vulnerable,Schedule-I,Appendix I,,
Tragopan temminckii,Least Concern,Schedule-I,,,
Lophophorus impejanus,Least Concern,Schedule-I,Appendix I,,
Lophophorus sclateri,Least Concern,Schedule-I,Appendix I,,
Pucrasia macrolopha,Least Concern,Schedule-II,,,
Perdix hodgsoniae,Least Concern,Schedule-I,,,
Syrmaticus humiae,Vulnerable,Schedule-I,Appendix I,,
Catreus wallichii,Vulnerable,Schedule-I,Appendix I,,
Lophura leucomelanos,Least Concern,Schedule-I,,,
Pavo cristatus,Least Concern,Schedule-I,,,
Pavo muticus,Endangered,Schedule-I,Appendix II,,
Galloperdix spadicea,Least Concern,Schedule-II,,,
Galloperdix lunulata,Least Concern,Schedule-II,,,
Polyplectron bicalcaratum,Least Concern,Schedule-I,Appendix II,,
Bambusicola fytchii,Least Concern,Schedule-I,,,
Gallus gallus,Least Concern,Schedule-II,,,
Gallus sonneratii,Least Concern,Schedule-I,Appendix II,,
Ortygornis pondicerianus,Least Concern,Schedule-II,,,
Ortygornis gularis,Vulnerable,Schedule-I,,,
Francolinus pintadeanus,Least Concern,Schedule-II,,,
Francolinus francolinus,Least Concern,Schedule-II,,,
