"eBird.Scientific.Name.2023","CMS.Appendix.New","CMS.Appendix.Old"
"Schoeniparus rufogularis","","Appendix II"
"Schoeniparus dubius","","Appendix II"
"Pellorneum ruficeps","","Appendix II"
"Pellorneum palustre","","Appendix II"
"Pellorneum albiventre","","Appendix II"
"Pellorneum tickelli","","Appendix II"
"Laticilla burnesii","","Appendix II"
"Laticilla cinerascens","","Appendix II"
"Malacocincla abbotti","","Appendix II"
"Gypsophila brevicaudata","","Appendix II"
"Napothera epilepidota","","Appendix II"
"Napothera malacoptila","","Appendix II"
"Alcippe poioicephala","","Appendix II"
"Alcippe nipalensis","","Appendix II"
"Grammatoptila striata","","Appendix II"
"Cutia nipalensis","","Appendix II"
"Trochalopteron subunicolor","","Appendix II"
"Trochalopteron austeni","","Appendix II"
"Trochalopteron squamatum","","Appendix II"
"Trochalopteron lineatum","","Appendix II"
"Trochalopteron imbricatum","","Appendix II"
"Trochalopteron virgatum","","Appendix II"
"Trochalopteron variegatum","","Appendix II"
"Trochalopteron affine","","Appendix II"
"Trochalopteron elliotii","","Appendix II"
"Trochalopteron erythrocephalum","","Appendix II"
"Trochalopteron chrysopterum","","Appendix II"
"Montecincla jerdoni","","Appendix II"
"Montecincla cachinnans","","Appendix II"
"Montecincla fairbanki","","Appendix II"
"Montecincla meridionalis","","Appendix II"
"Heterophasia picaoides","","Appendix II"
"Heterophasia capistrata","","Appendix II"
"Heterophasia pulchella","","Appendix II"
"Heterophasia gracilis","","Appendix II"
"Actinodura nipalensis","","Appendix II"
"Actinodura waldeni","","Appendix II"
"Actinodura cyanouroptera","","Appendix II"
"Actinodura strigula","","Appendix II"
"Actinodura egertoni","","Appendix II"
"Leiothrix lutea","","Appendix II"
"Leiothrix argentauris","","Appendix II"
"Minla ignotincta","","Appendix II"
"Leioptila annectens","","Appendix II"
"Liocichla bugunorum","","Appendix II"
"Liocichla phoenicea","","Appendix II"
"Argya malcolmi","","Appendix II"
"Argya longirostris","","Appendix II"
"Argya subrufa","","Appendix II"
"Argya striata","","Appendix II"
"Argya affinis","","Appendix II"
"Argya caudata","","Appendix II"
"Argya earlei","","Appendix II"
"Garrulax merulinus","","Appendix II"
"Garrulax monileger","","Appendix II"
"Garrulax leucolophus","","Appendix II"
"Ianthocincla rufogularis","","Appendix II"
"Ianthocincla cineracea","","Appendix II"
"Ianthocincla ocellata","","Appendix II"
"Pterorhinus delesserti","","Appendix II"
"Pterorhinus gularis","","Appendix II"
"Pterorhinus galbanus","","Appendix II"
"Pterorhinus ruficollis","","Appendix II"
"Pterorhinus nuchalis","","Appendix II"
"Pterorhinus sannio","","Appendix II"
"Pterorhinus pectoralis","","Appendix II"
"Pterorhinus woodi","","Appendix II"
"Pterorhinus albogularis","","Appendix II"
"Pterorhinus caerulatus","","Appendix II"
"Sturnus vulgaris","Appendix II",""
"Pastor roseus","Appendix II",""
"Saroglossa spilopterus","Appendix II",""
"Grandala coelicolor","","Appendix II"
"Zoothera marginata","","Appendix II"
"Zoothera monticola","","Appendix II"
"Zoothera neilgherriensis","","Appendix II"
"Cochoa purpurea","","Appendix II"
"Cochoa viridis","","Appendix II"
"Turdus mupinensis","","Appendix II"
"Turdus boulboul","","Appendix II"
"Turdus simillimus","","Appendix II"
"Turdus dissimilis","","Appendix II"
"Turdus albocinctus","","Appendix II"
"Copsychus fulicatus","","Appendix II"
"Copsychus saularis","","Appendix II"
"Copsychus malabaricus","","Appendix II"
"Copsychus albiventris","","Appendix II"
"Leucoptilon concretum","","Appendix II"
"Sholicola major","","Appendix II"
"Sholicola albiventris","","Appendix II"
"Niltava grandis","","Appendix II"
"Niltava macgrigoriae","","Appendix II"
"Niltava sundara","","Appendix II"
"Eumyias albicaudatus","","Appendix II"
"Anthipes monileger","","Appendix II"
"Cyornis pallidipes","","Appendix II"
"Cyornis poliogenys","","Appendix II"
"Cyornis unicolor","","Appendix II"
"Cyornis whitei","","Appendix II"
"Cyornis tickelliae","","Appendix II"
"Cyornis nicobaricus","","Appendix II"
"Brachypteryx hyperythra","","Appendix II"
"Brachypteryx leucophris","","Appendix II"
"Brachypteryx cruralis","","Appendix II"
"Heteroxenicus stellatus","","Appendix II"
"Myophonus horsfieldii","","Appendix II"
"Myophonus caeruleus","","Appendix II"
"Enicurus scouleri","","Appendix II"
"Enicurus leschenaulti","","Appendix II"
"Enicurus maculatus","","Appendix II"
"Enicurus immaculatus","","Appendix II"
"Enicurus schistaceus","","Appendix II"
"Myiomela leucura","","Appendix II"
"Cinclidium frontale","","Appendix II"
"Tarsiger hyperythrus","","Appendix II"
"Tarsiger indicus","","Appendix II"
"Tarsiger chrysaeus","","Appendix II"
"Ficedula nigrorufa","","Appendix II"
"Ficedula hodgsoni","","Appendix II"
