"eBird.Scientific.Name.2022","SOIB.Concern.Status.Old","SOIB.Concern.Status.New"
"Anorrhinus austeni","Moderate","High"
"Alcedo hercules","Moderate",NA
"Ceyx rufidorsa",NA,"Moderate"
"Pelargopsis amauroptera","High",NA
"Halcyon coromanda","Moderate",NA
"Halcyon pileata","High","Moderate"
"Megaceryle lugubris","Moderate","Low"
"Coracias garrulus","Moderate","Low"
"Coracias benghalensis","Moderate","Low"
"Coracias affinis","Low",NA
"Psilopogon malabaricus","Low","Moderate"
"Psilopogon franklinii","Low","Moderate"
"Hemicircus canente","Moderate","High"
"Yungipicus canicapillus","Low","Moderate"
"Dryobates cathpharius","Moderate",NA
"Chrysocolaptes festivus","Moderate","Low"
"Dinopium javanense","Low","Moderate"
"Microhierax melanoleucos","Moderate",NA
"Falco tinnunculus","High","Moderate"
"Falco chicquera","Moderate","High"
"Falco amurensis","Moderate","Low"
"Falco severus","Moderate",NA
"Falco cherrug","High",NA
"Psittacula finschii","Moderate",NA
"Psittacula roseata","Moderate",NA
"Psittacula columboides","Low","Moderate"
"Psittacula alexandri","Low","Moderate"
"Psittacula longicauda","High","Low"
"Serilophus rubropygius","Moderate",NA
"Pitta sordida","Moderate",NA
"Pitta megarhyncha","High",NA
"Pericrocotus erythropygius","Moderate","Low"
"Pericrocotus cinnamomeus","Low","High"
"Pericrocotus brevirostris","Moderate","Low"
"Pericrocotus ethologus","Low","Moderate"
"Pericrocotus flammeus","Moderate","Low"
"Pericrocotus roseus","Low",NA
"Coracina macei","Moderate","High"
"Lalage melanoptera","Low","Moderate"
"Pteruthius aeralatus","Low","Moderate"
"Pteruthius melanotis","Low",NA
"Oriolus tenuirostris","High",NA
"Artamus fuscus","Low","Moderate"
"Tephrodornis virgatus","Moderate","Low"
"Tephrodornis pondicerianus","Moderate","High"
"Hemipus picatus","Low","Moderate"
"Aegithina tiphia","Low","Moderate"
"Aegithina nigrolutea","Moderate","Low"
