,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
89,Bhutan Laughingthrush,2018,2025,4189.53,6021.88,"list(c(92.5837744, 92.5749043, 92.5606996, 92.5563095, 92.3922562, 92.0755674, 91.7327717, 91.6585986, 91.646814, 92.1285391, 92.4138907, 92.5837744, 27.0996828, 27.1656977, 27.2062766, 27.2180052, 27.3977791, 27.6411097, 27.7787436, 27.5791778, 27.5143452, 27.0701915, 27.0188946, 27.0996828))"
90,Banasura Laughingthrush,2017,2025,540.09,1667.02,"list(c(76.1664024, 75.9323443, 75.9128106, 75.9134314, 76.115874, 76.1181092, 76.1488876, 76.1664024, 11.4619665, 11.9388759, 11.6919165, 11.6883854, 11.429239, 11.428011, 11.4119017, 11.4619665))"
91,Nicobar Hooded Pitta,2022,2025,606.02,1335.91,"list(c(93.9323599, 93.932346, 93.9312887, 93.8870348, 93.7349042, 93.8262665, 93.8939334, 93.8959512, 93.9267258, 93.9323599, 7.0076302, 7.01235, 7.0210025, 7.0930682, 7.18593, 6.7590989, 6.8114305, 6.8165861, 6.9733061, 7.0076302))"
92,White-breasted Woodswallow,2013,2025,12799.41,19344.16,"list(c(93.0595563, 93.0473561, 92.8945652, 92.7072958, 92.5351175, 92.4894773, 92.4807644, 92.5044239, 92.5046978, 92.514602, 92.5292, 92.5632274, 93.0288, 93.0595563, 13.3426082, 13.6298974, 13.4165066, 13.0947506, 11.5874627, 10.7247936, 10.519881, 10.5118752, 10.5118918, 10.5142833, 10.5209812, 10.571181, 11.8317, 13.3426082))"
93,Hill Prinia,2021,2025,6807.28,10605.68,"list(c(97.0206703, 97.0317327, 96.3997475, 96.3094686, 96.2161221, 96.9293407, 97.006069, 97.017525, 97.0206703, 27.2211735, 28.1823206, 27.9773579, 27.9162941, 27.4986006, 27.2065862, 27.1905297, 27.1997996, 27.2211735))"
94,Hume's Boobook,2019,2025,11804.77,17424.16,"list(c(93.0529227, 93.0595563, 92.8955776, 92.7197468, 92.5369097, 92.5321636, 92.558183, 93.0529227, 11.8325291, 13.3426082, 13.4145966, 12.8995159, 11.5696797, 10.5945309, 10.5779546, 11.8325291))"
95,Sikkim Wedge-billed Babbler,2022,2025,1633.05,3134.96,"list(c(92.58084, 92.5780468, 92.3288157, 91.7149089, 92.2538893, 92.4142939, 92.5460029, 92.58084, 27.166096, 27.1773087, 27.3352491, 27.6191618, 27.1078747, 27.0134702, 27.1111555, 27.166096))"
96,Naga Wren-Babbler,2014,2025,8977.34,12211.95,"list(c(95.0577059, 94.6446409, 94.0173695, 93.857746, 94.4392523, 94.444281, 95.015278, 95.0293818, 95.0300052, 95.0577059, 26.411664, 26.2063142, 25.7048745, 25.572534, 25.1124142, 25.113778, 25.811607, 25.8292047, 25.8316559, 26.411664))"
97,Andaman Masked-Owl,2017,2025,8488.25,15638.56,"list(c(93.0529227, 93.0413555, 93.0395551, 92.9719638, 92.9515172, 92.6187372, 92.4894773, 92.5251955, 92.5396542, 92.5614928, 93.0529227, 11.8325291, 13.2063628, 13.217566, 13.2418664, 13.2280776, 11.6093616, 10.7247936, 10.5891976, 10.5391831, 10.5700245, 11.8325291))"
98,Lesser White-fronted Goose,2019,2025,6853.2,39181.47,"list(c(94.2532977, 76.0604954, 76.0087771, 76.0048699, 94.2532977, 26.9298145, 32.044096, 31.9965368, 31.9877391, 26.9298145))"
99,Amur Stonechat,2018,2025,3463.14,7624.89,"list(c(93.0204104, 93.0169594, 93.01154, 92.9905491, 92.7720555, 92.595258, 92.5265902, 92.5262547, 92.540459, 92.5414742, 93.0204104, 11.9500449, 11.9792055, 11.9891614, 12.0188278, 11.8953617, 11.665843, 10.6066678, 10.5903369, 10.5895529, 10.5914295, 11.9500449))"
100,Black-headed Greenfinch,2014,2025,7557.89,11005.96,"list(c(97.0470181, 97.0330708, 95.9647937, 95.881085, 95.9712579, 96.3951762, 96.8103544, 96.9118233, 96.9410893, 96.9470126, 97.0470181, 28.1648524, 28.3198053, 28.8450721, 28.814743, 28.3263755, 27.9791279, 27.867759, 27.8872289, 27.9082901, 27.9166723, 28.1648524))"
101,Great Spotted Woodpecker,2019,2025,38.67,1460.02,"list(c(94.4981365, 94.4946307, 94.494, 94.4935955, 94.4356804, 94.4454698, 94.4981365, 25.5730041, 25.569216, 25.568, 25.5651752, 25.1231597, 25.1176642, 25.5730041))"
102,Mangrove Pitta,2017,2025,7273.03,12895.08,"list(c(88.913859, 88.8312077, 88.7858975, 88.7067212, 88.6646569, 86.8418598, 86.781477, 86.9441667, 88.7831986, 88.913859, 21.860828, 22.1238196, 22.1073489, 22.0779554, 22.0520532, 20.7677511, 20.651877, 20.645, 21.7271692, 21.860828))"
103,Wilson's Storm-Petrel,2024,2025,2331.47,6898.68,"list(c(76.9864404, 76.1877276, 76.1895257, 76.3260667, 76.3293386, 76.3827888, 76.4581956, 76.5181807, 76.6482103, 76.9864404, 8.3763486, 10.1092047, 10.0984272, 9.457925, 9.4432621, 9.3095849, 9.1355638, 9.0179694, 8.8124828, 8.3763486))"
104,Flesh-footed Shearwater,2024,2025,943.97,4539.95,"list(c(76.9864622, 76.9864404, 76.2889307, 76.4624728, 76.8887938, 76.9864622, 8.3761988, 8.3763486, 9.6687367, 9.1344856, 8.5060232, 8.3761988))"
105,Northern Wheatear,2022,2025,13902.02,18411.72,"list(c(78.9833092, 78.9730434, 77.6101426, 77.4313926, 77.5794349, 78.9546928, 78.9833092, 32.7782812, 32.7924329, 34.6050692, 34.2046603, 32.9081674, 32.7802615, 32.7782812))"
106,Asian Stubtail,2022,2025,2.4,388.61,"list(c(92.34956, 92.346051, 92.3426307, 92.3234421, 92.3362079, 92.3400507, 92.34956, 24.352641, 24.3613764, 24.3649448, 24.3658858, 24.3546651, 24.3522479, 24.352641))"
107,Sichuan Leaf Warbler,2018,2025,24372.94,30619.27,"list(c(97.0084996, 97.0408903, 97.0349179, 97.0330955, 97.0247109, 96.5554686, 96.3462674, 94.021724, 97.0004062, 97.0084996, 27.1995405, 28.1700995, 28.2231421, 28.2382483, 28.303012, 28.068914, 27.9227414, 25.6360936, 27.1936037, 27.1995405))"
108,Yunnan Nuthatch,2021,2025,61.55,866.17,"list(c(97.0483528, 97.0330708, 97.02263, 97.002115, 97.0017893, 97.003518, 97.014406, 97.0193195, 97.0483528, 28.1640393, 28.3198053, 28.3034927, 28.1445485, 28.1419921, 28.135643, 28.1274108, 28.1289167, 28.1640393))"
109,Gray-eyed Bulbul,2021,2025,11.5,438.87,"list(c(94.349514, 94.2801124, 94.2794396, 94.2883918, 94.3201624, 94.3433384, 94.349514, 24.3391102, 24.3392687, 24.3391989, 24.3250797, 24.3186115, 24.3338977, 24.3391102))"
110,Hainan Blue Flycatcher,2021,2025,7323.88,9625.69,"list(c(96.3914694, 95.8370812, 95.2631434, 95.4261732, 96.3914694, 27.4972833, 28.1672447, 27.8504502, 27.2247153, 27.4972833))"
111,Pale Rosefinch,2019,2025,51.4,1283.83,"list(c(77.4574327, 77.1720769, 77.1120806, 77.0418687, 77.4574327, 34.5807898, 34.7562641, 34.7840736, 34.8032985, 34.5807898))"
112,Nicobar Scops-Owl,2018,2025,300.05,965.63,"list(c(93.5464676, 93.5380899, 93.1295719, 93.1226245, 93.1176793, 93.1240347, 93.1629942, 93.5433623, 93.5464676, 8.0730876, 8.0850165, 8.2991059, 8.29451450000001, 8.2820643, 8.2667803, 8.2187765, 8.0388505, 8.0730876))"
113,Nicobar Parakeet,2019,2025,2511.18,5066.54,"list(c(93.535, 93.5078606, 92.8166612, 92.8213209, 93.1251749, 93.3865515, 93.4488365, 93.535, 8.075, 8.12826379999999, 9.1745842, 9.1561683, 8.30446359999999, 8.0031774, 7.9395562, 8.075))"
114,Derbyan Parakeet,2021,2025,59.9,710.62,"list(c(97.0483528, 97.0330708, 97.0249368, 97.0017893, 97.0112629, 97.0195891, 97.0483528, 28.1640393, 28.3198053, 28.3043066, 28.1419921, 28.1198732, 28.1293326, 28.1640393))"
