,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
23,Siberian Pipit,2019,2025,4985.46,7221.22,"list(c(77.6358038, 77.6341152, 77.5287224, 77.5254803, 75.9644172, 75.9052253, 76.1533931, 77.6354251, 77.6358038, 34.069587, 34.0705424, 34.121036, 34.1214309, 32.1009774, 31.9564133, 31.9601269, 34.0594053, 34.069587))"
24,Eurasian Nightjar,2018,2025,11825.17,13697.81,"list(c(70.9728616, 70.2163036, 68.9648142, 68.8218199, 68.7919076, 68.8097334, 69.4213885, 69.5501812, 70.9728616, 23.6292971, 23.9080008, 23.6318297, 23.3047154, 23.2204735, 23.2040375, 23.0383668, 23.0677722, 23.6292971))"
25,Marbled Duck,2012,2025,5810.07,17991.16,"list(c(77.5227929, 75.403419, 76.64077, 77.5227929, 27.1619059, 32.0860951, 28.7572639, 27.1619059))"
26,Mishmi Wren-Babbler,2021,2025,6634.9,8938.5,"list(c(96.5008754, 96.0918613, 95.8813359, 95.8663925, 95.8006215, 95.8064938, 96.3646531, 96.5008754, 28.7472724, 29.1146624, 28.8163467, 28.7469386, 28.2207717, 28.1917352, 27.9176285, 28.7472724))"
27,Moustached Laughingthrush,2015,2025,17979.41,26634.21,"list(c(94.8564559, 94.856, 94.5015852, 94.0021, 93.2079973, 93.2068036, 93.0331397, 93.2852044, 94.8564559, 25.8178444, 25.818, 25.8304874, 25.6267, 23.673318, 23.6697978, 22.6417385, 23.0518055, 25.8178444))"
28,Brown-capped Laughingthrush,2014,2025,14540.89,21063.47,"list(c(94.5407813, 94.0091088, 93.945182, 93.0443628, 93.2824033, 94.4469, 94.5395749, 94.5407813, 25.639216, 25.6547242, 25.638571, 22.682493, 23.047375, 25.1138, 25.6182138, 25.639216))"
29,White-browed Laughingthrush,2021,2025,9842.18,13370.13,"list(c(94.8208958, 94.0295889, 94.0254665, 93.857746, 93.5960031, 94.443992, 94.8208958, 25.7979715, 25.6718648, 25.6698419, 25.572534, 24.1364366, 25.1012346, 25.7979715))"
30,Hume's Treecreeper,2018,2025,2086.27,3965.85,"list(c(93.3093091, 93.2937214, 93.2822741, 93.2796335, 93.2750575, 93.018228, 93.1320328, 93.1324132, 93.3093091, 23.140835, 23.6486928, 23.6524029, 23.6520072, 23.6493828, 22.679429, 22.2993453, 22.3006507, 23.140835))"
31,Mount Victoria Babax,2025,2025,117.59,835.56,"list(c(93.1323095, 93.0521156, 93.0497513, 93.0438197, 93.0331397, 93.1123319, 93.1189727, 93.1323095, 22.3017936, 22.685752, 22.6913014, 22.682402, 22.6417385, 22.2922708, 22.2929904, 22.3017936))"
32,Smew,2016,2025,39.86,974.76,"list(c(88.7507343, 88.5973022, 88.5655117, 88.5723433, 88.7507343, 26.5661129, 26.7585527, 26.7587164, 26.7471721, 26.5661129))"
33,Plain Leaf Warbler,2024,2025,7325.06,9552,"list(c(71.0443028, 70.3754554, 70.0102578, 70.0098047, 70.0154097, 70.6676617, 71.0443028, 26.8270902, 27.7740895, 26.6266371, 26.6248732, 26.6158534, 26.5571746, 26.8270902))"
34,Cetti's Warbler,2015,2025,12184.94,20060.91,"list(c(77.3063707, 75.011228, 74.9588526, 74.9513537, 76.5483459, 76.9204911, 76.9397334, 77.3063707, 28.5668688, 31.134401, 31.1520527, 31.1322878, 28.5311458, 28.4790643, 28.4774773, 28.5668688))"
