"Lesser Whistling-Duck",-5.57317238593643,-2.88929809858362,-0.205423811230813,-6.28020899353431,-3.75417060299485,-1.22813221245538,-5.34851983513022,-3.05732499605949,-0.766130156988757,-5.88140325502739,-3.47952025954859,-1.07763726406979,-5.46671007565989,-3.51302724452609,-1.55934441339229,-5.67064315111481,-3.35938147158008,-1.04811979204535,-5.66118559801265,-3.72911540138122,-1.79704520474979,-5.98829003838148,-3.4968028250293,-1.00531561167711,-5.87615246999366,-3.267847605168,-0.659542740342338,-6.22999844436108,-3.4209064645664,-0.611814484771722
"Bar-headed Goose",-12.3266701196364,-6.91322147451497,-1.49977282939352,-11.8566072523343,-7.08727502957589,-2.31794280681751,-8.53465277762975,-4.64018903299529,-0.745725288360831,-10.8835576072275,-6.11006205498188,-1.33656650273623,-10.1722129880358,-5.72508196348094,-1.27795093892607,-10.673166091407,-5.93860797395288,-1.2040498564988,-10.1059014780485,-5.48361461147018,-0.86132774489187,-11.2619570395531,-6.47940419815843,-1.69685135676373,-10.8961143269381,-5.63212016101504,-0.36812599509196,-10.1227225928586,-4.70900713422514,0.70470832440833
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",-15.7300724668706,-10.560585481445,-5.39109849601936,-14.8698468254789,-9.98010468539244,-5.09036254530596,-11.0955322296397,-8.54894359306186,-6.00235495648403,-14.4652389012566,-10.4026094646776,-6.3399800280985,-14.3492056455757,-10.0402889907317,-5.73137233588764,-14.4256589193678,-9.92852197376395,-5.43138502816012,-14.4991504401937,-9.9270218161531,-5.35489319211246,-14.9299903142192,-10.4378516392071,-5.945712964195,-14.6782762040869,-9.75664961834331,-4.8350230325997,-15.2928157631103,-10.0089158033144,-4.72501584351853
"Northern Shoveler",-14.48283738058,-10.254787204747,-6.02673702891402,-13.4855870499954,-9.23640937084981,-4.98723169170424,-9.85757965467308,-7.78906390804173,-5.72054816141038,-12.9368298382838,-8.98507572490016,-5.03332161151656,-12.6995823068097,-9.1897541268107,-5.67992594681166,-12.9437547737504,-9.03869371312618,-5.133632652502,-12.8336893954565,-8.92218795790791,-5.01068652035927,-13.3988383893959,-9.38802875870786,-5.37721912801986,-13.2444263056554,-8.96525566482283,-4.68608502399023,-13.8308902452123,-9.24960298173597,-4.66831571825967
"Gadwall",-12.2156619229612,-9.08663786768863,-5.95761381241601,-10.5082725645424,-6.92699384030776,-3.34571511607312,-10.0575503470864,-6.84077797764862,-3.62400560821081,-10.9235621479028,-7.58326162601322,-4.2429611041236,-10.1751367218978,-7.26830769665101,-4.36147867140421,-10.7976342218414,-7.44637946032753,-4.09512469881368,-10.2396539658032,-7.07624059571394,-3.91282722562469,-10.7472911785132,-7.22627644535723,-3.70526171220128,-10.6153374028439,-6.9766471272651,-3.33795685168634,-11.8493718974402,-7.94409345378759,-4.03881501013499
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-7.11977847591173,-4.99923057982123,-2.87868268373074,-7.24519172029658,-5.25122170706962,-3.25725169384265,-7.09924657826348,-5.1854360588738,-3.27162553948412,-7.0838280923024,-5.35426142564946,-3.62469475899653,-6.89239947571923,-5.14290346827039,-3.39340746082155,-7.03281616040153,-5.2169543041354,-3.40109244786927,-6.65841374912856,-4.98890542824987,-3.31939710737118,-7.22932203484134,-5.58689585650389,-3.94446967816643,-6.45841794045795,-4.66917918896169,-2.87994043746543,-7.61721091063846,-5.48766400755774,-3.35811710447701
"Indian Spot-billed Duck",-4.12313754460587,-2.67707265315421,-1.23100776170255,-3.75957631205162,-2.41994505741015,-1.08031380276869,-3.62707065905187,-2.39749491156673,-1.16791916408159,-3.68900473694187,-2.47345367899956,-1.25790262105725,-3.58317199859796,-2.64076032662377,-1.69834865464958,-3.80818806243292,-2.55432120153595,-1.30045434063898,-3.60782470758075,-2.44378290108023,-1.27974109457972,-3.96459857422177,-2.6810854670225,-1.39757235982322,-4.09264786653126,-2.75751820519262,-1.42238854385399,-4.12898883498955,-2.6526214069401,-1.17625397889064
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Pintail",-4.55094949674939,-3.42249890230569,-2.294048307862,-4.60248846052861,-3.5333691664359,-2.4642498723432,-4.41085825616698,-3.44081358610297,-2.47076891603896,-4.55490209510543,-3.55900976202081,-2.5631174289362,-4.48082979453742,-3.59667689834066,-2.7125240021439,-4.5347493346882,-3.55567266504809,-2.57659599540798,-4.22060698694964,-3.42352369464215,-2.62644040233466,-4.63864551125411,-3.74428395123863,-2.84992239122314,-4.5408099542856,-3.47543315499926,-2.41005635571293,-4.95373233718278,-3.89469226580434,-2.8356521944259
"Green-winged Teal",-11.0146391981338,-6.7690369311309,-2.52343466412797,-10.8169752709351,-6.89074513209146,-2.96451499324779,-7.42041948805044,-5.31343997168373,-3.20646045531703,-10.1924020541076,-6.98442188041214,-3.77644170671666,-10.157929026311,-6.61389702237807,-3.06986501844514,-10.1724084813895,-6.53044538138848,-2.88848228138743,-10.1940253571497,-6.5010628341754,-2.80810031120105,-10.6361866390324,-7.08881690604099,-3.54144717304961,-10.4106021315058,-6.4297597934542,-2.44891745540256,-10.641243586345,-6.37666208657521,-2.11208058680539
