"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1978,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-1.34183992479922,0.0728076866490208,0.202765071815517,0.229999669709309,0.260258366171998,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-0.947955879693919,0.0824581633423312,0.280860141945027,0.321270341449394,0.365875439765209,NA,NA,NA,116.24702292528,139.682957743131,163.895601229485,NA,NA,NA,116.24702292528,139.682957743131,163.895601229485
2017,"Indian Peafowl","2017",-1.76799822076312,0.094637015030208,0.132186855178816,0.15690387429906,0.185726371510823,NA,NA,NA,55.4743570560572,68.2191737481047,82.8291887803076,NA,NA,NA,55.4743570560572,68.2191737481047,82.8291887803076
2018,"Indian Peafowl","2018",-1.10835503157689,0.0499926810961846,0.258655964276537,0.281149248924309,0.305167500540696,NA,NA,NA,106.157273825934,122.238979420991,142.917669942206,NA,NA,NA,106.157273825934,122.238979420991,142.917669942206
2019,"Indian Peafowl","2019",-1.07341239260298,0.0487396405659316,0.267062946447116,0.289538153567772,0.313470846613533,NA,NA,NA,108.369929623374,125.886334503746,144.900821186502,NA,NA,NA,108.369929623374,125.886334503746,144.900821186502
2020,"Indian Peafowl","2020",-1.30927388781935,0.0476344837313981,0.218036666254215,0.236632755638694,0.25653979779823,NA,NA,NA,88.2465065936779,102.883954545573,119.926860312146,NA,NA,NA,88.2465065936779,102.883954545573,119.926860312146
2021,"Indian Peafowl","2021",-0.804526074473008,0.0469816404555519,0.334988026402635,0.360647838630655,0.387646187206435,NA,NA,NA,137.6487056083,156.803633277591,183.063115087981,NA,NA,NA,137.6487056083,156.803633277591,183.063115087981
2022,"Indian Peafowl","2022",-0.742433227156538,0.0666796590453866,0.341403497329606,0.378708187640403,0.418651960643767,NA,NA,NA,140.632174088105,164.655970210324,194.895829970372,NA,NA,NA,140.632174088105,164.655970210324,194.895829970372
2023,"Indian Peafowl","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.595189630988,158.028095979287,237.00920674887,105.595189630988,158.028095979287,237.00920674887
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.708506200318,168.454502062806,271.827495479455,104.708506200318,168.454502062806,271.827495479455
2025,"Indian Peafowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.634261232834,179.582662770201,312.448902603413,103.634261232834,179.582662770201,312.448902603413
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.45273846947,191.460712724666,359.672225288838,102.45273846947,191.460712724666,359.672225288838
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.210697749765,204.140148136635,414.47023914939,101.210697749765,204.140148136635,414.47023914939
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.936750881242,217.676065616646,477.996926966387,99.936750881242,217.676065616646,477.996926966387
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6491288777716,232.127418231788,551.605987381434,98.6491288777716,232.127418231788,551.605987381434
1978,"Greater Coucal","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Greater Coucal","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Greater Coucal","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Greater Coucal","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Greater Coucal","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Greater Coucal","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Greater Coucal","2015",-3.44560053445638,0.173061170765568,0.0224573880215062,0.0313826220681224,0.0437747528446867,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Greater Coucal","2016",-2.35898647216613,0.136941349901864,0.0697172651240683,0.0901867945090742,0.116280206047913,NA,NA,NA,184.145953232218,287.378136579236,440.723020476665,NA,NA,NA,184.145953232218,287.378136579236,440.723020476665
2017,"Greater Coucal","2017",-1.59731911897948,0.0970986053990942,0.1541015273798,0.183263293488983,0.217197914754803,NA,NA,NA,402.147173652835,583.964249676693,839.032480790059,NA,NA,NA,402.147173652835,583.964249676693,839.032480790059
2018,"Greater Coucal","2018",-2.08134262949833,0.103046866077595,0.0969214560767718,0.117293558744322,0.141600911855583,NA,NA,NA,252.845682275372,373.753214405452,556.585931176301,NA,NA,NA,252.845682275372,373.753214405452,556.585931176301
2019,"Greater Coucal","2019",-2.12734469026326,0.105973812758182,0.0922672905236654,0.112328256887953,0.136412741378993,NA,NA,NA,244.058710225959,357.931394783143,529.2302862864,NA,NA,NA,244.058710225959,357.931394783143,529.2302862864
2020,"Greater Coucal","2020",-2.17441885567941,0.086226506418814,0.0915346128947611,0.107451295181535,0.1259384096579,NA,NA,NA,236.748027568849,342.391069007205,500.101958072378,NA,NA,NA,236.748027568849,342.391069007205,500.101958072378
2021,"Greater Coucal","2021",-2.13375403752093,0.11976714178463,0.0893724246833573,0.111652257312505,0.139048150166949,NA,NA,NA,242.097681863919,355.777337757634,521.273928933064,NA,NA,NA,242.097681863919,355.777337757634,521.273928933064
2022,"Greater Coucal","2022",-2.20395346814627,0.141988198802572,0.0801594939211705,0.104493649902437,0.135652166818103,NA,NA,NA,211.069688033276,332.966600673495,518.663707871038,NA,NA,NA,211.069688033276,332.966600673495,518.663707871038
2023,"Greater Coucal","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.609463495052,479.158915598984,1024.78337062925,225.609463495052,479.158915598984,1024.78337062925
2024,"Greater Coucal","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.147129857199,525.608232881459,1290.60588927571,216.147129857199,525.608232881459,1290.60588927571
