"LOCALITY.ID","group.id","month","timegroups"
"L10048384","S55946139",4,"2018"
"L9881388","S61828456",11,"2019"
"L11089398","S124959203",12,"2019"
"L40214045","G14310940",1,"2018"
"L10048601","S60735332",10,"2019"
"L3831069","S75626786",10,"2019"
"L10745403","S59843423",9,"2019"
"L8815476","S53619745",3,"2018"
"L9736449","S59096364",8,"2019"
"L8418702","S51618604",1,"2018"
"L3513614","G8711034",10,"2019"
"L3156557","S55248451",4,"2018"
"L8713670","S53238843",3,"2018"
"L9007330","S54739444",4,"2018"
"L3915579","S62133681",1,"2018"
"L9572219","S57867074",6,"2019"
"L8633910","S52806856",2,"2018"
"L2908419","S60326779",10,"2019"
"L10191139","S61698883",8,"2019"
"L18006089","S104203147",7,"2019"
"L10078854","S60931641",10,"2019"
"L9038219","S54927256",4,"2018"
"L3656707","S61638700",11,"2019"
"L3010063","S55291163",4,"2018"
"L9928841","S61695498",11,"2019"
"L9167376","S55703223",3,"2018"
"L5243980","S75470321",12,"2019"
"L3156557","S60167881",5,"2018"
"L9096875","S55284567",4,"2018"
"L8133481","S60093126",9,"2019"
"L9490254","S57476764",6,"2019"
"L5935509","S56519698",5,"2018"
"L9916881","S59811828",9,"2019"
"L3571664","S59504731",9,"2019"
"L10155954","S61466115",9,"2019"
"L14539121","S85973810",3,"2018"
"L9881388","S62028874",12,"2019"
"L8621300","S52753813",2,"2018"
"L9881388","S62100796",12,"2019"
"L8719667","S53275530",3,"2018"
"L10147306","S62898644",12,"2019"
"L8929639","S56914774",5,"2018"
"L10196094","S61732262",11,"2019"
"L10060485","S60807499",10,"2019"
"L11212050","S113799805",1,"2018"
"L19903577","S114094179",3,"2018"
"L10025152","S71315580",10,"2019"
"L9232814","S56065450",5,"2018"
"L9705603","G4404196",7,"2019"
"L8633398","S52804478",2,"2018"
"L8107283","S52079701",1,"2018"
"L9881388","S61284634",11,"2019"
"L7677865","S60606106",10,"2019"
"L3513614","S63034243",3,"2018"
"L10075254","G9469753",3,"2018"
"L3289320","S55012913",4,"2018"
"L3156557","S60581820",10,"2019"
"L9391010","S56984949",6,"2019"
"L9330015","S56671486",5,"2018"
"L9826832","S59189964",8,"2019"
"L10001646","S60418424",10,"2019"
"L9622806","S58091522",7,"2019"
"L9142185","S55542207",4,"2018"
"L9881388","S61806879",11,"2019"
"L9213953","S55945729",4,"2018"
"L9918294","S59824027",9,"2019"
"L8510666","S67277705",8,"2019"
"L9928841","S61694837",11,"2019"
"L10715705","S64305225",12,"2019"
"L8159027","S61218270",11,"2019"
"L9344515","S56745828",5,"2018"
"L9731597","S58682003",8,"2019"
"L9789601","S58978417",8,"2019"
"L8386480","S51421581",1,"2018"
"L9175301","S55747093",4,"2018"
"L8976969","S62624684",12,"2019"
"L9079464","S55154869",4,"2018"
"L3156557","S75251821",4,"2018"
"L9915748","S59807830",9,"2019"
"L3315474","S61012236",10,"2019"
"L9881388","S60803906",10,"2019"
"L5848522","S67682533",9,"2019"
"L19878565","S114095243",3,"2018"
"L9638230","S58164452",7,"2019"
"L3513614","S78644823",5,"2018"
"L3156557","S65033039",10,"2019"
"L7007251","S52484551",2,"2018"
"L19907031","S114101807",4,"2018"
"L2648992","S101985409",10,"2019"
"L4023990","S62624796",12,"2019"
"L8632688","S52881648",2,"2018"
"L9946103","S60095386",9,"2019"
"L10024319","S60570737",10,"2019"
"L8894143","S54092914",3,"2018"
"L8370562","S51325471",1,"2018"
"L9361462","S56835325",5,"2018"
"L8660168","S52951520",2,"2018"
"L8719705","S53275785",3,"2018"
"L8621449","S52754618",2,"2018"
"L10373275","S62763729",12,"2019"
"L11239806","S67835605",12,"2019"
"L9997167","S60387295",10,"2019"
"L2774884","S61354569",11,"2019"
"L8596939","S52615671",2,"2018"
"L9648310","S58216087",7,"2019"
"L8810125","S53586784",3,"2018"
"L4023990","S57362180",6,"2019"
"L27306566","S151051615",5,"2018"
"L11277996","G4073119",4,"2018"
"L5424568","S55156880",4,"2018"
"L8940575","S54361946",3,"2018"
"L8107283","S52322727",2,"2018"
"L19836926","S113801845",2,"2018"
"L3915579","S62133666",1,"2018"
"L10200404","S61762432",11,"2019"
"L3156557","G4651570",9,"2019"
"L7904298","S60381643",10,"2019"
"L3602182","S56921730",5,"2018"
"L4024014","S64412226",10,"2019"
"L8159027","S52055772",1,"2018"
"L9759829","S58813792",5,"2018"
"L10001551","S60418020",10,"2019"
"L11212050","S113799718",1,"2018"
"L21904636","S132921311",5,"2018"
"L6098780","S123908673",11,"2019"
"L8919698","S54238687",3,"2018"
"L6653544","S62520456",6,"2019"
"L9287836","S56425396",5,"2018"
"L19903577","S114094971",3,"2018"
"L8633387","S52804429",2,"2018"
"L9102427","S55287660",4,"2018"
"L10087546","S61084434",11,"2019"
"L10267580","S62165386",12,"2019"
"L3010063","S54905924",4,"2018"
"L9881388","S60573309",10,"2019"
"L3289320","G4050362",4,"2018"
"L9881388","S61855645",11,"2019"
"L10007087","S60229485",9,"2019"
"L3010063","S55291177",4,"2018"
"L8333164","S55201740",4,"2018"
"L27155452","S150249719",6,"2019"
"L10489003","S63386647",12,"2019"
"L3010063","S51516726",1,"2018"
"L10108240","S57212695",6,"2019"
"L9881388","S62185076",12,"2019"
"L9049183","S56294449",5,"2018"
"L11090777","S60095744",9,"2019"
"L10075254","S65071288",4,"2018"
"L9067887","G4072834",4,"2018"
"L9699833","S58480418",7,"2019"
"L9736033","S58702068",8,"2019"
"L10661824","S68919674",1,"2018"
"L8719148","S53385901",3,"2018"
"L4023990","S57673700",6,"2019"
"L9932491","S59942491",9,"2019"
"L8914745","G9469757",3,"2018"
"L2663179","S131009244",9,"2019"
"L17953229","S52855167",2,"2018"
"L5437102","S55945527",4,"2018"
"L10248773","S62081952",12,"2019"
"L3010063","S54471608",4,"2018"
"L10191186","S61699200",11,"2019"
"L8467383","S51886894",1,"2018"
"L9881388","S61033715",10,"2019"
"L8159027","S51987006",1,"2018"
"L10772182","S64557077",11,"2019"
"L8853319","S53854106",2,"2018"
"L9881388","S62577196",12,"2019"
"L10103666","S61105738",11,"2019"
"L9383175","S56947736",5,"2018"
"L3619192","S113895212",3,"2018"
"L9700164","S58482326",7,"2019"
"L19908436","S114107974",11,"2019"
"L9881388","S60517289",10,"2019"
"L8107283","S52046263",1,"2018"
"L9360217","S56825366",5,"2018"
"L10366303","S62764095",12,"2019"
"L8227777","S61137803",10,"2019"
"L19903577","S114096021",3,"2018"
"L8947152","S54398859",3,"2018"
"L9944110","S59995239",9,"2019"
"L10216504","S61971542",12,"2019"
"L9928841","S61694857",11,"2019"
"L2419883","S52806267",2,"2018"
"L8705907","S53185187",1,"2018"
"L10498587","S63448755",6,"2019"
"L3156557","S65032854",10,"2019"
"L4012351","S53926388",3,"2018"
"L9776639","S58900384",8,"2019"
"L9881388","S61130904",11,"2019"
"L10236222","S61461822",9,"2019"
"L3915579","S61147296",10,"2019"
"L9997167","S60449116",10,"2019"
"L3868151","S205833135",3,"2018"
"L2648992","S58309884",1,"2018"
"L10075254","S105629021",8,"2019"
"L9801262","S59044640",8,"2019"
"L8970279","S54539508",4,"2018"
"L9881388","S62685085",12,"2019"
"L8791588","S53505658",3,"2018"
"L11297979","S68172207",4,"2018"
"L10012599","S60495025",10,"2019"
"L10049042","S60733887",10,"2019"
"L10745403","S52020356",1,"2018"
"L8673561","S53382025",3,"2018"
"L3156557","S64760171",1,"2018"
"L3599250","S213050374",1,"2018"
"L10147306","S59268773",8,"2019"
"L8187350","S83145427",1,"2018"
"L8875453","S59971791",3,"2018"
"L9881388","S62211064",12,"2019"
"L40214045","G14310942",1,"2018"
"L10048384","S59045686",4,"2018"
"L8611959","S52709196",2,"2018"
"L3601556","S72337487",1,"2018"
"L8107283","S57187441",6,"2019"
"L9721546","S58589729",7,"2019"
"L9470543","S57384163",1,"2018"
"L9331061","S56677109",5,"2018"
"L9858214","S59390945",8,"2019"
"L9304229","S56582525",5,"2018"
"L9881388","S61569696",11,"2019"
"L8540634","G14143376",2,"2018"
"L28118479","S155408924",3,"2018"
"L10147306","S72339177",4,"2018"
"L8677440","S53043961",2,"2018"
"L10147306","S64692266",4,"2018"
"L9096875","S55252803",4,"2018"
"L9061207","S55043359",4,"2018"
"L9997167","S60472304",10,"2019"
"L9905427","S59702581",9,"2019"
"L9912259","S59784683",9,"2019"
"L8985019","S59997067",9,"2019"
"L9142774","S55545045",4,"2018"
"L10130557","S75745747",12,"2019"
"L15433527","S91873923",12,"2019"
"L10048384","S72338533",4,"2018"
"L9881388","S60569292",10,"2019"
"L8959397","S54475266",4,"2018"
"L9928841","S61758990",11,"2019"
"L10016245","S60519024",10,"2019"
"L8053811","S67518868",10,"2019"
"L11217964","S67626535",5,"2018"
"L11217954","S67308699",10,"2019"
"L9030561","S54885187",4,"2018"
"L4131222","S60661141",10,"2019"
"L13360458","S59843666",9,"2019"
"L9405221","S62319131",12,"2019"
"L8884321","S54033470",3,"2018"
"L8673561","S149506885",11,"2019"
"L9673179","S58335860",7,"2019"
"L10075254","S67959809",7,"2019"
"L8961093","S54485515",3,"2018"
"L17340877","S100206641",1,"2018"
"L11277996","S67339126",11,"2019"
"L11090777","S60385447",10,"2019"
"L12141777","G14310953",1,"2018"
"L3010063","S69549136",12,"2019"
"L8064475","S151789053",12,"2019"
"L13268332","S79220361",5,"2018"
"L8107283","S52079654",1,"2018"
"L5510065","S61240199",11,"2019"
"L9303826","S56745417",5,"2018"
"L8540638","S52287173",2,"2018"
"L11277996","S67339175",11,"2019"
"L8386328","S51921003",1,"2018"
"L13945282","S82920109",5,"2018"
"L10771815","S64555358",3,"2018"
"L4012351","S56568576",5,"2018"
"L9844068","S59299942",8,"2019"
"L8503599","S52085580",1,"2018"
"L4023990","S62688087",12,"2019"
"L4012351","S52760292",2,"2018"
"L8713890","S53240450",3,"2018"
"L8875453","S59971960",3,"2018"
"L10075254","S67837801",12,"2019"
"L8468211","S51891336",1,"2018"
"L11224565","S67968283",6,"2019"
"L10001615","S75579633",10,"2020"
"L10002664","S65705030",3,"2019"
"L10002664","S65807382",3,"2019"
"L10002664","G5947883",11,"2020"
"L10002664","S75969232",11,"2020"
"L10002664","G4982281",2,"2019"
"L10002664","S65923462",3,"2019"
"L10002664","S65300936",3,"2019"
"L10002664","G5801463",10,"2020"
"L10002664","S77824790",12,"2020"
"L10002664","S70656851",6,"2020"
"L10002664","G9388330",9,"2020"
"L10002664","S76113201",11,"2020"
"L10002664","S74588465",10,"2020"
"L10007087","S63467427",1,"2019"
"L10007087","S63866257",1,"2019"
"L10029010","S80012042",12,"2020"
"L10029010","S80011907",11,"2020"
"L10029010","S80012003",12,"2020"
"L10029010","S73525184",9,"2020"
"L10029496","G6988586",1,"2019"
"L10040937","S74521114",10,"2020"
"L10041139","G5038355",2,"2019"
"L10045943","S66072888",3,"2019"
"L10047939","G6228886",12,"2020"
"L10047939","S71823185",7,"2020"
"L10047939","G6048083",12,"2020"
"L10047939","S70866000",6,"2020"
"L10047939","S74926751",10,"2020"
"L10047939","S73576059",9,"2020"
"L10047939","S70559837",6,"2020"
"L10047939","G5470627",6,"2020"
"L10047939","S72715781",8,"2020"
"L10047939","S70860735",6,"2020"
"L10047939","S76428780",11,"2020"
"L10047939","G5624575",8,"2020"
"L10047939","G5681853",9,"2020"
"L10047939","G6216760",12,"2020"
"L10047939","S77831227",12,"2020"
"L10047939","S73770508",6,"2020"
"L10048384","G5053752",3,"2019"
"L10048384","S65351768",2,"2019"
"L10048384","G4868230",1,"2019"
"L10048384","G6183006",2,"2019"
"L10048384","G7021659",10,"2020"
"L10048384","S64890957",2,"2019"
"L10048384","S63721703",1,"2019"
"L10048384","G5896110",11,"2020"
"L10075254","G5872569",10,"2020"
"L10075254","S66429552",3,"2019"
"L10075254","G5413918",5,"2019"
"L10075254","G5068978",3,"2019"
"L10092674","S71533452",7,"2020"
"L10092674","S70554539",6,"2020"
"L10092674","S66660611",4,"2019"
"L10092674","S68448487",5,"2019"
"L10092674","S71142434",7,"2020"
"L10092674","S66949992",4,"2019"
"L10092674","S69602241",5,"2019"
"L10092674","S70732543",6,"2020"
"L10092674","S70524521",6,"2020"
"L10092674","S71022408",7,"2020"
"L10092674","S71858538",7,"2020"
"L10092674","G5818392",10,"2020"
"L10092674","S68448363",4,"2019"
"L10092674","S72860098",8,"2020"
"L10092674","S66762873",4,"2019"
"L10092674","S69248279",5,"2019"
"L10092674","S66802873",4,"2019"
"L10092674","S71509896",7,"2020"
"L10092674","S71381277",7,"2020"
"L10092674","S70973813",6,"2020"
"L10107871","G5890228",11,"2020"
"L10107965","S63577794",1,"2019"
"L10117114","G5744171",9,"2020"
"L10117114","S75023318",10,"2020"
