"LOCALITY.ID","group.id","month","timegroups"
"L15020641","S268882030",12,"before 2000"
"L15020641","S268882680",12,"before 2000"
"L3849111","S268881666",12,"before 2000"
"L15020641","S268882352",12,"before 2000"
"L4200646","S268883653",12,"before 2000"
"L10186641","S73370791",12,"before 2000"
"L10186641","S73370872",12,"before 2000"
"L3147939","S73370833",12,"before 2000"
"L15020641","S268914642",1,"before 2000"
"L15020641","S268885516",1,"before 2000"
"L3147937","S61708615",1,"before 2000"
"L3147937","S61663483",1,"before 2000"
"L10186641","S61669792",1,"before 2000"
"L10186038","S61664983",1,"before 2000"
"L3147939","S61663644",1,"before 2000"
"L3849049","S89882158",2,"before 2000"
"L3849049","S268915424",2,"before 2000"
"L51896752","S268916954",2,"before 2000"
"L1406204","S9772936",2,"before 2000"
"L1403219","S9754563",2,"before 2000"
"L10203740","S61786500",2,"before 2000"
"L10197279","S61741002",2,"before 2000"
"L3147939","S62628515",2,"before 2000"
"L15020641","S268917797",3,"before 2000"
"L3849111","S268929187",3,"before 2000"
"L15303513","S268926046",3,"before 2000"
"L4200646","S268927816",3,"before 2000"
"L15020641","S268920867",3,"before 2000"
"L15020641","S268922118",3,"before 2000"
"L3849049","S268918853",3,"before 2000"
"L3849049","S268920117",3,"before 2000"
"L51898219","S268923932",3,"before 2000"
"L2387806","S26324279",3,"before 2000"
"L4070135","S26324369",3,"before 2000"
"L10383200","S62810541",3,"before 2000"
"L3147937","S62798636",3,"before 2000"
"L10203740","S64774572",3,"before 2000"
"L10186641","S62904875",3,"before 2000"
"L3147937","S64777664",3,"before 2000"
"L3147939","S62798728",3,"before 2000"
"L15020641","S269121241",4,"before 2000"
"L3849049","S269120085",4,"before 2000"
"L51944006","S269120583",4,"before 2000"
"L51898219","S269120910",4,"before 2000"
"L3147937","S66348105",4,"before 2000"
"L3147939","S66849170",4,"before 2000"
"L3147937","S71796086",4,"before 2000"
"L3147937","S66849515",4,"before 2000"
"L1108473","S16732117",7,"before 2000"
"L2590954","S16721543",7,"before 2000"
"L2593851","S16740036",7,"before 2000"
"L2595993","S16755163",7,"before 2000"
"L2592349","S16730271",7,"before 2000"
"L2590920","S16721288",7,"before 2000"
"L3849049","S268762527",10,"before 2000"
"L15209109","S89882479",10,"before 2000"
"L3849050","S269125757",11,"before 2000"
"L3849049","S269123598",11,"before 2000"
"L3849058","S269125086",11,"before 2000"
"L3849049","S89882697",11,"before 2000"
"L15020641","S269122198",11,"before 2000"
"L3779309","S269126474",11,"before 2000"
"L4598189","S269127187",11,"before 2000"
"L15020641","S269122818",11,"before 2000"
"L15020641","S269421250",12,"before 2000"
"L15221175","S269166115",12,"before 2000"
"L3849058","S269128218",12,"before 2000"
"L3849049","S269422915",12,"before 2000"
"L4200646","S269165447",12,"before 2000"
"L4200646","S269167033",12,"before 2000"
"L4200646","S269169028",12,"before 2000"
"L4200646","S269129446",12,"before 2000"
"L4200646","S269173681",12,"before 2000"
"L3849049","S269172560",12,"before 2000"
"L52010583","S269425351",12,"before 2000"
"L15033877","S269426087",12,"before 2000"
"L15085152","S269421815",12,"before 2000"
"L52010398","S269424198",12,"before 2000"
"L2931786","S18845261",12,"before 2000"
"L932559","S41691779",12,"before 2000"
"L5381079","S41691014",12,"before 2000"
"L15020641","S269429236",1,"before 2000"
"L3849111","S269430945",2,"before 2000"
"L15020641","S269589283",2,"before 2000"
"L15020641","S269429934",2,"before 2000"
"L3849049","S269431799",2,"before 2000"
"L3849049","S269589642",2,"before 2000"
"L6609526","S41326188",2,"before 2000"
"L2528936","S41325661",2,"before 2000"
"L15020641","S269590029",3,"before 2000"
"L921959","S10328639",4,"before 2000"
"L15020641","S269590562",7,"before 2000"
"L15065837","S269590939",8,"before 2000"
"L15065837","S269591281",8,"before 2000"
"L4888712","S269617889",9,"before 2000"
"L3849058","S269623327",10,"before 2000"
"L3849049","S269759305",10,"before 2000"
"L3849049","S269625248",10,"before 2000"
"L3849049","S89931652",10,"before 2000"
"L3849059","S269621508",10,"before 2000"
"L15020641","S269624333",10,"before 2000"
"L3849059","S269764552",11,"before 2000"
"L15033877","S269793814",11,"before 2000"
"L4888712","S269968011",11,"before 2000"
"L3849058","S269762505",11,"before 2000"
"L3849111","S269797400",11,"before 2000"
"L3849111","S269796116",11,"before 2000"
"L3849111","S269766727",11,"before 2000"
"L3849050","S269762822",11,"before 2000"
"L3849043","S269964939",11,"before 2000"
"L52079057","S269767316",11,"before 2000"
"L3849043","S269798832",11,"before 2000"
"L15020641","S269965845",11,"before 2000"
"L2596260","S16756433",11,"before 2000"
"L1091154","S14024803",11,"before 2000"
"L2157236","S14015960",11,"before 2000"
"L3849043","S269970148",12,"before 2000"
"L5616663","S270108142",1,"before 2000"
"L15283436","S270104941",1,"before 2000"
"L3849041","S270107118",1,"before 2000"
"L3849111","S269974327",1,"before 2000"
"L3849060","S270104295",1,"before 2000"
"L3849043","S270105268",1,"before 2000"
"L3847295","S269973059",1,"before 2000"
"L3849035","S270112298",2,"before 2000"
"L3849034","S270110438",2,"before 2000"
"L3928055","S270111917",2,"before 2000"
"L3849058","S270111277",2,"before 2000"
"L3849043","S270108737",2,"before 2000"
"L3849043","S270110730",2,"before 2000"
"L3849049","S270108981",2,"before 2000"
"L52155639","S270133193",4,"before 2000"
"L3849049","S270135150",7,"before 2000"
"L15109769","S271525511",7,"before 2000"
"L52156590","S270138507",8,"before 2000"
"L14979449","S270136504",8,"before 2000"
"L3849049","S270140383",8,"before 2000"
"L3849110","S89927243",9,"before 2000"
"L4978847","S270322314",9,"before 2000"
"L15020641","S270319258",9,"before 2000"
"L4978847","S270320026",9,"before 2000"
"L3779309","S271053568",12,"before 2000"
"L4326772","S89927608",12,"before 2000"
"L15020641","S271054892",12,"before 2000"
"L4598189","S271052420",12,"before 2000"
"L3849043","S271053972",12,"before 2000"
"L51898219","S270326838",12,"before 2000"
"L15020641","S271206637",1,"before 2000"
"L3849043","S271060177",1,"before 2000"
"L3849043","S271207446",1,"before 2000"
"L3849043","S271205339",1,"before 2000"
"L52355712","S271058740",1,"before 2000"
"L3921590","S271057671",1,"before 2000"
"L36514966","S271208871",2,"before 2000"
"L3849043","S271363267",2,"before 2000"
"L14876283","S271209396",2,"before 2000"
"L4326772","S271362654",2,"before 2000"
"L3135946","S271208230",2,"before 2000"
"L15209109","S271229406",2,"before 2000"
"L3849043","S271230499",2,"before 2000"
"L3849043","S271209955",2,"before 2000"
"L3849043","S271228069",2,"before 2000"
"L3779309","S271366320",3,"before 2000"
"L4888712","S89925899",3,"before 2000"
"L15209109","S271363816",3,"before 2000"
"L15047286","S271367006",3,"before 2000"
"L3849043","S271367958",3,"before 2000"
"L15033884","S271366523",3,"before 2000"
"L3849043","S271369616",4,"before 2000"
"L52155639","S271368492",4,"before 2000"
"L3849058","S271388883",5,"before 2000"
"L3547695","S271518482",5,"before 2000"
"L3547695","S271396755",5,"before 2000"
"L3810673","S271396110",5,"before 2000"
"L3849058","S271518880",6,"before 2000"
"L3849058","S89926403",6,"before 2000"
"L15033877","S271522907",7,"before 2000"
"L3849058","S89883918",7,"before 2000"
"L3849059","S89884060",7,"before 2000"
"L3779309","S89925202",8,"before 2000"
"L15020641","S271552582",8,"before 2000"
"L4888712","S89925281",8,"before 2000"
"L10723056","S89925241",8,"before 2000"
"L4888712","S89925471",9,"before 2000"
"L13786880","S271555651",9,"before 2000"
"L2350674","S15137805",9,"before 2000"
"L2350674","S15138837",9,"before 2000"
"L4285239","S272345167",10,"before 2000"
"L15304157","S89878170",10,"before 2000"
"L3849046","S272200829",10,"before 2000"
"L3849043","S272202211",10,"before 2000"
"L5616663","S89878266",11,"before 2000"
"L3849058","S272346188",11,"before 2000"
"L2742480","G4676167",11,"before 2000"
"L2742480","G4676171",11,"before 2000"
"L8820421","G4676163",11,"before 2000"
"L8820421","G4676181",11,"before 2000"
"L3849049","S272346589",12,"before 2000"
"L4888712","S89873937",12,"before 2000"
"L3779309","S272514744",12,"before 2000"
"L3547695","S89874099",12,"before 2000"
"L3810673","S272380833",12,"before 2000"
"L3849035","S89874955",12,"before 2000"
"L14835986","S89875071",12,"before 2000"
"L3849043","S89874735",12,"before 2000"
"L15303513","S89875224",12,"before 2000"
