"eBird.English.Name.2024","eBird.Scientific.Name.2024","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","rangelci","rangemean","rangerci"
"Orange-bellied Leafbird","Chloropsis hardwickii","orblea1","Passeriformes","Chloropseidae (Leafbirds)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Orange-bellied Leafbird","Chloropsis hardwickii","Orange-bellied Leafbird","Chloropsis hardwickii","Least Concern","Schedule-II","","",NA,"","X","X",64,0.140625,0.291015625,0.359375,5.171875,0.834616538073024,NA,NA,NA,-6.42168871845582,-1.35070991351059,3.72026889143463,78.5689777822856,117.29635958773,176.750529713619,73.3471631586635,115.985924373453,185.667891458044,68.4379338722263,114.781574255095,195.541125377661,63.8552951044753,113.680096968705,206.376017031073,59.595569135593,112.678540806894,218.207271480261,55.646068840958,111.774202580178,231.090041892402,51.989747936699,110.964616558134,245.095614048405,164597,165105,165613
"Streaked Weaver","Ploceus manyar","strwea2","Passeriformes","Ploceidae (Weavers and Allies)","Moderate","Uncertain","Strong Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",1,NA,NA,"Streaked Weaver","Ploceus manyar","Streaked Weaver","Ploceus manyar","Least Concern","Schedule-II","","",NA,"","","X",44,0.136363636363636,0.258522727272727,0.454545454545455,6.29545454545455,1.39844219499645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259490,259490,259490
"Baya Weaver","Ploceus philippinus","baywea1","Passeriformes","Ploceidae (Weavers and Allies)","Low","Stable","Moderate Decline","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Baya Weaver","Ploceus philippinus","Baya Weaver","Ploceus philippinus","Least Concern","Schedule-II","","",NA,"X","X","X",291,0.0927835051546392,0.293814432989691,0.470790378006873,5.65292096219931,0.501458793570884,62.8029607904515,83.8301254972288,117.145485955588,-0.958852088839722,1.8020077835639,4.56286765596752,107.056352745354,133.51747306356,166.853340330156,105.656384164323,136.046271302953,175.638534113653,104.205008155514,138.638988323441,185.071951845917,102.731353312269,141.297460541375,195.157541791171,101.253526539659,144.023583465724,205.912589520085,99.7831037018248,146.819313770879,217.363381666826,98.3276429317608,149.686671447675,229.542858324498,2007148,2007690,2008232
"Finn's Weaver","Ploceus megarhynchus","yelwea1","Passeriformes","Ploceidae (Weavers and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Plant & Seed","No","Yes","No","Indian Subcontinent","Wetland","Resident",NA,NA,NA,"Finn's Weaver","Ploceus megarhynchus","Finn's Weaver","Ploceus megarhynchus","Endangered","Schedule-I","","",NA,"","","X",6,0.5,0.416666666666667,0.5,7.16666666666667,2.6498285059813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5578,5971,6364
"Black-breasted Weaver","Ploceus benghalensis","benwea1","Passeriformes","Ploceidae (Weavers and Allies)","Low","Data Deficient","Uncertain","Large","Diurnal","Diurnal","Plant & Seed","No","Yes","No","Indian Subcontinent","Wetland","Resident",NA,NA,NA,"Black-breasted Weaver","Ploceus benghalensis","Black-breasted Weaver","Ploceus benghalensis","Least Concern","Schedule-II","","",NA,"","","X",51,0.117647058823529,0.284313725490196,0.450980392156863,5.7843137254902,1.00514020399191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431730,432426,433122
"Indian Silverbill","Euodice malabarica","indsil","Passeriformes","Estrildidae (Waxbills and Allies)","Low","Stable","Uncertain","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Open Habitat","Resident",NA,NA,NA,"Indian Silverbill","Euodice malabarica","Indian Silverbill","Euodice malabarica","Least Concern","Schedule-II","","",NA,"X","X","X",335,0.113432835820896,0.33955223880597,0.534328358208955,5.39701492537313,0.46427778570391,55.0860015391128,70.6053024310318,91.5072786640241,-3.82711863469163,-2.09603139627347,-0.364944157855299,68.2149135958347,79.9472306394976,93.8079161732143,65.0655264412101,78.0264811554057,93.7138964955072,62.0327757611985,76.1597438305657,93.688394195745,59.1249168133442,74.3453406978279,93.7139716958387,56.3443007138701,72.5816501867333,93.7796148808743,53.6899812226955,70.8671051009971,93.8780966211662,51.1591478693636,69.2001906726093,94.0045157330702,1922735,1923207,1923679
"Scaly-breasted Munia","Lonchura punctulata","nutman","Passeriformes","Estrildidae (Waxbills and Allies)","Low","Uncertain","Uncertain","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Scaly-breasted Munia","Lonchura punctulata","Scaly-breasted Munia","Lonchura punctulata","Least Concern","Schedule-II","","",NA,"X","X","X",364,0.0961538461538462,0.341346153846154,0.502747252747253,5.67307692307692,0.449065425960765,98.981185627274,137.052829388175,183.876418740224,-1.66890792220319,0.479990748735255,2.6288894196737,78.8253198826172,93.4823303704226,110.989798567503,77.2847611980717,93.9417696985433,114.357789545182,75.7349624375762,94.4114400314864,117.915984014051,74.1924838300098,94.8914750830231,121.651454845964,72.6673514819568,95.3820117429574,125.558076738698,71.1657390275525,95.8831901358687,129.633852207941,69.6914631652058,96.395153681343,133.879424204797,2144550,2145053,2145556
"Black-throated Munia","Lonchura kelaarti","bltmun1","Passeriformes","Estrildidae (Waxbills and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Plant & Seed","No","Yes","No","Indian Subcontinent","Forest","Resident",NA,NA,NA,"Black-throated Munia","Lonchura kelaarti","Black-throated Munia","Lonchura kelaarti","Least Concern","Schedule-II","","",NA,"","X","X",54,0.12962962962963,0.402777777777778,0.537037037037037,8.83333333333333,1.49428232425142,NA,NA,NA,0.992521886866346,12.1084362689445,23.2243506510227,111.254144263428,173.923337315247,273.913135306031,112.015751130489,186.689225028559,314.181290965092,112.665879006952,200.469897243202,361.164086152407,113.262336536598,215.35143582506,415.869576748071,113.842524337237,231.42764370676,479.504763038297,114.431660906583,248.80077228323,553.497918028289,115.047446118267,267.582320393888,639.52982384281,113154,113459,113764
"White-rumped Munia","Lonchura striata","whrmun","Passeriformes","Estrildidae (Waxbills and Allies)","Moderate","Stable","Strong Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Non-specialized","Resident",1,NA,NA,"White-rumped Munia","Lonchura striata","White-rumped Munia","Lonchura striata","Least Concern","Schedule-II","","",NA,"X","X","X",190,0.147368421052632,0.322368421052632,0.521052631578947,6.61052631578947,0.681478584887301,82.1481775600396,119.438757199295,177.377020733783,-3.28064215246022,-0.105722112922014,3.06919792661619,64.5581787813166,80.8538127592074,101.557878502055,62.5542673649454,80.9218184478722,105.083093557877,60.5782729428787,81.005241732523,108.850038116416,58.6469763986589,81.1041091899712,112.846001599813,56.7696046726112,81.2184562678365,117.066538851773,54.9509972798025,81.3483272987957,121.512317577717,53.1933658360587,81.4937755231772,126.18737527744,866548,867120,867692
"Tricolored Munia","Lonchura malacca","trimun","Passeriformes","Estrildidae (Waxbills and Allies)","Moderate","Uncertain","Strong Decline","Large","Diurnal","Diurnal","Plant & Seed","No","Yes","No","Indian Subcontinent","Grassland & Scrub","Resident",NA,NA,NA,"Tricoloured Munia","Lonchura malacca","Tricoloured Munia","Lonchura malacca","Least Concern","Schedule-II","","",NA,"","","X",143,0.0979020979020979,0.267482517482518,0.482517482517482,7.18881118881119,0.815339925005167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259592,1260270,1260948
