eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Fulvous Whistling Duck,Dendrocygna bicolor,500
Lesser Whistling-Duck,Dendrocygna javanica,lewduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Lesser Whistling Duck,Dendrocygna javanica,10000
Bar-headed Goose,Anser indicus,bahgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,1,NA,NA,Bar-headed Goose,Anser indicus,NA
Graylag Goose,Anser anser,gragoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Greylag Goose,Anser anser,250
Greater White-fronted Goose,Anser albifrons,gwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Greater White-fronted Goose,Anser albifrons,NA
Lesser White-fronted Goose,Anser erythropus,lwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Lesser White-fronted Goose,Anser erythropus,NA
Taiga Bean-Goose,Anser fabalis,taibeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,NA
Tundra Bean-Goose,Anser serrirostris,tunbeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,NA
Barnacle Goose,Branta leucopsis,bargoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Barnacle Goose,Branta leucopsis,NA
Red-breasted Goose,Branta ruficollis,rebgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Red-breasted Goose,Branta ruficollis,NA
Mute Swan,Cygnus olor,mutswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Mute Swan,Cygnus olor,NA
Tundra Swan,Cygnus columbianus,tunswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Tundra Swan,Cygnus columbianus,NA
Whooper Swan,Cygnus cygnus,whoswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Whooper Swan,Cygnus cygnus,NA
Knob-billed Duck,Sarkidiornis melanotos,comduc2,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Moderate,Uncertain,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Knob-billed Duck,Sarkidiornis melanotos,250
Ruddy Shelduck,Tadorna ferruginea,rudshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Ruddy Shelduck,Tadorna ferruginea,500
Common Shelduck,Tadorna tadorna,comshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Shelduck,Tadorna tadorna,1000
Cotton Pygmy-Goose,Nettapus coromandelianus,copgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Cotton Pygmy Goose,Nettapus coromandelianus,1000
Mandarin Duck,Aix galericulata,manduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Mandarin Duck,Aix galericulata,NA
Baikal Teal,Sibirionetta formosa,baitea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Baikal Teal,Sibirionetta formosa,NA
Garganey,Spatula querquedula,gargan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Garganey,Spatula querquedula,NA
Northern Shoveler,Spatula clypeata,norsho,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Northern Shoveler,Spatula clypeata,NA
Gadwall,Mareca strepera,gadwal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Gadwall,Mareca strepera,3000
Falcated Duck,Mareca falcata,falduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Falcated Duck,Mareca falcata,NA
Eurasian Wigeon,Mareca penelope,eurwig,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Eurasian Wigeon,Mareca penelope,2500
Indian Spot-billed Duck,Anas poecilorhyncha,isbduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Indian Spot-billed Duck,Anas poecilorhyncha,1000
Eastern Spot-billed Duck,Anas zonorhyncha,spbduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Eastern Spot-billed Duck,Anas zonorhyncha,NA
Mallard,Anas platyrhynchos,mallar3,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Mallard,Anas platyrhynchos,NA
Northern Pintail,Anas acuta,norpin,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Northern Pintail,Anas acuta,20000
Green-winged Teal,Anas crecca,gnwtea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Teal,Anas crecca,NA
Andaman Teal,Anas albogularis,andtea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Andaman Islands,Wetland,Resident,NA,NA,1,Andaman Teal,Anas albogularis,7
Marbled Duck,Marmaronetta angustirostris,martea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Marbled Duck,Marmaronetta angustirostris,50
Pink-headed Duck,Rhodonessa caryophyllacea,pihduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Pink-headed Duck,Rhodonessa caryophyllacea,1
White-winged Duck,Asarcornis scutulata,whwduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,White-winged Wood Duck,Asarcornis scutulata,5
Red-crested Pochard,Netta rufina,recpoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Red-crested Pochard,Netta rufina,1000
Common Pochard,Aythya ferina,compoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Pochard,Aythya ferina,NA
Ferruginous Duck,Aythya nyroca,ferduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Strong Increase,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Ferruginous Duck,Aythya nyroca,1000
Baer's Pochard,Aythya baeri,baepoc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Baer's Pochard,Aythya baeri,NA
Tufted Duck,Aythya fuligula,tufduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Tufted Duck,Aythya fuligula,3900
Greater Scaup,Aythya marila,gresca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Greater Scaup,Aythya marila,NA
Long-tailed Duck,Clangula hyemalis,lotduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Long-tailed Duck,Clangula hyemalis,NA
Common Goldeneye,Bucephala clangula,comgol,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Common Goldeneye,Bucephala clangula,NA
Smew,Mergellus albellus,smew,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Smew,Mergellus albellus,NA
Common Merganser,Mergus merganser,commer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Merganser,Mergus merganser,50
Red-breasted Merganser,Mergus serrator,rebmer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Red-breasted Merganser,Mergus serrator,NA
White-headed Duck,Oxyura leucocephala,whhduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,White-headed Duck,Oxyura leucocephala,NA
Nicobar Megapode,Megapodius nicobariensis,nicscr1,Galliformes,Megapodiidae (Megapodes),High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Invertebrate,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Megapode,Megapodius nicobariensis,NA
Hill Partridge,Arborophila torqueola,hilpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident,NA,NA,NA,Hill Partridge,Arborophila torqueola,NA
Chestnut-breasted Partridge,Arborophila mandellii,chbpar2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,Chestnut-breasted Partridge,Arborophila mandellii,NA
Rufous-throated Partridge,Arborophila rufogularis,rutpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Rufous-throated Partridge,Arborophila rufogularis,NA
White-cheeked Partridge,Arborophila atrogularis,whcpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,White-cheeked Partridge,Arborophila atrogularis,NA
Snow Partridge,Lerwa lerwa,snopar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Partridge,Lerwa lerwa,NA
Blood Pheasant,Ithaginis cruentus,blophe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Blood Pheasant,Ithaginis cruentus,NA
Western Tragopan,Tragopan melanocephalus,westra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Western Tragopan,Tragopan melanocephalus,NA
Satyr Tragopan,Tragopan satyra,sattra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Indian Subcontinent,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Satyr Tragopan,Tragopan satyra,NA
Blyth's Tragopan,Tragopan blythii,blytra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Blyth's Tragopan,Tragopan blythii,NA
Temminck's Tragopan,Tragopan temminckii,temtra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Temminck's Tragopan,Tragopan temminckii,NA
Himalayan Monal,Lophophorus impejanus,himmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Monal,Lophophorus impejanus,NA
Sclater's Monal,Lophophorus sclateri,sclmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Eastern Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Sclater's Monal,Lophophorus sclateri,NA
Koklass Pheasant,Pucrasia macrolopha,kokphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Koklass Pheasant,Pucrasia macrolopha,NA
Tibetan Partridge,Perdix hodgsoniae,tibpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Partridge,Perdix hodgsoniae,NA
Mrs. Hume's Pheasant,Syrmaticus humiae,humphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mrs Hume's Pheasant,Syrmaticus humiae,NA
Cheer Pheasant,Catreus wallichii,chephe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident,NA,NA,NA,Cheer Pheasant,Catreus wallichii,NA
Kalij Pheasant,Lophura leucomelanos,kalphe,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Kalij Pheasant,Lophura leucomelanos,NA
Indian Peafowl,Pavo cristatus,compea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Strong Increase,Moderate Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Indian Peafowl,Pavo cristatus,NA
Green Peafowl,Pavo muticus,grepea1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Uncertain,NA,1,NA,Green Peafowl,Pavo muticus,NA
Red Spurfowl,Galloperdix spadicea,redspu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Red Spurfowl,Galloperdix spadicea,NA
Painted Spurfowl,Galloperdix lunulata,paispu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Painted Spurfowl,Galloperdix lunulata,NA
Gray Peacock-Pheasant,Polyplectron bicalcaratum,grypep2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Grey Peacock Pheasant,Polyplectron bicalcaratum,NA
Mountain Bamboo-Partridge,Bambusicola fytchii,mobpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Bamboo Partridge,Bambusicola fytchii,NA
Red Junglefowl,Gallus gallus,redjun,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Red Junglefowl,Gallus gallus,NA
Gray Junglefowl,Gallus sonneratii,grejun2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Grey Junglefowl,Gallus sonneratii,NA
Gray Francolin,Ortygornis pondicerianus,gryfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Grey Francolin,Ortygornis pondicerianus,NA
Swamp Francolin,Ortygornis gularis,swafra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,NA,NA,NA,Swamp Francolin,Ortygornis gularis,NA
Chinese Francolin,Francolinus pintadeanus,chifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,1,NA,Chinese Francolin,Francolinus pintadeanus,NA
Black Francolin,Francolinus francolinus,blkfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,1,NA,NA,Black Francolin,Francolinus francolinus,NA
Painted Francolin,Francolinus pictus,paifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Painted Francolin,Francolinus pictus,NA
Tibetan Snowcock,Tetraogallus tibetanus,tibsno1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Snowcock,Tetraogallus tibetanus,NA
Himalayan Snowcock,Tetraogallus himalayensis,himsno,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Snowcock,Tetraogallus himalayensis,NA
Blue-breasted Quail,Synoicus chinensis,blbqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Uncertain,NA,NA,NA,Blue-breasted Quail,Synoicus chinensis,NA
Common Quail,Coturnix coturnix,comqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Quail,Coturnix coturnix,NA
Japanese Quail,Coturnix japonica,japqua,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,1,NA,Japanese Quail,Coturnix japonica,NA
Rain Quail,Coturnix coromandelica,raiqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Strong Decline,Strong Increase,Large,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,NA,NA,Rain Quail,Coturnix coromandelica,NA
Chukar,Alectoris chukar,chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Chukar Partridge,Alectoris chukar,NA
Jungle Bush-Quail,Perdicula asiatica,jubqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Jungle Bush Quail,Perdicula asiatica,NA
Rock Bush-Quail,Perdicula argoondah,robqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Rock Bush Quail,Perdicula argoondah,NA
Painted Bush-Quail,Perdicula erythrorhyncha,pabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Painted Bush Quail,Perdicula erythrorhyncha,NA
