DISTRICT.NAME,DISTRICT
North and Middle Andaman,North and Middle Andaman
Nicobar,Nicobar
Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore
Upper Dibang Valley,Upper Dibang Valley
Morigaon,Morigaon
Saran,Saran
Janjgir - Champa,Janjgir-Champa
Central,Central Delhi
East,East Delhi
North East,North East Delhi
North,North Delhi
North West,North West Delhi
South,South Delhi
South West,South West Delhi
West,West Delhi
Dadra and Nagar Haveli,Dadra & Nagar Haveli
Lahul and Spiti,Lahaul and Spiti
Gurugram,Gurugram
Belagavi,Belagavi
Bagalkote,Bagalkote
Ballari,Ballari
Bengaluru Rural,Bengaluru Rural
Chamarajanagara,Chamarajanagara
Chikkamagaluru,Chikkamagaluru
Mysuru,Mysuru
Shivamogga,Shivamogga
Tumakuru,Tumakuru
Gadchiroli,Gadchiroli
Ribhoi,Ri-Bhoi
Lawngtlai,Lawngtlai
Baudh,Boudh
Sri Muktsar Sahib,Sri Muktsar Sahib
Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar
East District,East Sikkim
North District,North Sikkim
South District,South Sikkim
West Sikkim,West Sikkim
Nagapattinam,Nagapattinam
Virudhunagar,Virudhunagar
Mahabubnagar,Mahabubnagar
Ranga Reddy,Ranga Reddy
Maharajganj,Maharajganj
Siddharthnagar,Siddharthnagar
Howrah,Howrah
Medinipur West,Paschim Medinipur
North 24 Parganas,North 24 Parganas
South 24 Parganas,South 24 Parganas
Y.S.R.,YSR District (Kadapa)
Nuh,Nuh
Prayagraj,Prayagraj
Hathras,Hathras
Amroha,Amroha
Kasganj,Kasganj
Bhadohi,Bhadohi
Kamle,Kamle
Kra Daadi,Kra Daadi
Longding,Longding
Lepa Rada,Lepa Rada
Lower Siang,Lower Siang
Namsai,Namsai
Pakke Kessang,Pakke Kessang
Siang,Siang
Shi Yomi,Shi Yomi
Biswanath,Biswanath
Charaideo,Charaideo
Hojai,Hojai
Majuli,Majuli
South Salmara Mancachar,South Salmara-Mankachar
West Karbi Anglong,West Karbi Anglong
Baloda Bazar,Baloda Bazar
Balod,Balod
Bametara,Bemetara
Gariaband,Gariaband
Kondagaon,Kondagaon
Mungeli,Mungeli
Sukma,Sukma
Surajpur,Surajpur
South East,South East Delhi
Shahdara,Shahdara
Aravalli,Aravalli
Botad,Botad
Chota Udaipur,Chhota Udaipur
Devbhumi Dwarka,Devbhumi Dwarka
Gir Somnath,Gir Somnath
Mahisagar,Mahisagar
Morbi,Morbi
Charki Dadri,Charki Dadri
Dumka,Dumka
Mirpur,Mirpur
Muzaffarabad,Muzaffarabad
Kargil,Kargil
Leh,Leh
Palghar,Palghar
North Garo Hills,North Garo Hills
South West Khasi Hills,South West Khasi Hills
South West Garo Hills,South West Garo Hills
Jiribam,Jiribam
Kakching,Kakching
Kamjong,Kamjong
Kangpokpi,Kangpokpi
Noney,Noney
Pherzawl,Pherzawl
Tengnoupal,Tengnoupal
Agar Malwa,Agar Malwa
Niwari,Niwari
Hnahthial,Hnahthial
Khawzawl,Khawzawl
Saitual,Saitual
Puri,Puri
Fazilka,Fazilka
Pathankot,Pathankot
Chengalpattu,Chengalpattu
Kallakurichi,Kallakurichi
Ranipet,Ranipet
Tenkasi,Tenkasi
Tirupathur,Tirupathur
Gomati,Gomati
