Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
18,Anseriformes,Anatidae,Mandarin Duck Aix galericulata,Mandarin Duck,Aix galericulata,Mandarin Duck,Aix galericulata,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
19,Anseriformes,Anatidae,Baikal Teal Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,"(Georgi, 1775)",,,,Least Concern,Schedule-II,,Appendix II,Appendix I,,,,,,,,,,,
20,Anseriformes,Anatidae,Garganey Spatula querquedula,Garganey,Spatula querquedula,Garganey,Spatula querquedula,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
21,Anseriformes,Anatidae,Northern Shoveler Spatula clypeata,Northern Shoveler,Spatula clypeata,Northern Shoveler,Spatula clypeata,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
22,Anseriformes,Anatidae,Gadwall Mareca strepera,Gadwall,Mareca strepera,Gadwall,Mareca strepera,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
23,Anseriformes,Anatidae,Falcated Duck Mareca falcata,Falcated Duck,Mareca falcata,Falcated Duck,Mareca falcata,"(Georgi, 1775)",Falcated Teal,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
24,Anseriformes,Anatidae,Eurasian Wigeon Mareca penelope,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,Mareca penelope,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
25,Anseriformes,Anatidae,Indian Spot-billed Duck Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,"Forster, 1781",Spot-billed/Spotbill Duck (with A. zonorhyncha),,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
26,Anseriformes,Anatidae,Eastern Spot-billed Duck Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha,"Swinhoe, 1866",Chinese Spot-billed Duck,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
27,Anseriformes,Anatidae,Mallard Anas platyrhynchos,Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,"Linnaeus, 1758",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
28,Anseriformes,Anatidae,Northern Pintail Anas acuta,Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,"Linnaeus, 1758",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
29,Anseriformes,Anatidae,Common Teal Anas crecca,Common Teal,Anas crecca,Green-winged Teal,Anas crecca,"Linnaeus, 1758","Green-winged Teal, Eurasian Teal",,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
30,Anseriformes,Anatidae,Andaman Teal Anas albogularis,Andaman Teal,Anas albogularis,Andaman Teal,Anas albogularis,"(Hume, 1873)","[Grey Teal, Sunda Teal]",,,Vulnerable,Schedule-I,High,,,,X,,,,,,,,,
31,Anseriformes,Anatidae,Marbled Duck Marmaronetta angustirostris,Marbled Duck,Marmaronetta angustirostris,Marbled Duck,Marmaronetta angustirostris,"(Ménétries, 1832)",Marbled Teal,,,Near Threatened,Schedule-I,High,,Appendix I,,,,,,,,,,,
32,Anseriformes,Anatidae,Pink-headed Duck Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,"(Latham, 1790)",,,X,Critically Endangered,Schedule-I,,Appendix I,Appendix II,,,,,,,,,,,
33,Anseriformes,Anatidae,White-winged Wood-Duck Asarcornis scutulata,White-winged Wood-Duck,Asarcornis scutulata,White-winged Duck,Asarcornis scutulata,"(Müller, 1842)",White-winged Duck,,,Critically Endangered,Schedule-I,High,Appendix I,Appendix II,,,,,,,,,,,
34,Anseriformes,Anatidae,Red-crested Pochard Netta rufina,Red-crested Pochard,Netta rufina,Red-crested Pochard,Netta rufina,"(Pallas, 1773)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
35,Anseriformes,Anatidae,Common Pochard Aythya ferina,Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,"(Linnaeus, 1758)",,,,Vulnerable,Schedule-I,High,,Appendix II,,,,,,,,,,,
36,Anseriformes,Anatidae,Ferruginous Duck Aythya nyroca,Ferruginous Duck,Aythya nyroca,Ferruginous Duck,Aythya nyroca,"(Güldenstädt, 1770)",White-eyed Pochard,,,Near Threatened,Schedule-II,Moderate,,Appendix I,,,,,,,,,,,
37,Anseriformes,Anatidae,Baer's Pochard Aythya baeri,Baer's Pochard,Aythya baeri,Baer's Pochard,Aythya baeri,"(Radde, 1863)",,,,Critically Endangered,Schedule-I,High,,Appendix I,,,,,,,,,,,
38,Anseriformes,Anatidae,Tufted Duck Aythya fuligula,Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,"(Linnaeus, 1758)",Tufted Pochard,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
39,Anseriformes,Anatidae,Greater Scaup Aythya marila,Greater Scaup,Aythya marila,Greater Scaup,Aythya marila,"(Linnaeus, 1761)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
40,Anseriformes,Anatidae,Long-tailed Duck Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,"(Linnaeus, 1758)",Old Squaw,X,,Vulnerable,Schedule-II,,,Appendix II,,,,,,,,,,,
41,Anseriformes,Anatidae,Common Goldeneye Bucephala clangula,Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
42,Anseriformes,Anatidae,Smew Mergellus albellus,Smew,Mergellus albellus,Smew,Mergellus albellus,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
43,Anseriformes,Anatidae,Common Merganser Mergus merganser,Common Merganser,Mergus merganser,Common Merganser,Mergus merganser,"Linnaeus, 1758",Goosander,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
44,Anseriformes,Anatidae,Red-breasted Merganser Mergus serrator,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,"Linnaeus, 1758",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
45,Anseriformes,Anatidae,White-headed Duck Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,"(Scopoli, 1769)",White-headed Stiff-tailed Duck,X,,Endangered,Schedule-I,,Appendix II,Appendix I,,,,,,,,,,,
46,Galliformes,Megapodiidae,Nicobar Megapode Megapodius nicobariensis,Nicobar Megapode,Megapodius nicobariensis,Nicobar Megapode,Megapodius nicobariensis,"Blyth, 1846",Nicobar Scrubfowl,,,Vulnerable,Schedule-I,High,,,X,X,,,,,,,,,
47,Galliformes,Phasianidae,Hill Partridge Arborophila torqueola,Hill Partridge,Arborophila torqueola,Hill Partridge,Arborophila torqueola,"(Valenciennes, 1825)",Common Hill Partridge,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
48,Galliformes,Phasianidae,Chestnut-breasted Partridge Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii,"Hume, 1874",Chestnut-breasted Hill Partridge,,,Near Threatened,Schedule-I,Moderate,,,,,,,,X,,,,,
49,Galliformes,Phasianidae,Rufous-throated Partridge Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis,"(Blyth, 1849)",Rufous-throated Hill Partridge,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
50,Galliformes,Phasianidae,White-cheeked Partridge Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis,"(Blyth, 1849)",White-cheeked Hill Partridge,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
51,Galliformes,Phasianidae,Snow Partridge Lerwa lerwa,Snow Partridge,Lerwa lerwa,Snow Partridge,Lerwa lerwa,"(Hodgson, 1833)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
52,Galliformes,Phasianidae,Blood Pheasant Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,"(Hardwicke, 1821)",,,,Least Concern,Schedule-I,High,Appendix II,,,,,,,,,,,,
53,Galliformes,Phasianidae,Western Tragopan Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,"(Gray, 1829)",Western Horned Pheasant,,,Vulnerable,Schedule-I,High,Appendix I,,,,,,,,,,,,X
54,Galliformes,Phasianidae,Satyr Tragopan Tragopan satyra,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,Tragopan satyra,"(Linnaeus, 1758)",Crimson Horned Pheasant,,,Least Concern,Schedule-I,Moderate,,,,,,,,,,,,,
55,Galliformes,Phasianidae,Blyth's Tragopan Tragopan blythii,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Tragopan blythii,"(Jerdon, 1870)",Grey-bellied Tragopan,,,Vulnerable,Schedule-I,High,Appendix I,,,,,,,X,,,,,
56,Galliformes,Phasianidae,Temminck's Tragopan Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,"(Gray, 1831)",Chinese Crimson Horned Pheasant,,,Least Concern,Schedule-I,High,,,,,,,,,,,,,
57,Galliformes,Phasianidae,Himalayan Monal Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,"(Latham, 1790)","Impeyan Monal, Impeyan Monal Pheasant",,,Least Concern,Schedule-I,Low,Appendix I,,,,,,,,,,,,
58,Galliformes,Phasianidae,Sclater's Monal Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,"Jerdon, 1870",,,,Least Concern,Schedule-I,High,Appendix I,,,,,,,X,,,,,
59,Galliformes,Phasianidae,Koklass Pheasant Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,"(Lesson, 1829)",Koklas Pheasant,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
60,Galliformes,Phasianidae,Tibetan Partridge Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,"(Hodgson, 1856)",,,,Least Concern,Schedule-I,,,,,,,,,,,,,,
61,Galliformes,Phasianidae,Mrs. Hume's Pheasant Syrmaticus humiae,Mrs. Hume's Pheasant,Syrmaticus humiae,Mrs. Hume's Pheasant,Syrmaticus humiae,"(Hume, 1881)",Mrs. Hume's Barred-back Pheasant,,,Vulnerable,Schedule-I,,Appendix I,,,,,,,,,,,,
62,Galliformes,Phasianidae,Cheer Pheasant Catreus wallichii,Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Catreus wallichii,"(Hardwicke, 1827)",Chir Pheasant,,,Vulnerable,Schedule-I,High,Appendix I,,,,,,,,,,,,X
63,Galliformes,Phasianidae,Kalij Pheasant Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,"(Latham, 1790)",Kaleej Pheasant,,,Least Concern,Schedule-I,Low,,,,,,,,,,,,,
64,Galliformes,Phasianidae,Indian Peafowl Pavo cristatus,Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo cristatus,"Linnaeus, 1758","Blue Peafowl, Common Peafowl",,,Least Concern,Schedule-I,Low,,,,,,,,,,,,,
65,Galliformes,Phasianidae,Green Peafowl Pavo muticus,Green Peafowl,Pavo muticus,Green Peafowl,Pavo muticus,"Linnaeus, 1766",Burmese Peafowl,,X,Endangered,Schedule-I,,Appendix II,,,,,,,,,,,,
66,Galliformes,Phasianidae,Red Spurfowl Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,"(Gmelin, 1789)",,,,Least Concern,Schedule-II,Low,,,X,,,,,,,,,,
67,Galliformes,Phasianidae,Painted Spurfowl Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,"(Valenciennes, 1825)",,,,Least Concern,Schedule-II,Low,,,X,,,,,,,,,,
68,Galliformes,Phasianidae,Grey Peacock-Pheasant Polyplectron bicalcaratum,Grey Peacock-Pheasant,Polyplectron bicalcaratum,Gray Peacock-Pheasant,Polyplectron bicalcaratum,"(Linnaeus, 1758)",,,,Least Concern,Schedule-I,Moderate,Appendix II,,,,,,,,,,,,
69,Galliformes,Phasianidae,Mountain Bamboo-Partridge Bambusicola fytchii,Mountain Bamboo-Partridge,Bambusicola fytchii,Mountain Bamboo-Partridge,Bambusicola fytchii,"Anderson, 1871",Bamboo Partridge,,,Least Concern,Schedule-I,,,,,,,,,,,,,,
70,Galliformes,Phasianidae,Red Junglefowl Gallus gallus,Red Junglefowl,Gallus gallus,Red Junglefowl,Gallus gallus,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
71,Galliformes,Phasianidae,Grey Junglefowl Gallus sonneratii,Grey Junglefowl,Gallus sonneratii,Gray Junglefowl,Gallus sonneratii,"Temminck, 1813",,,,Least Concern,Schedule-I,Low,Appendix II,,X,,,,,,,,,,
72,Galliformes,Phasianidae,Grey Francolin Ortygornis pondicerianus,Grey Francolin,Ortygornis pondicerianus,Gray Francolin,Ortygornis pondicerianus,"(Gmelin, 1789)",Grey Partridge,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
73,Galliformes,Phasianidae,Swamp Francolin Ortygornis gularis,Swamp Francolin,Ortygornis gularis,Swamp Francolin,Ortygornis gularis,"(Temminck, 1815)",Swamp Partridge,,,Near Threatened,Schedule-I,High,,,,,,,,,,,,,
74,Galliformes,Phasianidae,Chinese Francolin Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,"(Scopoli, 1786)",Burmese Francolin,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
75,Galliformes,Phasianidae,Black Francolin Francolinus francolinus,Black Francolin,Francolinus francolinus,Black Francolin,Francolinus francolinus,"(Linnaeus, 1766)",Black Partridge,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
76,Galliformes,Phasianidae,Painted Francolin Francolinus pictus,Painted Francolin,Francolinus pictus,Painted Francolin,Francolinus pictus,"(Jardine & Selby, 1828)",Painted Partridge,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
77,Galliformes,Phasianidae,Tibetan Snowcock Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,"Gould, 1854",,,,Least Concern,Schedule-I,,Appendix I,,,,,,,,,,,,
78,Galliformes,Phasianidae,Himalayan Snowcock Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,"Gray, 1843",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
79,Galliformes,Phasianidae,Blue-breasted Quail Synoicus chinensis,Blue-breasted Quail,Synoicus chinensis,Blue-breasted Quail,Synoicus chinensis,"(Linnaeus, 1766)","King Quail, Asian Blue Quail",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
80,Galliformes,Phasianidae,Common Quail Coturnix coturnix,Common Quail,Coturnix coturnix,Common Quail,Coturnix coturnix,"(Linnaeus, 1758)",Grey Quail,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
81,Galliformes,Phasianidae,Japanese Quail Coturnix japonica,Japanese Quail,Coturnix japonica,Japanese Quail,Coturnix japonica,"Temminck & Schlegel, 1849",,,X,Near Threatened,Schedule-II,,,,,,,,,,,,,,
82,Galliformes,Phasianidae,Rain Quail Coturnix coromandelica,Rain Quail,Coturnix coromandelica,Rain Quail,Coturnix coromandelica,"(Gmelin, 1789)",Black-breasted Quail,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
83,Galliformes,Phasianidae,Chukar Partridge Alectoris chukar,Chukar Partridge,Alectoris chukar,Chukar,Alectoris chukar,"(Gray, 1830)","Chukor, Chukar",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
84,Galliformes,Phasianidae,Jungle Bush-Quail Perdicula asiatica,Jungle Bush-Quail,Perdicula asiatica,Jungle Bush-Quail,Perdicula asiatica,"(Latham, 1790)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
85,Galliformes,Phasianidae,Rock Bush-Quail Perdicula argoondah,Rock Bush-Quail,Perdicula argoondah,Rock Bush-Quail,Perdicula argoondah,"(Sykes, 1832)",,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,,
86,Galliformes,Phasianidae,Painted Bush-Quail Perdicula erythrorhyncha,Painted Bush-Quail,Perdicula erythrorhyncha,Painted Bush-Quail,Perdicula erythrorhyncha,"(Sykes, 1832)",,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,,
87,Galliformes,Phasianidae,Manipur Bush-Quail Perdicula manipurensis,Manipur Bush-Quail,Perdicula manipurensis,Manipur Bush-Quail,Perdicula manipurensis,"Hume, 1881",,,X,Critically Endangered,Schedule-I,High,,,X,,X,,,,,,,,
88,Galliformes,Phasianidae,Himalayan Quail Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,"(Gray, 1846)",Mountain Quail,,X,Critically Endangered,Schedule-I,High,,,X,,,,,,,,,,X
89,Columbiformes,Columbidae,Rock Pigeon Columba livia,Rock Pigeon,Columba livia,Rock Pigeon,Columba livia,"Gmelin, 1789","Rock Dove, Blue Rock Pigeon",,,Least Concern,Not scheduled,Low,,,,,,,,,,,,,
90,Columbiformes,Columbidae,Hill Pigeon Columba rupestris,Hill Pigeon,Columba rupestris,Hill Pigeon,Columba rupestris,"Pallas, 1811",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
91,Columbiformes,Columbidae,Snow Pigeon Columba leuconota,Snow Pigeon,Columba leuconota,Snow Pigeon,Columba leuconota,"Vigors, 1831",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
92,Columbiformes,Columbidae,Yellow-eyed Pigeon Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,"Bonaparte, 1856","Pale-backed Pigeon, Eastern Stock Pigeon",,,Vulnerable,Schedule-I,High,,,,,,,,,,,,,
93,Columbiformes,Columbidae,Common Wood-Pigeon Columba palumbus,Common Wood-Pigeon,Columba palumbus,Common Wood-Pigeon,Columba palumbus,"Linnaeus, 1758","Wood Pigeon, Eastern Wood Pigeon",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
94,Columbiformes,Columbidae,Speckled Wood-Pigeon Columba hodgsonii,Speckled Wood-Pigeon,Columba hodgsonii,Speckled Wood-Pigeon,Columba hodgsonii,"Vigors, 1832",Speckled Pigeon,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
95,Columbiformes,Columbidae,Ashy Wood-Pigeon Columba pulchricollis,Ashy Wood-Pigeon,Columba pulchricollis,Ashy Wood-Pigeon,Columba pulchricollis,"Blyth, 1846",Ashy Pigeon,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
96,Columbiformes,Columbidae,Nilgiri Wood-Pigeon Columba elphinstonii,Nilgiri Wood-Pigeon,Columba elphinstonii,Nilgiri Wood-Pigeon,Columba elphinstonii,"(Sykes, 1832)",Nilgiri Pigeon,,,Least Concern,Schedule-I,Moderate,,,X,,,,,,,,,X,
97,Columbiformes,Columbidae,Pale-capped Pigeon Columba punicea,Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Columba punicea,"Blyth, 1842",Purple Wood Pigeon,,,Vulnerable,Schedule-I,High,,,,,,,,,,,,,
98,Columbiformes,Columbidae,Andaman Wood-Pigeon Columba palumboides,Andaman Wood-Pigeon,Columba palumboides,Andaman Wood-Pigeon,Columba palumboides,"(Hume, 1873)",Andaman Pigeon,,,Near Threatened,Schedule-II,Moderate,,,X,X,,,,,,,,,
99,Columbiformes,Columbidae,European Turtle-Dove Streptopelia turtur,European Turtle-Dove,Streptopelia turtur,European Turtle-Dove,Streptopelia turtur,"(Linnaeus, 1758)",Turtle Dove,,X,Vulnerable,Schedule-II,,,,,,,,,,,,,,
100,Columbiformes,Columbidae,Oriental Turtle-Dove Streptopelia orientalis,Oriental Turtle-Dove,Streptopelia orientalis,Oriental Turtle-Dove,Streptopelia orientalis,"(Latham, 1790)",Rufous Turtle Dove,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
101,Columbiformes,Columbidae,Eurasian Collared-Dove Streptopelia decaocto,Eurasian Collared-Dove,Streptopelia decaocto,Eurasian Collared-Dove,Streptopelia decaocto,"(Frivaldszky, 1838)",Indian Ring Dove,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
102,Columbiformes,Columbidae,Red Collared-Dove Streptopelia tranquebarica,Red Collared-Dove,Streptopelia tranquebarica,Red Collared-Dove,Streptopelia tranquebarica,"(Hermann, 1804)",Red Turtle Dove,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
103,Columbiformes,Columbidae,Spotted Dove Spilopelia chinensis,Spotted Dove,Spilopelia chinensis,Spotted Dove,Spilopelia chinensis,"(Scopoli, 1786)",Western Spotted Dove S. [c.] suratensis & S. [c.] ceylonensis, Eastern Spotted Dove S. [c.] tigrina,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,
104,Columbiformes,Columbidae,Laughing Dove Spilopelia senegalensis,Laughing Dove,Spilopelia senegalensis,Laughing Dove,Spilopelia senegalensis,"(Linnaeus, 1766)","Little Brown Dove, Senegal Dove",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
