Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
1,Anseriformes,Anatidae,Fulvous Whistling-Duck Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,"(Vieillot, 1816)",Large Whistling Teal,,,Least Concern,Schedule-I,Low,,Appendix II,,,,,,,,,,,
2,Anseriformes,Anatidae,Lesser Whistling-Duck Dendrocygna javanica,Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling-Duck,Dendrocygna javanica,"(Horsfield, 1821)","Lesser Whistling Teal, Tree Duck",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
3,Anseriformes,Anatidae,Bar-headed Goose Anser indicus,Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,"(Latham, 1790)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
4,Anseriformes,Anatidae,Greylag Goose Anser anser,Greylag Goose,Anser anser,Graylag Goose,Anser anser,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
5,Anseriformes,Anatidae,Greater White-fronted Goose Anser albifrons,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,"(Scopoli, 1769)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
6,Anseriformes,Anatidae,Lesser White-fronted Goose Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,"(Linnaeus, 1758)",,,,Vulnerable,Schedule-II,,,Appendix I,,,,,,,,,,,
7,Anseriformes,Anatidae,Taiga Bean-Goose Anser fabalis,Taiga Bean-Goose,Anser fabalis,Taiga Bean-Goose,Anser fabalis,"(Latham, 1787)",Bean Goose (with A. serrirostris),X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
8,Anseriformes,Anatidae,Tundra Bean-Goose Anser serrirostris,Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,Anser serrirostris,"Gould, 1852",,,,Not recognized,Schedule-II,,,Appendix II,,,,,,,,,,,
9,Anseriformes,Anatidae,Barnacle Goose Branta leucopsis,Barnacle Goose,Branta leucopsis,Barnacle Goose,Branta leucopsis,"(Bechstein, 1803)",,X,,Least Concern,Recent addition,,,Appendix II,,,,,,,,,,,
10,Anseriformes,Anatidae,Red-breasted Goose Branta ruficollis,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,"(Pallas, 1769)",,X,,Vulnerable,Schedule-II,,Appendix II,Appendix I,,,,,,,,,,,
11,Anseriformes,Anatidae,Mute Swan Cygnus olor,Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,"(Gmelin, 1789)",,,X,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
12,Anseriformes,Anatidae,Tundra Swan Cygnus columbianus,Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,"(Ord, 1815)",Bewick's Swan C. [c.] bewickii,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
13,Anseriformes,Anatidae,Whooper Swan Cygnus cygnus,Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
14,Anseriformes,Anatidae,Knob-billed Duck Sarkidiornis melanotos,Knob-billed Duck,Sarkidiornis melanotos,Knob-billed Duck,Sarkidiornis melanotos,"(Pennant, 1769)","[Comb Duck]; Nakta Duck, African Comb Duck",,,Least Concern,Schedule-II,Low,Appendix II,Appendix II,,,,,,,,,,,
15,Anseriformes,Anatidae,Ruddy Shelduck Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,"(Pallas, 1764)",Brahminy Duck,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
16,Anseriformes,Anatidae,Common Shelduck Tadorna tadorna,Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
17,Anseriformes,Anatidae,Cotton Pygmy-Goose Nettapus coromandelianus,Cotton Pygmy-Goose,Nettapus coromandelianus,Cotton Pygmy-Goose,Nettapus coromandelianus,"(Gmelin, 1789)",Cotton Teal,,,Least Concern,Schedule-I,Moderate,,Appendix II,,,,,,,,,,,
