post_title,ID,post_content,post_excerpt,post_date,post_name,post_author,post_status,featured_image,wp_page_template,post_format,comment_status,ping_status,pinged,post_parent,menu_order,scientific_name,long-term_trend,long-term_trend_ci,current_annual_change,current_annual_change_ci,distribution_range_size,distribution_range_size_ci_units_of_10000_sqkm,downloadlink,map_filename,map_filename_originals,graph_filename,graph_filename_originals,graph_filename_originals_cat,current_status,distribution_status,iucn_status,long_term_status,migratory_status,status_of_conservation_concern,wlpa_schedule,primary_assessment,habitat_specialization,endemicity,custom_url,custom_url_estnot,long-term_trend_in,long-term_trend_ci_in,current_annual_change_in,current_annual_change_ci_in,distribution_range_size_in,distribution_range_size_ci_units_of_10000_sqkm_in,migratory_status_in,habitat_specialization_in,endemicity_in,national_trends_addn,habitat_trends_addn,state_trends_addn,full_url_2,habitats,conservation_areas,conservation_area_trends_addn,key_states,all_trends,post_category,only_conclusive_trend,new_to_soib_2023,photo_credit
Fulvous Whistling Duck,,Odisha,,,or-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"4,373","(4,259, 4,487)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_or_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_or_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",or-fuwduc,None,None,,,Odisha,Odisha,No,TRUE,Parthasarathi Chakrabarti
Fulvous Whistling Duck,,Puducherry,,,py-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"2,708","(2,697, 2,719)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_py_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_py_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",py-fuwduc,None,None,,,Puducherry,Puducherry,No,TRUE,Parthasarathi Chakrabarti
Fulvous Whistling Duck,,Tamil Nadu,,,tn-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"36,775","(36,491, 37,059)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_tn_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_tn_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",tn-fuwduc,None,None,,,Tamil Nadu,Tamil Nadu,No,TRUE,Parthasarathi Chakrabarti
Fulvous Whistling Duck,,Telangana,,,ts-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"14,132","(13,941, 14,323)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_ts_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_ts_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",ts-fuwduc,None,None,,,Telangana,Telangana,No,TRUE,Parthasarathi Chakrabarti
Fulvous Whistling Duck,,Tripura,,,tr-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"1,813","(1,762, 1,864)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_tr_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_tr_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",tr-fuwduc,None,None,,,Tripura,Tripura,No,TRUE,Parthasarathi Chakrabarti
Fulvous Whistling Duck,,West Bengal,,,wb-fuwduc,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_bicolor.jpg,,standard,closed,closed,,0,0,Dendrocygna bicolor,,,,,"13,355","(13,172, 13,538)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Fulvous-Whistling-Duck_wb_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Fulvous-Whistling-Duck_wb_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-I,,Wetland,Non-endemic,fuwduc,not-fuwduc,,,-2.82,"(-5.78, 0.13)","1,25,500","(124,930, 126,070)",Resident,Wetland,Non-endemic,in-est-fuwduc,,"ap-not-fuwduc,ar-not-fuwduc,as-not-fuwduc,br-not-fuwduc,gj-not-fuwduc,ka-not-fuwduc,kl-not-fuwduc,mn-not-fuwduc,nl-not-fuwduc,or-not-fuwduc,py-not-fuwduc,tn-not-fuwduc,ts-not-fuwduc,tr-not-fuwduc,wb-not-fuwduc",wb-fuwduc,None,None,,,West Bengal,West Bengal,No,TRUE,Parthasarathi Chakrabarti
Lesser Whistling Duck,,India,,,lewduc1,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_javanica.jpg,,standard,closed,closed,,0,0,Dendrocygna javanica,11.53,"(-6.65, 33.31)",0.39,"(-1.52, 2.3)","17,45,260","(1,744,730, 1,745,790)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Lesser-Whistling-Duck_in_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Lesser-Whistling-Duck_in_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/display/Lesser-Whistling-Duck_in_LTT_trend.jpg,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/originals/Lesser-Whistling-Duck_in_LTT_trend.png,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/originals/Lesser-Whistling-Duck_in_CAT_trend.png,Stable,Very Large,Least Concern,Stable,Resident,Low,Schedule-II,,Wetland,Non-endemic,lewduc1,est-lewduc1,11.53,"(-6.65, 33.31)",0.39,"(-1.52, 2.3)","17,45,260","(1,744,730, 1,745,790)",Resident,Wetland,Non-endemic,in-est-lewduc1,,"an-not-lewduc1,ap-not-lewduc1,ar-not-lewduc1,as-est-lewduc1,br-not-lewduc1,ch-not-lewduc1,ct-not-lewduc1,dn-not-lewduc1,dd-not-lewduc1,dl-not-lewduc1,ga-not-lewduc1,gj-est-lewduc1,hr-not-lewduc1,hp-not-lewduc1,jk-not-lewduc1,jh-not-lewduc1,ka-est-lewduc1,kl-est-lewduc1,mp-est-lewduc1,mh-est-lewduc1,mn-not-lewduc1,ml-not-lewduc1,mz-not-lewduc1,or-not-lewduc1,py-not-lewduc1,pb-not-lewduc1,rj-not-lewduc1,tn-est-lewduc1,ts-not-lewduc1,tr-not-lewduc1,up-not-lewduc1,ul-not-lewduc1,wb-est-lewduc1",in-est-lewduc1,None,None,pas-est-lewduc1,,India,India,Yes,FALSE,Antony Grossy
Lesser Whistling Duck,,Protected Areas,,,pas-lewduc1,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_javanica.jpg,,standard,closed,closed,,0,0,Dendrocygna javanica,-12.94,"(-28.07, 7.35)",-2.18,"(-3.87, -0.5)","17,45,255","(1,744,723, 1,745,787)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Lesser-Whistling-Duck_in_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Lesser-Whistling-Duck_in_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/display/Lesser-Whistling-Duck_pas_LTT_trend.jpg,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/originals/Lesser-Whistling-Duck_pas_LTT_trend.png,https://stateofindiasbirds.in/wp-content/uploads/2024/trends/originals/Lesser-Whistling-Duck_pas_CAT_trend.png,Trend Inconclusive,,Least Concern,Stable,Resident,Low,Schedule-II,,Wetland,Non-endemic,lewduc1,est-lewduc1,11.53,"(-6.65, 33.31)",0.39,"(-1.52, 2.3)","17,45,260","(1,744,730, 1,745,790)",Resident,Wetland,Non-endemic,in-est-lewduc1,,"an-not-lewduc1,ap-not-lewduc1,ar-not-lewduc1,as-est-lewduc1,br-not-lewduc1,ch-not-lewduc1,ct-not-lewduc1,dn-not-lewduc1,dd-not-lewduc1,dl-not-lewduc1,ga-not-lewduc1,gj-est-lewduc1,hr-not-lewduc1,hp-not-lewduc1,jk-not-lewduc1,jh-not-lewduc1,ka-est-lewduc1,kl-est-lewduc1,mp-est-lewduc1,mh-est-lewduc1,mn-not-lewduc1,ml-not-lewduc1,mz-not-lewduc1,or-not-lewduc1,py-not-lewduc1,pb-not-lewduc1,rj-not-lewduc1,tn-est-lewduc1,ts-not-lewduc1,tr-not-lewduc1,up-not-lewduc1,ul-not-lewduc1,wb-est-lewduc1",pas-lewduc1,None,Protected Areas,pas-est-lewduc1,,Protected Areas,Protected Areas,Yes,TRUE,Antony Grossy
Lesser Whistling Duck,,Andaman and Nicobar Islands,,,an-lewduc1,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_javanica.jpg,,standard,closed,closed,,0,0,Dendrocygna javanica,,,,,"5,462","(5,445, 5,479)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Lesser-Whistling-Duck_an_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Lesser-Whistling-Duck_an_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-II,,Wetland,Non-endemic,lewduc1,not-lewduc1,11.53,"(-6.65, 33.31)",0.39,"(-1.52, 2.3)","17,45,260","(1,744,730, 1,745,790)",Resident,Wetland,Non-endemic,in-est-lewduc1,,"an-not-lewduc1,ap-not-lewduc1,ar-not-lewduc1,as-est-lewduc1,br-not-lewduc1,ch-not-lewduc1,ct-not-lewduc1,dn-not-lewduc1,dd-not-lewduc1,dl-not-lewduc1,ga-not-lewduc1,gj-est-lewduc1,hr-not-lewduc1,hp-not-lewduc1,jk-not-lewduc1,jh-not-lewduc1,ka-est-lewduc1,kl-est-lewduc1,mp-est-lewduc1,mh-est-lewduc1,mn-not-lewduc1,ml-not-lewduc1,mz-not-lewduc1,or-not-lewduc1,py-not-lewduc1,pb-not-lewduc1,rj-not-lewduc1,tn-est-lewduc1,ts-not-lewduc1,tr-not-lewduc1,up-not-lewduc1,ul-not-lewduc1,wb-est-lewduc1",an-lewduc1,None,None,pas-est-lewduc1,,Andaman and Nicobar Islands,Andaman and Nicobar Islands,No,TRUE,Antony Grossy
Lesser Whistling Duck,,Andhra Pradesh,,,ap-lewduc1,amithkumar.4,publish,https://stateofindiasbirds.in/wp-content/uploads/Dendrocygna_javanica.jpg,,standard,closed,closed,,0,0,Dendrocygna javanica,,,,,"1,06,708","(106,534, 106,882)",,https://stateofindiasbirds.in/wp-content/uploads/maps/Lesser-Whistling-Duck_ap_map_2023.jpg,https://stateofindiasbirds.in/wp-content/uploads/originals/2023/Lesser-Whistling-Duck_ap_map_2023.jpg,,,,Insufficient Data,,Least Concern,Insufficient Data,Resident,Low,Schedule-II,,Wetland,Non-endemic,lewduc1,not-lewduc1,11.53,"(-6.65, 33.31)",0.39,"(-1.52, 2.3)","17,45,260","(1,744,730, 1,745,790)",Resident,Wetland,Non-endemic,in-est-lewduc1,,"an-not-lewduc1,ap-not-lewduc1,ar-not-lewduc1,as-est-lewduc1,br-not-lewduc1,ch-not-lewduc1,ct-not-lewduc1,dn-not-lewduc1,dd-not-lewduc1,dl-not-lewduc1,ga-not-lewduc1,gj-est-lewduc1,hr-not-lewduc1,hp-not-lewduc1,jk-not-lewduc1,jh-not-lewduc1,ka-est-lewduc1,kl-est-lewduc1,mp-est-lewduc1,mh-est-lewduc1,mn-not-lewduc1,ml-not-lewduc1,mz-not-lewduc1,or-not-lewduc1,py-not-lewduc1,pb-not-lewduc1,rj-not-lewduc1,tn-est-lewduc1,ts-not-lewduc1,tr-not-lewduc1,up-not-lewduc1,ul-not-lewduc1,wb-est-lewduc1",ap-lewduc1,None,None,pas-est-lewduc1,,Andhra Pradesh,Andhra Pradesh,No,TRUE,Antony Grossy
