TaxonID,group,sci_name,ISO3,pp,groupcode,Scientific
22681546,Bird,Blythipicus pyrrhotis,IND,0.056427706,1,22681546
22681572,Bird,Hemicircus canente,IND,0.210401539,1,22681572
22681585,Bird,Mulleripicus pulverulentus,IND,0.053757551,1,22681585
22681591,Bird,Psilopogon virens,IND,0.105529158,1,22681591
22681597,Bird,Psilopogon zeylanicus,IND,0.959509262,1,22681597
22681600,Bird,Psilopogon lineatus,IND,0.215550974,1,22681600
22681603,Bird,Psilopogon viridis,IND,1,1,22681603
22681681,Bird,Psilopogon haemacephalus,IND,0.47066296,1,22681681
22682421,Bird,Ocyceros griseus,IND,1,1,22682421
22682429,Bird,Ocyceros birostris,IND,0.977850469,1,22682429
22682433,Bird,Anthracoceros coronatus,IND,0.915210124,1,22682433
22682437,Bird,Anthracoceros albirostris,IND,0.184263928,1,22682437
22682453,Bird,Buceros bicornis,IND,0.161794238,1,22682453
22682510,Bird,Aceros nipalensis,IND,0.320978699,1,22682510
22682528,Bird,Rhyticeros undulatus,IND,0.043919835,1,22682528
22682655,Bird,Upupa epops,IND,0.050783192,1,22682655
22682830,Bird,Harpactes fasciatus,IND,0.84164173,1,22682830
22682854,Bird,Harpactes erythrocephalus,IND,0.075375982,1,22682854
22682857,Bird,Harpactes wardi,IND,0.294209472,1,22682857
22682860,Bird,Coracias garrulus,IND,3.10E-04,1,22682860
22682920,Bird,Eurystomus orientalis,IND,0.021844972,1,22682920
22683024,Bird,Alcedo hercules,IND,0.157188419,1,22683024
22683027,Bird,Alcedo atthis,IND,0.10914,1,22683027
22683042,Bird,Alcedo meninting,IND,0.140353949,1,22683042
22683135,Bird,Ceyx erithaca,IND,0.109218977,1,22683135
22683213,Bird,Pelargopsis amauroptera,IND,0.145540406,1,22683213
22683227,Bird,Pelargopsis capensis,IND,0.291940068,1,22683227
22683234,Bird,Halcyon coromanda,IND,0.04148625,1,22683234
22683249,Bird,Halcyon pileata,IND,0.088051495,1,22683249
22683399,Bird,Todiramphus chloris,IND,0.006217201,1,22683399
22683620,Bird,Megaceryle lugubris,IND,0.051789475,1,22683620
22683645,Bird,Ceryle rudis,IND,0.124645969,1,22683645
22683664,Bird,Nyctyornis athertoni,IND,0.348396321,1,22683664
22683740,Bird,Merops persicus,IND,0.02311117,1,22683740
22683750,Bird,Merops philippinus,IND,0.334372462,1,22683750
22683756,Bird,Merops apiaster,IND,0.004888962,1,22683756
22683761,Bird,Merops leschenaulti,IND,0.200171415,1,22683761
22683800,Bird,Clamator jacobinus,IND,0.154220297,1,22683800
22683816,Bird,Clamator coromandus,IND,0.27802077,1,22683816
22683846,Bird,Hierococcyx varius,IND,0.849691188,1,22683846
22683870,Bird,Cuculus micropterus,IND,0.166901806,1,22683870
22683873,Bird,Cuculus canorus,IND,0.017564402,1,22683873
22683889,Bird,Cuculus poliocephalus,IND,0.171133891,1,22683889
22683917,Bird,Cacomantis sonneratii,IND,0.284951913,1,22683917
22683920,Bird,Cacomantis passerinus,IND,0.888198698,1,22683920
