English Name,Scientific Name,BLI,GEN
Fulvous Whistling-Duck,Dendrocygna bicolor,Dendrocygna bicolor,18
Lesser Whistling-Duck,Dendrocygna javanica,Dendrocygna javanica,17
Bar-headed Goose,Anser indicus,Anser indicus,32
Graylag Goose,Anser anser,Anser anser,29
Greater White-fronted Goose,Anser albifrons,Anser albifrons,29
Lesser White-fronted Goose,Anser erythropus,Anser erythropus,28
Taiga Bean-Goose,Anser fabalis,Anser fabalis,25
Tundra Bean-Goose,Anser serrirostris,Anser fabalis,25
Red-breasted Goose,Branta ruficollis,Branta ruficollis,32
Mute Swan,Cygnus olor,Cygnus olor,37
Tundra Swan,Cygnus columbianus,Cygnus columbianus,37
Whooper Swan,Cygnus cygnus,Cygnus cygnus,29
Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis melanotos,22
Ruddy Shelduck,Tadorna ferruginea,Tadorna ferruginea,19
Common Shelduck,Tadorna tadorna,Tadorna tadorna,30
Cotton Pygmy-Goose,Nettapus coromandelianus,Nettapus coromandelianus,14
Mandarin Duck,Aix galericulata,Aix galericulata,15
Baikal Teal,Sibirionetta formosa,Sibirionetta formosa,15
Garganey,Spatula querquedula,Spatula querquedula,13
Northern Shoveler,Spatula clypeata,Spatula clypeata,14
Gadwall,Mareca strepera,Mareca strepera,13
Falcated Duck,Mareca falcata,Mareca falcata,14
Eurasian Wigeon,Mareca penelope,Mareca penelope,14
Indian Spot-billed Duck,Anas poecilorhyncha,Anas poecilorhyncha,19
Eastern Spot-billed Duck,Anas zonorhyncha,Anas zonorhyncha,19
Mallard,Anas platyrhynchos,Anas platyrhynchos,19
Northern Pintail,Anas acuta,Anas acuta,17
Green-winged Teal,Anas crecca,Anas crecca,17
Andaman Teal,Anas albogularis,Anas albogularis,15
Marbled Teal,Marmaronetta angustirostris,Marmaronetta angustirostris,13
Pink-headed Duck,Rhodonessa caryophyllacea,Rhodonessa caryophyllacea,16
White-winged Duck,Asarcornis scutulata,Asarcornis scutulata,20
Red-crested Pochard,Netta rufina,Netta rufina,19
Common Pochard,Aythya ferina,Aythya ferina,17
Ferruginous Duck,Aythya nyroca,Aythya nyroca,16
Baer's Pochard,Aythya baeri,Aythya baeri,17
Tufted Duck,Aythya fuligula,Aythya fuligula,18
Greater Scaup,Aythya marila,Aythya marila,20
Long-tailed Duck,Clangula hyemalis,Clangula hyemalis,17
Common Goldeneye,Bucephala clangula,Bucephala clangula,25
Smew,Mergellus albellus,Mergellus albellus,16
Common Merganser,Mergus merganser,Mergus merganser,19
Red-breasted Merganser,Mergus serrator,Mergus serrator,17
White-headed Duck,Oxyura leucocephala,Oxyura leucocephala,18
Nicobar Scrubfowl,Megapodius nicobariensis,Megapodius nicobariensis,18
Hill Partridge,Arborophila torqueola,Arborophila torqueola,15
Chestnut-breasted Partridge,Arborophila mandellii,Arborophila mandellii,15
Rufous-throated Partridge,Arborophila rufogularis,Arborophila rufogularis,16
White-cheeked Partridge,Arborophila atrogularis,Arborophila atrogularis,14
Snow Partridge,Lerwa lerwa,Lerwa lerwa,19
Blood Pheasant,Ithaginis cruentus,Ithaginis cruentus,18
Western Tragopan,Tragopan melanocephalus,Tragopan melanocephalus,20
Satyr Tragopan,Tragopan satyra,Tragopan satyra,21
Blyth's Tragopan,Tragopan blythii,Tragopan blythii,21
Temminck's Tragopan,Tragopan temminckii,Tragopan temminckii,19
Himalayan Monal,Lophophorus impejanus,Lophophorus impejanus,19
Sclater's Monal,Lophophorus sclateri,Lophophorus sclateri,23
Koklass Pheasant,Pucrasia macrolopha,Pucrasia macrolopha,15
Tibetan Partridge,Perdix hodgsoniae,Perdix hodgsoniae,12
Hume's Pheasant,Syrmaticus humiae,Syrmaticus humiae,18
Cheer Pheasant,Catreus wallichii,Catreus wallichii,18
Kalij Pheasant,Lophura leucomelanos,Lophura leucomelanos,15
Indian Peafowl,Pavo cristatus,Pavo cristatus,27
Green Peafowl,Pavo muticus,Pavo muticus,27
Red Spurfowl,Galloperdix spadicea,Galloperdix spadicea,18
Painted Spurfowl,Galloperdix lunulata,Galloperdix lunulata,16
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Polyplectron bicalcaratum,20
Mountain Bamboo-Partridge,Bambusicola fytchii,Bambusicola fytchii,15
Red Junglefowl,Gallus gallus,Gallus gallus,14
Gray Junglefowl,Gallus sonneratii,Gallus sonneratii,17
Gray Francolin,Ortygornis pondicerianus,Ortygornis pondicerianus,13
Swamp Francolin,Ortygornis gularis,Ortygornis gularis,19
Chinese Francolin,Francolinus pintadeanus,Francolinus pintadeanus,14
Black Francolin,Francolinus francolinus,Francolinus francolinus,13
Painted Francolin,Francolinus pictus,Francolinus pictus,14
Tibetan Snowcock,Tetraogallus tibetanus,Tetraogallus tibetanus,19
