"COMMON.NAME"
"Wayanad Laughingthrush"
"Black-backed Dwarf-Kingfisher"
"Chinese Pond-Heron"
"Ashy-headed Green-Pigeon"
"Ruddy Kingfisher"
"Pale-billed Parrotbill"
"Black-breasted Thrush"
"Gray-headed Parrotbill"
"Pied Falconet"
"Asian Houbara"
"White-winged Duck"
"Andaman Cuckoo-Dove"
"Andaman Flowerpecker"
"Andaman Woodpecker"
"Asian Glossy Starling"
"Andaman Green-Pigeon"
"Nicobar Imperial-Pigeon"
"Nicobar Bulbul"
"Brown Hornbill"
"Long-tailed Sibia"
"Rufous-headed Parrotbill"
"Rufous-throated Fulvetta"
"Masked Booby"
"Slaty-bellied Tesia"
"Andaman Boobook"
"Andaman Shama"
"Andaman Scops-Owl"
"Freckle-breasted Woodpecker"
"Pacific Swallow"
"Gray-lored Broadbill"
"White-spectacled Warbler"
"Great Eared-Nightjar"
"Black-naped Tern"
"Van Hasselt's Sunbird"
"Sclater's Monal"
"Parasitic Jaeger"
"Lesser Shortwing"
"Yellow-rumped Flycatcher"
"White-tailed Tropicbird"
"Gray Peacock-Pheasant"
"Saunders's Tern"
"Hypocolius"
"Collared Pratincole"
"Blue-fronted Robin"
"Gray-sided Laughingthrush"
"Rufous-throated Wren-Babbler"
"Yellow-throated Fulvetta"
"Brown Noddy"
"European Golden-Plover"
"Black-faced Warbler"
"Blue-winged Laughingthrush"
"Chestnut-crowned Bush Warbler"
"Spotted Bush Warbler"
"Sooty Tern"
"Legge's Hawk-Eagle"
"Crimson-browed Finch"
"Rufous-breasted Bush-Robin"
"Spot-winged Rosefinch"
"Common Goldeneye"
"Bar-winged Wren-Babbler"
"Great Slaty Woodpecker"
"Red-faced Liocichla"
"Slaty-backed Flycatcher"
"Common Gull"
"Sri Lanka Frogmouth"
"Sri Lanka Bay-Owl"
"Chestnut-breasted Partridge"
"Rufous-backed Sibia"
"Tibetan Partridge"
"Upland Buzzard"
"Gray-crowned Prinia"
"White-throated Bushchat"
"Immaculate Cupwing"
"Amur Falcon"
"Eastern Spot-billed Duck"
"Caspian Plover"
"Horned Grebe"
"Andaman Nightjar"
"Brown-crowned Scimitar-Babbler"
"Rusty-capped Fulvetta"
"Rufous-faced Warbler"
"Silver-backed Needletail"
"Snowy-throated Babbler"
"Streaked Wren-Babbler"
"Large Scimitar-Babbler"
"Rusty-bellied Shortwing"
"Red-billed Scimitar-Babbler"
"White-bellied Sholakili"
"Red Kite"
"Violet Cuckoo"
"Eyebrowed Wren-Babbler"
"White-tailed Flycatcher"
"Blue Pitta"
"White-breasted Parrotbill"
"Bugun Liocichla"
"Marsh Babbler"
"Cachar Bulbul"
"Mountain Bamboo-Partridge"
"Asian Emerald Cuckoo"
"Swinhoe's Storm-Petrel"
"Brown-cheeked Rail"
"Chin Hills Wren-Babbler"
"Striped Laughingthrush"
"Rufous-crowned Prinia"
"Tawny-breasted Wren-Babbler"
"Brown-winged Kingfisher"
"Golden-crested Myna"
"Russet Bush Warbler"
"White-rumped Snowfinch"
"Blyth's Tragopan"
"Siberian Blue Robin"
"Ground Tit"
"Burmese Shrike"
"Lesser Frigatebird"
"Yellow-eyed Pigeon"
"Red-billed Tropicbird"
"Bridled Tern"
"Pomarine Jaeger"
"Long-billed Dowitcher"
"Gray-headed Bullfinch"
"Chestnut-vented Nuthatch"
"Gray-headed Parakeet"
"Spot-breasted Parrotbill"
"Spot-breasted Scimitar-Babbler"
"Eurasian Eagle-Owl"
"Tibetan Lark"
"Great Frigatebird"
"Forest Owlet"
"Oriental Bay-Owl"
"Rufous-vented Grass Babbler"
"Black-tailed Crake"
"Pectoral Sandpiper"
"Caspian Gull"
"Vinaceous Rosefinch"
"Nicobar Megapode"
"Chestnut-backed Laughingthrush"
"Hodgson's Hawk-Cuckoo"
"Temminck's Tragopan"
"Purple Cochoa"
"Spot-breasted Laughingthrush"
"Gray-sided Thrush"
"Little Crake"
"Buff-breasted Sandpiper"
"Slender-billed Oriole"
"Bhutan Laughingthrush"
"Brown-throated Fulvetta"
"Banasura Laughingthrush"
"Nicobar Hooded Pitta"
"White-breasted Woodswallow"
"Hill Prinia"
"Spot-throated Babbler"
"Black-legged Kittiwake"
"Rufous-necked Snowfinch"
"Hume's Boobook"
"Manipur Fulvetta"
"Chestnut-cheeked Starling"
"Sikkim Wedge-billed Babbler"
"Crested Tit-Warbler"
"Hodgson's Frogmouth"
"Cachar Wedge-billed Babbler"
"Naga Wren-Babbler"
"Andaman Masked-Owl"
"White-backed Thrush"
"Lesser White-fronted Goose"
"Amur Stonechat"
"Black-headed Bulbul"
"Siberian House-Martin"
"Black-headed Greenfinch"
"Godlewski's Bunting"
"Japanese Sparrowhawk"
"Daurian Starling"
"Great Spotted Woodpecker"
"Mangrove Pitta"
"Tropical Shearwater"
"Gray-crowned Warbler"
"Gray-faced Buzzard"
"Blue-and-white Flycatcher"
"Fieldfare"
"Long-tailed Jaeger"
"Wedge-tailed Shearwater"
"Red-footed Booby"
"Brown-rumped Minivet"
"Tristram's Bunting"
"Tundra Bean-Goose"
"Pale Rockfinch"
"Elliot's Laughingthrush"
"Franklin's Gull"
"Turkestan Short-toed Lark"
"Mongolian Gull"
"European Honey-buzzard"
"Blue-winged Pitta"
"Short-tailed Shearwater"
"Blue-throated Bee-eater"
"Sabine's Gull"
"Northern Wheatear"
"Blue-billed White-Tern"
"Cory's Shearwater"
"Woodchat Shrike"
"Mugimaki Flycatcher"
"Chinese Thrush"
"Asian Stubtail"
"Pink-rumped Rosefinch"
"Sichuan Leaf Warbler"
"Yunnan Nuthatch"
"Red-breasted Goose"
"Black Tern"
"Nicobar Parakeet"
"Christmas Island Frigatebird"
"Chestnut-flanked White-eye"
"Red-throated Loon"
"Gray-eyed Bulbul"
"White-browed Crake"
"Hainan Blue Flycatcher"
"Chinese White-browed Rosefinch"
"Crimson-winged Finch"
"White-eyed Gull"
"Rock Eagle-Owl"
"Wood Warbler"
"Gray-tailed Tattler"
"White-eared Night Heron"
"Masked Shrike"
"American Golden-Plover"
"Finsch's Wheatear"
"Chinese Egret"
"Javan Pond-Heron"
"White-cheeked Starling"
"Horsfield's Bronze-Cuckoo"
"Pied Crow"
"Amur Paradise-Flycatcher"
"Sakhalin Leaf Warbler"
"Namaqua Dove"
"Zappey's Flycatcher"
"Yellow-browed Bunting"
"Nicobar Serpent-Eagle"
"Pale Rosefinch"
"Desert Finch"
"Nicobar Scops-Owl"
"Rustic Bunting"
"Red-billed Starling"
"Light-mantled Albatross"
"Willow Warbler"
"Chinese Blackbird"
"Japanese Thrush"
"Nordmann's Greenshank"
"Rough-legged Hawk"
"Three-banded Rosefinch"
"Whinchat"
"Meadow Pipit"
"Red-legged Crake"
"African Openbill"
"Eurasian Blackcap"
"Rufous-winged Buzzard"
"White-shouldered Starling"
"Meadow Bunting"
"Pale-legged Leaf Warbler"
"Sooty Shearwater"
"Pallas's Leaf Warbler"
"Black-rumped Magpie"
"Lapland Longspur"
"Levant Sparrowhawk"
"Bianchi's Warbler"
"Laughing Gull"
"Barnacle Goose"
"Spur-winged Lapwing"
"Giant Shrike"
"Band-bellied Crake"
"Tiger Shrike"
"Gray-streaked Flycatcher"
"European Greenfinch"
"White-throated Rock-Thrush"
"Pin-tailed Parrotfinch"
"Yellow-billed Grosbeak"
"Menetries's Warbler"
"Black Heron"
"Icterine Warbler"
"White-faced Plover"
"Calandra Lark"
"Eastern Crowned Warbler"
"White-backed Vulture"
"Black-tailed Gull"
"Yellow-breasted Bunting"
"Finn's Weaver"
"Great Indian Bustard"
"Derbyan Parakeet"
"Green Avadavat"
"Lesser Florican"
"Saker Falcon"
"Greater Green Leafbird"
"Spotted Owl"
"Javan Kingfisher"
"Sunda Laughingthrush"
"White-cheeked Laughingthrush"
"White-crowned Shama"
"White-bellied Fantail"
"Rufous-fronted Laughingthrush"
