"COMMON.NAME"
"Rufous-throated Partridge"
"Rufous-vented Laughingthrush"
"Striated Bulbul"
"Streak-throated Barwing"
"White-bellied Erpornis"
"White-tailed Robin"
"Sooty Gull"
"Brown Booby"
"Peregrine Falcon"
"White-bellied Sea-Eagle"
"Western Reef-Heron"
"Pied Harrier"
"Spot-bellied Eagle-Owl"
"Pied Triller"
"Barn Swallow"
"Masked Finfoot"
"Ortolan Bunting"
"Pacific Swift"
"Little Bustard"
"Pink-headed Duck"
"Great Gray Shrike"
"Hooded Crow"
"Rook"
"Hume's Wheatear"
"Reed Bunting"
"Rock Sparrow"
"Sharp-tailed Sandpiper"
"Corn Crake"
"Red-footed Falcon"
"Manchurian Bush Warbler"
"Collared Myna"
"Manipur Bush-Quail"
"Mrs. Hume's Pheasant"
"White-headed Duck"
"Rosy Starling"
"Painted Stork"
"Spot-billed Pelican"
"Indian Vulture"
"White-cheeked Tit"
"European Red-rumped Swallow"
"Large Blue Flycatcher"
"Red-flanked Bluetail"
"Nicobar Sparrowhawk"
"Mute Swan"
"Baikal Teal"
"Red-whiskered Bulbul"
"Sociable Lapwing"
"Whooper Swan"
"Bay-backed Shrike"
"Chestnut-bellied Nuthatch"
"Asian Tit"
"Citrine Wagtail"
"Common Chiffchaff"
"Crested Bunting"
"Western Yellow Wagtail"
"Eurasian Collared-Dove"
"Gray Treepie"
"Gray-breasted Prinia"
"Gray-headed Woodpecker"
"Laughing Dove"
"Scaly-breasted Munia"
"Oriental Turtle-Dove"
"White-browed Wagtail"
"Himalayan Bulbul"
"Red-breasted Parakeet"
"Long-tailed Parakeet"
"Demoiselle Crane"
"Slaty-headed Parakeet"
"Asian Barred Owlet"
"Common Kingfisher"
"Common Rosefinch"
"Egyptian Vulture"
"Yellow-billed Blue-Magpie"
"Green-tailed Sunbird"
"Gray Bushchat"
"Gray Wagtail"
"Lesser Whitethroat"
"Small Niltava"
"Spotted Forktail"
"White-throated Kingfisher"
"Eastern Red-rumped Swallow"
"Chinese Sparrowhawk"
"Nicobar Jungle Flycatcher"
"Mandarin Duck"
"Indian Courser"
"Yellow-throated Bulbul"
"Hill Blue Flycatcher"
"Persian Shearwater"
"Buffy Fish-Owl"
"Brahminy Kite"
"Alexandrine Parakeet"
"Black-capped Kingfisher"
"Blue-tailed Bee-eater"
"Common Sandpiper"
"Forest Wagtail"
"Narcondam Hornbill"
"Ornate Sunbird"
"Pacific Reef-Heron"
"Pied Imperial-Pigeon"
"Ruddy Turnstone"
"White-nest Swiftlet"
"Arctic Warbler"
"White's Thrush"
"Brown Bush Warbler"
"Andaman Crake"
"Andaman Teal"
"Asian Brown Flycatcher"
"Beach Thick-knee"
"Nicobar Pigeon"
"Bohemian Waxwing"
"Indian White-eye"
"Red-throated Pipit"
"White-breasted Waterhen"
"Hawfinch"
"Falcated Duck"
"Black Eagle"
"Puff-throated Babbler"
"Indian Paradise-Flycatcher"
"Brown-headed Barbet"
"Common Cuckoo"
"Coppersmith Barbet"
"Large Gray Babbler"
"Indian Cuckooshrike"
"Oriental Magpie-Robin"
"Pied Bushchat"
"Red-vented Bulbul"
"Tawny-bellied Babbler"
"White-bellied Drongo"
"Rufous-backed Dwarf-Kingfisher"
"Pied Cuckoo"
"Great Snipe"
"Indian Robin"
"Long-tailed Shrike"
"Tawny Lark"
"Common Myna"
"Greenish Warbler"
"Streak-throated Swallow"
"Brown Shrike"
"Purple-rumped Sunbird"
"Montagu's Harrier"
"Plain Prinia"
"Savanna Nightjar"
"White-bellied Minivet"
"Black Drongo"
"Shikra"
"Pallid Harrier"
"Purple Sunbird"
"Rain Quail"
"Booted Warbler"
"Common Tailorbird"
"Eurasian Wryneck"
"Ashy Prinia"
"Yellow-eyed Babbler"
"Streaked Weaver"
"Indian Golden Oriole"
"Eastern Barn Owl"
"Gray Francolin"
"Indian Bushlark"
"Sykes's Warbler"
"White-browed Fantail"
"Swinhoe's Snipe"
"Zitting Cisticola"
"Clamorous Reed Warbler"
"Yellow-browed Warbler"
"Indian Nightjar"
"Eastern Orphean Warbler"
"Tricolored Munia"
"Spotted Owlet"
"Chinese Francolin"
"Golden Eagle"
"Imperial Eagle"
"Common Swift"
"Hill Pigeon"
"Roseate Tern"
"Blue Rock-Thrush"
"Desert Wheatear"
"Great Rosefinch"
"Tibetan Sand-Plover"
"Mistle Thrush"
"Wallcreeper"
"Tickell's Leaf Warbler"
"Black-headed Ibis"
"Bronze-winged Jacana"
"Eastern Cattle-Egret"
"Indian Cormorant"
"Indian Pond-Heron"
"Medium Egret"
"Lesser Whistling-Duck"
"Little Cormorant"
"Little Egret"
"Purple Heron"
"Western Marsh Harrier"
"Whiskered Tern"
"Brown-breasted Flycatcher"
"Streak-throated Woodpecker"
"Common Pochard"
"Brahminy Starling"
"Eurasian Sparrowhawk"
"Large-billed Leaf Warbler"
"Richard's Pipit"
"Jerdon's Baza"
"Rufous-naped Tit"
"Blue-capped Redstart"
"Gray-crowned Goldfinch"
"Fire-fronted Serin"
"Pied Wheatear"
"Sulphur-bellied Warbler"
"Yellow-breasted Greenfinch"
"Ferruginous Duck"
"Northern Pintail"
"Arctic Loon"
"Eurasian Skylark"
"Eurasian Crag-Martin"
"Green Sandpiper"
"Himalayan Snowcock"
"Red-fronted Rosefinch"
"White Wagtail"
"Kashmir Nutcracker"
"Solitary Snipe"
"Japanese Quail"
"Chinese Bush Warbler"
"Yellow-rumped Honeyguide"
"Common Redshank"
"Eurasian Hobby"
"Western House-Martin"
"Common Merganser"
"Pheasant-tailed Jacana"
"White-winged Grosbeak"
"Wood Sandpiper"
"Mallard"
"Pink-browed Rosefinch"
"Green-winged Teal"
"Northern Shoveler"
"Greater Scaup"
"Pallas's Sandgrouse"
"Indian Yellow Tit"
"Asian Openbill"
"Green Peafowl"
"Ashy Drongo"
"Brown-headed Gull"
"White-capped Bunting"
"Garganey"
"Glossy Ibis"
"Gray Heron"
"Himalayan Woodpecker"
"Kashmir Nuthatch"
"Osprey"
"Pallas's Fish-Eagle"
"Scaly-bellied Woodpecker"
"Tawny Owl"
"White-cheeked Nuthatch"
"Besra"
"Black-headed Jay"
"Long-eared Owl"
"Tickell's Thrush"
"Long-billed Pipit"
"Long-tailed Minivet"
"Rock Bunting"
"Tree Pipit"
"Black Stork"
"European Bee-eater"
"Mountain Chiffchaff"
"Slaty-blue Flycatcher"
"Western Crowned Warbler"
"Baillon's Crake"
"Bar-tailed Treecreeper"
"Black-and-yellow Grosbeak"
"Brownish-flanked Bush Warbler"
"Blyth's Reed Warbler"
"Chestnut-eared Bunting"
"Chukar"
"Common Grasshopper Warbler"
"Eurasian Jackdaw"
"European Roller"
"Hodgson's Treecreeper"
"Fire-capped Tit"
"Himalayan Cuckoo"
"Indian Blue Robin"
"Little Ringed Plover"
"Orange Bullfinch"
"Oriental Skylark"
"Red-wattled Lapwing"
"Ruddy-breasted Crake"
"Spectacled Finch"
"Spotted Crake"
"Tytler's Leaf Warbler"
"Bluethroat"
"Carrion Crow"
"Eurasian Magpie"
"Himalayan Griffon"
"House Sparrow"
"Bar-headed Goose"
"Black-winged Snowfinch"
"Long-billed Bush Warbler"
"Blyth's Rosefinch"
"Brown Accentor"
"Buff-barred Warbler"
"Variable Wheatear"
"White-bellied Redstart"
"White-throated Tit"
"Arctic Tern"
"Common Quail"
"Common Tern"
"Little Owl"
"Common Buzzard"
"Hume's Warbler"
"Dark-sided Flycatcher"
"Little Bittern"
"Little Grebe"
"Ultramarine Flycatcher"
"Jack Snipe"
"Barred Buttonquail"
"Wood Snipe"
"Asian Palm Swift"
"Baya Weaver"
"Black-rumped Flameback"
"Blue-faced Malkoha"
"Black-naped Monarch"
"Brown-capped Pygmy Woodpecker"
"Common Hawk-Cuckoo"
"Common Iora"
"Common Woodshrike"
"Greater Coucal"
"Green Imperial-Pigeon"
"Green Warbler"
"Indian Pitta"
"Indian Thick-knee"
"Indian Scimitar-Babbler"
"Jerdon's Bushlark"
"Jerdon's Leafbird"
"Jungle Babbler"
"Jungle Prinia"
"Loten's Sunbird"
"Plum-headed Parakeet"
"Red Spurfowl"
"Rufous Treepie"
"Small Minivet"
"Spot-breasted Fantail"
"Tickell's Blue Flycatcher"
"White-browed Bulbul"
"White-rumped Shama"
"Yellow-billed Babbler"
"Yellow-footed Green-Pigeon"
"Yellow-legged Buttonquail"
"Blue-bearded Bee-eater"
"Asian Green Bee-eater"
"Indian Gray Hornbill"
"Ashy Woodswallow"
"Black-headed Cuckooshrike"
"Brown-cheeked Fulvetta"
"Crested Treeswift"
"Golden-fronted Leafbird"
"Greater Racket-tailed Drongo"
"House Crow"
"Indian Roller"
"Orange-headed Thrush"
"Paddyfield Pipit"
"Red-headed Vulture"
"Rufous Woodpecker"
"Orange Minivet"
"Spotted Dove"
"Square-tailed Bulbul"
"Velvet-fronted Nuthatch"
"White-cheeked Barbet"
"Yellow-crowned Woodpecker"
"Asian Fairy-bluebird"
"Black-hooded Oriole"
"Brown Fish-Owl"
"Common Babbler"
"Indian Silverbill"
"Jerdon's Nightjar"
"Painted Spurfowl"
"White-rumped Munia"
"Changeable Hawk-Eagle"
"Yellow-wattled Lapwing"
"Ashy-crowned Sparrow-Lark"
"Rose-ringed Parakeet"
"Yellow-throated Sparrow"
"Little Swift"
"Pale-billed Flowerpecker"
"Blanford's Snowfinch"
