ST_NM,DISTRICT.SHP,region,DISTRICT
Tripura,Dhalai,North-east,Dhalai
Tripura,Gomati,North-east,Gomati
Tripura,Khowai,North-east,Khowai
Tripura,North Tripura,North-east,North Tripura
Tripura,Sipahijala,North-east,Sepahijala
Tripura,South Tripura,North-east,South Tripura
Tripura,Unokoti,North-east,Unakoti
Tripura,West Tripura,North-east,West Tripura
Uttar Pradesh,Agra,RPeninsulas,Agra
Uttar Pradesh,Aligarh,RPeninsulas,Aligarh
Uttar Pradesh,Ambedkar Nagar,RPeninsulas,Ambedkar Nagar
Uttar Pradesh,Amethi,RPeninsulas,Amethi
Uttar Pradesh,Amroha,RPeninsulas,Amroha
Uttar Pradesh,Auraiya,RPeninsulas,Auraiya
Uttar Pradesh,Azamgarh,RPeninsulas,Azamgarh
Uttar Pradesh,Baghpat,RPeninsulas,Baghpat
Uttar Pradesh,Bahraich,RPeninsulas,Bahraich
Uttar Pradesh,Ballia,RPeninsulas,Ballia
Uttar Pradesh,Balrampur,RPeninsulas,Balrampur
Uttar Pradesh,Banda,RPeninsulas,Banda
Uttar Pradesh,Bara Banki,RPeninsulas,Barabanki
Uttar Pradesh,Bareilly,RPeninsulas,Bareilly
Uttar Pradesh,Basti,RPeninsulas,Basti
Uttar Pradesh,Bhadohi,RPeninsulas,Bhadohi
Uttar Pradesh,Bijnor,RPeninsulas,Bijnor
Uttar Pradesh,Budaun,RPeninsulas,Budaun
Uttar Pradesh,Bulandshahr,RPeninsulas,Bulandshahr
Uttar Pradesh,Chandauli,RPeninsulas,Chandauli
Uttar Pradesh,Chitrakoot,RPeninsulas,Chitrakoot
Uttar Pradesh,Deoria,RPeninsulas,Deoria
Uttar Pradesh,Etah,RPeninsulas,Etah
Uttar Pradesh,Etawah,RPeninsulas,Etawah
Uttar Pradesh,Faizabad,RPeninsulas,Ayodhya
Uttar Pradesh,Farrukhabad,RPeninsulas,Farrukhabad
Uttar Pradesh,Fatehpur,RPeninsulas,Fatehpur
Uttar Pradesh,Firozabad,RPeninsulas,Firozabad
Uttar Pradesh,Gautam Buddha Nagar,RPeninsulas,Gautam Buddha Nagar
Uttar Pradesh,Ghaziabad,RPeninsulas,Ghaziabad
Uttar Pradesh,Ghazipur,RPeninsulas,Ghazipur
Uttar Pradesh,Gonda,RPeninsulas,Gonda
Uttar Pradesh,Gorakhpur,RPeninsulas,Gorakhpur
Uttar Pradesh,Hamirpur,RPeninsulas,Hamirpur
Uttar Pradesh,Hapur,RPeninsulas,Hapur
Uttar Pradesh,Hardoi,RPeninsulas,Hardoi
Uttar Pradesh,Hathras,RPeninsulas,Hathras
Uttar Pradesh,Jalaun,RPeninsulas,Jalaun
Uttar Pradesh,Jaunpur,RPeninsulas,Jaunpur
Uttar Pradesh,Jhansi,RPeninsulas,Jhansi
Uttar Pradesh,Kannauj,RPeninsulas,Kannauj
Uttar Pradesh,Kanpur Dehat,RPeninsulas,Kanpur Dehat
Uttar Pradesh,Kanpur Nagar,RPeninsulas,Kanpur Nagar
Uttar Pradesh,Kasganj,RPeninsulas,Kasganj
Uttar Pradesh,Kaushambi,RPeninsulas,Kaushambi
Uttar Pradesh,Kheri,RPeninsulas,Lakhimpur Kheri
Uttar Pradesh,Kushinagar,RPeninsulas,Kushinagar
Uttar Pradesh,Lalitpur,RPeninsulas,Lalitpur
Uttar Pradesh,Lucknow,RPeninsulas,Lucknow
Uttar Pradesh,Mahoba,RPeninsulas,Mahoba
Uttar Pradesh,Maharajganj,RPeninsulas,Maharajganj
Uttar Pradesh,Mainpuri,RPeninsulas,Mainpuri
Uttar Pradesh,Mathura,RPeninsulas,Mathura
Uttar Pradesh,Mau,RPeninsulas,Mau
Uttar Pradesh,Meerut,RPeninsulas,Meerut
Uttar Pradesh,Mirzapur,RPeninsulas,Mirzapur
Uttar Pradesh,Moradabad,RPeninsulas,Moradabad
Uttar Pradesh,Muzaffarnagar,RPeninsulas,Muzaffarnagar
Uttar Pradesh,Pilibhit,RPeninsulas,Pilibhit
Uttar Pradesh,Pratapgarh,RPeninsulas,Pratapgarh
Uttar Pradesh,Prayagraj,RPeninsulas,Prayagraj
Uttar Pradesh,Rae Bareli,RPeninsulas,Raebareli
Uttar Pradesh,Rampur,RPeninsulas,Rampur
Uttar Pradesh,Saharanpur,RPeninsulas,Saharanpur
Uttar Pradesh,Sambhal,RPeninsulas,Sambhal
Uttar Pradesh,Sant Kabir Nagar,RPeninsulas,Sant Kabir Nagar
Uttar Pradesh,Shahjahanpur,RPeninsulas,Shahjahanpur
Uttar Pradesh,Shamli,RPeninsulas,Shamli
Uttar Pradesh,Shrawasti,RPeninsulas,Shrawasti
Uttar Pradesh,Siddharthnagar,RPeninsulas,Siddharthnagar
Uttar Pradesh,Sitapur,RPeninsulas,Sitapur
Uttar Pradesh,Sonbhadra,RPeninsulas,Sonbhadra
Uttar Pradesh,Sultanpur,RPeninsulas,Sultanpur
Uttar Pradesh,Unnao,RPeninsulas,Unnao
Uttar Pradesh,Varanasi,RPeninsulas,Varanasi
Uttarakhand,Bageshwar,Himalaya,Bageshwar
Uttarakhand,Chamoli,Himalaya,Chamoli
Uttarakhand,Champawat,Himalaya,Champawat
Uttarakhand,Dehradun,Himalaya,Dehradun
Uttarakhand,Garhwal,Himalaya,Pauri Garhwal
Uttarakhand,Hardwar,Himalaya,Haridwar
Uttarakhand,Nainital,Himalaya,Nainital
Uttarakhand,Pithoragarh,Himalaya,Pithoragarh
Uttarakhand,Rudraprayag,Himalaya,Rudraprayag
Uttarakhand,Tehri Garhwal,Himalaya,Tehri Garhwal
Uttarakhand,Udham Singh Nagar,Himalaya,Udham Singh Nagar
Uttarakhand,Uttarkashi,Himalaya,Uttarkashi
West Bengal,Alipurduar,North-east,Alipurduar
West Bengal,Bankura,RPeninsulas,Bankura
West Bengal,Birbhum,RPeninsulas,Birbhum
West Bengal,Cooch Behar,RPeninsulas,Cooch Behar
West Bengal,Dakshin Dinajpur,RPeninsulas,Dakshin Dinajpur
West Bengal,Darjeeling,North-east,Darjeeling
West Bengal,Hooghly,RPeninsulas,Hooghly
West Bengal,Howrah,RPeninsulas,Howrah
West Bengal,Jalpaiguri,North-east,Jalpaiguri
West Bengal,Jhargram,RPeninsulas,Jhargram
West Bengal,Kalimpong,North-east,Kalimpong
West Bengal,Kolkata,RPeninsulas,Kolkata
West Bengal,Maldah,RPeninsulas,Malda
West Bengal,Medinipur West,RPeninsulas,Paschim Medinipur
West Bengal,Murshidabad,RPeninsulas,Murshidabad
West Bengal,Nadia,RPeninsulas,Nadia
West Bengal,North 24 Parganas,RPeninsulas,North 24 Parganas
West Bengal,Paschim Bardhaman,RPeninsulas,Paschim Bardhaman
West Bengal,Purba Bardhaman,RPeninsulas,Purba Bardhaman
West Bengal,Purba Medinipur,Coast,Purba Medinipur
West Bengal,Puruliya,RPeninsulas,Purulia
West Bengal,South 24 Parganas,Coast,South 24 Parganas
West Bengal,Uttar Dinajpur,RPeninsulas,Uttar Dinajpur
