COMMON.NAME,URL
Nicobar Megapode,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151457131/2400
Nicobar Sparrowhawk,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151484721/2400
Narcondam Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151474221/2400
White-headed Starling,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153518271/2400
Lesser Florican,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153360021/2400
Terek Sandpiper,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151499641/2400
Jerdon's Courser,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151487971/2400
Green Avadavat,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153549451/2400
Sclater's Monal,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999561/2400
White-bellied Heron,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152811161/2400
Snowy-throated Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153122541/2400
Bugun Liocichla,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153130341/2400
White-winged Duck,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152842541/2400
Baer's Pochard,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152842831/2400
Bengal Florican,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152816821/2400
Swamp Grass Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153123421/2400
Northern Pintail,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153383431/2400
Lesser Adjutant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151503931/2400
Greater Adjutant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151503901/2400
Bank Myna,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153136421/2400
Sirkeer Malkoha,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153356961/2400
Common Redshank,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207319661/2400
Sulphur-bellied Warbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153114191/2400
Spot-winged Starling,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153137031/2400
Tufted Duck,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152842971/2400
Great Crested Grebe,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153399111/2400
Yellow-crowned Woodpecker,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151453461/2400
Thick-billed Flowerpecker,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153158361/2400
