eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Fulvous Whistling Duck,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,Least Concern,Schedule-I,,Appendix II,500
Lesser Whistling-Duck,Dendrocygna javanica,lewduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Lesser Whistling Duck,Dendrocygna javanica,Lesser Whistling-duck,Dendrocygna javanica,Least Concern,Schedule-II,,Appendix II,10000
Bar-headed Goose,Anser indicus,bahgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,1,NA,NA,Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,Least Concern,Schedule-II,,Appendix II,
Graylag Goose,Anser anser,gragoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Greylag Goose,Anser anser,Greylag Goose,Anser anser,Least Concern,Schedule-II,,Appendix II,250
Greater White-fronted Goose,Anser albifrons,gwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Least Concern,Schedule-II,,Appendix II,
Lesser White-fronted Goose,Anser erythropus,lwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Vulnerable,Schedule-II,,Appendix I,
Taiga Bean-Goose,Anser fabalis,taibeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,Bean Goose,Anser fabalis,Least Concern,Schedule-II,,Appendix II,
Tundra Bean-Goose,Anser serrirostris,tunbeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,Not at species rank,Anser fabalis serrirostris,Least Concern,Schedule-II,,Appendix II,
Red-breasted Goose,Branta ruficollis,rebgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,Vulnerable,Schedule-II,Appendix II,Appendix I,
Mute Swan,Cygnus olor,mutswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,Least Concern,Schedule-II,,Appendix II,
Tundra Swan,Cygnus columbianus,tunswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Least Concern,Schedule-II,,Appendix II,
Whooper Swan,Cygnus cygnus,whoswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,Least Concern,Schedule-II,,Appendix II,
