"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Northern Shoveler",-8.34928801592811,-5.85337544748733,-3.35746287904655,-10.8561858195791,-7.74239626377239,-4.62860670796571,-10.1255136638709,-7.20208223554929,-4.27865080722766,-10.4636287802335,-7.72533005823041,-4.98703133622731,-10.317850991477,-7.54789206217002,-4.77793313286302,-10.1231662374236,-7.4043318292067,-4.68549742098984,-9.95837177049123,-7.22586153087277,-4.49335129125431,-10.5919310856487,-7.57864978612,-4.56536848659133,-10.983188505596,-7.91143225647184,-4.83967600734765,-11.5934968103567,-8.54577859373632,-5.49806037711594
"Gadwall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-5.40764199285152,-2.79567832073032,-0.183714648609121,-8.67898637314654,-5.11027407641761,-1.54156177968868,-8.53885227052691,-5.13314110082403,-1.72742993112116,-8.33325904122875,-5.02556886771227,-1.71787869419579,-8.1834882409083,-4.95692918860189,-1.73037013629549,-8.08375239536544,-4.81417921537599,-1.54460603538654,-7.87227195633745,-4.62827957280792,-1.38428718927839,-8.61963717952882,-5.24306895184631,-1.86650072416381,-8.43291171029995,-4.76098231061625,-1.08905291093255,-9.66271049035951,-6.17954331364499,-2.69637613693047
"Indian Spot-billed Duck",-1.07559821790111,0.652848592765403,2.38129540343191,0.184059926615047,1.83969934459385,3.49533876257266,-0.422952564727982,1.36148941862025,3.14593140196848,-0.404373109901739,1.32343707662206,3.05124726314585,-0.36341601225141,1.3338548450337,3.03112570231881,-0.362164830148553,1.35094015064125,3.06404513143105,-0.423017040186231,1.30957525964721,3.04216755948066,-0.545082254950286,1.03232603154533,2.60973431804095,-0.713343853056657,1.10825086469782,2.9298455824523,0.93597198528099,2.35928456391588,3.78259714255077
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Pintail",-7.5909331147332,-4.48866556950841,-1.38639802428362,-8.91833950122177,-5.63399258717174,-2.3496456731217,-8.26050739347158,-5.29203651412756,-2.32356563478354,-8.51220773971904,-6.12781895696506,-3.74343017421108,-8.68680972114183,-5.72757358146447,-2.7683374417871,-8.54694541219916,-5.61991495222058,-2.692884492242,-8.27578813182416,-5.41920598096957,-2.56262383011498,-9.06628191682329,-6.0971908203544,-3.12809972388551,-9.28563805455246,-6.04036618285513,-2.7950943111578,-9.69988423359301,-6.2480528696068,-2.79622150562058
"Green-winged Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-crested Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferruginous Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tufted Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Scaup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Merganser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Merganser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
