"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Priority.Status"
"Cinereous Vulture","Aegypius monachus","cinvul1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Data Deficient","Moderate Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",1,NA,"Cinereous Vulture","Aegypius monachus","Cinereous Vulture","Aegypius monachus","Near Threatened","Schedule-I","Appendix II","Appendix I",NA,"X","X","X",126,0.166666666666667,0.295634920634921,0.349206349206349,13.5952380952381,1.08476463396956,17.4137853924831,23.0859602694824,30.5379150336723,-7.28720020447952,-1.75722764689639,3.77274491068674,63.7024067140782,83.0953391177719,109.095830196025,59.2897214162117,81.0809971399768,111.887676212767,55.1640724314763,79.1788393548199,115.033959464075,51.3328599665503,77.3831274773654,118.503600956666,47.7879407511998,75.6884936871927,122.286306043539,44.5142909829392,74.0899164460264,126.383598742859,41.4941397882651,72.5826980657313,130.804443528306,"Rapid Decline","eBird Data Indecisive","Moderate"
"White-rumped Vulture","Gyps bengalensis","whrvul1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Strong Decline","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Resident",1,NA,"White-rumped Vulture","Gyps bengalensis","White-rumped Vulture","Gyps bengalensis","Critically Endangered","Schedule-I","Appendix II","Appendix I",NA,"X","X","X",456,0.478070175438596,0.162006578947368,0.177631578947368,12.8201754385965,0.63136782533721,1.74363452402738,2.12535957058316,2.53381226043573,-12.0783688183203,-8.6492686164401,-5.22016841455992,34.7119220017422,44.1330723967188,56.3214862459638,30.7226544687508,40.7667088163233,54.3765865165746,27.1717290168416,37.6688949516952,52.5858237315966,24.023860232799,34.817352547477,50.9161034092305,21.2395330757812,32.1917171564842,49.347030695767,18.779809674305,29.7733684545636,47.8650130061159,16.6082857904578,27.5452760417098,46.4603572360276,"Rapid Decline","Rapid Decline","High"
"Indian Vulture","Gyps indicus","indvul1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Strong Decline","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","Yes","No","Indian Subcontinent","Forest & Plantation","Resident",NA,NA,"Indian Vulture","Gyps indicus","Indian Vulture","Gyps indicus","Critically Endangered","Schedule-I","Appendix II","Appendix I",NA,"X","X","X",327,0.244648318042813,0.237767584097859,0.327217125382263,11.9969418960245,0.783831678406184,4.10559408504748,4.99555561119216,6.11448629795684,-13.6873861281696,-10.8662698484479,-8.04515356872613,22.6784853148736,28.3651855769678,35.596339542039,18.8297953490429,24.5093051952176,32.0502291717017,15.6236210572687,21.1842409506163,28.9026810989347,12.9597973845431,18.316038022385,26.0945941168848,10.7497320226147,15.8411631563655,23.5812040935907,8.91750006054249,13.70502008092,21.3265863210824,7.3990410860276,11.8606786000227,19.300827014193,"Rapid Decline","Rapid Decline","High"
"Slender-billed Vulture","Gyps tenuirostris","slbvul1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Resident",1,NA,"Slender-billed Vulture","Gyps tenuirostris","Slender-billed Vulture","Gyps tenuirostris","Critically Endangered","Schedule-I","Appendix II","Appendix I",NA,"","","X",63,0.412698412698413,0.162698412698413,0.142857142857143,13.031746031746,1.52284606425082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient","High"
"Himalayan Griffon","Gyps himalayensis","himgri1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Resident & Winter Migrant",NA,NA,"Himalayan Vulture","Gyps himalayensis","Himalayan Griffon","Gyps himalayensis","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",481,0.124740124740125,0.392411642411642,0.494802494802495,10.3409563409563,0.560307976812602,45.9431794500227,57.302628589595,72.9420020673496,-5.80589763376588,-2.41921057572836,0.967476482309148,68.6437648995558,81.7155513933528,97.5264351626328,65.1209162275008,79.9722814868067,98.5613347830496,61.7467719360159,78.2877388778467,99.7334681525292,58.5354302716208,76.6597465809458,101.015540869704,55.4898506227729,75.08622087514,102.39252866306,52.6074514556337,73.5651669672708,103.856006524784,49.8828579908339,72.094674874335,105.401334259394,"Declining","eBird Data Indecisive","Moderate"
"Eurasian Griffon","Gyps fulvus","eurgri1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Strong Decline","Uncertain","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Griffon Vulture","Gyps fulvus","Griffon Vulture","Gyps fulvus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",229,0.165938864628821,0.258187772925764,0.296943231441048,12.8471615720524,0.828521146968471,13.3276469326261,17.0373993326496,21.8310516485793,-13.2699595683931,-9.05759500829502,-4.84523044819691,30.7138203845475,41.9356831832479,57.6434729921516,26.7499617787059,38.597801392627,56.2164042561169,23.2800444500367,35.5447851498203,54.954444022172,20.2563892734893,32.7509648830375,53.8175531618565,17.6279423765166,30.1930899047272,52.7817063962353,15.345865179931,27.85009170823,51.8314196944069,13.3656128048246,25.7028711910207,50.9560777709691,"Rapid Decline","Rapid Decline","High"
"Nicobar Serpent-Eagle","Spilornis klossi","nicsee1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Vertebrate & Carrion","Yes","Yes","No","Nicobar Islands","Forest","Resident",NA,NA,"Nicobar Serpent Eagle","Spilornis klossi","Great Nicobar Serpent-eagle","Spilornis klossi","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"","","X",8,0.125,0.375,0.625,5.125,2.55116150017987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient","Moderate"
"Crested Serpent-Eagle","Spilornis cheela","crseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Stable","Strong Decline","Very Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Forest","Resident",NA,NA,"Crested Serpent Eagle","Spilornis cheela","Crested Serpent-eagle","Spilornis cheela","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",1552,0.0972938144329897,0.38708118556701,0.447164948453608,11.6713917525773,0.34225329616159,54.9889360957366,66.8286711436997,81.5581890643294,-5.75571057016014,-2.68003975377856,0.395631062603026,69.8787033288888,81.7806135705924,95.9134605602919,66.7963843101334,80.3973342434584,97.0548142723041,63.8200645103762,79.056373198355,98.3194456119749,60.965095077273,77.75640454896,99.6835263634886,58.2367378429804,76.4961534153883,101.134043583809,55.6351162692116,75.274393900666,102.663811439447,53.1576584543587,74.0899471572742,104.268994148358,"eBird Data Indecisive","eBird Data Indecisive","Low"
"Andaman Serpent-Eagle","Spilornis elgini","anseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Data Deficient","Uncertain","Restricted","Diurnal","Diurnal","Vertebrate & Carrion","Yes","Yes","No","Andaman Islands","Forest","Resident",NA,NA,"Andaman Serpent Eagle","Spilornis elgini","Andaman Serpent-eagle","Spilornis elgini","Vulnerable","Schedule-I","Appendix II","Appendix II",NA,"","X","X",25,0.12,0.445,0.6,6.36,1.65879776545143,NA,NA,NA,-12.3357003973205,-6.68785227826399,-1.04000415920747,33.9700691974845,47.6478415295436,67.5189656941068,29.0491841637881,43.2559850938915,65.3335790975019,24.8368174613721,39.3146992568494,63.4284738869599,21.2445710405114,35.7741281207439,61.7452568944172,18.1862714078649,32.5902741511445,60.2477242363748,15.5839199238742,29.7242747483642,58.9116953195648,13.3692364157038,27.1417719850606,57.7200135248693,"eBird Data Deficient","eBird Data Indecisive","High"
"Short-toed Snake-Eagle","Circaetus gallicus","shteag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Strong Decline","Strong Decline","Very Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Resident",NA,NA,"Short-toed Snake Eagle","Circaetus gallicus","Short-toed Snake-eagle","Circaetus gallicus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",1374,0.0596797671033479,0.294395924308588,0.356622998544396,12.1579330422125,0.343725331843428,29.6760209137065,35.847165169066,43.4053276365579,-7.71112774653161,-5.23732796151531,-2.763528176499,51.0875998861261,59.9287898958436,70.4360058297701,46.5367080339511,56.1672494248196,67.9733543821328,42.3682016820207,52.6512570425585,65.6659105063956,38.5632660740189,49.3642081969047,63.4852852606382,35.0969926493174,46.2906582608249,61.413641552902,31.9428162321502,43.4162389904896,59.4388170116305,29.0745271743352,40.7275811792707,57.5519166772544,"Rapid Decline","Rapid Decline","High"
"Changeable Hawk-Eagle","Nisaetus cirrhatus","y00839","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Stable","Moderate Decline","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Forest","Resident",NA,NA,"Changeable Hawk Eagle","Nisaetus cirrhatus","Changeable Hawk-eagle","Nisaetus cirrhatus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",721,0.108183079056865,0.377253814147018,0.463245492371706,14.1733703190014,0.513627027898629,51.1849209834196,62.27446310675,76.1079976749881,-4.02683483353951,-0.931652496429123,2.16352984068127,81.1735448814612,94.189658299491,109.496016260124,78.8540847893904,93.9626977360851,112.255668569288,76.5634873211568,93.7549580685618,115.203571045496,74.3230200454498,93.5662936361097,118.319035559975,72.1434276552881,93.3965702445082,121.592360058593,70.0299060884401,93.2456650291141,125.019855539816,67.9845772246634,93.1134663283246,128.601373818254,"Stable","eBird Data Indecisive","Low"
"Mountain Hawk-Eagle","Nisaetus nipalensis","mouhae1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Forest","Resident",NA,NA,"Mountain Hawk Eagle","Nisaetus nipalensis","Mountain Hawk-eagle","Nisaetus nipalensis","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",174,0.120689655172414,0.334770114942529,0.373563218390805,12.3390804597701,0.860566559345771,55.9393441781147,74.6247116326352,98.9240909617146,-5.42088294867927,-0.690855069735617,4.03917280920804,73.4652951985634,92.7332711862529,117.569827021552,69.8357061653609,91.8793687730951,121.621855000443,66.3488097790281,91.0747794528072,126.040738956978,63.0277739056647,90.3183070089021,130.800773726258,59.8798139092025,89.6088292526261,135.894756692864,56.9041532866697,88.9452953325876,141.325994999138,54.095936791862,88.3267232208543,147.104377613175,"eBird Data Indecisive","eBird Data Indecisive",NA
"Legge's Hawk-Eagle","Nisaetus kelaarti","mouhae2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","Yes","No","Western Ghats & Sri Lanka","Forest","Resident",NA,NA,"Legge's Hawk Eagle","Nisaetus kelaarti","Not at species rank","Nisaetus nipalensis kelaarti","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","X",70,0.0285714285714286,0.316071428571429,0.328571428571429,22.0714285714286,0.862194705472568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient",NA
"Rufous-bellied Eagle","Lophotriorchis kienerii","rubeag2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Uncertain","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Forest","Resident",NA,NA,"Rufous-bellied Eagle","Lophotriorchis kienerii","Rufous-bellied Eagle","Lophotriorchis kienerii","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",246,0.0894308943089431,0.330792682926829,0.430894308943089,17.3577235772358,0.861151806440962,55.8641141092158,77.1490580684425,105.801165442952,-7.22352573068589,-2.55705485311297,2.10941602445995,66.9765100291009,87.511266713651,114.900695360655,64.2552289813739,88.041963961535,121.454606923213,61.5948931173544,88.6059732608449,128.621326754931,59.0258463925944,89.2039471033004,136.398081380234,56.561922312345,89.8365796319964,144.802585490689,54.2083929795793,90.5046080457642,153.865321259282,51.9659140799947,91.2088140938427,163.625852081051,"Stable","eBird Data Indecisive","Low"
"Black Eagle","Ictinaetus malaiensis","blaeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Stable","Moderate Decline","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Forest","Resident",NA,NA,"Black Eagle","Ictinaetus malaiensis","Black Eagle","Ictinaetus malaiensis","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",674,0.108308605341246,0.349406528189911,0.410979228486647,15.1127596439169,0.504907889363602,45.2814966165774,56.2897526657139,69.6527678161248,-5.59268833848526,-2.1274501822262,1.33778797403285,68.4198967224417,84.6181879048384,104.897302114966,64.9025499066093,83.3721779121204,107.448260539005,61.5180557365288,82.1603507007483,110.209810420682,58.2869817711893,80.9817246305717,113.151433760838,55.216100609943,79.8353519457904,116.257641156712,52.3052020218589,78.7203175323669,119.521101060788,49.5504504251273,77.6357377254387,122.939229624126,"Declining","eBird Data Indecisive","Moderate"
"Indian Spotted Eagle","Clanga hastata","inseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Uncertain","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Resident & Within-India Migrant",1,NA,"Indian Spotted Eagle","Clanga hastata","Indian Spotted Eagle","Clanga hastata","Vulnerable","Schedule-I","Appendix II","Appendix II",NA,"","","X",678,0.0353982300884956,0.268805309734513,0.342182890855457,13.8908554572271,0.514121986990005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient","Moderate"
"Greater Spotted Eagle","Clanga clanga","grseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Uncertain","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Greater Spotted Eagle","Clanga clanga","Greater Spotted Eagle","Clanga clanga","Vulnerable","Schedule-I","Appendix II","Appendix I",NA,"X","X","X",639,0.0657276995305164,0.32433489827856,0.41471048513302,14.5133020344288,0.517256331400193,66.3588608659494,86.9235927612494,113.481243261171,-5.98087210524319,-2.02108591059853,1.93870028404612,67.0068500282988,83.4509985520464,104.300404326465,63.1096399893165,81.7290898846067,106.366649607794,59.3999759891474,80.0672243770834,108.642188976101,55.8937478424703,78.4631459837723,111.094517075938,52.5928717555906,76.914696114309,113.707051341921,49.4924444279373,75.4198091601747,116.471855454607,46.5842386407932,73.9765082410868,119.386034231238,"Stable","eBird Data Indecisive","Low"
"Booted Eagle","Hieraaetus pennatus","booeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Winter Migrant",NA,NA,"Booted Eagle","Hieraaetus pennatus","Booted Eagle","Hieraaetus pennatus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",1207,0.0613090306545153,0.350144987572494,0.43993371996686,13.7663628831814,0.372277513981309,72.4964072923022,89.5846718338739,112.406444847469,-4.02568068835353,-0.333616218654454,3.35844825104463,78.0160671549868,91.9986725374976,108.73047714943,74.2819505532079,90.2159426844573,109.909908924,70.6891405870908,88.488782294891,111.233322865992,67.2544886230716,86.815316055181,112.672121036261,63.9829296215044,85.1937416456511,114.210598943814,60.8733825359246,83.6223266910522,115.839989321017,57.9216562971302,82.0994058481317,117.555504810538,"Stable","eBird Data Indecisive","Low"
"Tawny Eagle","Aquila rapax","taweag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Strong Decline","Strong Decline","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Resident",NA,NA,"Tawny Eagle","Aquila rapax","Tawny Eagle","Aquila rapax","Vulnerable","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",358,0.128491620111732,0.22695530726257,0.298882681564246,13.0251396648045,0.739282655619007,14.3806766351005,18.5351574651432,23.9772303359725,-9.82198778753974,-6.05422899414915,-2.28647020075855,42.0837990389396,54.0599008225495,69.7573913326691,37.2177192480453,49.983361105929,67.5501393373399,32.892710226364,46.2330170926885,65.5324328425147,29.064462595349,42.7814604068194,63.6624661199162,25.6834273092234,39.6036853090311,61.9146221039827,22.7008887609763,36.6768699787499,60.2719516648466,20.0714161369344,33.9801783980598,58.7224717045182,"Rapid Decline","Declining","High"
"Steppe Eagle","Aquila nipalensis","steeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","High","Uncertain","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Winter Migrant",NA,NA,"Steppe Eagle","Aquila nipalensis","Steppe Eagle","Aquila nipalensis","Endangered","Schedule-I","Appendix II","Appendix I",NA,"X","X","X",534,0.0880149812734082,0.341292134831461,0.419475655430712,12.87265917603,0.55256199356067,50.5678094338118,68.3146600303992,92.5342385640988,-6.62064397563774,-2.09109664476468,2.43845068610839,66.5804238724628,84.0940798341109,106.711540963231,62.8561633055648,82.7545225532313,109.661948086584,59.3114041697788,81.478365495683,112.906236128543,55.9630234207484,80.2633246239477,116.41622420448,52.8133405369191,79.107249125214,120.18096457707,49.8575998472597,78.008114604841,124.199154486619,47.0876208767453,76.9640167335301,128.475401201713,"eBird Data Indecisive","eBird Data Indecisive","High"
"Imperial Eagle","Aquila heliaca","impeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Eastern Imperial Eagle","Aquila heliaca","Eastern Imperial Eagle","Aquila heliaca","Vulnerable","Schedule-I","Appendix I","Appendix I",NA,"X","X","X",142,0.105633802816901,0.277288732394366,0.373239436619718,12.6760563380282,1.10684331552716,43.3779697703888,63.7432211731538,94.4071057718726,-6.186155626427,-0.0443899884218577,6.09737564958328,71.5463443422588,95.7270308732163,129.06385960697,67.4801422542827,95.0783441443049,135.398494893041,63.6142454651165,94.5050169387908,142.411950627448,59.9724112695739,94.0057924098658,150.097675367198,56.5588371099643,93.5795748124193,158.476026163704,53.3682497157321,93.2254255068537,167.584406684762,50.3908204734185,92.9425594733894,177.472664212994,"eBird Data Indecisive","eBird Data Indecisive","Moderate"
"Golden Eagle","Aquila chrysaetos","goleag","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Data Deficient","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Alpine & Cold Desert","Local Migrant & Winter Migrant",NA,NA,"Golden Eagle","Aquila chrysaetos","Golden Eagle","Aquila chrysaetos","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","X","X",164,0.152439024390244,0.28125,0.384146341463415,8.59756097560976,0.849482510438903,NA,NA,NA,-13.5060186231934,-9.88945098831848,-6.27288335344357,26.2458423717981,35.6347242575121,48.6290114258904,22.3456660809664,32.0364712626399,46.2559983819464,19.0069660419537,28.8127602911059,44.0922899996589,16.1606647024132,25.9235303563939,42.0957915232121,13.7395458318644,23.3331118563161,40.2398128223535,11.6825657268983,21.0097343408849,38.5059721947338,9.93601257884979,18.9250905924312,36.8807120332663,"eBird Data Deficient","Rapid Decline","Moderate"
"Bonelli's Eagle","Aquila fasciata","boneag2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Resident",NA,NA,"Bonelli's Eagle","Aquila fasciata","Bonelli's Eagle","Aquila fasciata","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","X",982,0.0366598778004073,0.282077393075356,0.359470468431772,12.9745417515275,0.422910830776127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eBird Data Deficient","eBird Data Deficient","Moderate"
"White-eyed Buzzard","Butastur teesa","whebuz1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Stable","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Resident & Local Migrant",NA,NA,"White-eyed Buzzard","Butastur teesa","White-eyed Buzzard","Butastur teesa","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",1457,0.0514756348661633,0.29933081674674,0.364447494852436,11.5236787920384,0.342058427511681,50.8571759657337,60.6524224748203,72.5690568380758,-6.44820299939133,-3.789269595131,-1.13033619087067,59.2116964603865,69.6176256717428,82.0061104188966,54.8625838585138,66.3957272513429,80.563745538674,50.8037142457652,63.3332915365431,79.2298765069067,47.0318744645039,60.4219942424481,77.9771323765011,43.5352338097401,57.6539655902351,76.7892726750816,40.2983229841596,55.0217645111035,75.6559945559795,37.3044064776844,52.518354364597,74.5703652508954,"Declining","Declining","High"
"Rufous-winged Buzzard","Butastur liventer","ruwbuz1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Uncertain",NA,1,"Rufous-winged Buzzard","Butastur liventer","Rufous-winged Buzzard","Butastur liventer","Least Concern","Recent addition","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray-faced Buzzard","Butastur indicus","gyfbuz1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","None","Uncertain",NA,1,"Grey-faced Buzzard","Butastur indicus","Grey-faced Buzzard","Butastur indicus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Marsh-Harrier","Circus aeruginosus","wemhar1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Low","Stable","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Western Marsh Harrier","Circus aeruginosus","Western Marsh-harrier","Circus aeruginosus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",1368,0.109649122807018,0.348501461988304,0.41812865497076,11.8786549707602,0.359222399134223,31.2831941388549,37.9245307633442,44.9857737535644,-6.76061039344605,-3.78902901011084,-0.817447626775621,57.4809045588307,68.2308286763973,81.1780473164853,52.8717619845853,64.7111073963668,79.4560853135025,48.6038053745489,61.3853189074655,77.8615146285888,44.6680918566754,58.2421848942175,76.3644476186995,41.0471859905077,55.2711140697174,74.9469467951514,37.7204072143039,52.4621585739262,73.5974572569349,34.666291057698,49.8059732431978,72.3080559325637,"Rapid Decline","eBird Data Indecisive","Moderate"
"Eastern Marsh-Harrier","Circus spilonotus","easmah1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Eastern Marsh Harrier","Circus spilonotus","Eastern Marsh-harrier","Circus spilonotus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hen Harrier","Circus cyaneus","norhar1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Open Habitat","Winter Migrant",NA,NA,"Hen Harrier","Circus cyaneus","Hen Harrier","Circus cyaneus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","X","X",120,0.15,0.247916666666667,0.3,14.2,1.06386996109376,NA,NA,NA,-8.84940585382147,1.82841740061086,12.5062406550432,57.4119402530791,87.131060846355,133.928449162513,50.2843182584335,82.126190079578,136.536841820085,44.0209134464414,77.4908469216033,139.700882127305,38.5493505575535,73.1949855474895,143.348507216803,33.783425844583,69.2112270814022,147.449250399832,29.6375118878147,65.5146071524266,151.995961513275,26.0322528778927,62.0823486540669,156.995940672131,"eBird Data Deficient","eBird Data Indecisive",NA
"Pallid Harrier","Circus macrourus","palhar1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Moderate","Moderate Decline","Uncertain","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","None","Grassland","Winter Migrant",NA,NA,"Pallid Harrier","Circus macrourus","Pallid Harrier","Circus macrourus","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"X","X","X",625,0.1008,0.2672,0.3088,13.8096,0.537229825631738,17.0622595820213,21.7604205217735,28.8581109704692,-6.72929304406827,-2.50334549914842,1.72260204577143,59.2881507077627,73.0875653420167,90.4325961345481,54.109075179266,69.2417064094152,89.0641199435886,49.3526366926872,65.6210417662985,87.856062742671,45.0041638475562,62.2113703256436,86.7697691054112,41.0386076320415,58.9994396938052,85.7823582847384,37.4273297766699,55.9728797630666,84.8793742310637,34.1412315099143,53.1201411380243,84.0511558844422,"Rapid Decline","eBird Data Indecisive","Moderate"
