"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Priority.Status"
"Tundra Swan","Cygnus columbianus","tunswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","whoswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","comduc2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Knob-billed Duck","Sarkidiornis melanotos","African Comb Duck","Sarkidiornis melanotos","Least Concern","Schedule-II","Appendix II","Appendix II",250,"X","X","X",1186,0.0497470489038786,0.304279089376054,0.419898819561551,10.5573355817875,0.361151399781893,61.0458419782071,74.7841470157764,90.6827088152871,-4.44332345947047,-1.59058011682608,1.26216322581831,74.1238421332955,85.2811808458689,98.2707678749494,70.6061430631453,83.298235938797,98.4850788922312,67.2222376606913,81.3749221073545,98.7934757070206,63.9851244429,79.5092055335264,99.1717466904217,60.898206625754,77.699129943177,99.6059956251464,57.9600439198257,75.9428133771418,100.087846444141,55.1666928568242,74.2384451078392,100.612062367567,"eBird Data Indecisive","Stable","Low"
"Ruddy Shelduck","Tadorna ferruginea","rudshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea","Least Concern","Schedule-II","","Appendix II",500,"X","X","X",1442,0.0887656033287101,0.324635922330097,0.438973647711512,9.79195561719833,0.301317662908491,40.0882049632477,47.692320724806,55.8089560780024,-7.26088339751839,-4.87376723160304,-2.48665106568769,55.1742826286054,63.7447531533965,73.773547640426,50.9499539010119,60.3990817496224,71.7726380541871,47.0264129098237,57.2384970205977,69.8922343407768,43.3954628392432,54.252299555949,68.1078825973278,40.0421455971095,51.4304326073854,66.404616261841,36.9489120654212,48.7634421415053,64.7725478127862,34.0975836953497,46.2424394542466,63.2046906042858,"Declining","Declining","Moderate"
"Common Shelduck","Tadorna tadorna","comshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna","Least Concern","Schedule-II","","Appendix II",1000,"","","",99,0.101010101010101,0.224747474747475,0.232323232323232,13.2020202020202,1.34135170841688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","copgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Strong Decline","Strong Decline","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Cotton Pygmy Goose","Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus coromandelianus","Least Concern","Schedule-I","","Appendix II",1000,"X","X","X",1315,0.0836501901140684,0.338878326996198,0.425855513307985,11.7277566539924,0.362228296105282,35.8251738608434,42.5859641518546,51.2620526135385,-6.00769355777476,-3.22611015621854,-0.444526754662323,63.2888424190537,73.5028627431207,85.5401145832023,59.1286039268207,70.5256835613409,84.3594746823415,55.2154146051231,67.681502164463,83.2788302659371,51.5504993217406,64.9639284153171,82.2724501994652,48.1264406035996,62.3668977226893,81.3251261484175,44.931934823782,59.8846536259966,80.4272660155911,41.9540827896966,57.5117313514325,79.5724654545057,"Declining","eBird Data Indecisive","Moderate"
"Mandarin Duck","Aix galericulata","manduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Mandarin Duck","Aix galericulata","Mandarin Duck","Aix galericulata","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","baitea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Baikal Teal","Sibirionetta formosa","Baikal Teal","Sibirionetta formosa","Least Concern","Schedule-II","Appendix II","Appendix I",NA,"","","",8,0.125,0.125,0.125,16.625,3.51275177033618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","gargan","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Garganey","Spatula querquedula","Garganey","Spatula querquedula","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1231,0.0901705930138099,0.355808285946385,0.415922014622258,12.251015434606,0.369518334356139,34.0286907026771,40.8316224994941,48.5193372048853,-7.19974473701605,-3.41913852345761,0.361467690100825,54.049655212822,65.8512354693556,80.4403540921374,48.617423037666,61.3573782513688,77.7191453981439,43.7007445127177,57.1815588056215,75.1876622772646,39.2679705858323,53.3005156557728,72.8072677607033,35.2801911100547,49.692740434004,70.5540946584758,31.6972577391372,46.3383420822297,68.4121889834906,28.480424740595,43.2189218417491,66.3701304848538,"Rapid Decline","eBird Data Indecisive","Moderate"
"Northern Shoveler","Spatula clypeata","norsho","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Spatula clypeata","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1447,0.102280580511403,0.346924671734623,0.409122322045612,10.9564616447823,0.340813559818129,29.7698543810576,35.402612790797,42.5715301176988,-8.95916893890548,-5.97905101739002,-2.99893309587457,43.0447450212684,51.8757836169249,62.6712326256094,37.9599985045218,47.2981269610322,59.1341866656111,33.4547528192159,43.1339485823992,55.8676301352796,29.4755200261679,39.3450710673111,52.830754735647,25.9670423188716,35.896916335244,49.9957540247383,22.8767042614418,32.7581594568398,47.3420135626791,20.1561872512587,29.9004164134718,44.8532378412975,"Rapid Decline","Rapid Decline","High"
