timegroups,count,cil,cir
2002,1.010650369,0.798225298,1.279606362
2004,0.690072422,0.570820341,0.834237872
2005,0.49300018,0.389280797,0.624354398
2006,0.450411947,0.372855346,0.544100881
2008,0.434830015,0.347573344,0.543992069
2009,0.591165681,0.493193606,0.708599742
2010,0.484056055,0.397351292,0.589680389
2016,0.998586903,0.835576102,1.193399143
2017,0.790380417,0.663214061,0.941929974
2019,0.427582849,0.339579284,0.53839295
2020,0.628417217,0.522913506,0.755207494
