"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Great Eared-Nightjar","Lyncornis macrotis","","","",29,0.172413793103448,0.293103448275862,0.379310344827586,20.6551724137931,2.30041447953313
"Jungle Nightjar","Caprimulgus indicus","","","",213,0.0892018779342723,0.300469483568075,0.403755868544601,16.8262910798122,0.900068347532389
"Gray Nightjar","Caprimulgus jotaka","","","",77,0.0649350649350649,0.277597402597403,0.25974025974026,13.8051948051948,1.39632924598799
"Eurasian Nightjar","Caprimulgus europaeus","","","",NA,NA,NA,NA,NA,NA
"Sykes's Nightjar","Caprimulgus mahrattensis","","","",2,NA,0.75,0.5,19,1.96
"Large-tailed Nightjar","Caprimulgus macrurus","","","",152,0.118421052631579,0.294407894736842,0.322368421052632,12.9276315789474,0.923931077297698
"Andaman Nightjar","Caprimulgus andamanicus","","","",13,NA,0.346153846153846,0.538461538461538,8.30769230769231,2.40444230556463
"Jerdon's Nightjar","Caprimulgus atripennis","","","",203,0.0541871921182266,0.362068965517241,0.467980295566502,17.2315270935961,0.906018200504104
"Indian Nightjar","Caprimulgus asiaticus","","","",254,0.0511811023622047,0.269192913385827,0.358267716535433,14.7755905511811,0.865689317818238
"Savanna Nightjar","Caprimulgus affinis","","","",185,0.0702702702702703,0.258108108108108,0.297297297297297,16.2756756756757,0.981435008688349
"White-rumped Needletail","Zoonavena sylvatica","X","X","X",135,0.177777777777778,0.410185185185185,0.474074074074074,19.9555555555556,0.995824549066035
"White-throated Needletail","Hirundapus caudacutus","","","",56,0.142857142857143,0.160714285714286,0.0357142857142857,14.8214285714286,1.56601579000515
"Silver-backed Needletail","Hirundapus cochinchinensis","","","",13,NA,0.166666666666667,NA,12.3846153846154,2.35428619985934
"Brown-backed Needletail","Hirundapus giganteus","X","X","X",174,0.103448275862069,0.449712643678161,0.545977011494253,17.7931034482759,1.12937990373506
"Plume-toed Swiftlet","Collocalia affinis","","","",36,0.0833333333333333,0.559027777777778,0.777777777777778,5.77777777777778,1.31853865985449
"Indian Swiftlet","Aerodramus unicolor","X","X","X",163,0.245398773006135,0.618098159509202,0.717791411042945,20.2147239263804,0.858281025219425
"Himalayan Swiftlet","Aerodramus brevirostris","X","X","X",213,0.192488262910798,0.319835680751174,0.384976525821596,11.7323943661972,0.792675686145323
"White-nest Swiftlet","Aerodramus fuciphagus","","","",30,0.133333333333333,0.404166666666667,0.566666666666667,6.2,1.49889080828872
"Alpine Swift","Apus melba","X","X","X",340,0.126470588235294,0.366911764705882,0.411764705882353,17.2352941176471,0.65507851958199
"Common Swift","Apus apus","","","",10,0.3,0.125,0.1,8.5,4.85624912412405
"Pacific Swift","Apus pacificus","","","",NA,NA,NA,NA,NA,NA
"Blyth's Swift","Apus leuconyx","","","",84,0.0952380952380952,0.178571428571429,0.130952380952381,18.6785714285714,1.39273516684972
"Dark-rumped Swift","Apus acuticauda","","","X",31,0.0645161290322581,0.201612903225806,0.258064516129032,8.87096774193548,1.49280757307346
"Little Swift","Apus affinis","","","X",717,0.121338912133891,0.452928870292887,0.599721059972106,13.0739191073919,0.514256636496167
"House Swift","Apus nipalensis","","","",NA,NA,NA,NA,NA,NA
"Asian Palm-Swift","Cypsiurus balasiensis","","","",NA,NA,NA,NA,NA,NA
"Crested Treeswift","Hemiprocne coronata","X","X","X",405,0.17037037037037,0.38179012345679,0.469135802469136,14.5407407407407,0.732752747099794
"Water Rail","Rallus aquaticus","","","",10,NA,0.26,0.3,17.9,1.83515739561125
"Brown-cheeked Rail","Rallus indicus","","","",3,NA,0.416666666666667,0.333333333333333,14.3333333333333,7.53460756185159
"Corn Crake","Crex crex","","","",NA,NA,NA,NA,NA,NA
"Slaty-breasted Rail","Lewinia striata","","","X",103,0.0679611650485437,0.29247572815534,0.300970873786408,16.6796116504854,1.38030175011244
"Spotted Crake","Porzana porzana","","","",4,0.5,0.25,NA,14.5,2.82901631902917
"Eurasian Moorhen","Gallinula chloropus","","","X",473,0.0930232558139535,0.366014799154334,0.465116279069767,13.7568710359408,0.622927911825264
"Eurasian Coot","Fulica atra","","","X",412,0.0679611650485437,0.376516990291262,0.483009708737864,14.0412621359223,0.669889195888844
"Gray-headed Swamphen","Porphyrio poliocephalus","","","X",398,0.0879396984924623,0.407349246231156,0.550251256281407,14.2914572864322,0.697326794355427
"White-browed Crake","Poliolimnas cinereus","","","",NA,NA,NA,NA,NA,NA
"Watercock","Gallicrex cinerea","","","X",173,0.046242774566474,0.363439306358382,0.473988439306358,15.8554913294798,1.06705794399537
"White-breasted Waterhen","Amaurornis phoenicurus","","","X",763,0.110091743119266,0.499017038007864,0.623853211009174,12.437745740498,0.503395295584682
"Andaman Crake","Rallina canningi","","","X",20,0.05,0.375,0.55,6.9,1.94394476854614
"Red-legged Crake","Rallina fasciata","","","",NA,NA,NA,NA,NA,NA
"Slaty-legged Crake","Rallina eurizonoides","","","",70,0.0428571428571429,0.205357142857143,0.314285714285714,18.9571428571429,1.56283569843085
"Ruddy-breasted Crake","Zapornia fusca","","","X",182,0.0604395604395604,0.300137362637363,0.368131868131868,16.9615384615385,1.01479755466584
"Brown Crake","Zapornia akool","","","",86,0.104651162790698,0.193313953488372,0.27906976744186,14.5348837209302,1.34599339441046
"Little Crake","Zapornia parva","","","",NA,NA,NA,NA,NA,NA
"Baillon's Crake","Zapornia pusilla","","","X",73,0.0547945205479452,0.275684931506849,0.232876712328767,17.7397260273973,1.48915568220992
"Black-tailed Crake","Zapornia bicolor","","","X",32,0.03125,0.3359375,0.375,12.09375,1.93686382635818
"Masked Finfoot","Heliopais personatus","","","X",NA,NA,NA,NA,NA,NA
"Demoiselle Crane","Anthropoides virgo","","","X",4,0.25,0.25,NA,11.75,3.69941887328267
"Siberian Crane","Leucogeranus leucogeranus","","","X",NA,NA,NA,NA,NA,NA
"Sarus Crane","Antigone antigone","","","",29,0.137931034482759,0.271551724137931,0.344827586206897,14.2758620689655,2.15080749706183
"Common Crane","Grus grus","","","",13,0.0769230769230769,0.179487179487179,NA,14.7692307692308,3.50301960472459
"Black-necked Crane","Grus nigricollis","","","X",1,NA,1,1,12,NA
"Indian Thick-knee","Burhinus indicus","","","X",206,0.0485436893203883,0.279733009708738,0.349514563106796,15.1650485436893,0.90021262891352
"Great Thick-knee","Esacus recurvirostris","","","X",98,0.102040816326531,0.271683673469388,0.285714285714286,15.765306122449,1.22174963267785
"Beach Thick-knee","Esacus magnirostris","","","",16,0.0625,0.223214285714286,0.25,5.9375,2.55219766410571
"Black-winged Stilt","Himantopus himantopus","","","X",413,0.0871670702179177,0.410108958837772,0.508474576271186,14.4479418886199,0.663923882436148
"Pied Avocet","Recurvirostra avosetta","","","",36,0.138888888888889,0.225694444444444,0.138888888888889,15.5833333333333,2.06952329454555
"Ibisbill","Ibidorhyncha struthersii","","","X",29,0.172413793103448,0.288793103448276,0.448275862068966,11.5862068965517,2.33965169110101
"Eurasian Oystercatcher","Haematopus ostralegus","","","",34,0.264705882352941,0.294117647058824,0.264705882352941,14.2352941176471,2.51686148971583
"Black-bellied Plover","Pluvialis squatarola","","","X",63,0.0952380952380952,0.392857142857143,0.444444444444444,14.6507936507937,1.85595613043637
"European Golden-Plover","Pluvialis apricaria","","","",NA,NA,NA,NA,NA,NA
"American Golden-Plover","Pluvialis dominica","","","",NA,NA,NA,NA,NA,NA
"Pacific Golden-Plover","Pluvialis fulva","","","X",163,0.122699386503067,0.452453987730061,0.582822085889571,14.0858895705521,1.16747257931948
"Northern Lapwing","Vanellus vanellus","","","",56,0.0892857142857143,0.254464285714286,0.303571428571429,14.1964285714286,1.43667529702815
"River Lapwing","Vanellus duvaucelii","","","X",217,0.138248847926267,0.35426267281106,0.428571428571429,11.7926267281106,0.843336406634205
"Yellow-wattled Lapwing","Vanellus malabaricus","","","X",378,0.0423280423280423,0.331679894179894,0.404761904761905,14.4920634920635,0.751620515172152
"Gray-headed Lapwing","Vanellus cinereus","","","X",159,0.0440251572327044,0.300314465408805,0.484276729559748,13.2012578616352,1.0292458055163
"Red-wattled Lapwing","Vanellus indicus","","","X",848,0.140330188679245,0.536114386792453,0.652122641509434,11.8926886792453,0.480054727696154
"Sociable Lapwing","Vanellus gregarius","","","X",NA,NA,NA,NA,NA,NA
"White-tailed Lapwing","Vanellus leucurus","","","",18,0.166666666666667,0.208333333333333,0.166666666666667,16.9444444444444,2.55244146724626
"Lesser Sand-Plover","Charadrius mongolus","","","X",146,0.178082191780822,0.516267123287671,0.63013698630137,13.513698630137,1.27813446715909
"Greater Sand-Plover","Charadrius leschenaultii","","","",NA,NA,NA,NA,NA,NA
"Caspian Plover","Charadrius asiaticus","","","",1,NA,NA,NA,14,NA
"Kentish Plover","Charadrius alexandrinus","","","X",203,0.12807881773399,0.370073891625616,0.423645320197044,14.0344827586207,0.981588404408862
"Common Ringed Plover","Charadrius hiaticula","","","",17,NA,0.220588235294118,0.176470588235294,19.7647058823529,3.33407385084772
"Long-billed Plover","Charadrius placidus","","","X",25,0.08,0.29,0.4,10.44,2.08375440651404
"Little Ringed Plover","Charadrius dubius","","","X",503,0.0914512922465209,0.373508946322068,0.459244532803181,13.3697813121272,0.61315082900474
"Oriental Plover","Charadrius veredus","","","",NA,NA,NA,NA,NA,NA
"Greater Painted-Snipe","Rostratula benghalensis","","","X",242,0.0413223140495868,0.254648760330579,0.37603305785124,16.004132231405,0.841597829069918
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","","","X",343,0.0787172011661808,0.362973760932945,0.510204081632653,13.9591836734694,0.754984992686137
"Bronze-winged Jacana","Metopidius indicus","","","X",441,0.0975056689342404,0.429705215419501,0.54875283446712,13.3809523809524,0.694348906559522
"Whimbrel","Numenius phaeopus","","","X",107,0.158878504672897,0.492990654205608,0.570093457943925,11.0841121495327,1.451959555914
"Eurasian Curlew","Numenius arquata","","","X",113,0.168141592920354,0.371681415929204,0.469026548672566,13.9203539823009,1.36432846223709
