"COMMON.NAME","timegroupsf","timegroups","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_2014","mean_std_2014","rci_std_2014"
"Fulvous Whistling-Duck","before 2000",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvous Whistling-Duck","2000-2006",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvous Whistling-Duck","2007-2010",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvous Whistling-Duck","2011-2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvous Whistling-Duck","2013",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvous Whistling-Duck","2014",2014,-4.49578877486562,0.121944408648933,0.00874573868837841,0.0110938816188994,0.014067989495922,100,100,100,100,100,100
"Fulvous Whistling-Duck","2015",2015,-4.52644148812531,0.123548580882267,0.00845633134832033,0.0107607915297916,0.0136888987962857,68.7101207185103,96.997533410304,140.036478473062,71.4771340400026,96.997533410304,138.482226761558
"Fulvous Whistling-Duck","2016",2016,-4.52833634450012,0.120858419658021,0.00848482221541971,0.010740530472384,0.0135918008577109,69.2331875889406,96.8149006934285,140.311916407923,69.2293580353417,96.8149006934285,135.571881114479
"Fulvous Whistling-Duck","2017",2017,-4.75583144622703,0.116485648068077,0.00682226204575406,0.00856450400302517,0.0107492592445438,54.5516050039786,77.2002469220039,106.353926278898,54.0620345353565,77.2002469220039,106.539184106792
"Fulvous Whistling-Duck","2018",2018,-4.93065242763952,0.119139592861327,0.00570151367663372,0.007195775584171,0.00907986433293928,46.3273803666312,64.8625596645302,90.9203644005843,46.9790811428,64.8625596645302,89.0169151473828
"Fulvous Whistling-Duck","2019",2019,-4.98116697086035,0.118525402209705,0.00542793298225071,0.00684252797055267,0.00862418467773987,45.0591708550294,61.6783936011702,86.5496147278349,43.1482495091645,61.6783936011702,86.9628439640674
"Fulvous Whistling-Duck","2020",2020,-4.87748297178388,0.121008076845199,0.00599001530306552,0.00758723055534373,0.00960827451448498,49.0591570299992,68.3911259916294,96.2170614880266,48.114590789877,68.3911259916294,95.7958555390079
"Fulvous Whistling-Duck","2021",2021,-4.79130967494071,0.108675858699772,0.00668648501034497,0.00826721494753949,0.0102197133575093,52.7495855985238,74.5204900461127,103.953750758987,54.8865399241504,74.5204900461127,102.458940844986
"Lesser Whistling-Duck","before 2000",1992,-2.70996107701506,0.0883609666328177,0.0544214309652921,0.0643739453332471,0.0760721239983124,100,100,100,NA,NA,NA
"Lesser Whistling-Duck","2000-2006",2003,-2.63182779615225,0.0870130438848437,0.0588623875632821,0.0694196338328679,0.0817866187294136,85.2109892836112,107.838091130659,136.564117191099,NA,NA,NA
"Lesser Whistling-Duck","2007-2010",2009,-2.51580700114446,0.090034411292925,0.0654841798204224,0.0776197133596462,0.0918913766989043,95.4713857376805,120.576287437144,152.868161723395,NA,NA,NA
"Lesser Whistling-Duck","2011-2012",2012,-2.26056732316283,0.0839997997406697,0.0846601044160689,0.0990371922633412,0.115697537224656,123.509199049546,153.84670265377,195.4465364365,NA,NA,NA
"Lesser Whistling-Duck","2013",2013,-2.30530789325025,0.0861383651643733,0.0807852245267482,0.0949165144589141,0.111366249675937,115.833667206941,147.445544882415,184.127803113561,NA,NA,NA
"Lesser Whistling-Duck","2014",2014,-2.53338588821109,0.0823133433246207,0.0653295703714483,0.0763201590381008,0.089069910623055,94.6284762456999,118.557529203797,149.976252725697,100,100,100
"Lesser Whistling-Duck","2015",2015,-2.67387009318473,0.0837925421544293,0.056856257404456,0.0666590685609784,0.0780808679055745,81.1849816529435,103.549764141225,131.024324873573,70.2875598660433,87.3413648518482,110.202475808402
"Lesser Whistling-Duck","2016",2016,-2.68876240582973,0.0835276436981546,0.0560680870983689,0.065706827138155,0.0769339178991198,80.3003844207968,102.070529929474,126.523952520009,67.8701219749267,86.09367166721,105.466101422442
"Lesser Whistling-Duck","2017",2017,-2.62703734424791,0.0818995337353436,0.0597140408938372,0.0697410795992126,0.0813776845129432,85.6568446702188,108.33743254073,134.027291411119,74.6072154264373,91.3796308579444,115.80651602016
"Lesser Whistling-Duck","2018",2018,-2.66066710751902,0.0827946470115049,0.0576991524083878,0.0675144040828792,0.0789282072104109,82.5659816277859,104.878462448394,130.270719646451,70.8729501705299,88.4620851604547,109.817065397072
"Lesser Whistling-Duck","2019",2019,-2.62949475100133,0.0800930048205358,0.0597767951826557,0.0695760058222368,0.0809112689454592,87.057042739873,108.081003054978,134.269134959936,73.6952141513877,91.1633396721603,112.347323292454
"Lesser Whistling-Duck","2020",2020,-2.59529150494577,0.0793116796683931,0.0618828261498971,0.0719077275352117,0.0834830750134866,89.5431589065597,111.70315437863,138.73168098913,76.1994253769992,94.2185242293765,115.18378768664
"Lesser Whistling-Duck","2021",2021,-2.67459420800428,0.080821005837889,0.0571385025894558,0.0666124612191634,0.0775915447151266,82.1312104459149,103.477363200792,128.067265425098,69.7164395875037,87.2802966591158,107.697777910335
"Bar-headed Goose","before 2000",1992,-3.88189510021288,0.105222785082244,0.0166306931146904,0.0204007571851643,0.0250145390261879,100,100,100,NA,NA,NA
"Bar-headed Goose","2000-2006",2003,-4.01928349090298,0.11606822321585,0.0142083733573624,0.0178054095839079,0.0223027302645018,65.8915491621386,87.2781800317502,118.594061507682,NA,NA,NA
