English Name,Scientific Name,BLI,GEN
Fulvous Whistling-Duck,Dendrocygna bicolor,Dendrocygna bicolor,17
Lesser Whistling-Duck,Dendrocygna javanica,Dendrocygna javanica,18
Bar-headed Goose,Anser indicus,Anser indicus,30
Graylag Goose,Anser anser,Anser anser,29
Greater White-fronted Goose,Anser albifrons,Anser albifrons,26
Lesser White-fronted Goose,Anser erythropus,Anser erythropus,22
Taiga Bean-Goose,Anser fabalis,Anser fabalis,24
Tundra Bean-Goose,Anser serrirostris,Anser fabalis,24
Red-breasted Goose,Branta ruficollis,Branta ruficollis,30
Mute Swan,Cygnus olor,Cygnus olor,32
Tundra Swan,Cygnus columbianus,Cygnus columbianus,35
Whooper Swan,Cygnus cygnus,Cygnus cygnus,29
Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis melanotos,26
Ruddy Shelduck,Tadorna ferruginea,Tadorna ferruginea,19
Common Shelduck,Tadorna tadorna,Tadorna tadorna,27
Cotton Pygmy-Goose,Nettapus coromandelianus,Nettapus coromandelianus,15
Mandarin Duck,Aix galericulata,Aix galericulata,14
Baikal Teal,Sibirionetta formosa,Sibirionetta formosa,15
Garganey,Spatula querquedula,Spatula querquedula,10
Northern Shoveler,Spatula clypeata,Spatula clypeata,14
Gadwall,Mareca strepera,Mareca strepera,11
Falcated Duck,Mareca falcata,Mareca falcata,11
Eurasian Wigeon,Mareca penelope,Mareca penelope,12
Indian Spot-billed Duck,Anas poecilorhyncha,Anas poecilorhyncha,12
Eastern Spot-billed Duck,Anas zonorhyncha,Anas zonorhyncha,15
Mallard,Anas platyrhynchos,Anas platyrhynchos,15
Northern Pintail,Anas acuta,Anas acuta,17
Green-winged Teal,Anas crecca,Anas crecca,13
Andaman Teal,Anas albogularis,Anas albogularis,15
Marbled Teal,Marmaronetta angustirostris,Marmaronetta angustirostris,12
Pink-headed Duck,Rhodonessa caryophyllacea,Rhodonessa caryophyllacea,16
White-winged Duck,Asarcornis scutulata,Asarcornis scutulata,26
Red-crested Pochard,Netta rufina,Netta rufina,18
Common Pochard,Aythya ferina,Aythya ferina,16
Ferruginous Duck,Aythya nyroca,Aythya nyroca,15
Baer's Pochard,Aythya baeri,Aythya baeri,13
Tufted Duck,Aythya fuligula,Aythya fuligula,18
Greater Scaup,Aythya marila,Aythya marila,15
Long-tailed Duck,Clangula hyemalis,Clangula hyemalis,17
Common Goldeneye,Bucephala clangula,Bucephala clangula,21
Smew,Mergellus albellus,Mergellus albellus,13
Common Merganser,Mergus merganser,Mergus merganser,16
Red-breasted Merganser,Mergus serrator,Mergus serrator,16
White-headed Duck,Oxyura leucocephala,Oxyura leucocephala,16
Nicobar Scrubfowl,Megapodius nicobariensis,Megapodius nicobariensis,20
Hill Partridge,Arborophila torqueola,Arborophila torqueola,15
Chestnut-breasted Partridge,Arborophila mandellii,Arborophila mandellii,14
Rufous-throated Partridge,Arborophila rufogularis,Arborophila rufogularis,14
White-cheeked Partridge,Arborophila atrogularis,Arborophila atrogularis,13
Snow Partridge,Lerwa lerwa,Lerwa lerwa,16
Blood Pheasant,Ithaginis cruentus,Ithaginis cruentus,16
Western Tragopan,Tragopan melanocephalus,Tragopan melanocephalus,18
Satyr Tragopan,Tragopan satyra,Tragopan satyra,18
Blyth's Tragopan,Tragopan blythii,Tragopan blythii,19
Temminck's Tragopan,Tragopan temminckii,Tragopan temminckii,17
Himalayan Monal,Lophophorus impejanus,Lophophorus impejanus,25
Sclater's Monal,Lophophorus sclateri,Lophophorus sclateri,26
Koklass Pheasant,Pucrasia macrolopha,Pucrasia macrolopha,15
Tibetan Partridge,Perdix hodgsoniae,Perdix hodgsoniae,9
Hume's Pheasant,Syrmaticus humiae,Syrmaticus humiae,18
Cheer Pheasant,Catreus wallichii,Catreus wallichii,19
Kalij Pheasant,Lophura leucomelanos,Lophura leucomelanos,17
Indian Peafowl,Pavo cristatus,Pavo cristatus,28
Green Peafowl,Pavo muticus,Pavo muticus,25
Red Spurfowl,Galloperdix spadicea,Galloperdix spadicea,16
Painted Spurfowl,Galloperdix lunulata,Galloperdix lunulata,14
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Polyplectron bicalcaratum,18
Mountain Bamboo-Partridge,Bambusicola fytchii,Bambusicola fytchii,14
Red Junglefowl,Gallus gallus,Gallus gallus,11
Gray Junglefowl,Gallus sonneratii,Gallus sonneratii,13
Gray Francolin,Ortygornis pondicerianus,Ortygornis pondicerianus,8
Swamp Francolin,Ortygornis gularis,Ortygornis gularis,11
Chinese Francolin,Francolinus pintadeanus,Francolinus pintadeanus,9
Black Francolin,Francolinus francolinus,Francolinus francolinus,9
Painted Francolin,Francolinus pictus,Francolinus pictus,9
Tibetan Snowcock,Tetraogallus tibetanus,Tetraogallus tibetanus,16
Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus himalayensis,18
Blue-breasted Quail,Synoicus chinensis,Synoicus chinensis,10
Common Quail,Coturnix coturnix,Coturnix coturnix,8
Japanese Quail,Coturnix japonica,Coturnix japonica,7
Rain Quail,Coturnix coromandelica,Coturnix coromandelica,7
Chukar,Alectoris chukar,Alectoris chukar,9
Jungle Bush-Quail,Perdicula asiatica,Perdicula asiatica,11
Rock Bush-Quail,Perdicula argoondah,Perdicula argoondah,10
Painted Bush-Quail,Perdicula erythrorhyncha,Perdicula erythrorhyncha,11
Manipur Bush-Quail,Perdicula manipurensis,Perdicula manipurensis,11
Himalayan Quail,Ophrysia superciliosa,Ophrysia superciliosa,13
Greater Flamingo,Phoenicopterus roseus,Phoenicopterus roseus,44
Lesser Flamingo,Phoeniconaias minor,Phoeniconaias minor,39
Little Grebe,Tachybaptus ruficollis,Tachybaptus ruficollis,13
Horned Grebe,Podiceps auritus,Podiceps auritus,14
Red-necked Grebe,Podiceps grisegena,Podiceps grisegena,17
Great Crested Grebe,Podiceps cristatus,Podiceps cristatus,18
Eared Grebe,Podiceps nigricollis,Podiceps nigricollis,15
Rock Pigeon,Columba livia,Columba livia,14
Hill Pigeon,Columba rupestris,Columba rupestris,9
Snow Pigeon,Columba leuconota,Columba leuconota,9
Yellow-eyed Pigeon,Columba eversmanni,Columba eversmanni,8
Common Wood-Pigeon,Columba palumbus,Columba palumbus,12
Speckled Wood-Pigeon,Columba hodgsonii,Columba hodgsonii,11
Ashy Wood-Pigeon,Columba pulchricollis,Columba pulchricollis,12
Nilgiri Wood-Pigeon,Columba elphinstonii,Columba elphinstonii,12
